Database Name	Opera_Phenix_1
Database Link	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	e740a9c8-6ba9-4899-a4ca-d0a2745e5893
Plate Name	EP149
Measurement	Measurement 1
Evaluation	Evaluation10
Population	Population - Tracked Real_Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Bacteria	Tracked Real_Nuclei - Age [s]	Tracked Real_Nuclei - Current Displacement X [µm]	Tracked Real_Nuclei - Current Displacement Y [µm]	Tracked Real_Nuclei - Track Point X	Tracked Real_Nuclei - Track Point Y	Tracked Real_Nuclei - Current Speed [µm/s]	
4	5	1	0	1	1	1275	154	[1072,1,1460,309]	16.56	486.14	Lpp WT	0	0	0	1257	134	NaN	
4	5	1	0	1	2	681	120	[582,1,792,207]	-36.55	487.65	Lpp WT	0	0	0	688	117	0.00156207	
4	5	1	0	1	3	259	169	[160,65,391,297]	-76.45	482.26	Lpp WT	0	0	0	261	175	0.00154842	
4	5	1	0	1	4	979	412	[805,197,1136,618]	-10.31	459.94	Lpp WT	0	0	0	969	414	0.00136815	
4	5	1	0	1	5	1521	1113	[1367,992,1612,1218]	40.89	395.77	Lpp WT	0	0	0	1517	1101	0.000432102	
4	5	1	0	1	6	214	1203	[41,1025,422,1442]	-80.25	385.52	Lpp WT	0	0	0	221	1210	0.00146153	
4	5	1	0	1	7	779	1137	[674,1048,865,1227]	-28.49	392.16	Lpp WT	0	0	0	775	1139	0.00143618	
4	5	1	0	1	8	1555	1597	[1471,1385,1650,1724]	45.05	350.23	Lpp WT	0	0	0	1562	1588	0.00114058	
4	5	1	0	1	9	1148	1672	[783,1483,1266,1784]	-3.74	347.47	Lpp WT	0	0	0	1039	1617	0.00163584	
4	5	1	0	1	10	286	1789	[195,1667,374,1962]	-74.69	331.02	Lpp WT	0	0	0	280	1793	0.00234771	
4	5	1	1	1	2	634	86	[556,1,712,210]	-42.04	489.15	Lpp WT	3599.36	-5.42001	-1.49517	630	101	0.000882154	
4	5	1	1	1	3	211	127	[130,51,288,234]	-81.03	485.42	Lpp WT	3599.36	-4.57897	-3.17724	212	141	0.000985229	
4	5	1	1	1	4	924	366	[772,164,1085,563]	-14.43	462.66	Lpp WT	3599.36	-4.11173	-2.71	925	385	0.000814288	
4	5	1	1	1	5	1509	1139	[1403,960,1623,1250]	40.04	394.45	Lpp WT	3599.36	-0.841035	1.30828	1508	1115	0.000913024	
4	5	1	1	1	6	252	1148	[1,894,516,1426]	-79.11	390.66	Lpp WT	3599.36	1.12138	-5.13966	233	1155	0.00111986	
4	5	1	1	1	7	743	1087	[649,970,824,1235]	-31.8	396.14	Lpp WT	3599.36	-3.36414	-3.92483	739	1097	0.00198334	
4	5	1	1	1	8	1518	1565	[1365,1483,1628,1666]	41.02	351.1	Lpp WT	3599.36	-4.01828	-0.841035	1519	1579	0.000894548	
4	5	1	1	1	9	1089	1585	[952,1432,1247,1723]	1.01	350.97	Lpp WT	3599.36	4.76587	-3.45759	1090	1580	0.00114002	
4	5	1	1	1	10	230	1717	[154,1626,314,1798]	-78.81	338.45	Lpp WT	3599.36	-4.11173	-7.38242	236	1714	0.00178563	
4	5	1	1	1	11	728	72	[698,42,762,102]	-32.69	491.89	Lpp WT	0	0	0	730	72	NaN	
4	5	1	1	1	12	2088	700	[1964,623,2158,791]	94.02	433.05	Lpp WT	0	0	0	2086	702	0	
4	5	1	1	1	13	894	1552	[766,1439,987,1649]	-18.51	354.01	Lpp WT	0	0	0	881	1547	0.000518933	
4	5	1	1	1	14	348	2013	[237,1898,465,2140]	-67.84	310.24	Lpp WT	0	0	0	354	2016	0.000743	
4	5	1	2	1	2	638	88	[565,7,727,184]	-41.41	489.64	Lpp WT	7200.91	-4.85932	-1.96242	636	96	0.000287143	
4	5	1	2	1	3	203	118	[89,27,342,280]	-82.57	485.12	Lpp WT	7200.91	-6.07414	-2.8969	196	144	0.00122481	
4	5	1	2	1	4	944	377	[770,182,1146,587]	-13.5	462.5	Lpp WT	7200.91	-3.17724	-2.61655	935	386	0.000229236	
4	5	1	2	1	5	1443	1149	[1304,967,1584,1289]	35.69	392.04	Lpp WT	7200.91	-5.23311	3.73794	1461	1141	0.00105118	
4	5	1	2	1	6	179	1081	[1,894,501,1398]	-80.83	392.89	Lpp WT	7200.91	-0.56069	-7.38242	215	1131	0.000517095	
4	5	1	2	1	7	721	987	[597,886,816,1116]	-33.87	405	Lpp WT	7200.91	-5.42001	-12.8024	717	1002	0.00165076	
4	5	1	2	1	8	1491	1543	[1397,1455,1625,1639]	39.63	352.96	Lpp WT	7200.91	-5.42001	-2.71	1504	1559	0.000440474	
4	5	1	2	1	9	1118	1570	[970,1409,1284,1718]	2.77	352.42	Lpp WT	7200.91	6.54139	-4.95276	1109	1564	0.00154238	
4	5	1	2	1	10	218	1673	[127,1591,321,1759]	-80.45	342.59	Lpp WT	7200.91	-5.70035	-11.4942	219	1670	0.000705669	
4	5	1	2	1	12	2088	700	[1964,623,2158,791]	94.02	433.05	Lpp WT	3601.56	0	0	2086	702	0.000342832	
4	5	1	2	1	13	894	1537	[782,1413,1011,1651]	-17.46	355.55	Lpp WT	3601.56	1.12138	-1.49517	893	1531	0.000575257	
4	5	1	2	1	14	379	2026	[263,1918,569,2138]	-65.21	309.69	Lpp WT	3601.56	2.61655	0.56069	382	2022	0.00105282	
4	5	1	2	1	15	1040	761	[933,585,1173,909]	-2.28	427.38	Lpp WT	0	0	0	1055	762	0.000930547	
4	5	1	3	1	2	623	79	[571,21,683,187]	-42.77	489.36	Lpp WT	10800.8	-6.16759	-1.68207	622	99	0.000316344	
4	5	1	3	1	3	228	86	[168,1,275,144]	-80.18	492.05	Lpp WT	10800.8	-3.73794	-9.81208	221	70	0.00208219	
4	5	1	3	1	4	933	370	[783,172,1082,550]	-14.15	462.8	Lpp WT	10800.8	-3.83138	-2.8969	928	383	0.00016878	
4	5	1	3	1	5	1485	1151	[1387,1003,1580,1262]	38.22	392.4	Lpp WT	10800.8	-2.71	3.36414	1488	1137	0.0006094	
4	5	1	3	1	6	253	1135	[1,883,506,1402]	-79.96	392.59	Lpp WT	10800.8	0.280345	-7.00863	224	1135	0.000168912	
4	5	1	3	1	7	745	1021	[656,910,818,1151]	-31.92	403.02	Lpp WT	10800.8	-3.45759	-10.84	738	1023	0.000556302	
4	5	1	3	1	8	1502	1546	[1392,1458,1624,1669]	40.09	352.14	Lpp WT	10800.8	-5.04621	-1.96242	1508	1567	0.000134475	
4	5	1	3	1	9	1053	1643	[874,1458,1246,1821]	-2.69	345.59	Lpp WT	10800.8	1.12138	1.96242	1051	1638	0.00156136	
4	5	1	3	1	10	195	1652	[126,1584,324,1781]	-79.88	342.22	Lpp WT	10800.8	-5.13966	-11.1204	225	1674	0.000441962	
4	5	1	3	1	12	2063	709	[1928,538,2158,828]	91.91	434.2	Lpp WT	7201.41	-2.14931	-1.21483	2063	689	0.000505648	
4	5	1	3	1	13	886	1536	[739,1425,973,1632]	-19.66	355.13	Lpp WT	7201.41	-1.12138	-1.12138	869	1535	0.000630132	
4	5	1	3	1	14	416	1994	[257,1883,616,2107]	-61.46	312.87	Lpp WT	7201.41	6.35449	-2.61655	422	1988	0.00161642	
4	5	1	3	1	15	1061	800	[934,641,1257,932]	-0.58	424.53	Lpp WT	3599.86	1.68207	2.8969	1073	793	0.000810311	
4	5	1	3	1	16	560	28	[523,1,617,56]	-47.68	496.23	Lpp WT	0	0	0	569	26	NaN	
