Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
3	3	1	-4	123	0	NaN	105	0	0	1	239.314429235	172.289112432	0.660408582373	0	4	0	-1287.013	0	37	0	5	NT	NI	
3	4	1	-4	135	0	NaN	128	0	0	1	254.015155527	185.287254752	0.668318149688	0	4	0	-1287.046	0	37	0	5	Oligomycin	NI	
3	5	1	-4	136	0	NaN	117	0	0	1	273.712462079	215.203160963	0.71631858425	0	4	0	-1286.954	0	37	0	5	DCCD	NI	
3	6	1	-4	130	0	NaN	113	0	0	1	246.319089253	178.638646162	0.652028814043	0	4	0	-1287.107	0	37	0	5	Rotenone	NI	
3	7	1	-4	144	0	NaN	118	0	0	1	241.405924876	171.872047898	0.633977452079	0	4	0	-1287.59	0	37	0	5	TTFA	NI	
3	8	1	-4	135	0	NaN	114	0	0	1	239.013437712	167.383790274	0.607810874831	0	4	0	-1287.734	0	37	0	5	Antimycin A	NI	
3	9	1	-4	92	0	NaN	80	0	0	1	243.447612384	182.98718933	0.66632157692	0	4	0	-1288.81	0	37	0	5	NaCN	NI	
3	10	1	-4	93	0	NaN	82	0	0	1	279.499938406	224.369398766	0.712459922962	0	4	0	-1289.12	0	37	0	5	FCCP	NI	
3	11	1	-4	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-1289.0259999999998	0	37	0	5			
4	3	1	-4	104	0	NaN	93	0	0	1	247.17194677	179.554096988	0.665533028442	0	4	0	-1286.97	0	37	0	5	NT	NI	
4	4	1	-4	118	0	NaN	96	0	0	1	245.815358886	182.460567463	0.682485360787	0	4	0	-1287.204	0	37	0	5	Oligomycin	NI	
4	5	1	-4	129	0	NaN	114	0	0	1	232.923599591	163.830984866	0.635001585854	0	4	0	-1286.623	0	37	0	5	DCCD	NI	
4	6	1	-4	119	0	NaN	102	0	0	1	238.063404311	180.694431384	0.6746515782	0	4	0	-1287.126	0	37	0	5	Rotenone	NI	
4	7	1	-4	140	0	NaN	115	0	0	1	239.322172456	174.209856074	0.642128339035	0	4	0	-1287.59	0	37	0	5	TTFA	NI	
4	8	1	-4	125	0	NaN	110	0	0	1	236.781996844	165.398461583	0.635066603967	0	4	0	-1287.6399999999999	0	37	0	5	Antimycin A	NI	
