,Unnamed: 0,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacterial_area_[um²]-_sum_per_cell_,infected,ni,intensity_cell_alexa_647_mean,intensity_cell_dsred_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl,growth
3902,386320,11,11,1,1,1,10,715,154,_556_1_869_445_,-36.05,81.7,dotA,5,none,692,202,0.0,0,1,156.026,220.037,0.211778,0.451011,101,w101_f1_c10,0
3903,387899,11,11,1,2,1,10,693,166,_542_1_866_459_,-37.41,80.7,dotA,5,none,678,213,0.0,0,1,142.684,180.444,0.157984,0.341505,101,w101_f1_c10,0
3904,388051,11,11,1,3,1,10,673,215,_543_1_829_471_,-38.12,81.39,dotA,5,none,670,206,0.0,0,1,136.629,157.969,0.132627,0.233316,101,w101_f1_c10,0
3905,388212,11,11,1,4,1,10,689,140,_535_17_832_432_,-37.64,82.06,dotA,5,none,675,199,0.0,0,1,131.288,144.271,0.109052,0.183478,101,w101_f1_c10,0
3906,388380,11,11,1,5,1,10,671,129,_533_1_831_436_,-39.47,83.34,dotA,5,none,656,185,0.0,0,1,135.054,154.729,0.129249,0.230044,101,w101_f1_c10,0
3907,388549,11,11,1,6,1,10,683,151,_536_1_825_419_,-38.75,83.07,dotA,5,none,664,188,0.0,0,1,145.011,163.658,0.154927,0.243436,101,w101_f1_c10,0
3908,388719,11,11,1,7,1,10,662,187,_543_10_849_439_,-38.4,82.85,dotA,5,none,667,190,0.0,0,1,138.016,143.826,0.127703,0.161475,101,w101_f1_c10,0
3909,388894,11,11,1,8,1,10,689,136,_551_3_860_372_,-36.28,85.35,dotA,5,none,690,163,0.0,0,1,137.022,142.802,0.136505,0.171174,101,w101_f1_c10,0
3910,389076,11,11,1,9,1,10,649,163,_523_7_778_433_,-40.54,83.42,dotA,5,none,644,184,0.0,0,1,144.648,155.677,0.164061,0.221187,101,w101_f1_c10,0
3911,386446,11,11,1,10,1,10,667,132,_514_1_856_387_,-38.43,86.22,dotA,5,none,667,154,0.0,0,1,143.883,147.33,0.15407,0.184856,101,w101_f1_c10,0
3912,386624,11,11,1,11,1,10,692,164,_533_1_852_349_,-36.42,85.32,dotA,5,none,689,164,0.0,0,1,143.098,143.421,0.152761,0.174245,101,w101_f1_c10,0
3913,386807,11,11,1,12,1,10,665,143,_548_1_857_360_,-37.11,85.19,dotA,5,none,681,165,0.0,0,1,146.165,145.83,0.146097,0.171538,101,w101_f1_c10,0
3914,386990,11,11,1,13,1,10,666,143,_491_5_840_359_,-37.89,84.94,dotA,5,none,673,168,0.0,0,1,147.428,148.714,0.165127,0.196157,101,w101_f1_c10,0
3915,387174,11,11,1,14,1,10,664,139,_515_7_847_356_,-38.16,85.31,dotA,5,none,670,164,0.0,0,1,154.073,149.158,0.189834,0.20838,101,w101_f1_c10,0
3916,387358,11,11,1,15,1,10,659,219,_525_11_825_424_,-38.71,82.86,dotA,5,none,664,190,0.0,0,1,152.544,148.6,0.188053,0.206657,101,w101_f1_c10,0
3917,387544,11,11,1,16,1,10,660,161,_530_37_823_405_,-39.0,82.04,dotA,5,none,661,199,0.0,0,1,154.406,147.218,0.190401,0.199888,101,w101_f1_c10,0
3918,387730,11,11,1,17,1,10,672,203,_520_36_842_435_,-38.85,81.89,dotA,5,none,662,200,0.0,0,1,153.167,147.237,0.215151,0.207833,101,w101_f1_c10,0
3919,386322,11,11,1,1,1,12,1822,486,_1710_270_1935_634_,69.06,58.23,dotA,5,none,1821,454,1.25819,1,0,156.405,180.0,0.270655,0.390806,101,w101_f1_c12,0
3920,387901,11,11,1,2,1,12,1822,533,_1708_266_1971_801_,69.4,54.7,dotA,5,none,1824,492,1.34496,1,0,141.477,161.128,0.201779,0.331424,101,w101_f1_c12,0
3921,388053,11,11,1,3,1,12,1809,512,_1687_275_1961_839_,68.81,52.72,dotA,5,none,1818,514,0.0,0,1,133.39,153.75,0.151643,0.279338,101,w101_f1_c12,0
3922,388214,11,11,1,4,1,12,1815,532,_1646_260_1964_819_,68.84,52.5,dotA,5,none,1819,516,0.798297,1,0,132.863,149.296,0.136073,0.247806,101,w101_f1_c12,0
3923,388382,11,11,1,5,1,12,1812,528,_1700_206_1945_822_,68.47,54.53,dotA,5,none,1815,494,0.564014,1,0,131.641,150.506,0.136147,0.262838,101,w101_f1_c12,0
3924,388551,11,11,1,6,1,12,1821,554,_1690_224_1948_834_,68.64,53.81,dotA,5,none,1816,502,0.66814,1,0,135.559,159.703,0.151297,0.295508,101,w101_f1_c12,0
