,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,disp_x_um,disp_y_um,track_point_x,track_point_y,bacterial_area_[um²]-_sum_per_cell_,infected,ni,intensity_real_cytoplasm_alexa_647_mean,intensity_real_cytoplasm_dsred_mean,far_red_sdmean,red_sdmean,real_cytoplasm_alexa_647_ser_edge_0.0675675675676_um,real_cytoplasm_alexa_647_ser_ridge_0.0675675675676_um,real_cytoplasm_sliding_parabola_dsred_ser_edge_0.0675675675676_um,real_cytoplasm_sliding_parabola_dsred_ser_ridge_0.0675675675676_um,intensity_nucleus_alexa_647_mean,intensity_nucleus_hoechst_33342_mean,farredbyred_sdmean,number_of_dsred_spots-_per_cell_,dsred_spot_area_[um²]-_sum_per_cell_,number_of_alexa_647_spots-_per_cell_,alexa_647_spot_area_[um²]-_sum_per_cell,well_id,cell_lbl,growth
92676,5,15,1,0,1,1,333,122,_292_78_402_175_,-109.38,141.76,NI,7,0.0,0.0,343,124,0.0,0,1,17476.7,113.397,0.832168,0.0557135,0.126758,0.017977,1.39919,0.910938,,,14.9366,0,0.0,19,55.9043,45,w45_f1_c1,0
92809,5,15,1,1,1,1,316,88,_284_35_398_133_,-110.1,148.0,NI,7,-0.742073,-6.23342,338,82,0.0,0,1,15670.9,111.37,0.834839,0.05401,0.12373,0.0178218,1.39564,0.89537,,,15.4571,1,0.0440538,22,60.574,45,w45_f1_c1,0
94225,5,15,1,2,1,1,320,94,_287_40_402_138_,-109.53,147.39,NI,7,-0.148415,-5.63976,342,86,0.0,0,1,14305.3,111.748,0.770204,0.0523525,0.11921,0.0179395,1.38617,0.873784,,,14.7119,2,0.0881077,15,51.9395,45,w45_f1_c1,0
94377,5,15,1,3,1,1,318,97,_284_42_401_144_,-109.72,146.9,NI,7,-0.445244,-5.0461,340,90,0.0,0,1,12999.7,111.57,0.717166,0.0494205,0.121735,0.0190708,1.39628,0.903232,,,14.5115,1,0.0440538,24,64.0322,45,w45_f1_c1,0
94522,5,15,1,4,1,1,318,92,_280_36_401_142_,-109.91,147.47,NI,7,-0.593659,-5.63976,339,86,0.0,0,1,12027.2,110.989,0.727758,0.0491631,0.126647,0.0200347,1.42287,0.874185,,,14.803,0,0.0,23,63.5477,45,w45_f1_c1,0
94674,5,15,1,5,1,1,316,93,_279_38_398_140_,-110.19,147.45,NI,7,-0.890488,-5.63976,337,86,0.0,0,1,11941.7,110.837,0.716259,0.0502207,0.131572,0.0210425,1.42037,0.8952,,,14.2622,0,0.0,26,59.4506,45,w45_f1_c1,0
94825,5,15,1,6,1,1,316,94,_278_37_400_142_,-110.09,147.36,NI,7,-0.742073,-5.49134,338,87,0.0,0,1,11614.1,110.915,0.727396,0.0511125,0.134912,0.0216961,1.40343,0.929015,,,14.2313,0,0.0,24,56.6092,45,w45_f1_c1,0
94976,5,15,1,7,1,1,314,95,_277_37_400_154_,-110.07,147.2,NI,7,-0.742073,-5.34293,338,88,0.0,0,1,11013.9,110.545,0.726522,0.048434,0.137211,0.0227157,1.43879,0.904733,,,15.0002,0,0.0,27,65.7724,45,w45_f1_c1,0
95124,5,15,1,8,1,1,316,99,_278_41_402_160_,-109.78,146.5,NI,7,-0.445244,-4.74927,340,92,0.0,0,1,10594.0,110.814,0.726181,0.0470196,0.138523,0.0227627,1.41717,0.879684,,,15.4442,0,0.0,30,66.3671,45,w45_f1_c1,0
95270,5,15,1,9,1,1,314,102,_275_45_398_151_,-110.54,146.12,NI,7,-1.18732,-4.30403,335,95,0.0,0,1,10393.2,110.859,0.786058,0.0487544,0.147455,0.0241631,1.44908,0.880708,19513.7,3588.65,16.1228,0,0.0,26,53.4593,45,w45_f1_c1,0
