,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,disp_x_um,disp_y_um,track_point_x,track_point_y,bacterial_area_[um²]-_sum_per_cell_,infected,ni,intensity_real_cytoplasm_alexa_647_mean,intensity_real_cytoplasm_dsred_mean,far_red_sdmean,red_sdmean,real_cytoplasm_alexa_647_ser_edge_0.0675675675676_um,real_cytoplasm_alexa_647_ser_ridge_0.0675675675676_um,real_cytoplasm_sliding_parabola_dsred_ser_edge_0.0675675675676_um,real_cytoplasm_sliding_parabola_dsred_ser_ridge_0.0675675675676_um,intensity_nucleus_alexa_647_mean,intensity_nucleus_hoechst_33342_mean,farredbyred_sdmean,number_of_dsred_spots-_per_cell_,dsred_spot_area_[um²]-_sum_per_cell_,number_of_alexa_647_spots-_per_cell_,alexa_647_spot_area_[um²]-_sum_per_cell,well_id,cell_lbl,growth
47472,3,17,1,0,1,11,2042,621,_1959_512_2119_701_,142.33,68.72,WT,8,0.0,0.0,2039,616,9.36895,1,0,113.38,110.669,0.0414261,0.0408741,1.4108,0.909581,1.46273,0.878049,112.867,418.426,1.01351,0,0.0,0,0.0,15,w15_f1_c11,0
47637,3,17,1,1,1,11,2056,595,_1977_516_2136_668_,144.9,72.48,WT,8,2.6694,-3.7075,2057,591,8.48924,1,0,112.961,109.975,0.0425134,0.0402871,1.38643,0.889576,1.4605,0.879295,112.685,726.906,1.05526,0,0.0,0,0.0,15,w15_f1_c11,0
48855,3,17,1,2,1,11,2070,577,_2002_521_2145_629_,147.89,74.71,WT,8,5.63539,-5.93199,2077,576,9.58888,1,0,112.815,109.484,0.0428915,0.0422728,1.40412,0.911562,1.45919,0.879478,112.392,740.289,1.01463,0,0.0,0,0.0,15,w15_f1_c11,0
49041,3,17,1,3,1,11,2070,572,_2013_520_2127_623_,146.85,74.96,WT,8,4.5973,-6.22859,2070,574,5.82811,1,0,112.923,110.325,0.0420603,0.0416633,1.42351,0.906324,1.45348,0.909043,112.506,739.422,1.00953,0,0.0,0,0.0,15,w15_f1_c11,0
49226,3,17,1,4,1,11,2019,568,_1956_507_2070_618_,138.14,76.06,WT,8,-4.1524,-7.26669,2011,567,3.62882,1,0,114.191,111.249,0.0408195,0.0400486,1.41114,0.896252,1.43383,0.895859,114.015,801.703,1.01925,0,0.0,0,0.0,15,w15_f1_c11,0
49412,3,17,1,5,1,11,2004,574,_1950_522_2057_621_,136.98,74.78,WT,8,-5.3388,-6.08029,2003,575,3.56284,1,0,114.163,110.979,0.0425372,0.0402411,1.40608,0.91047,1.44208,0.896506,113.996,956.838,1.05706,0,0.0,0,0.0,15,w15_f1_c11,0
49598,3,17,1,6,1,11,1995,575,_1950_529_2058_621_,137.05,74.18,WT,8,-5.1905,-5.48709,2004,579,3.45288,1,0,114.025,110.614,0.0427636,0.0406893,1.38335,0.875643,1.44174,0.886945,113.761,856.726,1.05098,0,0.0,0,0.0,15,w15_f1_c11,0
49781,3,17,1,7,1,11,1996,569,_1943_522_2052_616_,136.19,75.2,WT,8,-6.08029,-6.52519,1998,572,6.48789,1,0,114.29,111.156,0.0416972,0.0402464,1.39048,0.909196,1.45556,0.882449,114.068,784.36,1.03605,0,0.0,0,0.0,15,w15_f1_c11,0
49962,3,17,1,8,1,11,1979,568,_1936_524_2036_611_,134.08,75.73,WT,8,-8.15649,-6.97009,1984,569,7.85145,1,0,114.34,110.617,0.0418097,0.0401951,1.38486,0.904893,1.47925,0.847906,114.052,872.663,1.04017,0,0.0,0,0.0,15,w15_f1_c11,0
50135,3,17,1,9,1,11,1976,567,_1936_516_2037_611_,133.99,76.02,WT,8,-8.30479,-7.26669,1983,567,13.3057,1,0,113.911,110.301,0.0404588,0.0391765,1.40794,0.891058,1.48419,0.854343,113.603,621.006,1.03273,0,0.0,0,0.0,15,w15_f1_c11,0
