row,col,plane,t,field,N,x,y,bbox,pos_x_um,pos_y_um,Compound,bact,Tracked Track Point X,Tracked Track Point Y,Tracked Bacteria Area [um²]- Sum per Cell ,Tracked IF,Tracked NI,Tracked Intensity Tracked cell region dsRed Mean,Tracked Intensity Tracked cell region dsRed StdDev,Tracked red sdmean,well_id,cell_lbl
3,3,1,-1,1,1,713,251,"[575,1,931,412]",-32.11,876.2,NT,NI,711,230,0,0,1,146.011,49.855,0.341446,1,w1_f1_c1
3,3,1,-2,1,1,739,227,"[572,1,926,379]",-30.77,879.52,NT,NI,755,153,0,0,1,141.77,45.1638,0.318571,1,w1_f1_c1
3,3,1,-3,1,1,781,133,"[614,1,934,328]",-28.87,882.18,NT,NI,775,134,0,0,1,140.767,49.5482,0.351986,1,w1_f1_c1
3,3,1,-4,1,1,827,81,"[649,1,949,305]",-25.97,883.74,NT,NI,794,121,0,0,1,145.834,60.1274,0.412301,1,w1_f1_c1
3,3,1,-1,1,10,1047,786,"[887,694,1380,940]",5.39,819.95,NT,NI,1278,850,0,0,1,202.726,87.3655,0.430954,1,w1_f1_c10
3,3,1,-2,1,10,1227,857,"[927,711,1370,939]",7.81,818.41,NT,NI,1259,845,0,0,1,181.507,73.221,0.403406,1,w1_f1_c10
3,3,1,-3,1,10,1262,865,"[953,737,1408,960]",13.47,817.28,NT,NI,1277,844,0,0,1,168.282,71.5911,0.425423,1,w1_f1_c10
3,3,1,-4,1,10,1341,880,"[1008,776,1552,1034]",21.28,814,NT,NI,1348,869,0,0,1,171.874,75.6135,0.439935,1,w1_f1_c10
3,3,1,0,1,10,1358,946,"[958,799,1486,1010]",13.79,811.5,NT,NI,1368,946,0,0,1,260.184,141.072,0.542199,1,w1_f1_c10
3,3,1,1,1,10,1303,949,"[927,800,1447,1047]",11.01,811.16,NT,NI,1305,949,0,0,1,264.803,160.283,0.60529,1,w1_f1_c10
3,3,1,10,1,10,1252,916,"[890,788,1382,1030]",7.16,813.34,NT,NI,1254,915,0,0,1,358.967,282.238,0.78625,1,w1_f1_c10
3,3,1,11,1,10,1241,920,"[885,778,1358,1014]",5.86,813.46,NT,NI,1243,919,0,0,1,353.863,268.03,0.75744,1,w1_f1_c10
3,3,1,2,1,10,1284,940,"[909,783,1452,1089]",10.71,811.18,NT,NI,1289,940,0,0,1,247.915,134.076,0.540814,1,w1_f1_c10
3,3,1,3,1,10,1279,937,"[904,799,1442,1075]",9.99,811.55,NT,NI,1280,937,0,0,1,294.496,203.646,0.691507,1,w1_f1_c10
3,3,1,4,1,10,1263,929,"[894,783,1431,1062]",8.51,812.33,NT,NI,1269,929,0,0,1,281.334,185.423,0.659086,1,w1_f1_c10
3,3,1,5,1,10,1253,923,"[883,776,1425,1070]",7.94,812.8,NT,NI,1259,923,0,0,1,288.826,188.354,0.652135,1,w1_f1_c10
3,3,1,6,1,10,1249,926,"[900,778,1405,1035]",6.9,813.01,NT,NI,1246,925,0,0,1,305.525,219.529,0.718529,1,w1_f1_c10
3,3,1,7,1,10,1253,931,"[873,777,1404,1074]",6.86,812.65,NT,NI,1249,930,0,0,1,335.055,255.726,0.763236,1,w1_f1_c10
3,3,1,8,1,10,1251,924,"[881,780,1402,1019]",6.57,813.21,NT,NI,1250,924,0,0,1,319.186,237.369,0.743671,1,w1_f1_c10
3,3,1,9,1,10,1250,919,"[877,778,1428,1066]",7.53,812.84,NT,NI,1258,919,0,0,1,344,276.408,0.803512,1,w1_f1_c10
3,3,1,-1,1,11,1113,976,"[971,864,1252,1121]",3.78,804.21,NT,NI,1085,976,0,0,1,173.172,78.8965,0.455596,1,w1_f1_c11
3,3,1,-2,1,11,1109,986,"[983,863,1254,1136]",3.29,803.91,NT,NI,1073,969,0,0,1,179.359,83.6547,0.46641,1,w1_f1_c11
3,3,1,-3,1,11,1119,989,"[979,845,1257,1134]",3.51,804.15,NT,NI,1079,957,0,0,1,181.506,83.7003,0.461144,1,w1_f1_c11
