rower,coler_name,parameter_1,t,field,N,x,y,bbox,pos_x_um,pos_y_um,Bacteria,age_s,disp_x_um,disp_y_um,track_point_x,track_point_y,speed_um_s,well_id,cell_lbl
4,5,1,0,1,1,1275,154,"[1072,1,1460,309]",16.56,486.14,Lpp WT,0.0,0.0,0.0,1257,134,,1,w1_f1_c1
4,5,1,0,1,10,286,1789,"[195,1667,374,1962]",-74.69,331.02,Lpp WT,0.0,0.0,0.0,280,1793,0.00234771,1,w1_f1_c10
4,5,1,1,1,10,230,1717,"[154,1626,314,1798]",-78.81,338.45,Lpp WT,3599.36,-4.11173,-7.38242,236,1714,0.00178563,1,w1_f1_c10
4,5,1,10,1,10,215,1580,"[95,1454,344,1700]",-80.87,351.58,Lpp WT,36084.0,-6.16759,-20.5586,214,1573,0.00203918,1,w1_f1_c10
4,5,1,11,1,10,214,1566,"[95,1458,310,1707]",-81.99,350.85,Lpp WT,39605.6,-7.28897,-19.8111,202,1581,0.000320643,1,w1_f1_c10
4,5,1,12,1,10,203,1574,"[74,1445,314,1712]",-82.71,350.27,Lpp WT,43201.6,-8.03656,-19.2504,194,1587,0.000462624,1,w1_f1_c10
4,5,1,13,1,10,198,1603,"[88,1505,299,1721]",-81.93,348.05,Lpp WT,46803.2,-7.19553,-17.0076,203,1611,0.000345521,1,w1_f1_c10
4,5,1,14,1,10,203,1602,"[82,1494,311,1722]",-82.03,348.05,Lpp WT,50404.4,-7.28897,-17.0076,202,1611,5.40287e-05,1,w1_f1_c10
4,5,1,15,1,10,205,1600,"[88,1496,316,1721]",-81.74,347.93,Lpp WT,54002.3,-7.00863,-16.9142,205,1612,8.21342e-05,1,w1_f1_c10
4,5,1,2,1,10,218,1673,"[127,1591,321,1759]",-80.45,342.59,Lpp WT,7200.91,-5.70035,-11.4942,219,1670,0.000705669,1,w1_f1_c10
4,5,1,3,1,10,195,1652,"[126,1584,324,1781]",-79.88,342.22,Lpp WT,10800.8,-5.13966,-11.1204,225,1674,0.000441962,1,w1_f1_c10
4,5,1,4,1,10,207,1689,"[97,1582,305,1792]",-82.08,341.08,Lpp WT,14399.2,-7.38242,-9.99898,201,1686,0.000628496,1,w1_f1_c10
4,5,1,5,1,10,203,1704,"[93,1595,330,1831]",-81.66,339.12,Lpp WT,18000.1,-6.91518,-8.03656,206,1707,0.00061791,1,w1_f1_c10
4,5,1,6,1,10,164,1695,"[65,1590,292,1837]",-84.04,338.97,Lpp WT,21598.8,-9.34484,-7.94311,180,1708,0.000460707,1,w1_f1_c10
4,5,1,7,1,10,153,1646,"[71,1571,300,1839]",-83.22,339.28,Lpp WT,25202.0,-8.5038,-8.22346,189,1705,0.000303771,1,w1_f1_c10
4,5,1,8,1,10,207,1727,"[73,1573,310,1857]",-83.67,338.12,Lpp WT,28802.0,-8.97104,-7.00863,184,1718,0.000250674,1,w1_f1_c10
4,5,1,9,1,10,183,1691,"[58,1577,307,1846]",-83.51,338.56,Lpp WT,32401.9,-8.78415,-7.47587,186,1713,0.00190128,1,w1_f1_c10
4,5,1,1,1,11,728,72,"[698,42,762,102]",-32.69,491.89,Lpp WT,0.0,0.0,0.0,730,72,,1,w1_f1_c11
4,5,1,1,1,12,2088,700,"[1964,623,2158,791]",94.02,433.05,Lpp WT,0.0,0.0,0.0,2086,702,0.0,1,w1_f1_c12
4,5,1,10,1,12,2076,534,"[1952,424,2158,715]",93.53,445.55,Lpp WT,32484.6,-0.56069,-12.5221,2080,568,0.00183392,1,w1_f1_c12
4,5,1,11,1,12,2087,582,"[2002,457,2158,687]",95.34,445.26,Lpp WT,36006.3,1.30828,-12.2417,2100,571,0.000318037,1,w1_f1_c12
4,5,1,12,1,12,2085,585,"[2012,456,2158,692]",95.39,444.88,Lpp WT,39602.2,1.30828,-11.8679,2100,575,0.000181767,1,w1_f1_c12
4,5,1,13,1,12,2086,592,"[1985,461,2158,699]",94.81,444.17,Lpp WT,43203.8,0.747587,-11.1204,2094,583,0.000129739,1,w1_f1_c12
4,5,1,14,1,12,2086,592,"[1985,461,2158,699]",94.81,444.17,Lpp WT,46805.0,0.747587,-11.1204,2094,583,0.000143375,1,w1_f1_c12
4,5,1,15,1,12,2077,574,"[1947,456,2158,718]",93.81,444.07,Lpp WT,50402.9,-0.280345,-11.0269,2083,584,0.000338111,1,w1_f1_c12
4,5,1,16,1,12,2087,583,"[1984,453,2158,693]",94.89,444.87,Lpp WT,54003.5,0.841035,-11.8679,2095,575,0.000277772,1,w1_f1_c12
4,5,1,17,1,12,2085,584,"[2006,453,2158,689]",95.28,445.36,Lpp WT,57603.4,1.21483,-12.3352,2099,570,0.000166219,1,w1_f1_c12
4,5,1,2,1,12,2088,700,"[1964,623,2158,791]",94.02,433.05,Lpp WT,3601.56,0.0,0.0,2086,702,0.000342832,1,w1_f1_c12
4,5,1,3,1,12,2063,709,"[1928,538,2158,828]",91.91,434.2,Lpp WT,7201.41,-2.14931,-1.21483,2063,689,0.000505648,1,w1_f1_c12
4,5,1,4,1,12,2063,714,"[1950,543,2158,840]",92.9,433.64,Lpp WT,10799.8,-1.12138,-0.654139,2074,695,0.000241596,1,w1_f1_c12
4,5,1,5,1,12,2061,711,"[1926,542,2158,849]",92.34,433.61,Lpp WT,14400.8,-1.68207,-0.56069,2068,696,9.73078e-05,1,w1_f1_c12
4,5,1,6,1,12,2063,666,"[1926,549,2158,847]",92.45,433.62,Lpp WT,17999.4,-1.58862,-0.654139,2069,695,9.72766e-05,1,w1_f1_c12
4,5,1,7,1,12,2064,660,"[1928,546,2158,839]",92.53,434.19,Lpp WT,21602.7,-1.49517,-1.21483,2070,689,0.00016594,1,w1_f1_c12
4,5,1,8,1,12,2064,660,"[1969,546,2158,835]",93.11,434.54,Lpp WT,25202.6,-0.934484,-1.49517,2076,686,0.000222573,1,w1_f1_c12
4,5,1,9,1,12,2072,703,"[1985,569,2158,812]",94.05,434.26,Lpp WT,28802.6,0.0,-1.21483,2086,689,0.00168866,1,w1_f1_c12
4,5,1,1,1,13,894,1552,"[766,1439,987,1649]",-18.51,354.01,Lpp WT,0.0,0.0,0.0,881,1547,0.000518933,1,w1_f1_c13
4,5,1,2,1,13,894,1537,"[782,1413,1011,1651]",-17.46,355.55,Lpp WT,3601.56,1.12138,-1.49517,893,1531,0.000575257,1,w1_f1_c13
4,5,1,3,1,13,886,1536,"[739,1425,973,1632]",-19.66,355.13,Lpp WT,7201.41,-1.12138,-1.12138,869,1535,0.000630132,1,w1_f1_c13
4,5,1,4,1,13,851,1505,"[733,1409,929,1695]",-21.45,353.75,Lpp WT,10799.8,-2.8969,0.280345,850,1550,0.000628655,1,w1_f1_c13
4,5,1,1,1,14,348,2013,"[237,1898,465,2140]",-67.84,310.24,Lpp WT,0.0,0.0,0.0,354,2016,0.000743,1,w1_f1_c14
4,5,1,2,1,14,379,2026,"[263,1918,569,2138]",-65.21,309.69,Lpp WT,3601.56,2.61655,0.56069,382,2022,0.00105282,1,w1_f1_c14
4,5,1,3,1,14,416,1994,"[257,1883,616,2107]",-61.46,312.87,Lpp WT,7201.41,6.35449,-2.61655,422,1988,0.00161642,1,w1_f1_c14
4,5,1,4,1,14,455,1966,"[361,1852,613,2077]",-55.41,315.72,Lpp WT,10799.8,12.4286,-5.51345,487,1957,0.00106839,1,w1_f1_c14
4,5,1,5,1,14,478,1950,"[323,1834,609,2061]",-55.85,316.58,Lpp WT,14400.8,11.9614,-6.35449,482,1948,0.00126762,1,w1_f1_c14
4,5,1,6,1,14,385,2009,"[251,1879,552,2114]",-62.63,312.12,Lpp WT,17999.4,5.13966,-1.86897,409,1996,0.00200916,1,w1_f1_c14
4,5,1,7,1,14,467,1953,"[378,1882,539,2023]",-57.82,316.07,Lpp WT,21602.7,9.99898,-5.88725,461,1953,0.00174995,1,w1_f1_c14
4,5,1,10,1,15,1061,648,"[827,446,1315,903]",-0.98,435.99,Lpp WT,28883.0,1.30828,-8.59725,1069,670,0.00115237,1,w1_f1_c15
4,5,1,11,1,15,1036,681,"[875,427,1196,883]",-4.49,436.78,Lpp WT,32404.7,-2.24276,-9.34484,1031,662,0.00114114,1,w1_f1_c15
4,5,1,12,1,15,1061,658,"[840,450,1322,912]",-0.23,435.49,Lpp WT,36000.7,2.05586,-8.03656,1077,676,0.0006892,1,w1_f1_c15
4,5,1,13,1,15,1068,668,"[839,462,1321,917]",-0.19,435.01,Lpp WT,39602.3,2.05586,-7.56932,1077,681,0.0013962,1,w1_f1_c15
4,5,1,14,1,15,966,575,"[774,426,1328,809]",-2.74,444.2,Lpp WT,43203.5,-0.467242,-16.8207,1050,582,0.00148001,1,w1_f1_c15
4,5,1,15,1,15,1013,552,"[782,428,1327,807]",-1.7,444.48,Lpp WT,46801.4,0.56069,-17.1011,1061,579,0.000395005,1,w1_f1_c15
4,5,1,16,1,15,1007,560,"[829,426,1326,887]",-1.8,442.74,Lpp WT,50402.0,0.467242,-15.3255,1060,598,0.00123744,1,w1_f1_c15
4,5,1,17,1,15,1025,651,"[835,457,1295,909]",-1.15,435.59,Lpp WT,54001.8,1.12138,-8.22346,1067,674,0.00198124,1,w1_f1_c15
4,5,1,2,1,15,1040,761,"[933,585,1173,909]",-2.28,427.38,Lpp WT,0.0,0.0,0.0,1055,762,0.000930547,1,w1_f1_c15
4,5,1,3,1,15,1061,800,"[934,641,1257,932]",-0.58,424.53,Lpp WT,3599.86,1.68207,2.8969,1073,793,0.000810311,1,w1_f1_c15
4,5,1,4,1,15,1039,776,"[912,638,1210,947]",-2.97,425.33,Lpp WT,7198.25,-0.654139,2.05586,1048,784,0.000565935,1,w1_f1_c15
4,5,1,5,1,15,1035,773,"[865,632,1207,950]",-4.49,425.4,Lpp WT,10799.2,-2.24276,1.96242,1031,783,0.000738268,1,w1_f1_c15
4,5,1,6,1,15,1012,799,"[891,671,1220,991]",-3.45,421.94,Lpp WT,14397.9,-1.12138,5.51345,1043,821,0.00159434,1,w1_f1_c15
4,5,1,7,1,15,1029,664,"[839,547,1263,1003]",-3.57,429.65,Lpp WT,18001.1,-1.30828,-2.24276,1041,738,0.00136368,1,w1_f1_c15
4,5,1,8,1,15,1003,662,"[803,535,1269,957]",-3.42,431.75,Lpp WT,21601.1,-1.12138,-4.29863,1043,716,0.000380313,1,w1_f1_c15
4,5,1,9,1,15,1001,661,"[816,541,1264,918]",-3.8,432.27,Lpp WT,25201.0,-1.49517,-4.85932,1039,710,0.000734179,1,w1_f1_c15
4,5,1,3,1,16,560,28,"[523,1,617,56]",-47.68,496.23,Lpp WT,0.0,0.0,0.0,569,26,,1,w1_f1_c16
4,5,1,7,1,17,1065,864,"[960,779,1242,1016]",1.97,414.36,Lpp WT,0.0,0.0,0.0,1101,902,0.000911878,1,w1_f1_c17
4,5,1,8,1,17,1032,873,"[896,774,1243,1016]",-1.28,414.07,Lpp WT,3599.92,-3.27069,0.280345,1066,905,0.00056683,1,w1_f1_c17
4,5,1,9,1,17,1046,869,"[897,772,1243,1016]",-0.55,414.35,Lpp WT,7199.88,-2.52311,0.0,1074,902,0.000221787,1,w1_f1_c17
4,5,1,10,1,18,637,1008,"[538,710,719,1133]",-41.57,408.75,Lpp WT,7281.99,6.35449,-15.3255,635,962,0.00164569,1,w1_f1_c18
4,5,1,11,1,18,641,1018,"[572,704,719,1111]",-40.99,412.25,Lpp WT,10803.7,6.91518,-18.8766,641,924,0.00164853,1,w1_f1_c18
4,5,1,12,1,18,685,981,"[542,885,806,1146]",-37.95,404.68,Lpp WT,14399.6,9.90553,-11.3073,673,1005,0.00226326,1,w1_f1_c18
4,5,1,8,1,18,584,1119,"[416,1004,704,1257]",-47.85,393.42,Lpp WT,0.0,0.0,0.0,567,1126,0.00231436,1,w1_f1_c18
4,5,1,9,1,18,659,899,"[423,827,735,1256]",-44.66,401.06,Lpp WT,3599.96,3.27069,-7.66277,602,1044,0.00227844,1,w1_f1_c18
4,5,1,8,1,19,713,1106,"[645,1041,825,1199]",-32.88,393.99,Lpp WT,0.0,0.0,0.0,728,1120,,1,w1_f1_c19
4,5,1,0,1,2,681,120,"[582,1,792,207]",-36.55,487.65,Lpp WT,0.0,0.0,0.0,688,117,0.00156207,1,w1_f1_c2
4,5,1,1,1,2,634,86,"[556,1,712,210]",-42.04,489.15,Lpp WT,3599.36,-5.42001,-1.49517,630,101,0.000882154,1,w1_f1_c2
4,5,1,2,1,2,638,88,"[565,7,727,184]",-41.41,489.64,Lpp WT,7200.91,-4.85932,-1.96242,636,96,0.000287143,1,w1_f1_c2
4,5,1,3,1,2,623,79,"[571,21,683,187]",-42.77,489.36,Lpp WT,10800.8,-6.16759,-1.68207,622,99,0.000316344,1,w1_f1_c2
4,5,1,4,1,2,619,90,"[555,17,702,166]",-42.67,490.32,Lpp WT,14399.2,-6.07414,-2.61655,623,89,0.000600968,1,w1_f1_c2
4,5,1,5,1,2,659,137,"[430,1,816,273]",-41.26,487.24,Lpp WT,18000.1,-4.67242,0.467242,638,122,0.000496459,1,w1_f1_c2
4,5,1,6,1,2,655,137,"[429,1,816,273]",-41.28,487.37,Lpp WT,21598.8,-4.67242,0.280345,638,120,0.000202436,1,w1_f1_c2
4,5,1,7,1,2,654,132,"[488,1,815,264]",-40.03,487.74,Lpp WT,25202.0,-3.45759,-0.0934484,651,116,0.000249842,1,w1_f1_c2
4,5,1,8,1,2,661,133,"[476,1,829,265]",-39.7,488.13,Lpp WT,28802.0,-3.0838,-0.467242,655,112,0.000131466,1,w1_f1_c2
4,5,1,9,1,2,653,131,"[499,1,805,263]",-40.02,487.93,Lpp WT,32401.9,-3.45759,-0.280345,651,114,0.000116088,1,w1_f1_c2
4,5,1,10,1,20,969,194,"[904,145,1041,252]",-9.98,480.05,Lpp WT,0.0,0.0,0.0,973,199,0.00116302,1,w1_f1_c20
4,5,1,11,1,20,941,234,"[695,1,1207,504]",-12.27,476.69,Lpp WT,3521.67,-2.33621,3.36414,948,235,0.000943057,1,w1_f1_c20
4,5,1,12,1,20,949,229,"[718,1,1253,478]",-9.63,476.61,Lpp WT,7117.62,0.280345,3.36414,976,235,0.000529803,1,w1_f1_c20
4,5,1,13,1,20,950,234,"[710,1,1242,484]",-10.43,475.72,Lpp WT,10719.2,-0.467242,4.29863,968,245,0.000340693,1,w1_f1_c20
4,5,1,14,1,20,931,216,"[702,1,1239,461]",-11.27,476.67,Lpp WT,14320.4,-1.30828,3.36414,959,235,0.000215684,1,w1_f1_c20
4,5,1,15,1,20,934,218,"[701,1,1243,457]",-11.52,476.57,Lpp WT,17918.3,-1.58862,3.45759,956,236,0.000118941,1,w1_f1_c20
4,5,1,16,1,20,941,224,"[698,1,1236,470]",-12.07,476.58,Lpp WT,21518.9,-2.14931,3.45759,950,236,0.000172351,1,w1_f1_c20
4,5,1,17,1,20,943,232,"[694,1,1235,500]",-12.32,475.93,Lpp WT,25118.8,-2.33621,4.11173,948,243,0.000188985,1,w1_f1_c20
4,5,1,10,1,21,1557,1470,"[1302,1149,1750,1715]",42.87,365.27,Lpp WT,0.0,0.0,0.0,1538,1427,,1,w1_f1_c21
4,5,1,10,1,22,664,2089,"[535,2005,792,2158]",-38.33,302.13,Lpp WT,0.0,0.0,0.0,669,2103,,1,w1_f1_c22
4,5,1,12,1,23,690,70,"[552,1,803,139]",-36.81,493.41,Lpp WT,0.0,0.0,0.0,686,56,9.35512e-05,1,w1_f1_c23
4,5,1,13,1,23,685,72,"[548,1,803,144]",-37.1,493.18,Lpp WT,3601.59,-0.280345,0.186897,683,58,0.000104799,1,w1_f1_c23
4,5,1,14,1,23,683,71,"[550,1,799,142]",-37.43,493.4,Lpp WT,7202.8,-0.654139,0.0,679,56,0.000111571,1,w1_f1_c23
4,5,1,15,1,23,682,70,"[554,1,799,140]",-37.05,493.32,Lpp WT,10800.7,-0.280345,0.0934484,683,57,0.00010709,1,w1_f1_c23
4,5,1,12,1,24,89,403,"[1,211,183,626]",-94.14,458.41,Lpp WT,0.0,0.0,0.0,72,430,0.000116036,1,w1_f1_c24
4,5,1,13,1,24,87,437,"[1,228,176,636]",-94.51,458.27,Lpp WT,3601.59,-0.373794,0.186897,68,432,0.000330473,1,w1_f1_c24
4,5,1,14,1,24,81,424,"[1,189,163,604]",-94.54,460.24,Lpp WT,7202.8,-0.373794,-1.77552,68,411,0.000441838,1,w1_f1_c24
4,5,1,15,1,24,78,429,"[1,156,158,631]",-95.17,461.22,Lpp WT,10800.7,-1.02793,-2.80345,61,400,0.000391469,1,w1_f1_c24
4,5,1,16,1,24,76,408,"[1,215,155,616]",-95.36,459.68,Lpp WT,14401.3,-1.21483,-1.21483,59,417,0.000448802,1,w1_f1_c24
4,5,1,17,1,24,79,377,"[1,155,157,616]",-95.03,461.27,Lpp WT,18001.2,-0.841035,-2.80345,63,400,0.000453355,1,w1_f1_c24
4,5,1,12,1,25,1520,1001,"[1363,801,1676,1183]",41.86,405.09,Lpp WT,0.0,0.0,0.0,1527,1001,0.000415953,1,w1_f1_c25
4,5,1,13,1,25,1519,1004,"[1350,805,1697,1193]",41.71,403.56,Lpp WT,3601.59,-0.0934484,1.49517,1526,1017,0.000295019,1,w1_f1_c25
4,5,1,14,1,25,1516,1011,"[1360,801,1690,1200]",42.02,404.11,Lpp WT,7202.8,0.186897,0.934484,1529,1011,0.000178863,1,w1_f1_c25
4,5,1,15,1,25,1526,1030,"[1362,800,1692,1230]",42.07,403.48,Lpp WT,10800.7,0.280345,1.58862,1530,1018,0.000262541,1,w1_f1_c25
4,5,1,16,1,25,1519,1008,"[1360,798,1685,1185]",41.96,404.74,Lpp WT,14401.3,0.0934484,0.373794,1528,1005,0.000183678,1,w1_f1_c25
