,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
1975,0,Lpp WT,0.440028,0.243206,1.0047288573273079,250.781,7.0,10.0862,1.0,w1_f10_c4,,1
1976,1,Lpp WT,0.453034,0.2273489999999999,1.0010490639122014,435.001,6.0,8.7588,1.0,w1_f10_c4,,1
1977,2,Lpp WT,0.479976,0.129409,0.9942220787604906,249.71400000000003,4.0,0.5239560000000001,1.0,w1_f10_c4,,1
1978,3,Lpp WT,0.508922,0.103767,1.481552614590058,268.108,0.0,0.0,0.0,w1_f10_c4,,1
1979,4,Lpp WT,0.512632,0.0987995,2.4598531310522915,766.745,2.0,5.44041,1.0,w1_f10_c4,,1
1980,5,Lpp WT,0.5262899999999999,0.0633780999999999,2.757093285990962,871.8330000000001,1.0,2.13075,1.0,w1_f10_c4,,1
1981,6,Lpp WT,0.522253,0.072662,4.347788896061975,774.6339999999999,0.0,0.0,0.0,w1_f10_c4,,1
1982,7,Lpp WT,0.521984,0.075525,4.830713363460297,841.0319999999999,0.0,0.0,0.0,w1_f10_c4,,1
1983,8,Lpp WT,0.522921,0.0673848,4.725637508069722,961.868,0.0,0.0,0.0,w1_f10_c4,,1
1984,9,Lpp WT,0.525641,0.0635908,4.712128792769529,894.64,0.0,0.0,0.0,w1_f10_c4,,1
1985,10,Lpp WT,0.523209,0.065042,4.521505810200129,723.39,1.0,2.50626,1.0,w1_f10_c4,,1
1986,11,Lpp WT,0.5266649999999999,0.0567996,4.091429954809555,592.146,0.0,0.0,0.0,w1_f10_c4,,1
1987,12,Lpp WT,0.522706,0.0638741,4.514848289218851,871.692,2.0,0.288176,1.0,w1_f10_c4,,1
1988,13,Lpp WT,0.520903,0.0649793999999999,4.705100064557779,872.944,1.0,0.261978,1.0,w1_f10_c4,,1
1989,14,Lpp WT,0.523257,0.0585129,3.828203679793415,764.413,0.0,0.0,0.0,w1_f10_c4,,1
1990,15,Lpp WT,0.52546,0.0546121999999999,4.3825129115558425,782.436,0.0,0.0,0.0,w1_f10_c4,,1
1991,16,Lpp WT,0.512111,0.0888972,4.422659780503551,782.0169999999999,1.0,0.0349304,1.0,w1_f10_c4,,1
1992,17,Lpp WT,0.523358,0.0680881,4.647409619109102,861.563,1.0,0.174652,1.0,w1_f10_c4,,1
1993,0,Lpp WT,0.348465,0.509359,0.8113136293405206,237.929,1.0,2.91669,1.0,w1_f10_c5,,1
1994,1,Lpp WT,0.373509,0.466402,1.0903434076993561,407.761,2.0,3.64149,1.0,w1_f10_c5,,1
1995,2,Lpp WT,0.351031,0.4250609999999999,1.0983429629601231,579.857,2.0,2.4102,1.0,w1_f10_c5,,1
1996,3,Lpp WT,0.361344,0.406853,1.0847477446736726,747.187,4.0,5.8246400000000005,1.0,w1_f10_c5,,1
1997,4,Lpp WT,0.382643,0.338949,1.0681735403159949,883.2,4.0,6.09535,1.0,w1_f10_c5,,1
1998,5,Lpp WT,0.392352,0.319605,1.111713894650477,1014.81,4.0,5.5801300000000005,1.0,w1_f10_c5,,1
1999,6,Lpp WT,0.399534,0.306419,1.1356493001108015,1072.71,4.0,4.84659,1.0,w1_f10_c5,,1
2000,7,Lpp WT,0.401842,0.294095,1.121329463590809,1132.97,7.0,6.22634,1.0,w1_f10_c5,,1
2001,8,Lpp WT,0.405186,0.284806,1.021452917067635,1193.59,4.0,5.00378,1.0,w1_f10_c5,,1
2002,9,Lpp WT,0.519771,0.0556663,2.5719519068194625,1626.81,4.0,5.53647,1.0,w1_f10_c5,,1
2003,10,Lpp WT,0.512716,0.0907244,3.1520030518312905,1313.48,3.0,8.03399,1.0,w1_f10_c5,,1
2004,11,Lpp WT,0.518459,0.073014,3.4553708013357514,1275.05,7.0,5.25703,1.0,w1_f10_c5,,1
2005,12,Lpp WT,0.51451,0.085327,3.521512343430703,1721.67,5.0,8.14752,1.0,w1_f10_c5,,1
2006,13,Lpp WT,0.516317,0.072149,3.7907137681298324,1850.8,7.0,5.606330000000001,1.0,w1_f10_c5,,1
2007,14,Lpp WT,0.512354,0.084502,4.01979664681954,1918.1,4.0,7.8768,1.0,w1_f10_c5,,1
2008,15,Lpp WT,0.5165489999999999,0.0714681,4.2250418860010654,2021.53,4.0,7.003539999999999,1.0,w1_f10_c5,,1
2009,16,Lpp WT,0.511323,0.0796575,4.418215905561924,2089.02,6.0,7.5799,1.0,w1_f10_c5,,1
2010,17,Lpp WT,0.512088,0.0900728,4.598565332576765,2287.16,5.0,5.84211,1.0,w1_f10_c5,,1
2011,0,Lpp WT,0.350905,0.423307,0.9913809244819194,223.06,2.0,3.03021,1.0,w1_f10_c6,,1
2012,1,Lpp WT,0.424695,0.216092,0.9962280219614287,279.073,5.0,11.1515,1.0,w1_f10_c6,,1
2013,2,Lpp WT,0.448769,0.183976,1.012391053556652,322.111,6.0,8.53175,1.0,w1_f10_c6,,1
2014,3,Lpp WT,0.4480689999999999,0.155097,1.005206477292632,390.643,1.0,1.22256,1.0,w1_f10_c6,,1
2015,4,Lpp WT,0.4497649999999999,0.227655,1.5716011427674057,415.951,2.0,4.2964400000000005,1.0,w1_f10_c6,,1
2016,5,Lpp WT,0.442746,0.195767,1.0013287993090245,383.6880000000001,3.0,1.7115900000000002,1.0,w1_f10_c6,,1
2017,6,Lpp WT,0.4444869999999999,0.194686,1.00960963500299,401.776,8.0,6.75903,1.0,w1_f10_c6,,1
2018,7,Lpp WT,0.395878,0.317666,1.0188508301975683,388.801,4.0,14.6708,1.0,w1_f10_c6,,1
2019,8,Lpp WT,0.398455,0.294544,1.0257545466076359,386.202,6.0,22.3293,1.0,w1_f10_c6,,1
2020,9,Lpp WT,0.405496,0.2700369999999999,1.027711505590017,416.201,11.0,30.8086,1.0,w1_f10_c6,,1
2021,10,Lpp WT,0.399733,0.268816,1.0447624167235434,479.141,7.0,41.4624,1.0,w1_f10_c6,,1
2022,11,Lpp WT,0.429279,0.221262,1.0653104860385474,507.741,4.0,44.8856,1.0,w1_f10_c6,,1
2023,12,Lpp WT,0.387403,0.289579,1.1157474798113105,508.235,7.0,61.8705,1.0,w1_f10_c6,,1
2024,13,Lpp WT,0.403961,0.265502,1.1280328334229266,506.085,8.0,63.2677,1.0,w1_f10_c6,,1
2025,14,Lpp WT,0.412006,0.271167,1.2551989272965578,1553.99,7.0,63.8266,1.0,w1_f10_c6,,1
2026,15,Lpp WT,0.478242,0.184279,2.162059155729239,2789.51,7.0,62.0189,1.0,w1_f10_c6,,1
2027,16,Lpp WT,0.507556,0.110991,6.002373718765665,4110.66,15.0,48.4659,1.0,w1_f10_c6,,1
2028,17,Lpp WT,0.497792,0.137321,7.865271830058648,4035.13,11.0,70.245,1.0,w1_f10_c6,,1
2029,0,Lpp WT,0.373178,0.481267,0.9873002795866676,231.826,4.0,10.0425,1.0,w1_f10_c7,,1
2030,1,Lpp WT,0.381625,0.39504,0.9774402482098565,316.902,4.0,9.47487,1.0,w1_f10_c7,,1
2031,2,Lpp WT,0.412204,0.325287,1.035259472203476,440.016,4.0,8.17371,1.0,w1_f10_c7,,1
2032,3,Lpp WT,0.412084,0.311538,0.9983522792010308,526.876,5.0,9.21289,1.0,w1_f10_c7,,1
2033,4,Lpp WT,0.413522,0.299192,0.991384523694751,618.201,4.0,9.84164,1.0,w1_f10_c7,,1
2034,5,Lpp WT,0.401578,0.310669,0.9867218244125613,689.503,3.0,8.924719999999999,1.0,w1_f10_c7,,1
2035,6,Lpp WT,0.4053489999999999,0.356327,0.9814017897052508,719.7080000000001,4.0,10.3656,1.0,w1_f10_c7,,1
2036,7,Lpp WT,0.416656,0.340275,0.9876596229524002,755.5010000000001,5.0,12.2431,1.0,w1_f10_c7,,1
2037,8,Lpp WT,0.412062,0.331207,0.9855824430090186,799.83,5.0,12.8282,1.0,w1_f10_c7,,1
2038,9,Lpp WT,0.4395239999999999,0.24343,2.14315889111896,1516.66,2.0,8.53175,1.0,w1_f10_c7,,1
2039,10,Lpp WT,0.4938109999999999,0.158334,8.50795375864396,2809.43,4.0,11.3611,1.0,w1_f10_c7,,1
2040,11,Lpp WT,0.5018050000000001,0.150239,10.727977072140373,2917.54,13.0,15.1947,1.0,w1_f10_c7,,1
2041,12,Lpp WT,0.493486,0.16329,12.47701517130161,3224.58,7.0,10.4442,1.0,w1_f10_c7,,1
2042,13,Lpp WT,0.4947689999999999,0.156901,12.98254993558113,3174.96,6.0,17.2905,1.0,w1_f10_c7,,1
2043,14,Lpp WT,0.500663,0.167001,13.378090572057111,3131.92,6.0,10.5752,1.0,w1_f10_c7,,1
2044,15,Lpp WT,0.500996,0.145368,12.913135314688379,3149.74,4.0,13.5355,1.0,w1_f10_c7,,1
2045,16,Lpp WT,0.515351,0.100809,13.51192406461169,3130.22,5.0,13.0814,1.0,w1_f10_c7,,1
2046,17,Lpp WT,0.5002909999999999,0.13642,13.685460616843564,3200.7,3.0,11.2214,1.0,w1_f10_c7,,1
2047,0,Lpp WT,0.482788,0.112971,0.7177548865989037,226.986,4.0,9.06444,1.0,w1_f10_c8,,1
2048,1,Lpp WT,0.475917,0.132633,0.7217648539532815,395.226,6.0,7.02101,1.0,w1_f10_c8,,1
2049,2,Lpp WT,0.486705,0.149565,1.5604802594478147,637.762,5.0,7.239330000000001,1.0,w1_f10_c8,,1
2050,3,Lpp WT,0.508025,0.1363319999999999,2.681942268178031,731.3439999999999,4.0,6.0254900000000005,1.0,w1_f10_c8,,1
2051,4,Lpp WT,0.485521,0.176021,2.972720514056351,1331.7,4.0,9.05571,1.0,w1_f10_c8,,1
2052,5,Lpp WT,0.486109,0.189864,2.1393380724447923,2105.06,5.0,8.287239999999999,1.0,w1_f10_c8,,1
2053,6,Lpp WT,0.489451,0.200164,3.370421466106507,2742.29,4.0,7.72835,1.0,w1_f10_c8,,1
2054,7,Lpp WT,0.4855649999999999,0.20368,4.706132810899306,3452.95,4.0,8.252310000000001,1.0,w1_f10_c8,,1
2055,8,Lpp WT,0.472963,0.2899989999999999,6.695767386769645,2605.79,6.0,15.8235,1.0,w1_f10_c8,,1
2056,9,Lpp WT,0.479581,0.2808239999999999,7.408897639485397,2141.54,7.0,16.1728,1.0,w1_f10_c8,,1
2057,10,Lpp WT,0.4828699999999999,0.278386,7.33262045024811,2030.11,6.0,11.3087,1.0,w1_f10_c8,,1
2058,11,Lpp WT,0.488435,0.2177889999999999,6.685757103301052,1899.91,5.0,9.85911,1.0,w1_f10_c8,,1
2059,12,Lpp WT,0.483913,0.189788,7.883654358375954,2326.66,4.0,7.911739999999999,1.0,w1_f10_c8,,1
2060,13,Lpp WT,0.493459,0.167251,7.747139849318891,2292.09,4.0,8.13005,1.0,w1_f10_c8,,1
2061,14,Lpp WT,0.49223,0.173954,7.885586167466384,2243.86,4.0,8.49682,1.0,w1_f10_c8,,1
2062,15,Lpp WT,0.4947609999999999,0.196463,7.524572026233578,2272.25,6.0,10.3569,1.0,w1_f10_c8,,1
2063,16,Lpp WT,0.483781,0.217476,7.350123811400795,2264.83,6.0,10.0512,1.0,w1_f10_c8,,1
2064,17,Lpp WT,0.4929159999999999,0.181842,7.882073787301966,2407.46,5.0,8.31343,1.0,w1_f10_c8,,1
2157,0,Lpp WT,0.400238,0.28021,0.9887907409870959,220.682,4.0,14.1031,1.0,w1_f11_c1,,0
2158,1,Lpp WT,0.4399659999999999,0.199451,1.0014979380071836,277.322,4.0,14.3302,1.0,w1_f11_c1,,0
2159,2,Lpp WT,0.455186,0.1824869999999999,1.0097113210057203,317.855,3.0,16.1466,1.0,w1_f11_c1,,0
2160,3,Lpp WT,0.4511239999999999,0.179009,1.0678275907941999,365.628,3.0,18.059,1.0,w1_f11_c1,,0
2161,4,Lpp WT,0.452997,0.181444,1.0905600638552613,416.172,3.0,18.1987,1.0,w1_f11_c1,,0
2162,5,Lpp WT,0.4500149999999999,0.193821,1.1379406678196087,536.539,6.0,15.2209,1.0,w1_f11_c1,,0
2163,6,Lpp WT,0.453655,0.189876,1.18753226021019,530.751,5.0,12.182,1.0,w1_f11_c1,,0
2164,7,Lpp WT,0.451963,0.181148,1.1402953305840096,558.124,7.0,8.69767,1.0,w1_f11_c1,,0
2165,8,Lpp WT,0.454668,0.203938,1.2388000532127177,473.776,8.0,10.2346,1.0,w1_f11_c1,,0
2166,9,Lpp WT,0.447787,0.187025,1.2273300518823997,533.2919999999999,8.0,10.5315,1.0,w1_f11_c1,,0
2167,10,Lpp WT,0.433472,0.244702,1.3134069442596779,473.942,5.0,8.994580000000001,1.0,w1_f11_c1,,0
2168,11,Lpp WT,0.44487,0.224661,1.313534654782493,583.424,5.0,10.2695,1.0,w1_f11_c1,,0
2169,12,Lpp WT,0.4408229999999999,0.229515,1.3524544366103497,532.007,5.0,8.50555,1.0,w1_f11_c1,,0
2170,13,Lpp WT,0.4444149999999999,0.2158389999999999,1.384493814021551,718.686,6.0,12.313,1.0,w1_f11_c1,,0
2171,14,Lpp WT,0.437881,0.249526,1.4685672475721696,677.138,5.0,10.9856,1.0,w1_f11_c1,,0
2172,15,Lpp WT,0.43735,0.245152,1.1579672741785285,820.03,5.0,7.5799,1.0,w1_f11_c1,,0
2173,16,Lpp WT,0.4428689999999999,0.217705,1.0512491685512837,805.4860000000001,9.0,8.13005,1.0,w1_f11_c1,,0
2174,17,Lpp WT,0.453269,0.189682,1.6136703472129836,750.2239999999999,2.0,0.0349304,1.0,w1_f11_c1,,0
2196,0,Lpp WT,0.333207,0.5481550000000001,1.0024623528032295,230.405,1.0,1.64173,1.0,w1_f11_c5,,1
2197,1,Lpp WT,0.461917,0.18811,1.0063736410995159,341.478,3.0,0.995516,1.0,w1_f11_c5,,1
2198,2,Lpp WT,0.460035,0.143306,0.9911640060972545,415.127,0.0,0.0,0.0,w1_f11_c5,,1
2199,3,Lpp WT,0.4837649999999999,0.110574,1.0142632204894553,468.515,1.0,1.99103,1.0,w1_f11_c5,,1
2200,4,Lpp WT,0.486966,0.107777,0.9929730816261578,547.736,0.0,0.0,0.0,w1_f11_c5,,1
2201,5,Lpp WT,0.498658,0.0723398999999999,0.9980317928273504,561.6669999999999,0.0,0.0,0.0,w1_f11_c5,,1
2202,6,Lpp WT,0.524509,0.0621905999999999,0.979949412887988,601.265,0.0,0.0,0.0,w1_f11_c5,,1
2203,7,Lpp WT,0.522087,0.0488489,1.0034003919663645,2199.33,0.0,0.0,0.0,w1_f11_c5,,1
2204,8,Lpp WT,0.524216,0.0504587,1.0463073083301226,3726.67,0.0,0.0,0.0,w1_f11_c5,,1
2205,9,Lpp WT,0.517896,0.0699213,1.7557999296470628,4203.95,2.0,5.03871,1.0,w1_f11_c5,,1
2206,10,Lpp WT,0.5224,0.0655909,3.4210372033032375,4558.81,2.0,3.851080000000001,1.0,w1_f11_c5,,1
2207,11,Lpp WT,0.517397,0.0704453999999999,4.5701603041927,4006.1,2.0,5.71985,1.0,w1_f11_c5,,1
2208,12,Lpp WT,0.516616,0.0737697,5.689383406757232,4435.19,3.0,7.16073,1.0,w1_f11_c5,,1
2209,13,Lpp WT,0.5165310000000001,0.0724095,4.592966381346421,3156.35,3.0,14.8542,1.0,w1_f11_c5,,1
2210,14,Lpp WT,0.5083810000000001,0.0926027,6.257776512169383,3900.15,3.0,15.3257,1.0,w1_f11_c5,,1
