,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
40920,0,Lpp dotA,0.324368,0.6092770000000001,1.0001459002042603,214.354,10.0,13.2474,1.0,w10_f10_c1,,0
40921,1,Lpp dotA,0.351986,0.463817,1.0027234704795254,264.43,10.0,16.8365,1.0,w10_f10_c1,,0
40922,2,Lpp dotA,0.346301,0.487212,0.9971306293162144,380.632,8.0,14.7232,1.0,w10_f10_c1,,0
40923,3,Lpp dotA,0.362718,0.421415,1.0018156469863502,351.149,9.0,19.9627,1.0,w10_f10_c1,,0
40924,4,Lpp dotA,0.358096,0.364917,1.0052848296209838,386.491,12.0,16.7317,1.0,w10_f10_c1,,0
40925,5,Lpp dotA,0.374629,0.380376,0.9994488214505722,422.165,10.0,13.2648,1.0,w10_f10_c1,,0
40926,6,Lpp dotA,0.385769,0.357157,1.0031530655254028,518.457,9.0,15.544,1.0,w10_f10_c1,,0
40927,7,Lpp dotA,0.39988,0.304525,1.0035583438705704,500.415,8.0,16.4697,1.0,w10_f10_c1,,0
40928,8,Lpp dotA,0.391026,0.312271,1.0051713516843368,539.085,11.0,18.4433,1.0,w10_f10_c1,,0
40929,9,Lpp dotA,0.386474,0.36361,1.0071572155756574,543.0369999999999,6.0,12.8457,1.0,w10_f10_c1,,0
40930,10,Lpp dotA,0.378605,0.350054,0.9996514606231559,362.42800000000005,9.0,12.3304,1.0,w10_f10_c1,,0
40931,11,Lpp dotA,0.386861,0.38387,1.0069951042375904,476.9330000000001,14.0,19.2379,1.0,w10_f10_c1,,0
40932,12,Lpp dotA,0.380459,0.404207,1.0094835132769187,476.672,11.0,15.544,1.0,w10_f10_c1,,0
40933,13,Lpp dotA,0.380738,0.404865,1.010350808935577,502.139,12.0,12.8282,1.0,w10_f10_c1,,0
40934,14,Lpp dotA,0.393857,0.3859889999999999,1.004482378497552,522.965,11.0,16.7491,1.0,w10_f10_c1,,0
40935,15,Lpp dotA,0.373354,0.4217109999999999,1.0137308303342736,491.145,9.0,15.4567,1.0,w10_f10_c1,,0
40936,16,Lpp dotA,0.375294,0.437184,1.0139821029082774,511.231,5.0,12.2693,1.0,w10_f10_c1,,0
40937,17,Lpp dotA,0.376682,0.421267,1.0090133903965244,510.0630000000001,6.0,10.645,1.0,w10_f10_c1,,0
40938,0,Lpp dotA,0.384471,0.340312,0.9989945065724937,389.888,6.0,4.64574,1.0,w10_f10_c2,,0
40939,1,Lpp dotA,0.377898,0.37128,0.9973595579098817,458.842,2.0,3.12627,1.0,w10_f10_c2,,0
40940,2,Lpp dotA,0.440314,0.236066,1.0036459355176248,498.355,2.0,2.61978,1.0,w10_f10_c2,,0
40941,3,Lpp dotA,0.445982,0.203928,1.0106925642534825,544.876,4.0,1.93864,1.0,w10_f10_c2,,0
40942,4,Lpp dotA,0.440115,0.200723,1.0127525995683737,522.35,2.0,5.69366,1.0,w10_f10_c2,,0
40943,5,Lpp dotA,0.438922,0.253242,1.007627035511085,578.625,6.0,5.44041,1.0,w10_f10_c2,,0
40944,6,Lpp dotA,0.439162,0.248405,1.0056977960892028,588.006,1.0,2.31414,1.0,w10_f10_c2,,0
40945,7,Lpp dotA,0.414518,0.27943,1.0060820090249167,576.215,1.0,2.21808,1.0,w10_f10_c2,,0
40946,8,Lpp dotA,0.421378,0.261259,1.0070139297626055,575.322,1.0,3.12627,1.0,w10_f10_c2,,0
40947,9,Lpp dotA,0.432954,0.24433,1.0137008697926886,563.521,2.0,4.59335,1.0,w10_f10_c2,,0
40948,10,Lpp dotA,0.477104,0.119072,0.9845006866784384,458.341,0.0,0.0,0.0,w10_f10_c2,,0
40949,11,Lpp dotA,0.4266359999999999,0.175418,0.9860538879079198,472.253,0.0,0.0,0.0,w10_f10_c2,,0
40950,12,Lpp dotA,0.4816859999999999,0.107244,0.9751733045582369,505.045,0.0,0.0,0.0,w10_f10_c2,,0
40951,13,Lpp dotA,0.468545,0.173888,0.9835687659407495,460.354,0.0,0.0,0.0,w10_f10_c2,,0
40952,14,Lpp dotA,0.495427,0.0686057,0.9820319141978943,492.994,0.0,0.0,0.0,w10_f10_c2,,0
40953,15,Lpp dotA,0.508977,0.131499,0.9866833431430254,415.994,0.0,0.0,0.0,w10_f10_c2,,0
40954,16,Lpp dotA,0.51388,0.0845316,0.9867242168595907,450.251,0.0,0.0,0.0,w10_f10_c2,,0
40955,17,Lpp dotA,0.51973,0.0654691,0.9843453665554902,422.224,0.0,0.0,0.0,w10_f10_c2,,0
40966,0,Lpp dotA,0.410933,0.270709,1.0034807046147491,226.359,3.0,3.78995,1.0,w10_f10_c4,,0
40967,1,Lpp dotA,0.355686,0.4523319999999999,0.9977930509260874,289.692,2.0,4.017,1.0,w10_f10_c4,,0
40968,2,Lpp dotA,0.392353,0.333446,0.9987262444591634,373.427,4.0,5.807180000000001,1.0,w10_f10_c4,,0
40969,3,Lpp dotA,0.387941,0.332829,1.0038909879784292,425.406,2.0,2.15695,1.0,w10_f10_c4,,0
40970,4,Lpp dotA,0.381556,0.297329,1.008540866100136,469.781,0.0,0.0,0.0,w10_f10_c4,,0
40971,5,Lpp dotA,0.395461,0.301842,1.0147594747300308,529.331,0.0,0.0,0.0,w10_f10_c4,,0
40972,6,Lpp dotA,0.391099,0.306053,1.01773604030967,567.2080000000001,1.0,0.995516,1.0,w10_f10_c4,,0
40973,7,Lpp dotA,0.3864059999999999,0.297151,1.0343082702936073,581.408,3.0,5.18716,1.0,w10_f10_c4,,0
40974,8,Lpp dotA,0.375689,0.314592,1.0376548953777425,609.262,7.0,0.733538,1.0,w10_f10_c4,,0
40975,9,Lpp dotA,0.391946,0.3060969999999999,1.0489980236677188,658.793,2.0,2.86429,1.0,w10_f10_c4,,0
40976,10,Lpp dotA,0.3653659999999999,0.350728,1.053269797513093,541.755,3.0,4.08686,1.0,w10_f10_c4,,0
40977,11,Lpp dotA,0.366056,0.373104,1.0622397181111949,664.352,5.0,3.5629,1.0,w10_f10_c4,,0
40978,12,Lpp dotA,0.3483699999999999,0.432551,1.0622075390238475,747.4889999999999,4.0,5.1784300000000005,1.0,w10_f10_c4,,0
40979,13,Lpp dotA,0.371269,0.363724,1.069085818944365,851.25,7.0,2.62851,1.0,w10_f10_c4,,0
