,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,intensity_whole_cell_egfp_mean,number_of_spots-_per_cell_,bacterial__area_[um²]-_sum_per_cell_,infected_cells,non_infected_cells,well_id,cell_lbl,growth
118241,5,7,1,0,1,1,678,30,_631_1_722_62_,-704.5,799.08,N_V_KCl,Lpp_WT_mCherry,220.084,3,4.28581,1,0,19,w19_f1_c1,0
118464,5,7,1,1,1,1,927,20,_901_1_981_52_,-665.87,799.7,N_V_KCl,Lpp_WT_mCherry,139.866,1,0.422248,1,0,19,w19_f1_c1,0
121194,5,7,1,2,1,1,941,16,_909_1_976_44_,-665.5,800.18,N_V_KCl,Lpp_WT_mCherry,137.875,0,0.0,0,1,19,w19_f1_c1,0
121473,5,7,1,3,1,1,950,17,_907_1_984_45_,-665.21,800.09,N_V_KCl,Lpp_WT_mCherry,132.661,0,0.0,0,1,19,w19_f1_c1,0
121753,5,7,1,4,1,1,945,19,_904_1_972_41_,-666.12,800.23,N_V_KCl,Lpp_WT_mCherry,129.554,0,0.0,0,1,19,w19_f1_c1,0
122029,5,7,1,5,1,1,938,22,_902_1_1045_69_,-661.51,798.21,N_V_KCl,Lpp_WT_mCherry,129.373,1,0.696709,1,0,19,w19_f1_c1,0
122308,5,7,1,6,1,1,954,19,_893_1_1030_59_,-662.88,798.94,N_V_KCl,Lpp_WT_mCherry,125.98,0,0.0,0,1,19,w19_f1_c1,0
122587,5,7,1,7,1,1,991,68,_909_1_1050_122_,-659.72,794.58,N_V_KCl,Lpp_WT_mCherry,131.503,1,0.992282,1,0,19,w19_f1_c1,0
122864,5,7,1,8,1,1,941,18,_907_1_986_54_,-665.55,799.68,N_V_KCl,Lpp_WT_mCherry,127.253,0,0.0,0,1,19,w19_f1_c1,0
123143,5,7,1,9,1,1,936,23,_872_1_996_56_,-666.91,798.95,N_V_KCl,Lpp_WT_mCherry,126.2,0,0.0,0,1,19,w19_f1_c1,0
118738,5,7,1,10,1,1,944,16,_905_1_975_35_,-665.7,800.75,N_V_KCl,Lpp_WT_mCherry,125.651,0,0.0,0,1,19,w19_f1_c1,0
119014,5,7,1,11,1,1,938,20,_893_1_999_47_,-665.46,799.53,N_V_KCl,Lpp_WT_mCherry,124.964,0,0.0,0,1,19,w19_f1_c1,0
119288,5,7,1,12,1,1,254,41,_211_1_313_111_,-764.79,795.55,N_V_KCl,Lpp_WT_mCherry,122.94,0,0.0,0,1,19,w19_f1_c1,0
119561,5,7,1,13,1,1,956,18,_896_1_988_53_,-666.08,799.52,N_V_KCl,Lpp_WT_mCherry,126.048,0,0.0,0,1,19,w19_f1_c1,0
119837,5,7,1,14,1,1,248,27,_212_1_284_63_,-767.07,798.61,N_V_KCl,Lpp_WT_mCherry,126.767,2,1.16118,1,0,19,w19_f1_c1,0
120111,5,7,1,15,1,1,234,26,_205_1_274_60_,-768.02,798.96,N_V_KCl,Lpp_WT_mCherry,127.187,0,0.0,0,1,19,w19_f1_c1,0
120387,5,7,1,16,1,1,232,28,_201_1_275_71_,-767.92,798.33,N_V_KCl,Lpp_WT_mCherry,126.441,2,1.62565,1,0,19,w19_f1_c1,0
120657,5,7,1,17,1,1,912,20,_851_1_963_52_,-670.38,799.15,N_V_KCl,Lpp_WT_mCherry,124.629,1,1.07673,1,0,19,w19_f1_c1,0
120928,5,7,1,18,1,1,926,19,_883_1_977_51_,-667.74,800.15,N_V_KCl,Lpp_WT_mCherry,123.702,1,1.11896,1,0,19,w19_f1_c1,0
118242,5,7,1,0,1,10,1114,298,_1019_261_1223_337_,-639.61,758.69,N_V_KCl,Lpp_WT_mCherry,399.922,2,3.90579,1,0,19,w19_f1_c10,0
118465,5,7,1,1,1,10,984,226,_938_187_1058_277_,-657.63,768.97,N_V_KCl,Lpp_WT_mCherry,256.591,1,0.97117,1,0,19,w19_f1_c10,0
121195,5,7,1,2,1,10,999,228,_937_188_1057_277_,-657.94,768.86,N_V_KCl,Lpp_WT_mCherry,211.963,0,0.0,0,1,19,w19_f1_c10,0
121474,5,7,1,3,1,10,212,281,_162_232_289_351_,-771.1,760.04,N_V_KCl,Lpp_WT_mCherry,143.431,1,0.633372,1,0,19,w19_f1_c10,0
121754,5,7,1,4,1,10,998,225,_936_185_1055_277_,-658.15,769.13,N_V_KCl,Lpp_WT_mCherry,167.353,0,0.0,0,1,19,w19_f1_c10,0
122030,5,7,1,5,1,10,213,299,_164_220_261_351_,-771.62,760.38,N_V_KCl,Lpp_WT_mCherry,140.222,1,0.52781,1,0,19,w19_f1_c10,0
122309,5,7,1,6,1,10,213,281,_167_236_261_348_,-771.31,760.61,N_V_KCl,Lpp_WT_mCherry,143.046,0,0.0,0,1,19,w19_f1_c10,0
