,row,col,plane,t,field,n,x,y,bacteria,ser_edge_tmrm,sdmean_tmrm,annexin647,hoechst,n_legio_per_cell,legio_area,infected,well_id,cell_lbl,growth
56326,5,3,1,1,10,10,192,716,Lpp_dotA,0.332662,0.498029,112.255,320.366,6,4.14798,1,11,w11_f10_c10,0
58313,5,3,1,2,10,10,130,728,Lpp_dotA,0.340104,0.450641,111.953,1354.49,6,6.99481,1,11,w11_f10_c10,0
58526,5,3,1,3,10,10,134,715,Lpp_dotA,0.270178,0.632272,111.915,449.356,6,4.54095,1,11,w11_f10_c10,0
58745,5,3,1,4,10,10,114,724,Lpp_dotA,0.272009,0.620269,111.347,473.079,2,3.65896,1,11,w11_f10_c10,0
58973,5,3,1,5,10,10,112,703,Lpp_dotA,0.266328,0.642174,112.509,514.241,3,7.02101,1,11,w11_f10_c10,0
59199,5,3,1,6,10,10,124,743,Lpp_dotA,0.278919,0.569536,112.266,503.804,5,10.9769,1,11,w11_f10_c10,0
59424,5,3,1,7,10,10,139,671,Lpp_dotA,0.377647,0.340371,112.805,487.04,6,8.83739,1,11,w11_f10_c10,0
59649,5,3,1,8,10,10,149,663,Lpp_dotA,0.390815,0.316637,112.244,505.647,4,11.7017,1,11,w11_f10_c10,0
59877,5,3,1,9,10,10,142,749,Lpp_dotA,0.375065,0.347977,114.309,484.329,9,12.2256,1,11,w11_f10_c10,0
56534,5,3,1,10,10,10,122,629,Lpp_dotA,0.403614,0.316449,112.467,485.915,5,12.1296,1,11,w11_f10_c10,0
56746,5,3,1,11,10,10,250,541,Lpp_dotA,0.401965,0.293005,115.104,495.772,5,10.7149,1,11,w11_f10_c10,0
56966,5,3,1,12,10,10,251,539,Lpp_dotA,0.411841,0.282111,114.912,495.193,7,6.98608,1,11,w11_f10_c10,0
57186,5,3,1,13,10,10,123,621,Lpp_dotA,0.411919,0.290045,114.515,491.356,6,11.9986,1,11,w11_f10_c10,0
57405,5,3,1,14,10,10,183,587,Lpp_dotA,0.419617,0.290504,113.545,487.951,11,10.0163,1,11,w11_f10_c10,0
57627,5,3,1,15,10,10,200,567,Lpp_dotA,0.399121,0.323684,114.356,491.223,8,9.61459,1,11,w11_f10_c10,0
57855,5,3,1,16,10,10,238,573,Lpp_dotA,0.413346,0.281512,114.017,495.3,7,10.8197,1,11,w11_f10_c10,0
58083,5,3,1,17,10,10,172,570,Lpp_dotA,0.419557,0.296433,113.172,489.558,11,9.59713,1,11,w11_f10_c10,0
58528,5,3,1,3,10,13,1822,2002,Lpp_dotA,0.386836,0.36586,121.271,259.193,1,1.71159,1,11,w11_f10_c13,0
58747,5,3,1,4,10,13,1823,1991,Lpp_dotA,0.396874,0.353824,121.279,275.711,4,2.21808,1,11,w11_f10_c13,0
58974,5,3,1,5,10,13,1821,1997,Lpp_dotA,0.393944,0.344094,123.321,268.342,2,2.62851,1,11,w11_f10_c13,0
59200,5,3,1,6,10,13,1819,1995,Lpp_dotA,0.402092,0.333141,123.409,319.312,0,0.0,0,11,w11_f10_c13,0
59425,5,3,1,7,10,13,1823,1996,Lpp_dotA,0.410592,0.28536,123.587,380.991,0,0.0,0,11,w11_f10_c13,0
59650,5,3,1,8,10,13,1829,1984,Lpp_dotA,0.413074,0.29179,122.959,431.486,0,0.0,0,11,w11_f10_c13,0
59878,5,3,1,9,10,13,1825,1982,Lpp_dotA,0.423283,0.269019,124.88,305.878,1,1.86004,1,11,w11_f10_c13,0
56535,5,3,1,10,10,13,1811,1921,Lpp_dotA,0.391051,0.332628,123.08,345.183,1,2.24428,1,11,w11_f10_c13,0
56747,5,3,1,11,10,13,1849,1853,Lpp_dotA,0.423719,0.280334,124.285,359.987,1,1.49327,1,11,w11_f10_c13,0
56967,5,3,1,12,10,13,1849,1868,Lpp_dotA,0.38393,0.319759,121.971,343.305,1,3.03894,1,11,w11_f10_c13,0
57187,5,3,1,13,10,13,1845,1870,Lpp_dotA,0.409755,0.299195,122.821,353.95,1,3.28346,1,11,w11_f10_c13,0
