,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,intensity_whole_cell_egfp_mean,number_of_spots-_per_cell_,bacterial__area_[um²]-_sum_per_cell_,infected_cells,non_infected_cells,well_id,cell_lbl,growth
80028,4,7,1,0,1,1,1089,51,_1048_1_1160_106_,-641.89,794.82,N_V_KCl,NI,282.652,0,0.0,0,1,12,w12_f1_c1,0
80295,4,7,1,1,1,1,757,26,_695_1_810_56_,-691.97,798.97,N_V_KCl,NI,197.852,0,0.0,0,1,12,w12_f1_c1,0
83343,4,7,1,2,1,1,753,26,_695_1_811_55_,-692.18,799.14,N_V_KCl,NI,164.596,0,0.0,0,1,12,w12_f1_c1,0
83658,4,7,1,3,1,1,750,26,_690_1_807_53_,-692.85,799.14,N_V_KCl,NI,163.281,0,0.0,0,1,12,w12_f1_c1,0
83975,4,7,1,4,1,1,752,25,_676_1_808_56_,-693.22,799.07,N_V_KCl,NI,157.054,0,0.0,0,1,12,w12_f1_c1,0
84292,4,7,1,5,1,1,753,26,_688_1_806_58_,-692.83,798.71,N_V_KCl,NI,158.377,0,0.0,0,1,12,w12_f1_c1,0
84607,4,7,1,6,1,1,756,24,_689_1_811_54_,-692.43,799.09,N_V_KCl,NI,162.737,0,0.0,0,1,12,w12_f1_c1,0
84922,4,7,1,7,1,1,752,30,_677_1_821_61_,-693.64,798.69,N_V_KCl,NI,144.639,0,0.0,0,1,12,w12_f1_c1,0
85235,4,7,1,8,1,1,751,26,_677_1_814_52_,-693.89,799.21,N_V_KCl,NI,147.158,0,0.0,0,1,12,w12_f1_c1,0
85548,4,7,1,9,1,1,750,26,_654_1_815_64_,-695.75,798.97,N_V_KCl,NI,144.891,0,0.0,0,1,12,w12_f1_c1,0
80599,4,7,1,10,1,1,744,28,_663_1_813_63_,-696.02,798.92,N_V_KCl,NI,140.262,0,0.0,0,1,12,w12_f1_c1,0
80909,4,7,1,11,1,1,745,24,_668_1_806_52_,-695.94,799.47,N_V_KCl,NI,141.341,0,0.0,0,1,12,w12_f1_c1,0
81216,4,7,1,12,1,1,739,26,_662_1_796_70_,-696.99,798.5,N_V_KCl,NI,144.278,0,0.0,0,1,12,w12_f1_c1,0
81526,4,7,1,13,1,1,744,28,_666_1_808_67_,-695.47,798.27,N_V_KCl,NI,137.761,0,0.0,0,1,12,w12_f1_c1,0
81841,4,7,1,14,1,1,727,22,_664_1_795_63_,-697.39,799.26,N_V_KCl,NI,139.223,0,0.0,0,1,12,w12_f1_c1,0
82147,4,7,1,15,1,1,734,22,_665_1_792_47_,-696.79,799.65,N_V_KCl,NI,143.147,0,0.0,0,1,12,w12_f1_c1,0
82445,4,7,1,16,1,1,708,28,_642_1_792_69_,-698.66,798.37,N_V_KCl,NI,137.401,0,0.0,0,1,12,w12_f1_c1,0
82737,4,7,1,17,1,1,721,29,_637_1_796_74_,-699.11,798.29,N_V_KCl,NI,138.325,0,0.0,0,1,12,w12_f1_c1,0
83038,4,7,1,18,1,1,736,27,_651_1_796_73_,-697.69,798.8,N_V_KCl,NI,141.337,0,0.0,0,1,12,w12_f1_c1,0
80029,4,7,1,0,1,10,150,434,_97_324_207_507_,-781.48,741.65,N_V_KCl,NI,200.301,0,0.0,0,1,12,w12_f1_c10,0
80296,4,7,1,1,1,10,49,361,_1_238_123_440_,-796.2,752.58,N_V_KCl,NI,146.349,0,0.0,0,1,12,w12_f1_c10,0
