,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
0,40920,0,Lpp dotA,0.324368,0.6092770000000001,123.39,214.354,10.0,13.2474,1.0,w10_f10_c1,,0
1,40921,1,Lpp dotA,0.351986,0.463817,123.708,264.43,10.0,16.8365,1.0,w10_f10_c1,,0
2,40922,2,Lpp dotA,0.346301,0.487212,123.018,380.632,8.0,14.7232,1.0,w10_f10_c1,,0
3,40923,3,Lpp dotA,0.362718,0.421415,123.596,351.149,9.0,19.9627,1.0,w10_f10_c1,,0
4,40924,4,Lpp dotA,0.358096,0.364917,124.024,386.491,12.0,16.7317,1.0,w10_f10_c1,,0
5,40925,5,Lpp dotA,0.374629,0.380376,123.304,422.165,10.0,13.2648,1.0,w10_f10_c1,,0
6,40926,6,Lpp dotA,0.385769,0.357157,123.761,518.457,9.0,15.544,1.0,w10_f10_c1,,0
7,40927,7,Lpp dotA,0.39988,0.304525,123.811,500.415,8.0,16.4697,1.0,w10_f10_c1,,0
8,40928,8,Lpp dotA,0.391026,0.312271,124.01,539.085,11.0,18.4433,1.0,w10_f10_c1,,0
9,40929,9,Lpp dotA,0.386474,0.36361,124.255,543.0369999999999,6.0,12.8457,1.0,w10_f10_c1,,0
10,40930,10,Lpp dotA,0.378605,0.350054,123.329,362.42800000000005,9.0,12.3304,1.0,w10_f10_c1,,0
11,40931,11,Lpp dotA,0.386861,0.38387,124.235,476.9330000000001,14.0,19.2379,1.0,w10_f10_c1,,0
12,40932,12,Lpp dotA,0.380459,0.404207,124.542,476.672,11.0,15.544,1.0,w10_f10_c1,,0
13,40933,13,Lpp dotA,0.380738,0.404865,124.649,502.139,12.0,12.8282,1.0,w10_f10_c1,,0
14,40934,14,Lpp dotA,0.393857,0.3859889999999999,123.925,522.965,11.0,16.7491,1.0,w10_f10_c1,,0
15,40935,15,Lpp dotA,0.373354,0.4217109999999999,125.066,491.145,9.0,15.4567,1.0,w10_f10_c1,,0
16,40936,16,Lpp dotA,0.375294,0.437184,125.097,511.231,5.0,12.2693,1.0,w10_f10_c1,,0
17,40937,17,Lpp dotA,0.376682,0.421267,124.484,510.0630000000001,6.0,10.645,1.0,w10_f10_c1,,0
18,40938,0,Lpp dotA,0.384471,0.340312,122.205,389.888,6.0,4.64574,1.0,w10_f10_c2,,0
19,40939,1,Lpp dotA,0.377898,0.37128,122.005,458.842,2.0,3.12627,1.0,w10_f10_c2,,0
20,40940,2,Lpp dotA,0.440314,0.236066,122.774,498.355,2.0,2.61978,1.0,w10_f10_c2,,0
21,40941,3,Lpp dotA,0.445982,0.203928,123.636,544.876,4.0,1.93864,1.0,w10_f10_c2,,0
22,40942,4,Lpp dotA,0.440115,0.200723,123.888,522.35,2.0,5.69366,1.0,w10_f10_c2,,0
23,40943,5,Lpp dotA,0.438922,0.253242,123.261,578.625,6.0,5.44041,1.0,w10_f10_c2,,0
24,40944,6,Lpp dotA,0.439162,0.248405,123.025,588.006,1.0,2.31414,1.0,w10_f10_c2,,0
25,40945,7,Lpp dotA,0.414518,0.27943,123.072,576.215,1.0,2.21808,1.0,w10_f10_c2,,0
26,40946,8,Lpp dotA,0.421378,0.261259,123.186,575.322,1.0,3.12627,1.0,w10_f10_c2,,0
27,40947,9,Lpp dotA,0.432954,0.24433,124.004,563.521,2.0,4.59335,1.0,w10_f10_c2,,0
28,40948,10,Lpp dotA,0.477104,0.119072,120.432,458.341,0.0,0.0,0.0,w10_f10_c2,,0
29,40949,11,Lpp dotA,0.4266359999999999,0.175418,120.622,472.253,0.0,0.0,0.0,w10_f10_c2,,0
30,40950,12,Lpp dotA,0.4816859999999999,0.107244,119.291,505.045,0.0,0.0,0.0,w10_f10_c2,,0
31,40951,13,Lpp dotA,0.468545,0.173888,120.318,460.354,0.0,0.0,0.0,w10_f10_c2,,0
32,40952,14,Lpp dotA,0.495427,0.0686057,120.13,492.994,0.0,0.0,0.0,w10_f10_c2,,0
33,40953,15,Lpp dotA,0.508977,0.131499,120.699,415.994,0.0,0.0,0.0,w10_f10_c2,,0
34,40954,16,Lpp dotA,0.51388,0.0845316,120.704,450.251,0.0,0.0,0.0,w10_f10_c2,,0
35,40955,17,Lpp dotA,0.51973,0.0654691,120.413,422.224,0.0,0.0,0.0,w10_f10_c2,,0
36,40966,0,Lpp dotA,0.410933,0.270709,124.737,226.359,3.0,3.78995,1.0,w10_f10_c4,,0
37,40967,1,Lpp dotA,0.355686,0.4523319999999999,124.03,289.692,2.0,4.017,1.0,w10_f10_c4,,0
38,40968,2,Lpp dotA,0.392353,0.333446,124.146,373.427,4.0,5.807180000000001,1.0,w10_f10_c4,,0
39,40969,3,Lpp dotA,0.387941,0.332829,124.788,425.406,2.0,2.15695,1.0,w10_f10_c4,,0
40,40970,4,Lpp dotA,0.381556,0.297329,125.366,469.781,0.0,0.0,0.0,w10_f10_c4,,0
41,40971,5,Lpp dotA,0.395461,0.301842,126.139,529.331,0.0,0.0,0.0,w10_f10_c4,,0
42,40972,6,Lpp dotA,0.391099,0.306053,126.509,567.2080000000001,1.0,0.995516,1.0,w10_f10_c4,,0
43,40973,7,Lpp dotA,0.3864059999999999,0.297151,128.569,581.408,3.0,5.18716,1.0,w10_f10_c4,,0
