,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
407938,11,21,1,0,1,1,NI,10,menanac,0.0,124.268,0.216567,0.175955,107,w107_f1_c1
408055,11,21,1,1,1,1,NI,10,menanac,0.0,126.502,0.290968,0.121652,107,w107_f1_c1
409772,11,21,1,2,1,1,NI,10,menanac,0.0,124.555,0.244646,0.107444,107,w107_f1_c1
409942,11,21,1,3,1,1,NI,10,menanac,0.0,133.463,0.421225,0.113381,107,w107_f1_c1
410125,11,21,1,4,1,1,NI,10,menanac,0.0,130.073,0.282705,0.111164,107,w107_f1_c1
410309,11,21,1,5,1,1,NI,10,menanac,0.0,129.745,0.319914,0.125592,107,w107_f1_c1
410496,11,21,1,6,1,1,NI,10,menanac,0.0,130.555,0.326902,0.121082,107,w107_f1_c1
410683,11,21,1,7,1,1,NI,10,menanac,0.0,127.731,0.179435,0.14045,107,w107_f1_c1
410873,11,21,1,8,1,1,NI,10,menanac,0.0,129.024,0.298211,0.126647,107,w107_f1_c1
411066,11,21,1,9,1,1,NI,10,menanac,0.0,127.727,0.246641,0.144214,107,w107_f1_c1
408215,11,21,1,10,1,1,NI,10,menanac,0.0,129.801,0.262723,0.157394,107,w107_f1_c1
408410,11,21,1,11,1,1,NI,10,menanac,0.0,130.91,0.388357,0.133285,107,w107_f1_c1
408605,11,21,1,12,1,1,NI,10,menanac,0.0,128.37,0.253707,0.168315,107,w107_f1_c1
408800,11,21,1,13,1,1,NI,10,menanac,0.0,128.725,0.238801,0.162369,107,w107_f1_c1
408996,11,21,1,14,1,1,NI,10,menanac,0.0,130.044,0.318777,0.145492,107,w107_f1_c1
409193,11,21,1,15,1,1,NI,10,menanac,0.0,129.974,0.24342,0.171344,107,w107_f1_c1
409390,11,21,1,16,1,1,NI,10,menanac,0.0,131.278,0.324872,0.156347,107,w107_f1_c1
409584,11,21,1,17,1,1,NI,10,menanac,0.0,129.723,0.247566,0.165225,107,w107_f1_c1
407939,11,21,1,0,1,10,NI,10,menanac,0.0,132.909,0.429802,0.106901,107,w107_f1_c10
408056,11,21,1,1,1,10,NI,10,menanac,0.0,128.709,0.266649,0.0949703,107,w107_f1_c10
409773,11,21,1,2,1,10,NI,10,menanac,0.0,129.504,0.237587,0.0944348,107,w107_f1_c10
409943,11,21,1,3,1,10,NI,10,menanac,0.0,131.507,0.301671,0.0893452,107,w107_f1_c10
410126,11,21,1,4,1,10,NI,10,menanac,0.0,131.995,0.311887,0.0969999,107,w107_f1_c10
410310,11,21,1,5,1,10,NI,10,menanac,0.0,132.562,0.281554,0.0997756,107,w107_f1_c10
410497,11,21,1,6,1,10,NI,10,menanac,0.0,132.511,0.291414,0.110982,107,w107_f1_c10
410684,11,21,1,7,1,10,NI,10,menanac,0.0,133.425,0.372714,0.0957331,107,w107_f1_c10
410874,11,21,1,8,1,10,NI,10,menanac,0.0,133.921,0.276909,0.111087,107,w107_f1_c10
411067,11,21,1,9,1,10,NI,10,menanac,0.0,133.251,0.296914,0.11284,107,w107_f1_c10
408216,11,21,1,10,1,10,NI,10,menanac,0.0,133.5,0.303156,0.127776,107,w107_f1_c10
408411,11,21,1,11,1,10,NI,10,menanac,0.0,135.83,0.34701,0.116831,107,w107_f1_c10
408606,11,21,1,12,1,10,NI,10,menanac,0.0,134.413,0.390697,0.122642,107,w107_f1_c10
408801,11,21,1,13,1,10,NI,10,menanac,0.0,134.95,0.396711,0.128964,107,w107_f1_c10
408997,11,21,1,14,1,10,NI,10,menanac,0.0,136.301,0.350573,0.132256,107,w107_f1_c10
409194,11,21,1,15,1,10,NI,10,menanac,0.0,132.161,0.251671,0.139087,107,w107_f1_c10
409391,11,21,1,16,1,10,NI,10,menanac,0.0,133.771,0.253292,0.134846,107,w107_f1_c10
409585,11,21,1,17,1,10,NI,10,menanac,0.0,133.679,0.255892,0.145739,107,w107_f1_c10
407940,11,21,1,0,1,11,NI,10,menanac,0.0,313.89,2.41155,0.19872,107,w107_f1_c11
408057,11,21,1,1,1,11,NI,10,menanac,0.0,235.374,1.64354,0.169201,107,w107_f1_c11
409774,11,21,1,2,1,11,NI,10,menanac,0.0,308.545,1.77977,0.120378,107,w107_f1_c11
409944,11,21,1,3,1,11,NI,10,menanac,0.0,248.28,1.39218,0.10747,107,w107_f1_c11
410127,11,21,1,4,1,11,NI,10,menanac,0.0,248.381,1.82219,0.0934353,107,w107_f1_c11
410311,11,21,1,5,1,11,NI,10,menanac,0.0,235.95,1.7162,0.0929974,107,w107_f1_c11
410498,11,21,1,6,1,11,NI,10,menanac,0.0,265.449,1.4515,0.0995221,107,w107_f1_c11
410685,11,21,1,7,1,11,NI,10,menanac,0.0,311.222,1.78135,0.0899422,107,w107_f1_c11
410875,11,21,1,8,1,11,NI,10,menanac,0.0,303.549,1.74834,0.105646,107,w107_f1_c11
411068,11,21,1,9,1,11,NI,10,menanac,0.0,331.165,1.93374,0.106119,107,w107_f1_c11
408217,11,21,1,10,1,11,NI,10,menanac,0.0,324.876,1.89208,0.106016,107,w107_f1_c11
408412,11,21,1,11,1,11,NI,10,menanac,0.0,276.61,1.46719,0.100906,107,w107_f1_c11
408607,11,21,1,12,1,11,NI,10,menanac,0.0,367.919,2.18735,0.102795,107,w107_f1_c11
408802,11,21,1,13,1,11,NI,10,menanac,0.0,327.102,2.02378,0.105627,107,w107_f1_c11
408998,11,21,1,14,1,11,NI,10,menanac,0.0,251.271,1.61777,0.114668,107,w107_f1_c11
409195,11,21,1,15,1,11,NI,10,menanac,0.0,271.975,1.76326,0.110204,107,w107_f1_c11
409392,11,21,1,16,1,11,NI,10,menanac,0.0,244.196,1.41549,0.111463,107,w107_f1_c11
409586,11,21,1,17,1,11,NI,10,menanac,0.0,256.095,1.48437,0.112175,107,w107_f1_c11
407941,11,21,1,0,1,12,NI,10,menanac,0.0,134.685,0.440387,0.292567,107,w107_f1_c12
408058,11,21,1,1,1,12,NI,10,menanac,0.0,132.445,0.300478,0.194862,107,w107_f1_c12
409775,11,21,1,2,1,12,NI,10,menanac,0.0,146.396,1.24504,0.184004,107,w107_f1_c12
409945,11,21,1,3,1,12,NI,10,menanac,0.0,143.299,0.927957,0.194681,107,w107_f1_c12
410128,11,21,1,4,1,12,NI,10,menanac,0.0,143.218,0.730131,0.189403,107,w107_f1_c12
410312,11,21,1,5,1,12,NI,10,menanac,0.0,148.865,1.04038,0.194477,107,w107_f1_c12
410499,11,21,1,6,1,12,NI,10,menanac,0.0,144.357,0.624233,0.194813,107,w107_f1_c12
410686,11,21,1,7,1,12,NI,10,menanac,0.0,168.805,1.83099,0.188098,107,w107_f1_c12
410876,11,21,1,8,1,12,NI,10,menanac,0.0,165.233,1.64798,0.216052,107,w107_f1_c12
411069,11,21,1,9,1,12,NI,10,menanac,0.0,195.884,2.08694,0.22597,107,w107_f1_c12
408218,11,21,1,10,1,12,NI,10,menanac,0.0,188.612,2.34771,0.227607,107,w107_f1_c12
408413,11,21,1,11,1,12,NI,10,menanac,0.0,186.132,2.25777,0.20053,107,w107_f1_c12
408608,11,21,1,12,1,12,NI,10,menanac,0.0,179.384,2.18078,0.231032,107,w107_f1_c12
408803,11,21,1,13,1,12,NI,10,menanac,0.0,205.145,2.46865,0.248198,107,w107_f1_c12
408999,11,21,1,14,1,12,NI,10,menanac,0.0,196.333,2.19135,0.240093,107,w107_f1_c12
409196,11,21,1,15,1,12,NI,10,menanac,0.0,205.781,2.3499,0.26722,107,w107_f1_c12
409393,11,21,1,16,1,12,NI,10,menanac,0.0,193.488,2.23902,0.265312,107,w107_f1_c12
409587,11,21,1,17,1,12,NI,10,menanac,0.0,185.064,2.18096,0.297021,107,w107_f1_c12
407942,11,21,1,0,1,13,NI,10,menanac,0.0,133.238,0.170964,0.159132,107,w107_f1_c13
408059,11,21,1,1,1,13,NI,10,menanac,0.0,137.986,0.297485,0.132568,107,w107_f1_c13
409776,11,21,1,2,1,13,NI,10,menanac,0.0,135.051,0.23344,0.0910967,107,w107_f1_c13
