,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
381754,11,6,1,0,1,1,WT,10,menanac,0.0,168.07,0.743917,0.157948,100,w100_f1_c1
381918,11,6,1,1,1,1,WT,10,menanac,0.0,168.074,0.800852,0.144152,100,w100_f1_c1
384312,11,6,1,2,1,1,WT,10,menanac,0.0,174.055,0.625673,0.132858,100,w100_f1_c1
384562,11,6,1,3,1,1,WT,10,menanac,0.0,166.644,0.49803,0.141975,100,w100_f1_c1
384820,11,6,1,4,1,1,WT,10,menanac,0.0,184.954,0.735039,0.158059,100,w100_f1_c1
385084,11,6,1,5,1,1,WT,10,menanac,0.0,228.452,1.33559,0.158059,100,w100_f1_c1
385353,11,6,1,6,1,1,WT,10,menanac,0.0,246.673,1.51206,0.13657,100,w100_f1_c1
385627,11,6,1,7,1,1,WT,10,menanac,0.0,194.257,0.748475,0.156074,100,w100_f1_c1
385897,11,6,1,8,1,1,WT,10,menanac,0.0,239.836,1.35419,0.114455,100,w100_f1_c1
386170,11,6,1,9,1,1,WT,10,menanac,0.0,248.395,1.29417,0.140426,100,w100_f1_c1
382141,11,6,1,10,1,1,WT,10,menanac,0.0,228.669,1.06553,0.157578,100,w100_f1_c1
382413,11,6,1,11,1,1,WT,10,menanac,0.0,239.722,1.28431,0.132758,100,w100_f1_c1
382686,11,6,1,12,1,1,WT,10,menanac,0.0,235.713,1.234,0.152924,100,w100_f1_c1
382962,11,6,1,13,1,1,WT,10,menanac,0.0,226.945,1.07953,0.162789,100,w100_f1_c1
383239,11,6,1,14,1,1,WT,10,menanac,0.0,244.715,1.20515,0.161814,100,w100_f1_c1
383517,11,6,1,15,1,1,WT,10,menanac,0.0,256.86,1.20942,0.166959,100,w100_f1_c1
383792,11,6,1,16,1,1,WT,10,menanac,0.0,235.499,0.981628,0.201046,100,w100_f1_c1
384058,11,6,1,17,1,1,WT,10,menanac,0.0,244.76,1.15694,0.166602,100,w100_f1_c1
381755,11,6,1,0,1,10,WT,10,menanac,0.0433857,246.619,0.967719,0.304514,100,w100_f1_c10
381919,11,6,1,1,1,10,WT,10,menanac,0.00867715,312.869,1.84037,0.228711,100,w100_f1_c10
384313,11,6,1,2,1,10,WT,10,menanac,2.04781,223.802,0.808437,0.162454,100,w100_f1_c10
384563,11,6,1,3,1,10,WT,10,menanac,1.55321,181.882,0.563004,0.144155,100,w100_f1_c10
384821,11,6,1,4,1,10,WT,10,menanac,0.0,221.658,0.727072,0.127266,100,w100_f1_c10
385085,11,6,1,5,1,10,WT,10,menanac,0.0,238.154,1.27421,0.129956,100,w100_f1_c10
385354,11,6,1,6,1,10,WT,10,menanac,0.0,239.909,0.803097,0.138081,100,w100_f1_c10
385628,11,6,1,7,1,10,WT,10,menanac,3.24525,177.172,0.490725,0.148487,100,w100_f1_c10
385898,11,6,1,8,1,10,WT,10,menanac,4.4427,207.55,0.619206,0.131274,100,w100_f1_c10
386171,11,6,1,9,1,10,WT,10,menanac,2.72462,182.165,0.480016,0.149156,100,w100_f1_c10
382142,11,6,1,10,1,10,WT,10,menanac,3.20187,169.072,0.384819,0.160076,100,w100_f1_c10
382414,11,6,1,11,1,10,WT,10,menanac,2.65521,361.764,1.66887,0.145423,100,w100_f1_c10
382687,11,6,1,12,1,10,WT,10,menanac,2.53373,285.435,1.57546,0.148159,100,w100_f1_c10
382963,11,6,1,13,1,10,WT,10,menanac,2.13458,265.937,1.4558,0.157359,100,w100_f1_c10
383240,11,6,1,14,1,10,WT,10,menanac,2.25606,323.86,1.60558,0.168178,100,w100_f1_c10
383518,11,6,1,15,1,10,WT,10,menanac,3.30599,365.927,1.71627,0.163656,100,w100_f1_c10
