,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
80579,5,3,1,0,1,1,WT,2,antimycina,0.0,126.3,0.202182,0.0815945,25,w25_f1_c1
80693,5,3,1,1,1,1,WT,2,antimycina,0.0,124.13,0.093846,0.144108,25,w25_f1_c1
82733,5,3,1,2,1,1,WT,2,antimycina,0.0,125.295,0.119745,0.107029,25,w25_f1_c1
82940,5,3,1,3,1,1,WT,2,antimycina,0.0,125.238,0.100282,0.101017,25,w25_f1_c1
83155,5,3,1,4,1,1,WT,2,antimycina,0.0,125.6,0.0951473,0.0872857,25,w25_f1_c1
83372,5,3,1,5,1,1,WT,2,antimycina,0.0,126.286,0.128839,0.07603,25,w25_f1_c1
83594,5,3,1,6,1,1,WT,2,antimycina,0.0,129.25,0.261141,0.0585444,25,w25_f1_c1
83820,5,3,1,7,1,1,WT,2,antimycina,0.0,127.044,0.141242,0.0577946,25,w25_f1_c1
84049,5,3,1,8,1,1,WT,2,antimycina,0.0,127.296,0.175162,0.0537288,25,w25_f1_c1
84280,5,3,1,9,1,1,WT,2,antimycina,0.0,129.648,0.195348,0.0541762,25,w25_f1_c1
80883,5,3,1,10,1,1,WT,2,antimycina,0.0,130.558,0.205398,0.0473387,25,w25_f1_c1
81111,5,3,1,11,1,1,WT,2,antimycina,0.0,131.774,0.236136,0.0480498,25,w25_f1_c1
81340,5,3,1,12,1,1,WT,2,antimycina,0.0,133.227,0.201582,0.0443282,25,w25_f1_c1
81571,5,3,1,13,1,1,WT,2,antimycina,0.0,132.958,0.214843,0.0429028,25,w25_f1_c1
81806,5,3,1,14,1,1,WT,2,antimycina,0.0,134.649,0.268991,0.0426051,25,w25_f1_c1
82039,5,3,1,15,1,1,WT,2,antimycina,0.0,138.38,0.391179,0.0417683,25,w25_f1_c1
82270,5,3,1,16,1,1,WT,2,antimycina,0.0,137.9,0.29559,0.0421614,25,w25_f1_c1
82504,5,3,1,17,1,1,WT,2,antimycina,0.0,136.912,0.32102,0.0418025,25,w25_f1_c1
80580,5,3,1,0,1,10,WT,2,antimycina,6.62066,124.528,0.292497,0.0461504,25,w25_f1_c10
80694,5,3,1,1,1,10,WT,2,antimycina,2.52505,124.447,0.274985,0.0587702,25,w25_f1_c10
82734,5,3,1,2,1,10,WT,2,antimycina,3.08906,119.514,0.0723217,0.053298,25,w25_f1_c10
82941,5,3,1,3,1,10,WT,2,antimycina,2.5424,119.061,0.0784924,0.0551845,25,w25_f1_c10
83156,5,3,1,4,1,10,WT,2,antimycina,2.96758,119.2,0.0792396,0.0583424,25,w25_f1_c10
83373,5,3,1,5,1,10,WT,2,antimycina,0.0,116.329,0.0586298,0.0524787,25,w25_f1_c10
83595,5,3,1,6,1,10,WT,2,antimycina,0.0,121.386,0.121623,0.0534295,25,w25_f1_c10
83821,5,3,1,7,1,10,WT,2,antimycina,0.650786,120.678,0.0907501,0.0489256,25,w25_f1_c10
84050,5,3,1,8,1,10,WT,2,antimycina,0.0,119.126,0.0768021,0.0486657,25,w25_f1_c10
84281,5,3,1,9,1,10,WT,2,antimycina,0.0,115.626,0.0447227,0.0458468,25,w25_f1_c10
80884,5,3,1,10,1,10,WT,2,antimycina,0.0,119.709,0.08238,0.0472529,25,w25_f1_c10
81112,5,3,1,11,1,10,WT,2,antimycina,0.0,116.786,0.0499054,0.042657,25,w25_f1_c10
81341,5,3,1,12,1,10,WT,2,antimycina,0.0,118.919,0.0730305,0.0455896,25,w25_f1_c10
81572,5,3,1,13,1,10,WT,2,antimycina,0.0,120.08,0.0698093,0.0468469,25,w25_f1_c10
81807,5,3,1,14,1,10,WT,2,antimycina,0.0,119.246,0.071882,0.0481798,25,w25_f1_c10
82040,5,3,1,15,1,10,WT,2,antimycina,0.0,120.23,0.102865,0.0460355,25,w25_f1_c10
82271,5,3,1,16,1,10,WT,2,antimycina,7.16732,119.943,0.0911961,0.0487573,25,w25_f1_c10
82505,5,3,1,17,1,10,WT,2,antimycina,6.06532,120.107,0.0702626,0.0456984,25,w25_f1_c10
80581,5,3,1,0,1,11,WT,2,antimycina,3.48821,123.807,0.045121,0.0538139,25,w25_f1_c11
