,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
299981,9,19,1,0,1,10,NI,3,antimycina,0.0,164.336,0.177552,0.578629,81,w81_f1_c10
300108,9,19,1,1,1,10,NI,3,antimycina,0.0,143.798,0.127763,0.631202,81,w81_f1_c10
301758,9,19,1,2,1,10,NI,3,antimycina,0.0,146.178,0.169108,0.451537,81,w81_f1_c10
301928,9,19,1,3,1,10,NI,3,antimycina,0.0,147.266,0.173185,0.313114,81,w81_f1_c10
302107,9,19,1,4,1,10,NI,3,antimycina,0.0,146.924,0.155913,0.223873,81,w81_f1_c10
302291,9,19,1,5,1,10,NI,3,antimycina,0.0,153.316,0.280583,0.162909,81,w81_f1_c10
302475,9,19,1,6,1,10,NI,3,antimycina,0.0,148.442,0.250655,0.121086,81,w81_f1_c10
302660,9,19,1,7,1,10,NI,3,antimycina,0.0,154.353,0.176497,0.0951742,81,w81_f1_c10
302847,9,19,1,8,1,10,NI,3,antimycina,0.0,155.228,0.173097,0.080002,81,w81_f1_c10
303037,9,19,1,9,1,10,NI,3,antimycina,0.0,159.164,0.181553,0.0718394,81,w81_f1_c10
300265,9,19,1,10,1,10,NI,3,antimycina,0.0,156.142,0.199207,0.0710556,81,w81_f1_c10
300453,9,19,1,11,1,10,NI,3,antimycina,0.0,157.231,0.202551,0.0649227,81,w81_f1_c10
300644,9,19,1,12,1,10,NI,3,antimycina,0.0,161.062,0.251418,0.0652611,81,w81_f1_c10
300833,9,19,1,13,1,10,NI,3,antimycina,0.0,157.265,0.262534,0.0604492,81,w81_f1_c10
301024,9,19,1,14,1,10,NI,3,antimycina,0.0,164.655,0.3134,0.0614718,81,w81_f1_c10
301211,9,19,1,15,1,10,NI,3,antimycina,0.0,169.358,0.288459,0.0624357,81,w81_f1_c10
301398,9,19,1,16,1,10,NI,3,antimycina,0.0,173.041,0.291611,0.0627402,81,w81_f1_c10
301582,9,19,1,17,1,10,NI,3,antimycina,0.0,177.889,0.293509,0.061944,81,w81_f1_c10
299982,9,19,1,0,1,11,NI,3,antimycina,0.0,139.229,0.325712,0.232529,81,w81_f1_c11
300109,9,19,1,1,1,11,NI,3,antimycina,0.0,137.714,0.207394,0.280018,81,w81_f1_c11
301759,9,19,1,2,1,11,NI,3,antimycina,0.0,156.335,0.213182,0.192389,81,w81_f1_c11
301929,9,19,1,3,1,11,NI,3,antimycina,0.0,161.502,0.218167,0.115097,81,w81_f1_c11
302108,9,19,1,4,1,11,NI,3,antimycina,0.0,157.342,0.189576,0.0824434,81,w81_f1_c11
302292,9,19,1,5,1,11,NI,3,antimycina,0.0,162.512,0.191989,0.065444,81,w81_f1_c11
302476,9,19,1,6,1,11,NI,3,antimycina,0.0,158.724,0.192214,0.0566256,81,w81_f1_c11
302661,9,19,1,7,1,11,NI,3,antimycina,0.0,163.837,0.207693,0.0522794,81,w81_f1_c11
302848,9,19,1,8,1,11,NI,3,antimycina,0.0,166.4,0.216188,0.0521604,81,w81_f1_c11
303038,9,19,1,9,1,11,NI,3,antimycina,0.0,166.828,0.211729,0.0502673,81,w81_f1_c11
300266,9,19,1,10,1,11,NI,3,antimycina,0.0,164.229,0.223654,0.0510227,81,w81_f1_c11
300454,9,19,1,11,1,11,NI,3,antimycina,0.0,161.164,0.215325,0.0491473,81,w81_f1_c11
300645,9,19,1,12,1,11,NI,3,antimycina,0.0,166.357,0.21971,0.0506775,81,w81_f1_c11
300834,9,19,1,13,1,11,NI,3,antimycina,0.0,160.252,0.219528,0.0487212,81,w81_f1_c11
301025,9,19,1,14,1,11,NI,3,antimycina,0.0,164.52,0.225916,0.0507281,81,w81_f1_c11
301212,9,19,1,15,1,11,NI,3,antimycina,0.0,168.148,0.232415,0.0510377,81,w81_f1_c11
301399,9,19,1,16,1,11,NI,3,antimycina,0.0,171.583,0.240511,0.0533542,81,w81_f1_c11
301583,9,19,1,17,1,11,NI,3,antimycina,0.0,174.099,0.244877,0.0544015,81,w81_f1_c11
299983,9,19,1,0,1,12,NI,3,antimycina,0.0,188.169,0.570678,0.0897949,81,w81_f1_c12
300110,9,19,1,1,1,12,NI,3,antimycina,0.0,159.755,0.419407,0.104596,81,w81_f1_c12
301760,9,19,1,2,1,12,NI,3,antimycina,0.0,185.029,0.315855,0.0849065,81,w81_f1_c12
301930,9,19,1,3,1,12,NI,3,antimycina,0.0,184.302,0.348196,0.0791298,81,w81_f1_c12
302109,9,19,1,4,1,12,NI,3,antimycina,0.0,191.449,0.349016,0.0793835,81,w81_f1_c12
302293,9,19,1,5,1,12,NI,3,antimycina,0.0,203.742,0.363138,0.0776279,81,w81_f1_c12
302477,9,19,1,6,1,12,NI,3,antimycina,0.0,207.484,0.361722,0.0777736,81,w81_f1_c12
302662,9,19,1,7,1,12,NI,3,antimycina,0.0,208.139,0.38322,0.0757326,81,w81_f1_c12
302849,9,19,1,8,1,12,NI,3,antimycina,0.0,222.187,0.407761,0.0795848,81,w81_f1_c12
303039,9,19,1,9,1,12,NI,3,antimycina,0.0,220.381,0.419364,0.0821858,81,w81_f1_c12
300267,9,19,1,10,1,12,NI,3,antimycina,0.0,226.265,0.42652,0.0838246,81,w81_f1_c12
300455,9,19,1,11,1,12,NI,3,antimycina,0.0,210.508,0.409842,0.0825936,81,w81_f1_c12
300646,9,19,1,12,1,12,NI,3,antimycina,0.0,202.668,0.361847,0.07662,81,w81_f1_c12
300835,9,19,1,13,1,12,NI,3,antimycina,0.0,195.079,0.378343,0.0819631,81,w81_f1_c12
301026,9,19,1,14,1,12,NI,3,antimycina,0.0,215.28,0.415309,0.0884647,81,w81_f1_c12
301213,9,19,1,15,1,12,NI,3,antimycina,0.0,220.273,0.378691,0.0815964,81,w81_f1_c12
301400,9,19,1,16,1,12,NI,3,antimycina,0.0,214.473,0.367705,0.0821443,81,w81_f1_c12
301584,9,19,1,17,1,12,NI,3,antimycina,0.0,219.027,0.371121,0.0803555,81,w81_f1_c12
300111,9,19,1,1,1,13,NI,3,antimycina,0.0,151.685,0.244141,0.196576,81,w81_f1_c13
301761,9,19,1,2,1,13,NI,3,antimycina,0.0,159.696,0.242537,0.171757,81,w81_f1_c13
301931,9,19,1,3,1,13,NI,3,antimycina,0.0,163.489,0.29712,0.146629,81,w81_f1_c13
302110,9,19,1,4,1,13,NI,3,antimycina,0.0,172.875,0.319705,0.131386,81,w81_f1_c13
302294,9,19,1,5,1,13,NI,3,antimycina,0.0,185.289,0.357214,0.118575,81,w81_f1_c13
302478,9,19,1,6,1,13,NI,3,antimycina,0.0,186.077,0.360732,0.109566,81,w81_f1_c13
