,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
288360,9,12,1,0,1,1,dotA,4,antimycina,0.0,168.055,0.268622,0.714625,78,w78_f1_c1
288524,9,12,1,1,1,1,dotA,4,antimycina,0.0,147.447,0.194823,0.665738,78,w78_f1_c1
290425,9,12,1,2,1,1,dotA,4,antimycina,0.0,150.468,0.196065,0.619395,78,w78_f1_c1
290631,9,12,1,3,1,1,dotA,4,antimycina,0.0,156.878,0.186334,0.600851,78,w78_f1_c1
290840,9,12,1,4,1,1,dotA,4,antimycina,0.0,160.943,0.206333,0.622576,78,w78_f1_c1
291050,9,12,1,5,1,1,dotA,4,antimycina,0.0,157.189,0.198674,0.401007,78,w78_f1_c1
291265,9,12,1,6,1,1,dotA,4,antimycina,0.0,186.28,0.229308,0.392595,78,w78_f1_c1
291479,9,12,1,7,1,1,dotA,4,antimycina,0.0,163.401,0.15301,0.410222,78,w78_f1_c1
291694,9,12,1,8,1,1,dotA,4,antimycina,0.0,136.262,0.119513,0.328963,78,w78_f1_c1
291909,9,12,1,9,1,1,dotA,4,antimycina,0.0,137.263,0.110855,0.189272,78,w78_f1_c1
288725,9,12,1,10,1,1,dotA,4,antimycina,0.0,143.248,0.107972,0.178287,78,w78_f1_c1
288936,9,12,1,11,1,1,dotA,4,antimycina,0.0,143.897,0.116655,0.191613,78,w78_f1_c1
289148,9,12,1,12,1,1,dotA,4,antimycina,0.0,145.897,0.134611,0.230985,78,w78_f1_c1
289362,9,12,1,13,1,1,dotA,4,antimycina,0.0,143.936,0.116921,0.175758,78,w78_f1_c1
289574,9,12,1,14,1,1,dotA,4,antimycina,0.0,141.574,0.129997,0.213278,78,w78_f1_c1
289790,9,12,1,15,1,1,dotA,4,antimycina,0.0,140.919,0.119325,0.190983,78,w78_f1_c1
290006,9,12,1,16,1,1,dotA,4,antimycina,0.0,139.671,0.107484,0.183613,78,w78_f1_c1
290222,9,12,1,17,1,1,dotA,4,antimycina,0.0,151.302,0.143273,0.299226,78,w78_f1_c1
288361,9,12,1,0,1,10,dotA,4,antimycina,0.0,150.301,0.172133,0.796638,78,w78_f1_c10
288525,9,12,1,1,1,10,dotA,4,antimycina,0.0,143.007,0.16335,0.817643,78,w78_f1_c10
290426,9,12,1,2,1,10,dotA,4,antimycina,0.0,148.825,0.165959,0.752095,78,w78_f1_c10
290632,9,12,1,3,1,10,dotA,4,antimycina,0.0,151.986,0.177659,0.717361,78,w78_f1_c10
290841,9,12,1,4,1,10,dotA,4,antimycina,0.0,143.073,0.169785,0.69383,78,w78_f1_c10
291051,9,12,1,5,1,10,dotA,4,antimycina,0.0,151.122,0.163916,0.717897,78,w78_f1_c10
291266,9,12,1,6,1,10,dotA,4,antimycina,0.0,147.995,0.179128,0.803,78,w78_f1_c10
291480,9,12,1,7,1,10,dotA,4,antimycina,0.0,148.827,0.182114,0.832986,78,w78_f1_c10
291695,9,12,1,8,1,10,dotA,4,antimycina,0.0,142.456,0.171902,0.839588,78,w78_f1_c10
