,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
398389,11,19,1,0,1,11,NI,5,none,0.0,163.785,0.311409,0.452034,105,w105_f1_c11
398573,11,19,1,1,1,11,NI,5,none,0.0,153.23,0.257511,0.435213,105,w105_f1_c11
401181,11,19,1,2,1,11,NI,5,none,0.0,146.0,0.188983,0.388652,105,w105_f1_c11
401465,11,19,1,3,1,11,NI,5,none,0.0,138.609,0.164524,0.365513,105,w105_f1_c11
401757,11,19,1,4,1,11,NI,5,none,0.0,136.178,0.168087,0.432445,105,w105_f1_c11
402050,11,19,1,5,1,11,NI,5,none,0.0,136.374,0.151262,0.422357,105,w105_f1_c11
402343,11,19,1,6,1,11,NI,5,none,0.0,138.731,0.161261,0.454713,105,w105_f1_c11
402635,11,19,1,7,1,11,NI,5,none,0.0,140.591,0.160268,0.45997,105,w105_f1_c11
402928,11,19,1,8,1,11,NI,5,none,0.0,140.718,0.175572,0.494794,105,w105_f1_c11
403224,11,19,1,9,1,11,NI,5,none,0.0,139.243,0.178003,0.476127,105,w105_f1_c11
398832,11,19,1,10,1,11,NI,5,none,0.0,150.084,0.214637,0.496139,105,w105_f1_c11
399128,11,19,1,11,1,11,NI,5,none,0.0,152.087,0.204892,0.482907,105,w105_f1_c11
399421,11,19,1,12,1,11,NI,5,none,0.0,151.923,0.195899,0.465051,105,w105_f1_c11
399718,11,19,1,13,1,11,NI,5,none,0.0,151.629,0.214343,0.454211,105,w105_f1_c11
400014,11,19,1,14,1,11,NI,5,none,0.0,159.674,0.261372,0.457365,105,w105_f1_c11
400310,11,19,1,15,1,11,NI,5,none,0.0,164.23,0.246557,0.459628,105,w105_f1_c11
400607,11,19,1,16,1,11,NI,5,none,0.0,164.528,0.240398,0.451082,105,w105_f1_c11
400903,11,19,1,17,1,11,NI,5,none,0.0,163.651,0.248408,0.465148,105,w105_f1_c11
398392,11,19,1,0,1,14,NI,5,none,0.0,158.742,0.20122,0.321473,105,w105_f1_c14
398576,11,19,1,1,1,14,NI,5,none,0.0,147.516,0.181313,0.293675,105,w105_f1_c14
401184,11,19,1,2,1,14,NI,5,none,0.0,136.878,0.120336,0.225868,105,w105_f1_c14
401468,11,19,1,3,1,14,NI,5,none,0.0,136.244,0.133509,0.294,105,w105_f1_c14
401759,11,19,1,4,1,14,NI,5,none,0.0,133.387,0.111043,0.243526,105,w105_f1_c14
402051,11,19,1,5,1,14,NI,5,none,0.0,133.291,0.119748,0.306971,105,w105_f1_c14
402344,11,19,1,6,1,14,NI,5,none,0.0,134.979,0.116217,0.272334,105,w105_f1_c14
402636,11,19,1,7,1,14,NI,5,none,0.0,137.072,0.111785,0.244132,105,w105_f1_c14
