,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
413949,12,3,1,0,1,10,WT,5,none,4.42534,139.757,0.187047,0.258786,109,w109_f1_c10
414184,12,3,1,1,1,10,WT,5,none,2.33415,131.363,0.144604,0.29757,109,w109_f1_c10
417406,12,3,1,2,1,10,WT,5,none,1.44908,124.263,0.110003,0.222631,109,w109_f1_c10
417745,12,3,1,3,1,10,WT,5,none,1.92633,122.2,0.095271,0.191312,109,w109_f1_c10
418099,12,3,1,4,1,10,WT,5,none,2.28209,121.148,0.0818868,0.167425,109,w109_f1_c10
418458,12,3,1,5,1,10,WT,5,none,2.16929,120.26,0.0738048,0.147442,109,w109_f1_c10
418819,12,3,1,6,1,10,WT,5,none,2.33415,121.549,0.0775233,0.151314,109,w109_f1_c10
419175,12,3,1,7,1,10,WT,5,none,3.79191,122.179,0.077033,0.143442,109,w109_f1_c10
419538,12,3,1,8,1,10,WT,5,none,4.84185,122.236,0.0846924,0.170445,109,w109_f1_c10
419903,12,3,1,9,1,10,WT,5,none,3.19319,121.938,0.0860883,0.141462,109,w109_f1_c10
414491,12,3,1,10,1,10,WT,5,none,4.21709,122.257,0.0823157,0.148756,109,w109_f1_c10
414860,12,3,1,11,1,10,WT,5,none,3.52292,122.631,0.0951825,0.156892,109,w109_f1_c10
415231,12,3,1,12,1,10,WT,5,none,4.19106,124.162,0.091736,0.168733,109,w109_f1_c10
415596,12,3,1,13,1,10,WT,5,none,3.9481,126.098,0.0966495,0.166434,109,w109_f1_c10
415958,12,3,1,14,1,10,WT,5,none,3.24525,125.933,0.103387,0.164028,109,w109_f1_c10
416321,12,3,1,15,1,10,WT,5,none,4.14768,130.689,0.11374,0.15638,109,w109_f1_c10
416684,12,3,1,16,1,10,WT,5,none,4.19974,133.217,0.117168,0.157518,109,w109_f1_c10
417053,12,3,1,17,1,10,WT,5,none,4.00884,135.283,0.12245,0.14466,109,w109_f1_c10
413950,12,3,1,0,1,11,WT,5,none,2.55108,144.103,0.185379,0.320105,109,w109_f1_c11
414185,12,3,1,1,1,11,WT,5,none,2.50769,135.206,0.141645,0.275539,109,w109_f1_c11
417407,12,3,1,2,1,11,WT,5,none,2.24738,133.142,0.121953,0.285936,109,w109_f1_c11
417746,12,3,1,3,1,11,WT,5,none,2.91552,133.104,0.120229,0.29955,109,w109_f1_c11
418100,12,3,1,4,1,11,WT,5,none,2.99362,132.523,0.122847,0.31866,109,w109_f1_c11
418459,12,3,1,5,1,11,WT,5,none,3.06303,141.059,0.153055,0.527418,109,w109_f1_c11
418820,12,3,1,6,1,11,WT,5,none,3.18451,133.15,0.108299,0.267617,109,w109_f1_c11
419176,12,3,1,7,1,11,WT,5,none,3.38409,131.54,0.100833,0.238817,109,w109_f1_c11
419539,12,3,1,8,1,11,WT,5,none,1.83955,132.202,0.106323,0.228727,109,w109_f1_c11
419904,12,3,1,9,1,11,WT,5,none,2.26473,133.093,0.108571,0.222156,109,w109_f1_c11
414492,12,3,1,10,1,11,WT,5,none,3.1151,133.469,0.11639,0.227204,109,w109_f1_c11
414861,12,3,1,11,1,11,WT,5,none,3.47954,134.367,0.116128,0.209222,109,w109_f1_c11
415232,12,3,1,12,1,11,WT,5,none,6.62934,137.156,0.124407,0.197846,109,w109_f1_c11
415597,12,3,1,13,1,11,WT,5,none,5.64882,139.524,0.127571,0.185195,109,w109_f1_c11
415959,12,3,1,14,1,11,WT,5,none,6.57728,138.388,0.136874,0.179178,109,w109_f1_c11
416322,12,3,1,15,1,11,WT,5,none,6.49918,144.143,0.1459,0.167694,109,w109_f1_c11
416685,12,3,1,16,1,11,WT,5,none,6.12606,146.797,0.156606,0.174218,109,w109_f1_c11
417054,12,3,1,17,1,11,WT,5,none,6.53389,152.717,0.167287,0.16381,109,w109_f1_c11
413951,12,3,1,0,1,12,WT,5,none,0.0,154.773,0.200589,0.379932,109,w109_f1_c12
414186,12,3,1,1,1,12,WT,5,none,0.0,145.166,0.161241,0.359233,109,w109_f1_c12
417408,12,3,1,2,1,12,WT,5,none,0.0,137.734,0.142763,0.349533,109,w109_f1_c12
417747,12,3,1,3,1,12,WT,5,none,0.0,136.07,0.123092,0.298827,109,w109_f1_c12
418101,12,3,1,4,1,12,WT,5,none,0.0,134.693,0.123333,0.307856,109,w109_f1_c12
418460,12,3,1,5,1,12,WT,5,none,0.0,135.172,0.125574,0.320817,109,w109_f1_c12
418821,12,3,1,6,1,12,WT,5,none,0.0,138.639,0.13426,0.31654,109,w109_f1_c12
419177,12,3,1,7,1,12,WT,5,none,0.0,138.741,0.136787,0.313729,109,w109_f1_c12
419540,12,3,1,8,1,12,WT,5,none,0.0,140.73,0.143247,0.295768,109,w109_f1_c12
419905,12,3,1,9,1,12,WT,5,none,0.0,141.087,0.152314,0.293791,109,w109_f1_c12
414493,12,3,1,10,1,12,WT,5,none,0.0,143.794,0.162991,0.291867,109,w109_f1_c12
414862,12,3,1,11,1,12,WT,5,none,0.0,146.034,0.175272,0.29403,109,w109_f1_c12
415233,12,3,1,12,1,12,WT,5,none,0.0,147.584,0.168082,0.228083,109,w109_f1_c12
415598,12,3,1,13,1,12,WT,5,none,0.0,151.437,0.189064,0.267947,109,w109_f1_c12
415960,12,3,1,14,1,12,WT,5,none,0.0,152.247,0.188099,0.247981,109,w109_f1_c12
416323,12,3,1,15,1,12,WT,5,none,0.0,159.086,0.196765,0.251711,109,w109_f1_c12
416686,12,3,1,16,1,12,WT,5,none,0.0,160.196,0.21114,0.248412,109,w109_f1_c12
417055,12,3,1,17,1,12,WT,5,none,0.0,168.032,0.22198,0.244392,109,w109_f1_c12
413952,12,3,1,0,1,13,WT,5,none,0.54666,128.304,0.0936126,0.305826,109,w109_f1_c13
414187,12,3,1,1,1,13,WT,5,none,3.88736,124.866,0.0785348,0.287612,109,w109_f1_c13
417409,12,3,1,2,1,13,WT,5,none,0.0,123.354,0.0726922,0.259169,109,w109_f1_c13
417748,12,3,1,3,1,13,WT,5,none,0.0,124.045,0.0727179,0.178789,109,w109_f1_c13
418102,12,3,1,4,1,13,WT,5,none,0.0,120.613,0.0524934,0.0583107,109,w109_f1_c13
418461,12,3,1,5,1,13,WT,5,none,0.0,121.748,0.052468,0.0712131,109,w109_f1_c13
418822,12,3,1,6,1,13,WT,5,none,0.0,123.968,0.0570846,0.0691666,109,w109_f1_c13
419178,12,3,1,7,1,13,WT,5,none,0.0,124.31,0.0591808,0.0688471,109,w109_f1_c13
419541,12,3,1,8,1,13,WT,5,none,0.0,125.689,0.0626842,0.0789578,109,w109_f1_c13
419906,12,3,1,9,1,13,WT,5,none,0.0,125.987,0.0660644,0.0666845,109,w109_f1_c13
414494,12,3,1,10,1,13,WT,5,none,0.0,127.352,0.0702304,0.0654162,109,w109_f1_c13
414863,12,3,1,11,1,13,WT,5,none,0.0,127.601,0.073257,0.0665017,109,w109_f1_c13
415234,12,3,1,12,1,13,WT,5,none,0.0,129.357,0.0762499,0.0725418,109,w109_f1_c13
415599,12,3,1,13,1,13,WT,5,none,0.0,128.926,0.0753051,0.0786463,109,w109_f1_c13
415961,12,3,1,14,1,13,WT,5,none,0.0,130.128,0.0856229,0.0631786,109,w109_f1_c13
416324,12,3,1,15,1,13,WT,5,none,0.0,132.567,0.0880262,0.0686964,109,w109_f1_c13
416687,12,3,1,16,1,13,WT,5,none,0.0,133.63,0.0912961,0.0759649,109,w109_f1_c13
417056,12,3,1,17,1,13,WT,5,none,0.0,135.0,0.095706,0.109146,109,w109_f1_c13
413955,12,3,1,0,1,16,WT,5,none,2.61182,171.42,0.273249,0.405177,109,w109_f1_c16
414188,12,3,1,1,1,16,WT,5,none,4.37328,152.283,0.239012,0.433947,109,w109_f1_c16
417410,12,3,1,2,1,16,WT,5,none,5.50999,146.289,0.204464,0.440499,109,w109_f1_c16
417749,12,3,1,3,1,16,WT,5,none,5.02407,150.082,0.197624,0.542938,109,w109_f1_c16
418103,12,3,1,4,1,16,WT,5,none,2.02177,140.537,0.160767,0.381419,109,w109_f1_c16
