,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
386494,11,11,1,1,1,10,dotA,5,none,0.0,156.433,0.211408,0.449256,101,w101_f1_c10
388075,11,11,1,2,1,10,dotA,5,none,0.0,142.713,0.158432,0.341314,101,w101_f1_c10
388228,11,11,1,3,1,10,dotA,5,none,0.0,137.104,0.132262,0.231692,101,w101_f1_c10
388389,11,11,1,4,1,10,dotA,5,none,0.0,131.355,0.109181,0.182455,101,w101_f1_c10
388557,11,11,1,5,1,10,dotA,5,none,0.0,134.697,0.130021,0.230604,101,w101_f1_c10
388726,11,11,1,6,1,10,dotA,5,none,0.0,143.979,0.157214,0.244587,101,w101_f1_c10
388896,11,11,1,7,1,10,dotA,5,none,0.0,138.164,0.128398,0.161778,101,w101_f1_c10
389071,11,11,1,8,1,10,dotA,5,none,0.0,137.761,0.137006,0.171244,101,w101_f1_c10
389253,11,11,1,9,1,10,dotA,5,none,0.0,144.874,0.164116,0.221112,101,w101_f1_c10
386620,11,11,1,10,1,10,dotA,5,none,0.0,143.878,0.154782,0.185083,101,w101_f1_c10
386799,11,11,1,11,1,10,dotA,5,none,0.0,144.187,0.153409,0.17384,101,w101_f1_c10
386983,11,11,1,12,1,10,dotA,5,none,0.0,144.391,0.14852,0.171715,101,w101_f1_c10
387167,11,11,1,13,1,10,dotA,5,none,0.0,147.342,0.165937,0.196089,101,w101_f1_c10
387351,11,11,1,14,1,10,dotA,5,none,0.0,154.08,0.19105,0.208686,101,w101_f1_c10
387535,11,11,1,15,1,10,dotA,5,none,0.0,152.992,0.188607,0.207014,101,w101_f1_c10
387720,11,11,1,16,1,10,dotA,5,none,0.0,155.11,0.190596,0.200159,101,w101_f1_c10
387906,11,11,1,17,1,10,dotA,5,none,0.0,153.988,0.215943,0.208669,101,w101_f1_c10
386496,11,11,1,1,1,12,dotA,5,none,3.05436,156.264,0.271705,0.391769,101,w101_f1_c12
388077,11,11,1,2,1,12,dotA,5,none,1.8222,141.768,0.202491,0.331323,101,w101_f1_c12
388230,11,11,1,3,1,12,dotA,5,none,2.70727,133.062,0.152361,0.279038,101,w101_f1_c12
388391,11,11,1,4,1,12,dotA,5,none,2.42092,133.556,0.136994,0.248227,101,w101_f1_c12
388559,11,11,1,5,1,12,dotA,5,none,2.80272,131.763,0.137196,0.263679,101,w101_f1_c12
388728,11,11,1,6,1,12,dotA,5,none,2.34283,135.695,0.151911,0.296168,101,w101_f1_c12
388898,11,11,1,7,1,12,dotA,5,none,3.35806,139.026,0.140418,0.272941,101,w101_f1_c12
389073,11,11,1,8,1,12,dotA,5,none,2.8114,136.923,0.145798,0.270549,101,w101_f1_c12
389254,11,11,1,9,1,12,dotA,5,none,2.78536,135.891,0.151577,0.266925,101,w101_f1_c12
386621,11,11,1,10,1,12,dotA,5,none,3.10642,143.626,0.184894,0.247704,101,w101_f1_c12
386800,11,11,1,11,1,12,dotA,5,none,2.98494,143.411,0.166954,0.263647,101,w101_f1_c12
386984,11,11,1,12,1,12,dotA,5,none,2.19532,145.449,0.150172,0.234887,101,w101_f1_c12
387168,11,11,1,13,1,12,dotA,5,none,3.35806,142.858,0.175998,0.220964,101,w101_f1_c12
387352,11,11,1,14,1,12,dotA,5,none,3.26261,149.446,0.192652,0.22938,101,w101_f1_c12
387536,11,11,1,15,1,12,dotA,5,none,1.90897,148.313,0.161863,0.216446,101,w101_f1_c12
387721,11,11,1,16,1,12,dotA,5,none,2.36018,147.56,0.165949,0.212683,101,w101_f1_c12
387907,11,11,1,17,1,12,dotA,5,none,2.51637,144.151,0.185638,0.198746,101,w101_f1_c12
386497,11,11,1,1,1,13,dotA,5,none,0.0,120.326,0.0925694,0.358571,101,w101_f1_c13
388078,11,11,1,2,1,13,dotA,5,none,0.0,122.484,0.0889308,0.339352,101,w101_f1_c13
388231,11,11,1,3,1,13,dotA,5,none,0.0,121.342,0.084672,0.323841,101,w101_f1_c13
