,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
212285,7,21,1,0,1,1,NI,8,menadione,0.0,6194.63,0.278933,0.0475624,59,w59_f1_c1
212372,7,21,1,1,1,1,NI,8,menadione,0.0,6991.04,0.283586,0.0506047,59,w59_f1_c1
213966,7,21,1,2,1,1,NI,8,menadione,0.0,6902.22,0.23539,0.0484934,59,w59_f1_c1
214126,7,21,1,3,1,1,NI,8,menadione,0.0,6621.93,0.259349,0.0515136,59,w59_f1_c1
214292,7,21,1,4,1,1,NI,8,menadione,0.0,6324.83,0.29114,0.0542646,59,w59_f1_c1
214461,7,21,1,5,1,1,NI,8,menadione,0.0,6256.81,0.287805,0.0550291,59,w59_f1_c1
214636,7,21,1,6,1,1,NI,8,menadione,0.0,6094.3,0.303341,0.0589025,59,w59_f1_c1
214813,7,21,1,7,1,1,NI,8,menadione,0.0,6039.12,0.304387,0.0619851,59,w59_f1_c1
214992,7,21,1,8,1,1,NI,8,menadione,0.0,5905.68,0.311873,0.0648364,59,w59_f1_c1
215170,7,21,1,9,1,1,NI,8,menadione,0.0,6011.6,0.314842,0.0688177,59,w59_f1_c1
212515,7,21,1,10,1,1,NI,8,menadione,0.0,6055.51,0.305496,0.0683461,59,w59_f1_c1
212695,7,21,1,11,1,1,NI,8,menadione,0.0,5988.15,0.30165,0.0696884,59,w59_f1_c1
212876,7,21,1,12,1,1,NI,8,menadione,0.0,5944.19,0.313377,0.0746607,59,w59_f1_c1
213058,7,21,1,13,1,1,NI,8,menadione,0.0,5940.05,0.318767,0.0767292,59,w59_f1_c1
213243,7,21,1,14,1,1,NI,8,menadione,0.0,5900.11,0.316216,0.0754122,59,w59_f1_c1
213428,7,21,1,15,1,1,NI,8,menadione,0.0,5833.27,0.330209,0.0810619,59,w59_f1_c1
213610,7,21,1,16,1,1,NI,8,menadione,0.0,5743.33,0.323196,0.0800482,59,w59_f1_c1
213792,7,21,1,17,1,1,NI,8,menadione,0.0,5786.07,0.322074,0.0777209,59,w59_f1_c1
213967,7,21,1,2,1,10,NI,8,menadione,0.0,148.833,0.879801,0.214916,59,w59_f1_c10
214127,7,21,1,3,1,10,NI,8,menadione,0.0,149.848,0.919436,0.220408,59,w59_f1_c10
214293,7,21,1,4,1,10,NI,8,menadione,0.0,143.502,0.640747,0.197367,59,w59_f1_c10
214462,7,21,1,5,1,10,NI,8,menadione,0.0,146.958,0.750611,0.208415,59,w59_f1_c10
214637,7,21,1,6,1,10,NI,8,menadione,0.0,145.754,0.69674,0.233404,59,w59_f1_c10
214814,7,21,1,7,1,10,NI,8,menadione,0.0,145.346,0.630622,0.222209,59,w59_f1_c10
214993,7,21,1,8,1,10,NI,8,menadione,0.0,145.006,0.506428,0.226926,59,w59_f1_c10
215171,7,21,1,9,1,10,NI,8,menadione,0.0,155.293,0.914465,0.255181,59,w59_f1_c10
212516,7,21,1,10,1,10,NI,8,menadione,0.0,155.908,0.873473,0.249208,59,w59_f1_c10
212696,7,21,1,11,1,10,NI,8,menadione,0.0,159.303,1.0355,0.25428,59,w59_f1_c10
212877,7,21,1,12,1,10,NI,8,menadione,0.0,160.213,1.01314,0.266187,59,w59_f1_c10
213059,7,21,1,13,1,10,NI,8,menadione,0.0,161.474,1.05468,0.285934,59,w59_f1_c10
213244,7,21,1,14,1,10,NI,8,menadione,0.0,159.248,0.96852,0.274645,59,w59_f1_c10
213429,7,21,1,15,1,10,NI,8,menadione,0.0,159.611,1.02254,0.279836,59,w59_f1_c10
213611,7,21,1,16,1,10,NI,8,menadione,0.0,157.433,0.789238,0.290006,59,w59_f1_c10
213793,7,21,1,17,1,10,NI,8,menadione,0.0,162.357,0.858001,0.275368,59,w59_f1_c10
213968,7,21,1,2,1,11,NI,8,menadione,0.0,6760.15,0.251867,0.0502839,59,w59_f1_c11
214128,7,21,1,3,1,11,NI,8,menadione,0.0,6795.35,0.272809,0.0534717,59,w59_f1_c11
214294,7,21,1,4,1,11,NI,8,menadione,0.0,6977.27,0.313197,0.0566728,59,w59_f1_c11
214463,7,21,1,5,1,11,NI,8,menadione,0.0,7072.32,0.329626,0.0615868,59,w59_f1_c11
214638,7,21,1,6,1,11,NI,8,menadione,0.0,7016.12,0.344359,0.0641779,59,w59_f1_c11
214815,7,21,1,7,1,11,NI,8,menadione,0.0,7106.42,0.355665,0.0677344,59,w59_f1_c11
214994,7,21,1,8,1,11,NI,8,menadione,0.0,7152.88,0.359033,0.0707209,59,w59_f1_c11
