,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
180929,7,5,1,0,1,12,WT,8,menadione,0.0,128.351,0.350553,0.134094,51,w51_f1_c12
181079,7,5,1,1,1,12,WT,8,menadione,0.0,129.962,0.392223,0.123893,51,w51_f1_c12
183766,7,5,1,2,1,12,WT,8,menadione,0.0,130.26,0.468282,0.100308,51,w51_f1_c12
184045,7,5,1,3,1,12,WT,8,menadione,0.0,127.126,0.291054,0.101529,51,w51_f1_c12
184334,7,5,1,4,1,12,WT,8,menadione,0.0,126.914,0.315145,0.102615,51,w51_f1_c12
184627,7,5,1,5,1,12,WT,8,menadione,0.0,129.529,0.260764,0.0998411,51,w51_f1_c12
184917,7,5,1,6,1,12,WT,8,menadione,0.0,131.103,0.355848,0.121839,51,w51_f1_c12
185213,7,5,1,7,1,12,WT,8,menadione,0.0,129.411,0.289984,0.135439,51,w51_f1_c12
185507,7,5,1,8,1,12,WT,8,menadione,0.0,129.887,0.298873,0.136619,51,w51_f1_c12
185807,7,5,1,9,1,12,WT,8,menadione,0.0,136.356,0.524414,0.129379,51,w51_f1_c12
181337,7,5,1,10,1,12,WT,8,menadione,0.0,129.882,0.229108,0.135379,51,w51_f1_c12
181641,7,5,1,11,1,12,WT,8,menadione,0.0,132.937,0.345488,0.136637,51,w51_f1_c12
181944,7,5,1,12,1,12,WT,8,menadione,0.0,137.237,0.465073,0.142033,51,w51_f1_c12
182248,7,5,1,13,1,12,WT,8,menadione,0.0,138.052,0.598253,0.146551,51,w51_f1_c12
182554,7,5,1,14,1,12,WT,8,menadione,0.0,136.272,0.405993,0.150039,51,w51_f1_c12
182852,7,5,1,15,1,12,WT,8,menadione,0.0,135.994,0.417519,0.153737,51,w51_f1_c12
183158,7,5,1,16,1,12,WT,8,menadione,0.0,131.233,0.25356,0.157467,51,w51_f1_c12
183469,7,5,1,17,1,12,WT,8,menadione,0.0,129.018,0.232462,0.141695,51,w51_f1_c12
180931,7,5,1,0,1,14,WT,8,menadione,4.80714,136.986,0.365361,0.177866,51,w51_f1_c14
181081,7,5,1,1,1,14,WT,8,menadione,0.0,130.074,0.495114,0.106081,51,w51_f1_c14
183767,7,5,1,2,1,14,WT,8,menadione,3.48821,152.452,1.50901,0.13034,51,w51_f1_c14
184046,7,5,1,3,1,14,WT,8,menadione,2.68124,134.525,0.275028,0.133617,51,w51_f1_c14
184335,7,5,1,4,1,14,WT,8,menadione,6.29093,144.759,1.06924,0.16447,51,w51_f1_c14
184628,7,5,1,5,1,14,WT,8,menadione,8.36477,142.167,0.961937,0.174549,51,w51_f1_c14
184918,7,5,1,6,1,14,WT,8,menadione,9.67502,142.226,0.946605,0.170071,51,w51_f1_c14
185214,7,5,1,7,1,14,WT,8,menadione,11.072,146.742,0.880415,0.193805,51,w51_f1_c14
185508,7,5,1,8,1,14,WT,8,menadione,11.905,165.038,1.43421,0.216882,51,w51_f1_c14
185808,7,5,1,9,1,14,WT,8,menadione,12.7294,164.334,1.21774,0.189352,51,w51_f1_c14
181338,7,5,1,10,1,14,WT,8,menadione,8.8073,169.981,1.54136,0.233857,51,w51_f1_c14
181642,7,5,1,11,1,14,WT,8,menadione,10.6816,171.522,1.51767,0.233666,51,w51_f1_c14
181945,7,5,1,12,1,14,WT,8,menadione,12.9637,173.327,1.52656,0.233948,51,w51_f1_c14
182249,7,5,1,13,1,14,WT,8,menadione,8.26932,173.206,1.43151,0.233975,51,w51_f1_c14
182555,7,5,1,14,1,14,WT,8,menadione,9.51015,181.508,1.48732,0.259453,51,w51_f1_c14
182853,7,5,1,15,1,14,WT,8,menadione,9.53618,187.598,1.51401,0.244108,51,w51_f1_c14
183159,7,5,1,16,1,14,WT,8,menadione,10.6382,182.162,1.32934,0.265717,51,w51_f1_c14
183470,7,5,1,17,1,14,WT,8,menadione,10.6555,186.952,1.63183,0.255975,51,w51_f1_c14
180932,7,5,1,0,1,15,WT,8,menadione,1.34496,131.529,0.154617,0.186136,51,w51_f1_c15
181082,7,5,1,1,1,15,WT,8,menadione,0.0,138.522,0.336408,0.136434,51,w51_f1_c15
183768,7,5,1,2,1,15,WT,8,menadione,0.0,143.051,0.37443,0.128325,51,w51_f1_c15
184047,7,5,1,3,1,15,WT,8,menadione,0.0,157.043,0.561577,0.145522,51,w51_f1_c15
184336,7,5,1,4,1,15,WT,8,menadione,1.20612,164.806,0.538515,0.150071,51,w51_f1_c15
184629,7,5,1,5,1,15,WT,8,menadione,1.37967,162.757,0.554626,0.150787,51,w51_f1_c15
184919,7,5,1,6,1,15,WT,8,menadione,1.39702,179.554,0.80393,0.17708,51,w51_f1_c15
