,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
307974,9,21,1,0,1,1,NI,9,nac,0.0,119.676,0.12476,0.252814,83,w83_f1_c1
308069,9,21,1,1,1,1,NI,9,nac,0.0,118.93,0.191502,0.146404,83,w83_f1_c1
309433,9,21,1,2,1,1,NI,9,nac,0.0,124.733,0.459205,0.110415,83,w83_f1_c1
309578,9,21,1,3,1,1,NI,9,nac,0.0,127.49,0.638812,0.0918187,83,w83_f1_c1
309731,9,21,1,4,1,1,NI,9,nac,0.0,128.795,0.694841,0.116864,83,w83_f1_c1
309885,9,21,1,5,1,1,NI,9,nac,0.0,133.809,0.703299,0.141644,83,w83_f1_c1
310042,9,21,1,6,1,1,NI,9,nac,0.0,136.337,0.729353,0.11533,83,w83_f1_c1
310196,9,21,1,7,1,1,NI,9,nac,0.0,133.968,0.785496,0.106101,83,w83_f1_c1
310347,9,21,1,8,1,1,NI,9,nac,0.0,126.011,0.487719,0.122041,83,w83_f1_c1
310501,9,21,1,9,1,1,NI,9,nac,0.0,132.402,0.628836,0.119532,83,w83_f1_c1
308202,9,21,1,10,1,1,NI,9,nac,0.0,130.184,0.63947,0.134185,83,w83_f1_c1
308355,9,21,1,11,1,1,NI,9,nac,0.0,134.069,0.777821,0.126537,83,w83_f1_c1
308510,9,21,1,12,1,1,NI,9,nac,0.0,131.59,0.777672,0.109679,83,w83_f1_c1
308666,9,21,1,13,1,1,NI,9,nac,0.0,128.392,0.520832,0.135041,83,w83_f1_c1
308822,9,21,1,14,1,1,NI,9,nac,0.0,128.466,0.528903,0.131231,83,w83_f1_c1
308976,9,21,1,15,1,1,NI,9,nac,0.0,128.927,0.529136,0.119584,83,w83_f1_c1
309131,9,21,1,16,1,1,NI,9,nac,0.0,133.701,0.612206,0.117638,83,w83_f1_c1
309287,9,21,1,17,1,1,NI,9,nac,0.0,128.496,0.459131,0.135927,83,w83_f1_c1
307975,9,21,1,0,1,10,NI,9,nac,0.0,191.315,0.554178,0.147233,83,w83_f1_c10
308070,9,21,1,1,1,10,NI,9,nac,0.0,144.181,0.333051,0.104253,83,w83_f1_c10
309434,9,21,1,2,1,10,NI,9,nac,0.0,141.489,0.291607,0.0824721,83,w83_f1_c10
309579,9,21,1,3,1,10,NI,9,nac,0.0,144.351,0.362492,0.0752005,83,w83_f1_c10
309732,9,21,1,4,1,10,NI,9,nac,0.0,142.142,0.283226,0.0781449,83,w83_f1_c10
309886,9,21,1,5,1,10,NI,9,nac,0.0,145.889,0.349352,0.0751661,83,w83_f1_c10
310043,9,21,1,6,1,10,NI,9,nac,0.0,145.717,0.312866,0.0822561,83,w83_f1_c10
310197,9,21,1,7,1,10,NI,9,nac,0.0,146.68,0.372057,0.0766856,83,w83_f1_c10
310348,9,21,1,8,1,10,NI,9,nac,0.0,146.38,0.29777,0.0729087,83,w83_f1_c10
310502,9,21,1,9,1,10,NI,9,nac,0.0,144.76,0.281652,0.0784235,83,w83_f1_c10
308203,9,21,1,10,1,10,NI,9,nac,0.0,151.285,0.401318,0.0809684,83,w83_f1_c10
308356,9,21,1,11,1,10,NI,9,nac,0.0,150.674,0.507627,0.0896451,83,w83_f1_c10
308511,9,21,1,12,1,10,NI,9,nac,0.0,147.838,0.406555,0.0857567,83,w83_f1_c10
308667,9,21,1,13,1,10,NI,9,nac,0.0,151.923,0.438018,0.0867262,83,w83_f1_c10
308823,9,21,1,14,1,10,NI,9,nac,0.0,152.069,0.407398,0.0852482,83,w83_f1_c10
308977,9,21,1,15,1,10,NI,9,nac,0.0,154.445,0.483278,0.0839992,83,w83_f1_c10
309132,9,21,1,16,1,10,NI,9,nac,0.0,154.35,0.463307,0.0862624,83,w83_f1_c10
309288,9,21,1,17,1,10,NI,9,nac,0.0,155.652,0.410706,0.0893026,83,w83_f1_c10
307976,9,21,1,0,1,11,NI,9,nac,0.0,133.716,0.290978,0.147891,83,w83_f1_c11
308071,9,21,1,1,1,11,NI,9,nac,0.0,143.775,0.598353,0.120498,83,w83_f1_c11
309435,9,21,1,2,1,11,NI,9,nac,0.0,142.388,0.691419,0.0942675,83,w83_f1_c11
309580,9,21,1,3,1,11,NI,9,nac,0.0,145.293,0.562851,0.0855193,83,w83_f1_c11
309733,9,21,1,4,1,11,NI,9,nac,0.0,146.544,0.753705,0.0858681,83,w83_f1_c11
309887,9,21,1,5,1,11,NI,9,nac,0.0,145.928,0.713177,0.09326,83,w83_f1_c11
310044,9,21,1,6,1,11,NI,9,nac,0.0,150.022,0.721339,0.0940754,83,w83_f1_c11
310198,9,21,1,7,1,11,NI,9,nac,0.0,156.495,0.733945,0.0969066,83,w83_f1_c11
310349,9,21,1,8,1,11,NI,9,nac,0.0,151.862,0.781097,0.110671,83,w83_f1_c11
310503,9,21,1,9,1,11,NI,9,nac,0.0,151.373,0.859053,0.115357,83,w83_f1_c11
308204,9,21,1,10,1,11,NI,9,nac,0.0,148.088,0.518317,0.120286,83,w83_f1_c11
307977,9,21,1,0,1,12,NI,9,nac,0.0,2512.86,0.465958,0.0502624,83,w83_f1_c12
308072,9,21,1,1,1,12,NI,9,nac,0.0,7776.14,0.321022,0.0514578,83,w83_f1_c12
