,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id
2072,1,Lpp WT,0.338447,0.360766,1.0,258.21,0.0,0.0,0.0,w1_f10_c11,
2073,2,Lpp WT,0.508826,0.0747408,0.9274237731587597,1024.42,0.0,0.0,0.0,w1_f10_c11,
2074,3,Lpp WT,0.520246,0.0917863,1.4806232319957064,1361.62,1.0,4.10432,1.0,w1_f10_c11,
2075,4,Lpp WT,0.50349,0.107704,1.9145879222245825,2464.86,1.0,4.02573,1.0,w1_f10_c11,
2076,5,Lpp WT,0.5120560000000001,0.103647,2.1015966546283975,2915.39,1.0,3.86854,1.0,w1_f10_c11,
2077,6,Lpp WT,0.524626,0.078108,3.422381117434618,799.544,8.0,2.09582,1.0,w1_f10_c11,
2078,7,Lpp WT,0.523187,0.0746969,3.912603284993906,508.603,10.0,1.54567,1.0,w1_f10_c11,
2079,8,Lpp WT,0.521633,0.0788064,5.278324407124567,763.06,4.0,5.70239,1.0,w1_f10_c11,
2080,9,Lpp WT,0.5243359999999999,0.0767313999999999,5.282142737345841,534.403,1.0,0.489026,1.0,w1_f10_c11,
2081,10,Lpp WT,0.514681,0.0824504,4.927731252166328,376.878,2.0,1.53694,1.0,w1_f10_c11,
2082,11,Lpp WT,0.510267,0.0829538,5.5034437648847785,334.955,3.0,3.85981,1.0,w1_f10_c11,
2083,12,Lpp WT,0.510221,0.0998335,7.2844572156937275,581.795,2.0,2.91669,1.0,w1_f10_c11,
2084,13,Lpp WT,0.513121,0.0895026999999999,6.8553283316748095,578.817,4.0,2.42766,1.0,w1_f10_c11,
2085,14,Lpp WT,0.514541,0.0964004,6.784719970482014,422.571,3.0,1.97357,1.0,w1_f10_c11,
2086,15,Lpp WT,0.514332,0.0753192,6.133982579916589,428.499,3.0,1.72032,1.0,w1_f10_c11,
2087,16,Lpp WT,0.520093,0.0757123999999999,5.667956214989322,427.142,2.0,1.82511,1.0,w1_f10_c11,
2088,17,Lpp WT,0.50812,0.0943706,6.520567550342698,459.232,3.0,2.20062,1.0,w1_f10_c11,
2089,1,Lpp WT,0.423,0.258739,1.0,385.783,4.0,15.9719,1.0,w1_f10_c12,
2090,2,Lpp WT,0.493414,0.150916,6.16949696964574,437.036,3.0,9.0819,1.0,w1_f10_c12,
2091,3,Lpp WT,0.5032439999999999,0.121833,9.220391706042957,346.266,3.0,8.88979,1.0,w1_f10_c12,
2092,4,Lpp WT,0.469613,0.206994,11.040971065822507,388.874,3.0,9.73685,1.0,w1_f10_c12,
2093,5,Lpp WT,0.471572,0.184952,11.866055805854458,438.485,3.0,8.2785,1.0,w1_f10_c12,
2094,6,Lpp WT,0.462103,0.2160679999999999,11.956501525743219,449.884,4.0,7.36158,1.0,w1_f10_c12,
2095,7,Lpp WT,0.460913,0.243121,11.36759000194416,472.51,3.0,7.69342,1.0,w1_f10_c12,
2096,8,Lpp WT,0.462395,0.1993359999999999,12.773894153149119,676.58,2.0,11.7017,1.0,w1_f10_c12,
2097,9,Lpp WT,0.476472,0.164177,11.252123783843183,485.584,2.0,9.74558,1.0,w1_f10_c12,
2098,10,Lpp WT,0.484054,0.169312,10.540307515447623,601.05,3.0,14.8978,1.0,w1_f10_c12,
2099,11,Lpp WT,0.485971,0.159542,8.829277364056702,434.80300000000005,5.0,8.924719999999999,1.0,w1_f10_c12,
2100,12,Lpp WT,0.473416,0.1993079999999999,10.545886410319264,763.133,2.0,14.3477,1.0,w1_f10_c12,
2101,13,Lpp WT,0.471752,0.220413,9.71074275377632,785.179,6.0,14.5922,1.0,w1_f10_c12,
2102,14,Lpp WT,0.468107,0.22074,9.461974759727143,553.089,3.0,8.3309,1.0,w1_f10_c12,
2103,15,Lpp WT,0.4933109999999999,0.149695,9.259359441434285,571.367,3.0,10.3132,1.0,w1_f10_c12,
2104,16,Lpp WT,0.483847,0.166125,10.012341191685756,582.354,3.0,8.41823,1.0,w1_f10_c12,
2105,17,Lpp WT,0.469578,0.20668,10.56532801365984,796.922,2.0,12.7583,1.0,w1_f10_c12,
2106,2,Lpp WT,0.52156,0.0837443,1.0,222.639,3.0,3.51924,1.0,w1_f10_c13,
2107,4,Lpp WT,0.520034,0.0880986,0.9359909878304526,229.391,3.0,4.55842,1.0,w1_f10_c13,
2108,5,Lpp WT,0.522171,0.0966744,1.0086983807719594,253.251,1.0,3.88601,1.0,w1_f10_c13,
2109,6,Lpp WT,0.510217,0.127584,1.0296150337956356,262.819,1.0,3.28346,1.0,w1_f10_c13,
2110,7,Lpp WT,0.49849,0.15692,0.9660815772855905,276.82,1.0,3.78122,1.0,w1_f10_c13,
2111,8,Lpp WT,0.5016520000000001,0.1376359999999999,0.9465993872348386,290.29200000000003,1.0,3.87727,1.0,w1_f10_c13,
2112,9,Lpp WT,0.526011,0.0594575,0.9100654083931675,278.955,1.0,4.2964400000000005,1.0,w1_f10_c13,
2113,11,Lpp WT,0.514273,0.07433,0.7147699012247507,221.159,1.0,4.72434,1.0,w1_f10_c13,
2114,14,Lpp WT,0.498403,0.135006,0.7170073516227361,244.495,1.0,4.52349,1.0,w1_f10_c13,
2115,15,Lpp WT,0.520063,0.0728283,0.7559132617661044,247.893,1.0,4.55842,1.0,w1_f10_c13,
2116,16,Lpp WT,0.514724,0.085997,0.7581702021501352,250.209,1.0,3.83361,1.0,w1_f10_c13,
2117,17,Lpp WT,0.502075,0.115559,0.8407492730235204,263.926,3.0,3.67642,1.0,w1_f10_c13,
2118,4,Lpp WT,0.469956,0.107826,1.0,386.851,0.0,0.0,0.0,w1_f10_c14,
2119,5,Lpp WT,0.484084,0.0887981,1.5068378699265643,499.465,0.0,0.0,0.0,w1_f10_c14,
2120,6,Lpp WT,0.494044,0.0903385,1.9810348835017935,576.0840000000001,0.0,0.0,0.0,w1_f10_c14,
2121,7,Lpp WT,0.5052399999999999,0.0872528,2.4742912423753194,656.285,0.0,0.0,0.0,w1_f10_c14,
2122,8,Lpp WT,0.504703,0.0878973,2.9716308492527657,772.296,0.0,0.0,0.0,w1_f10_c14,
2123,9,Lpp WT,0.51169,0.0756205,3.366242218271592,1020.77,0.0,0.0,0.0,w1_f10_c14,
2124,10,Lpp WT,0.481351,0.183999,6.990520582710899,1175.33,3.0,4.75927,1.0,w1_f10_c14,
2125,11,Lpp WT,0.48318,0.170074,6.066249128383599,1214.21,1.0,2.99528,1.0,w1_f10_c14,
2126,12,Lpp WT,0.478254,0.178495,6.861113030586668,920.674,2.0,3.11754,1.0,w1_f10_c14,
