,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id
40920,0,Lpp dotA,0.324368,0.6092770000000001,1.0,214.354,10.0,13.2474,1.0,w10_f10_c1,
40921,1,Lpp dotA,0.351986,0.463817,1.0025771942620958,264.43,10.0,16.8365,1.0,w10_f10_c1,
40922,2,Lpp dotA,0.346301,0.487212,0.9969851689764162,380.632,8.0,14.7232,1.0,w10_f10_c1,
40923,3,Lpp dotA,0.362718,0.421415,1.001669503201232,351.149,9.0,19.9627,1.0,w10_f10_c1,
40924,4,Lpp dotA,0.358096,0.364917,1.0051381797552477,386.491,12.0,16.7317,1.0,w10_f10_c1,
40925,5,Lpp dotA,0.374629,0.380376,0.9993030229354081,422.165,10.0,13.2648,1.0,w10_f10_c1,
40926,6,Lpp dotA,0.385769,0.357157,1.0030067266391116,518.457,9.0,15.544,1.0,w10_f10_c1,
40927,7,Lpp dotA,0.39988,0.304525,1.0034119458627118,500.415,8.0,16.4697,1.0,w10_f10_c1,
40928,8,Lpp dotA,0.391026,0.312271,1.0050247183726397,539.085,11.0,18.4433,1.0,w10_f10_c1,
40929,9,Lpp dotA,0.386474,0.36361,1.0070102925682793,543.0369999999999,6.0,12.8457,1.0,w10_f10_c1,
40930,10,Lpp dotA,0.378605,0.350054,0.999505632547208,362.42800000000005,9.0,12.3304,1.0,w10_f10_c1,
40931,11,Lpp dotA,0.386861,0.38387,1.0068482048788394,476.9330000000001,14.0,19.2379,1.0,w10_f10_c1,
40932,12,Lpp dotA,0.380459,0.404207,1.0093362509117432,476.672,11.0,15.544,1.0,w10_f10_c1,
40933,13,Lpp dotA,0.380738,0.404865,1.0102034200502472,502.139,12.0,12.8282,1.0,w10_f10_c1,
40934,14,Lpp dotA,0.393857,0.3859889999999999,1.0043358456925195,522.965,11.0,16.7491,1.0,w10_f10_c1,
40935,15,Lpp dotA,0.373354,0.4217109999999999,1.013582948375071,491.145,9.0,15.4567,1.0,w10_f10_c1,
40936,16,Lpp dotA,0.375294,0.437184,1.0138341842937029,511.231,5.0,12.2693,1.0,w10_f10_c1,
40937,17,Lpp dotA,0.376682,0.421267,1.0088661966123673,510.0630000000001,6.0,10.645,1.0,w10_f10_c1,
40938,0,Lpp dotA,0.384471,0.340312,1.0,389.888,6.0,4.64574,1.0,w10_f10_c2,
40939,1,Lpp dotA,0.377898,0.37128,0.9983634057526287,458.842,2.0,3.12627,1.0,w10_f10_c2,
40940,2,Lpp dotA,0.440314,0.236066,1.0046561106337712,498.355,2.0,2.61978,1.0,w10_f10_c2,
40941,3,Lpp dotA,0.445982,0.203928,1.0117098318399411,544.876,4.0,1.93864,1.0,w10_f10_c2,
40942,4,Lpp dotA,0.440115,0.200723,1.0137719405916288,522.35,2.0,5.69366,1.0,w10_f10_c2,
40943,5,Lpp dotA,0.438922,0.253242,1.00864121762612,578.625,6.0,5.44041,1.0,w10_f10_c2,
40944,6,Lpp dotA,0.439162,0.248405,1.006710036414222,588.006,1.0,2.31414,1.0,w10_f10_c2,
40945,7,Lpp dotA,0.414518,0.27943,1.0070946360623543,576.215,1.0,2.21808,1.0,w10_f10_c2,
40946,8,Lpp dotA,0.421378,0.261259,1.0080274947833558,575.322,1.0,3.12627,1.0,w10_f10_c2,
40947,9,Lpp dotA,0.432954,0.24433,1.0147211652551043,563.521,2.0,4.59335,1.0,w10_f10_c2,
40948,10,Lpp dotA,0.477104,0.119072,0.9854915919970542,458.341,0.0,0.0,0.0,w10_f10_c2,
40949,11,Lpp dotA,0.4266359999999999,0.175418,0.9870463565320569,472.253,0.0,0.0,0.0,w10_f10_c2,
40950,12,Lpp dotA,0.4816859999999999,0.107244,0.9761548218158013,505.045,0.0,0.0,0.0,w10_f10_c2,
40951,13,Lpp dotA,0.468545,0.173888,0.9845587332760525,460.354,0.0,0.0,0.0,w10_f10_c2,
40952,14,Lpp dotA,0.495427,0.0686057,0.9830203346835236,492.994,0.0,0.0,0.0,w10_f10_c2,
