,row,col,plane,t,field,n,x,y,compound,bacteria,fluo_volt,well_id,cell_lbl
67287,5,3,1,0,1,1,530,27,NT,Lpp_WT_mCherry,0.9744402615415099,15,w15_f1_c1
67597,5,3,1,1,1,1,1306,26,NT,Lpp_WT_mCherry,1.2019070735090152,15,w15_f1_c1
69629,5,3,1,2,1,1,1310,28,NT,Lpp_WT_mCherry,1.10197146819893,15,w15_f1_c1
69860,5,3,1,3,1,1,1529,28,NT,Lpp_WT_mCherry,0.89802853180107,15,w15_f1_c1
70088,5,3,1,4,1,1,1533,27,NT,Lpp_WT_mCherry,0.8714137111155141,15,w15_f1_c1
70310,5,3,1,5,1,1,1534,32,NT,Lpp_WT_mCherry,0.8538587279572024,15,w15_f1_c1
70530,5,3,1,6,1,1,1531,31,NT,Lpp_WT_mCherry,0.859342183475332,15,w15_f1_c1
70754,5,3,1,7,1,1,1546,31,NT,Lpp_WT_mCherry,0.8691995244699822,15,w15_f1_c1
70974,5,3,1,8,1,1,1540,31,NT,Lpp_WT_mCherry,0.8514265900534971,15,w15_f1_c1
71193,5,3,1,9,1,1,1533,28,NT,Lpp_WT_mCherry,0.8693085000990688,15,w15_f1_c1
67837,5,3,1,10,1,1,515,20,NT,Lpp_WT_mCherry,0.7391024370913415,15,w15_f1_c1
68042,5,3,1,11,1,1,520,18,NT,Lpp_WT_mCherry,0.763889439270854,15,w15_f1_c1
68253,5,3,1,12,1,1,517,17,NT,Lpp_WT_mCherry,0.7968248464434318,15,w15_f1_c1
68467,5,3,1,13,1,1,520,17,NT,Lpp_WT_mCherry,0.7328214781058054,15,w15_f1_c1
68673,5,3,1,14,1,1,492,16,NT,Lpp_WT_mCherry,0.709520507232019,15,w15_f1_c1
68883,5,3,1,15,1,1,504,18,NT,Lpp_WT_mCherry,0.6905191202694669,15,w15_f1_c1
69077,5,3,1,16,1,1,480,16,NT,Lpp_WT_mCherry,0.693862690707351,15,w15_f1_c1
69266,5,3,1,17,1,1,484,18,NT,Lpp_WT_mCherry,0.7132702595601348,15,w15_f1_c1
69455,5,3,1,18,1,1,483,18,NT,Lpp_WT_mCherry,0.7257677828412918,15,w15_f1_c1
67288,5,3,1,0,1,10,700,201,NT,Lpp_WT_mCherry,1.416120879650772,15,w15_f1_c10
67598,5,3,1,1,1,10,735,352,NT,Lpp_WT_mCherry,1.3753095314410195,15,w15_f1_c10
69630,5,3,1,2,1,10,159,445,NT,Lpp_WT_mCherry,1.0557908262397568,15,w15_f1_c10
69861,5,3,1,3,1,10,147,434,NT,Lpp_WT_mCherry,0.9442091737602433,15,w15_f1_c10
70089,5,3,1,4,1,10,725,351,NT,Lpp_WT_mCherry,1.0136576759542646,15,w15_f1_c10
70311,5,3,1,5,1,10,720,352,NT,Lpp_WT_mCherry,0.9551182956128085,15,w15_f1_c10
70531,5,3,1,6,1,10,1905,329,NT,Lpp_WT_mCherry,0.8671248535664546,15,w15_f1_c10
70755,5,3,1,7,1,10,180,412,NT,Lpp_WT_mCherry,0.8619170668474454,15,w15_f1_c10
70975,5,3,1,8,1,10,721,346,NT,Lpp_WT_mCherry,0.9808281969314905,15,w15_f1_c10
71194,5,3,1,9,1,10,1945,314,NT,Lpp_WT_mCherry,0.9344346459641073,15,w15_f1_c10
67838,5,3,1,10,1,10,713,341,NT,Lpp_WT_mCherry,0.9631342026214796,15,w15_f1_c10
68043,5,3,1,11,1,10,717,346,NT,Lpp_WT_mCherry,1.0041554507316715,15,w15_f1_c10
68254,5,3,1,12,1,10,777,540,NT,Lpp_WT_mCherry,0.7451333006192048,15,w15_f1_c10
68468,5,3,1,13,1,10,37,580,NT,Lpp_WT_mCherry,0.7930925913844601,15,w15_f1_c10
68674,5,3,1,14,1,10,166,409,NT,Lpp_WT_mCherry,0.8230628933850331,15,w15_f1_c10
68884,5,3,1,15,1,10,712,309,NT,Lpp_WT_mCherry,0.934621853983418,15,w15_f1_c10
69078,5,3,1,16,1,10,28,586,NT,Lpp_WT_mCherry,0.8059985987763404,15,w15_f1_c10
69267,5,3,1,17,1,10,29,590,NT,Lpp_WT_mCherry,0.8028557732400319,15,w15_f1_c10
69456,5,3,1,18,1,10,1091,733,NT,Lpp_WT_mCherry,0.9870400993904395,15,w15_f1_c10
67289,5,3,1,0,1,11,606,248,NT,Lpp_WT_mCherry,1.8976114385473855,15,w15_f1_c11
