,row,col,plane,t,field,n,x,y,compound,bacteria,fluo_volt,well_id,cell_lbl
83369,5,7,1,0,1,1,364,30,N_V_KCl,Lpp_WT_mCherry,1.267039886154631,19,w19_f1_c1
83656,5,7,1,1,1,1,939,20,N_V_KCl,Lpp_WT_mCherry,0.9393451206250755,19,w19_f1_c1
85513,5,7,1,2,1,1,1349,57,N_V_KCl,Lpp_WT_mCherry,1.1039107495267633,19,w19_f1_c1
85692,5,7,1,3,1,1,940,16,N_V_KCl,Lpp_WT_mCherry,0.896089250473237,19,w19_f1_c1
85867,5,7,1,4,1,1,945,19,N_V_KCl,Lpp_WT_mCherry,0.8697222334098569,19,w19_f1_c1
86047,5,7,1,5,1,1,938,22,N_V_KCl,Lpp_WT_mCherry,0.870984198584988,19,w19_f1_c1
86235,5,7,1,6,1,1,954,19,N_V_KCl,Lpp_WT_mCherry,0.8492152993139743,19,w19_f1_c1
86428,5,7,1,7,1,1,988,78,N_V_KCl,Lpp_WT_mCherry,0.8882758065165736,19,w19_f1_c1
86607,5,7,1,8,1,1,941,18,N_V_KCl,Lpp_WT_mCherry,0.8541423335615612,19,w19_f1_c1
86796,5,7,1,9,1,1,936,18,N_V_KCl,Lpp_WT_mCherry,0.850275887067542,19,w19_f1_c1
83855,5,7,1,10,1,1,1341,52,N_V_KCl,Lpp_WT_mCherry,0.9924886221756817,19,w19_f1_c1
84051,5,7,1,11,1,1,958,18,N_V_KCl,Lpp_WT_mCherry,0.8403882556687745,19,w19_f1_c1
84238,5,7,1,12,1,1,244,25,N_V_KCl,Lpp_WT_mCherry,0.8610093036368763,19,w19_f1_c1
84424,5,7,1,13,1,1,244,28,N_V_KCl,Lpp_WT_mCherry,0.8538805429135287,19,w19_f1_c1
84610,5,7,1,14,1,1,1347,49,N_V_KCl,Lpp_WT_mCherry,0.9933276947655295,19,w19_f1_c1
84798,5,7,1,15,1,1,238,24,N_V_KCl,Lpp_WT_mCherry,0.8619826278410999,19,w19_f1_c1
84983,5,7,1,16,1,1,232,28,N_V_KCl,Lpp_WT_mCherry,0.8497254554486019,19,w19_f1_c1
85164,5,7,1,17,1,1,1337,51,N_V_KCl,Lpp_WT_mCherry,0.9779625975002351,19,w19_f1_c1
85339,5,7,1,18,1,1,917,16,N_V_KCl,Lpp_WT_mCherry,0.8335951239813659,19,w19_f1_c1
83370,5,7,1,0,1,10,255,199,N_V_KCl,Lpp_WT_mCherry,2.0042705259567906,19,w19_f1_c10
83657,5,7,1,1,1,10,984,226,N_V_KCl,Lpp_WT_mCherry,1.8976408309731758,19,w19_f1_c10
85514,5,7,1,2,1,10,823,685,N_V_KCl,Lpp_WT_mCherry,1.0233915093640178,19,w19_f1_c10
85693,5,7,1,3,1,10,834,667,N_V_KCl,Lpp_WT_mCherry,0.9766084906359823,19,w19_f1_c10
85868,5,7,1,4,1,10,200,486,N_V_KCl,Lpp_WT_mCherry,1.0660003855335933,19,w19_f1_c10
86048,5,7,1,5,1,10,588,462,N_V_KCl,Lpp_WT_mCherry,1.1995284627589378,19,w19_f1_c10
86236,5,7,1,6,1,10,2090,575,N_V_KCl,Lpp_WT_mCherry,0.9630629161167871,19,w19_f1_c10
86429,5,7,1,7,1,10,212,487,N_V_KCl,Lpp_WT_mCherry,0.9608979967081365,19,w19_f1_c10
86608,5,7,1,8,1,10,212,494,N_V_KCl,Lpp_WT_mCherry,0.9547517015376861,19,w19_f1_c10
