,row,col,plane,t,field,n,x,y,compound,bacteria,fluo_volt,well_id,cell_lbl
47995,4,5,1,0,1,1,1298,41,NT,NI,1.4440811297507345,10,w10_f1_c1
48367,4,5,1,1,1,1,75,25,NT,NI,1.0556819258838026,10,w10_f1_c1
50872,4,5,1,2,1,1,120,75,NT,NI,0.9949767794521847,10,w10_f1_c1
51134,4,5,1,3,1,1,126,63,NT,NI,1.0050232205478153,10,w10_f1_c1
51395,4,5,1,4,1,1,122,63,NT,NI,0.9872602912836066,10,w10_f1_c1
51656,4,5,1,5,1,1,119,40,NT,NI,0.9828531260859951,10,w10_f1_c1
51915,4,5,1,6,1,1,851,77,NT,NI,1.3605898335070925,10,w10_f1_c1
52182,4,5,1,7,1,1,123,44,NT,NI,1.013719078760307,10,w10_f1_c1
52444,4,5,1,8,1,1,858,75,NT,NI,1.1838293368717026,10,w10_f1_c1
52702,4,5,1,9,1,1,129,40,NT,NI,0.9936104002780147,10,w10_f1_c1
48641,4,5,1,10,1,1,124,50,NT,NI,0.9544355985214672,10,w10_f1_c1
48896,4,5,1,11,1,1,129,46,NT,NI,0.9461741383123243,10,w10_f1_c1
49148,4,5,1,12,1,1,119,50,NT,NI,0.9842747922787729,10,w10_f1_c1
49399,4,5,1,13,1,1,98,37,NT,NI,0.9947477332322371,10,w10_f1_c1
49654,4,5,1,14,1,1,123,70,NT,NI,0.9556203203487821,10,w10_f1_c1
49901,4,5,1,15,1,1,128,54,NT,NI,0.9559994313335229,10,w10_f1_c1
50143,4,5,1,16,1,1,131,57,NT,NI,0.9400293811013175,10,w10_f1_c1
50388,4,5,1,17,1,1,120,58,NT,NI,0.9473272675575775,10,w10_f1_c1
50629,4,5,1,18,1,1,113,47,NT,NI,0.9503127665624111,10,w10_f1_c1
47996,4,5,1,0,1,10,102,349,NT,NI,0.9086878297933998,10,w10_f1_c10
48368,4,5,1,1,1,10,473,541,NT,NI,1.4022676503616407,10,w10_f1_c10
50873,4,5,1,2,1,10,779,396,NT,NI,0.8727483487689724,10,w10_f1_c10
51135,4,5,1,3,1,10,474,502,NT,NI,1.1272516512310273,10,w10_f1_c10
51396,4,5,1,4,1,10,470,510,NT,NI,1.2196384800222175,10,w10_f1_c10
51657,4,5,1,5,1,10,1192,546,NT,NI,0.8912324764239226,10,w10_f1_c10
51916,4,5,1,6,1,10,472,529,NT,NI,1.3011096755497058,10,w10_f1_c10
52183,4,5,1,7,1,10,1210,551,NT,NI,0.8875134332323072,10,w10_f1_c10
52445,4,5,1,8,1,10,478,530,NT,NI,1.3030513058913022,10,w10_f1_c10
52703,4,5,1,9,1,10,1196,543,NT,NI,0.8729029064081045,10,w10_f1_c10
48642,4,5,1,10,1,10,467,523,NT,NI,1.2576210198389217,10,w10_f1_c10
48897,4,5,1,11,1,10,1201,544,NT,NI,0.8584276175181423,10,w10_f1_c10
49149,4,5,1,12,1,10,1184,537,NT,NI,0.8636535976912951,10,w10_f1_c10
49400,4,5,1,13,1,10,1187,551,NT,NI,0.85887680065687,10,w10_f1_c10
49655,4,5,1,14,1,10,1184,545,NT,NI,0.8370938333916949,10,w10_f1_c10
49902,4,5,1,15,1,10,1182,543,NT,NI,0.8190588888754724,10,w10_f1_c10
50144,4,5,1,16,1,10,1182,545,NT,NI,0.8003284349831555,10,w10_f1_c10
50389,4,5,1,17,1,10,1170,543,NT,NI,0.8276754772570848,10,w10_f1_c10
50630,4,5,1,18,1,10,1138,510,NT,NI,0.7752369682553099,10,w10_f1_c10
47997,4,5,1,0,1,11,1431,416,NT,NI,1.324590633655591,10,w10_f1_c11
48369,4,5,1,1,1,11,1194,556,NT,NI,1.2165582451634813,10,w10_f1_c11
50874,4,5,1,2,1,11,1781,478,NT,NI,0.9469017626895608,10,w10_f1_c11
51136,4,5,1,3,1,11,1191,545,NT,NI,1.0530982373104392,10,w10_f1_c11
51397,4,5,1,4,1,11,1187,546,NT,NI,1.0419978563317804,10,w10_f1_c11
51658,4,5,1,5,1,11,1466,642,NT,NI,0.9301769056892106,10,w10_f1_c11
51917,4,5,1,6,1,11,1207,549,NT,NI,1.024944020545256,10,w10_f1_c11
52184,4,5,1,7,1,11,938,649,NT,NI,0.9758359775445448,10,w10_f1_c11
52446,4,5,1,8,1,11,1195,549,NT,NI,0.9823837166113063,10,w10_f1_c11
52704,4,5,1,9,1,11,1487,645,NT,NI,0.8094257728348421,10,w10_f1_c11
48643,4,5,1,10,1,11,1203,538,NT,NI,0.9899873714594984,10,w10_f1_c11
48898,4,5,1,11,1,11,1492,646,NT,NI,0.8907525124428267,10,w10_f1_c11
49150,4,5,1,12,1,11,1476,638,NT,NI,0.8280449109104223,10,w10_f1_c11
49401,4,5,1,13,1,11,1463,650,NT,NI,0.7496789803780073,10,w10_f1_c11
49656,4,5,1,14,1,11,1469,635,NT,NI,0.8503571011662828,10,w10_f1_c11
49903,4,5,1,15,1,11,34,590,NT,NI,0.7796107438104233,10,w10_f1_c11
50145,4,5,1,16,1,11,34,573,NT,NI,0.744441850346489,10,w10_f1_c11
50390,4,5,1,17,1,11,29,587,NT,NI,0.7315692288100519,10,w10_f1_c11
50631,4,5,1,18,1,11,32,542,NT,NI,0.774097696087275,10,w10_f1_c11
47998,4,5,1,0,1,12,1675,425,NT,NI,0.8898151093041411,10,w10_f1_c12
48370,4,5,1,1,1,12,1496,655,NT,NI,1.0379545257407972,10,w10_f1_c12
50875,4,5,1,2,1,12,474,518,NT,NI,1.1145308117798036,10,w10_f1_c12
51137,4,5,1,3,1,12,1487,656,NT,NI,0.8854691882201963,10,w10_f1_c12
51398,4,5,1,4,1,12,923,649,NT,NI,0.8245061908246352,10,w10_f1_c12
51659,4,5,1,5,1,12,926,648,NT,NI,0.8008015711149711,10,w10_f1_c12
51918,4,5,1,6,1,12,1478,644,NT,NI,0.8147734627471825,10,w10_f1_c12
52185,4,5,1,7,1,12,1479,646,NT,NI,0.7605673273030157,10,w10_f1_c12
52447,4,5,1,8,1,12,1484,641,NT,NI,0.7558566513276855,10,w10_f1_c12
52705,4,5,1,9,1,12,932,647,NT,NI,0.8078119821981821,10,w10_f1_c12
48644,4,5,1,10,1,12,1477,641,NT,NI,0.7747304928416852,10,w10_f1_c12
48899,4,5,1,11,1,12,29,691,NT,NI,0.5841949926270581,10,w10_f1_c12
49151,4,5,1,12,1,12,19,622,NT,NI,0.6109955806831147,10,w10_f1_c12
49402,4,5,1,13,1,12,29,631,NT,NI,0.6320535033150437,10,w10_f1_c12
49657,4,5,1,14,1,12,29,613,NT,NI,0.63476692384852,10,w10_f1_c12
49904,4,5,1,15,1,12,1476,652,NT,NI,0.7622131725446324,10,w10_f1_c12
50146,4,5,1,16,1,12,910,650,NT,NI,0.7786627285000345,10,w10_f1_c12
50391,4,5,1,17,1,12,350,776,NT,NI,0.6504780735603858,10,w10_f1_c12
50632,4,5,1,18,1,12,350,770,NT,NI,0.6638138682478643,10,w10_f1_c12
47999,4,5,1,0,1,13,939,431,NT,NI,0.9727993202452573,10,w10_f1_c13
48371,4,5,1,1,1,13,928,653,NT,NI,1.0701574030851215,10,w10_f1_c13
50876,4,5,1,2,1,13,1185,540,NT,NI,1.0569032346045517,10,w10_f1_c13
51138,4,5,1,3,1,13,362,714,NT,NI,0.9430967653954484,10,w10_f1_c13
51399,4,5,1,4,1,13,1465,641,NT,NI,0.9979491967250088,10,w10_f1_c13
51660,4,5,1,5,1,13,27,695,NT,NI,0.702276863687145,10,w10_f1_c13
51919,4,5,1,6,1,13,31,695,NT,NI,0.7243636478073189,10,w10_f1_c13
52186,4,5,1,7,1,13,34,685,NT,NI,0.7506831640065668,10,w10_f1_c13
52448,4,5,1,8,1,13,35,704,NT,NI,0.7217044220773432,10,w10_f1_c13
52706,4,5,1,9,1,13,31,692,NT,NI,0.7210592844742129,10,w10_f1_c13
48645,4,5,1,10,1,13,923,642,NT,NI,0.949558631469078,10,w10_f1_c13
48900,4,5,1,11,1,13,358,743,NT,NI,0.788489276554231,10,w10_f1_c13
49152,4,5,1,12,1,13,362,761,NT,NI,0.8228913703666795,10,w10_f1_c13
49403,4,5,1,13,1,13,363,777,NT,NI,0.8048537425848513,10,w10_f1_c13
49658,4,5,1,14,1,13,363,769,NT,NI,0.7805063543431399,10,w10_f1_c13
49905,4,5,1,15,1,13,362,771,NT,NI,0.7959004914584831,10,w10_f1_c13
50147,4,5,1,16,1,13,341,779,NT,NI,0.7641628683971741,10,w10_f1_c13
50392,4,5,1,17,1,13,1476,771,NT,NI,0.9454465348767683,10,w10_f1_c13
50633,4,5,1,18,1,13,541,835,NT,NI,0.8708256187813719,10,w10_f1_c13
48000,4,5,1,0,1,14,1037,458,NT,NI,1.9417231956662433,10,w10_f1_c14
48372,4,5,1,1,1,14,371,724,NT,NI,1.2505812699249745,10,w10_f1_c14
50877,4,5,1,2,1,14,1478,660,NT,NI,1.1233670509839642,10,w10_f1_c14
51139,4,5,1,3,1,14,29,704,NT,NI,0.876632949016036,10,w10_f1_c14
51400,4,5,1,4,1,14,28,696,NT,NI,0.8519799132289846,10,w10_f1_c14
51661,4,5,1,5,1,14,359,706,NT,NI,1.077129125817973,10,w10_f1_c14
51920,4,5,1,6,1,14,369,727,NT,NI,1.0851590402454518,10,w10_f1_c14
52187,4,5,1,7,1,14,363,723,NT,NI,0.9842577722380691,10,w10_f1_c14
52449,4,5,1,8,1,14,359,709,NT,NI,0.9865528895706994,10,w10_f1_c14
52707,4,5,1,9,1,14,360,703,NT,NI,0.9858278002828449,10,w10_f1_c14
48646,4,5,1,10,1,14,29,699,NT,NI,0.8013135501809728,10,w10_f1_c14
48901,4,5,1,11,1,14,1490,762,NT,NI,1.112742395551188,10,w10_f1_c14
49153,4,5,1,12,1,14,536,837,NT,NI,0.9718413672427432,10,w10_f1_c14
49404,4,5,1,13,1,14,1493,776,NT,NI,1.0868009779716676,10,w10_f1_c14
49659,4,5,1,14,1,14,567,845,NT,NI,0.9580706632469619,10,w10_f1_c14
49906,4,5,1,15,1,14,549,840,NT,NI,0.9456602507250894,10,w10_f1_c14
50148,4,5,1,16,1,14,1482,774,NT,NI,1.0776025312207869,10,w10_f1_c14
50393,4,5,1,17,1,14,555,847,NT,NI,0.9412018504758025,10,w10_f1_c14
50634,4,5,1,18,1,14,1259,917,NT,NI,1.0962031688199623,10,w10_f1_c14
48001,4,5,1,0,1,15,245,475,NT,NI,1.0484019299281806,10,w10_f1_c15
48373,4,5,1,1,1,15,674,851,NT,NI,1.4036964219735646,10,w10_f1_c15
50878,4,5,1,2,1,15,918,647,NT,NI,1.0391190724693964,10,w10_f1_c15
51140,4,5,1,3,1,15,532,844,NT,NI,0.9608809275306035,10,w10_f1_c15
51401,4,5,1,4,1,15,363,725,NT,NI,0.9513391641113188,10,w10_f1_c15
51662,4,5,1,5,1,15,548,852,NT,NI,0.9281508990239784,10,w10_f1_c15
51921,4,5,1,6,1,15,568,842,NT,NI,0.9578333886205437,10,w10_f1_c15
52188,4,5,1,7,1,15,734,800,NT,NI,0.8234126502531076,10,w10_f1_c15
52450,4,5,1,8,1,15,569,848,NT,NI,0.8793201560987186,10,w10_f1_c15
52708,4,5,1,9,1,15,753,838,NT,NI,0.9032635635708527,10,w10_f1_c15
48647,4,5,1,10,1,15,382,773,NT,NI,0.8525827218028486,10,w10_f1_c15
48902,4,5,1,11,1,15,552,839,NT,NI,0.8424368444757289,10,w10_f1_c15
49154,4,5,1,12,1,15,1257,898,NT,NI,1.0774803056169109,10,w10_f1_c15
49405,4,5,1,13,1,15,561,843,NT,NI,0.8730632620532861,10,w10_f1_c15
49660,4,5,1,14,1,15,1272,915,NT,NI,1.0871245526455604,10,w10_f1_c15
49907,4,5,1,15,1,15,1266,921,NT,NI,0.9857358997386668,10,w10_f1_c15
50149,4,5,1,16,1,15,536,854,NT,NI,0.8684676812543993,10,w10_f1_c15
50394,4,5,1,17,1,15,1261,928,NT,NI,0.9322502433985723,10,w10_f1_c15
50635,4,5,1,18,1,15,825,911,NT,NI,0.9016993400594944,10,w10_f1_c15
48002,4,5,1,0,1,16,290,544,NT,NI,1.7538935377466234,10,w10_f1_c16
48374,4,5,1,1,1,16,809,896,NT,NI,1.1029524817695733,10,w10_f1_c16
50879,4,5,1,2,1,16,362,704,NT,NI,0.9069652633311146,10,w10_f1_c16
51141,4,5,1,3,1,16,773,863,NT,NI,1.0930347366688853,10,w10_f1_c16
51402,4,5,1,4,1,16,537,847,NT,NI,0.9027014680129387,10,w10_f1_c16
51663,4,5,1,5,1,16,782,869,NT,NI,1.0187523486487748,10,w10_f1_c16
51922,4,5,1,6,1,16,702,794,NT,NI,0.6886520659512857,10,w10_f1_c16
52189,4,5,1,7,1,16,558,852,NT,NI,0.830020459340438,10,w10_f1_c16
52451,4,5,1,8,1,16,775,860,NT,NI,0.9619819771140296,10,w10_f1_c16
52709,4,5,1,9,1,16,565,848,NT,NI,0.8116291578758636,10,w10_f1_c16
48648,4,5,1,10,1,16,555,843,NT,NI,0.8167575015534853,10,w10_f1_c16
48903,4,5,1,11,1,16,1282,903,NT,NI,0.9810315142613637,10,w10_f1_c16
49155,4,5,1,12,1,16,815,893,NT,NI,0.7839439615472469,10,w10_f1_c16
49406,4,5,1,13,1,16,1279,917,NT,NI,1.0247845383385443,10,w10_f1_c16
49661,4,5,1,14,1,16,811,893,NT,NI,0.7865425188321721,10,w10_f1_c16
49908,4,5,1,15,1,16,803,894,NT,NI,0.7886203822187946,10,w10_f1_c16
50150,4,5,1,16,1,16,1257,925,NT,NI,0.8783270989244724,10,w10_f1_c16
