,row,col,plane,t,field,n,x,y,compound,bacteria,fluo_volt,well_id,cell_lbl
57633,4,7,1,0,1,1,1100,56,N_V_KCl,NI,2.0695116875150616,12,w12_f1_c1
57948,4,7,1,1,1,1,994,56,N_V_KCl,NI,1.1565856828853303,12,w12_f1_c1
59746,4,7,1,2,1,1,45,66,N_V_KCl,NI,0.9507306066116066,12,w12_f1_c1
59932,4,7,1,3,1,1,994,56,N_V_KCl,NI,1.0492693933883936,12,w12_f1_c1
60103,4,7,1,4,1,1,991,60,N_V_KCl,NI,1.0394038308468612,12,w12_f1_c1
60292,4,7,1,5,1,1,988,63,N_V_KCl,NI,1.0380455816738599,12,w12_f1_c1
60475,4,7,1,6,1,1,31,78,N_V_KCl,NI,1.1346200188402307,12,w12_f1_c1
60666,4,7,1,7,1,1,30,78,N_V_KCl,NI,0.9831533288058362,12,w12_f1_c1
60855,4,7,1,8,1,1,26,74,N_V_KCl,NI,1.031144799585223,12,w12_f1_c1
61036,4,7,1,9,1,1,27,72,N_V_KCl,NI,1.0644292067386687,12,w12_f1_c1
58160,4,7,1,10,1,1,992,43,N_V_KCl,NI,1.1352626313521883,12,w12_f1_c1
58337,4,7,1,11,1,1,991,45,N_V_KCl,NI,1.1274125353254325,12,w12_f1_c1
58515,4,7,1,12,1,1,983,51,N_V_KCl,NI,1.1668163661722935,12,w12_f1_c1
58692,4,7,1,13,1,1,987,62,N_V_KCl,NI,1.0600988746978628,12,w12_f1_c1
58862,4,7,1,14,1,1,980,41,N_V_KCl,NI,1.130603690640495,12,w12_f1_c1
59038,4,7,1,15,1,1,977,46,N_V_KCl,NI,1.1504954688515494,12,w12_f1_c1
59217,4,7,1,16,1,1,972,47,N_V_KCl,NI,1.1273979304956152,12,w12_f1_c1
59398,4,7,1,17,1,1,974,61,N_V_KCl,NI,1.1496118766476076,12,w12_f1_c1
59574,4,7,1,18,1,1,980,45,N_V_KCl,NI,1.1391913305730208,12,w12_f1_c1
57634,4,7,1,0,1,10,1129,295,N_V_KCl,NI,0.7708077201610052,12,w12_f1_c10
57949,4,7,1,1,1,10,1721,527,N_V_KCl,NI,0.8219638917425941,12,w12_f1_c10
59747,4,7,1,2,1,10,935,540,N_V_KCl,NI,1.2142201525843341,12,w12_f1_c10
59933,4,7,1,3,1,10,1023,602,N_V_KCl,NI,0.785779847415666,12,w12_f1_c10
60104,4,7,1,4,1,10,1038,602,N_V_KCl,NI,0.6855474341916905,12,w12_f1_c10
60293,4,7,1,5,1,10,1042,606,N_V_KCl,NI,0.6823517523620257,12,w12_f1_c10
60476,4,7,1,6,1,10,989,571,N_V_KCl,NI,0.6504665106017483,12,w12_f1_c10
60667,4,7,1,7,1,10,981,549,N_V_KCl,NI,0.6301429846573589,12,w12_f1_c10
60856,4,7,1,8,1,10,2101,582,N_V_KCl,NI,0.5705618337066541,12,w12_f1_c10
61037,4,7,1,9,1,10,961,532,N_V_KCl,NI,0.7069488185661116,12,w12_f1_c10
58161,4,7,1,10,1,10,961,529,N_V_KCl,NI,0.6985785741953956,12,w12_f1_c10
58338,4,7,1,11,1,10,2100,569,N_V_KCl,NI,0.6299998315846204,12,w12_f1_c10
58516,4,7,1,12,1,10,2095,576,N_V_KCl,NI,0.639675295147953,12,w12_f1_c10
58693,4,7,1,13,1,10,1031,609,N_V_KCl,NI,0.6743393906731563,12,w12_f1_c10
58863,4,7,1,14,1,10,949,521,N_V_KCl,NI,0.685501119962275,12,w12_f1_c10
59039,4,7,1,15,1,10,949,525,N_V_KCl,NI,0.698582784579888,12,w12_f1_c10
59218,4,7,1,16,1,10,943,533,N_V_KCl,NI,0.6931092847398825,12,w12_f1_c10
59399,4,7,1,17,1,10,945,532,N_V_KCl,NI,0.6951850042945922,12,w12_f1_c10
59575,4,7,1,18,1,10,947,528,N_V_KCl,NI,0.6881283998854776,12,w12_f1_c10
57635,4,7,1,0,1,11,836,445,N_V_KCl,NI,1.4090344766683809,12,w12_f1_c11
57950,4,7,1,1,1,11,2066,586,N_V_KCl,NI,1.1723002280436554,12,w12_f1_c11
59748,4,7,1,2,1,11,1031,595,N_V_KCl,NI,0.990639301428,12,w12_f1_c11
59934,4,7,1,3,1,11,748,681,N_V_KCl,NI,1.0093606985719998,12,w12_f1_c11
60105,4,7,1,4,1,11,744,680,N_V_KCl,NI,0.8962790963445485,12,w12_f1_c11
60294,4,7,1,5,1,11,744,683,N_V_KCl,NI,0.8926584487836805,12,w12_f1_c11
60477,4,7,1,6,1,11,2102,584,N_V_KCl,NI,0.6724223015266977,12,w12_f1_c11
60668,4,7,1,7,1,11,2103,588,N_V_KCl,NI,0.6940422945659119,12,w12_f1_c11
60857,4,7,1,8,1,11,1042,605,N_V_KCl,NI,0.8678541559527706,12,w12_f1_c11
61038,4,7,1,9,1,11,2094,580,N_V_KCl,NI,0.7299630662781094,12,w12_f1_c11
58162,4,7,1,10,1,11,2105,571,N_V_KCl,NI,0.77488091342133,12,w12_f1_c11
58339,4,7,1,11,1,11,1035,598,N_V_KCl,NI,0.844291376417481,12,w12_f1_c11
58517,4,7,1,12,1,11,1029,604,N_V_KCl,NI,0.8581402234723933,12,w12_f1_c11
58694,4,7,1,13,1,11,742,681,N_V_KCl,NI,0.7968697242178205,12,w12_f1_c11
58864,4,7,1,14,1,11,2092,569,N_V_KCl,NI,0.8012955373051369,12,w12_f1_c11
59040,4,7,1,15,1,11,2089,572,N_V_KCl,NI,0.8025422452170571,12,w12_f1_c11
59219,4,7,1,16,1,11,2083,575,N_V_KCl,NI,0.793711397507623,12,w12_f1_c11
59400,4,7,1,17,1,11,2086,580,N_V_KCl,NI,0.8010513903390526,12,w12_f1_c11
59576,4,7,1,18,1,11,2091,578,N_V_KCl,NI,0.7909530562524999,12,w12_f1_c11
57636,4,7,1,0,1,12,891,340,N_V_KCl,NI,1.1999396620554954,12,w12_f1_c12
57951,4,7,1,1,1,12,1035,594,N_V_KCl,NI,1.1287512906338344,12,w12_f1_c12
59749,4,7,1,2,1,12,744,680,N_V_KCl,NI,1.0174641938512514,12,w12_f1_c12
59935,4,7,1,3,1,12,1338,726,N_V_KCl,NI,0.9825358061487487,12,w12_f1_c12
60106,4,7,1,4,1,12,535,713,N_V_KCl,NI,0.8714619727907079,12,w12_f1_c12
60295,4,7,1,5,1,12,539,715,N_V_KCl,NI,0.893485322534922,12,w12_f1_c12
60478,4,7,1,6,1,12,1044,603,N_V_KCl,NI,0.8470459114540665,12,w12_f1_c12
60669,4,7,1,7,1,12,1048,610,N_V_KCl,NI,0.843269588375583,12,w12_f1_c12
60858,4,7,1,8,1,12,748,677,N_V_KCl,NI,0.870931415002822,12,w12_f1_c12
61039,4,7,1,9,1,12,1041,606,N_V_KCl,NI,0.8777766507759407,12,w12_f1_c12
58163,4,7,1,10,1,12,1041,603,N_V_KCl,NI,0.8614281887433324,12,w12_f1_c12
58340,4,7,1,11,1,12,745,671,N_V_KCl,NI,0.8114309195554757,12,w12_f1_c12
58518,4,7,1,12,1,12,736,677,N_V_KCl,NI,0.81266888772721,12,w12_f1_c12
58695,4,7,1,13,1,12,530,719,N_V_KCl,NI,0.854801417941696,12,w12_f1_c12
58865,4,7,1,14,1,12,1023,595,N_V_KCl,NI,0.8623852733803035,12,w12_f1_c12
59041,4,7,1,15,1,12,1026,602,N_V_KCl,NI,0.8589990663223244,12,w12_f1_c12
59220,4,7,1,16,1,12,1016,601,N_V_KCl,NI,0.8504841339814462,12,w12_f1_c12
59401,4,7,1,17,1,12,1019,606,N_V_KCl,NI,0.8534022018148198,12,w12_f1_c12
59577,4,7,1,18,1,12,1035,641,N_V_KCl,NI,0.8549366581621375,12,w12_f1_c12
57637,4,7,1,0,1,13,246,375,N_V_KCl,NI,1.3265071421658214,12,w12_f1_c13
57952,4,7,1,1,1,13,757,685,N_V_KCl,NI,1.1919360991078698,12,w12_f1_c13
59750,4,7,1,2,1,13,537,714,N_V_KCl,NI,0.9996697922537817,12,w12_f1_c13
59936,4,7,1,3,1,13,1616,774,N_V_KCl,NI,1.0003302077462184,12,w12_f1_c13
60107,4,7,1,4,1,13,2030,705,N_V_KCl,NI,1.0659960033476235,12,w12_f1_c13
60296,4,7,1,5,1,13,2029,711,N_V_KCl,NI,0.9145103531514914,12,w12_f1_c13
60479,4,7,1,6,1,13,744,678,N_V_KCl,NI,0.9639219571071524,12,w12_f1_c13
60670,4,7,1,7,1,13,764,674,N_V_KCl,NI,0.8870006319493074,12,w12_f1_c13
60859,4,7,1,8,1,13,536,715,N_V_KCl,NI,1.0274584820691501,12,w12_f1_c13
61040,4,7,1,9,1,13,748,675,N_V_KCl,NI,0.954459797206898,12,w12_f1_c13
58164,4,7,1,10,1,13,746,674,N_V_KCl,NI,0.9015126930719,12,w12_f1_c13
58341,4,7,1,11,1,13,2039,696,N_V_KCl,NI,1.0441396664901763,12,w12_f1_c13
58519,4,7,1,12,1,13,2029,702,N_V_KCl,NI,1.0768586995508036,12,w12_f1_c13
58696,4,7,1,13,1,13,2036,708,N_V_KCl,NI,1.0512049736118465,12,w12_f1_c13
58866,4,7,1,14,1,13,737,661,N_V_KCl,NI,0.8583294903983558,12,w12_f1_c13
59042,4,7,1,15,1,13,737,656,N_V_KCl,NI,0.8455652530359186,12,w12_f1_c13
59221,4,7,1,16,1,13,738,655,N_V_KCl,NI,0.8444607650571886,12,w12_f1_c13
59402,4,7,1,17,1,13,732,665,N_V_KCl,NI,0.8370595569522963,12,w12_f1_c13
59578,4,7,1,18,1,13,741,661,N_V_KCl,NI,0.8337916389121364,12,w12_f1_c13
57638,4,7,1,0,1,14,1336,379,N_V_KCl,NI,1.8088170743198058,12,w12_f1_c14
57953,4,7,1,1,1,14,538,718,N_V_KCl,NI,0.9436930777486424,12,w12_f1_c14
59751,4,7,1,2,1,14,1347,731,N_V_KCl,NI,1.0424215125030738,12,w12_f1_c14
59937,4,7,1,3,1,14,471,830,N_V_KCl,NI,0.9575784874969262,12,w12_f1_c14
60108,4,7,1,4,1,14,1340,728,N_V_KCl,NI,0.7857275821415521,12,w12_f1_c14
60297,4,7,1,5,1,14,1342,734,N_V_KCl,NI,0.7628656066076349,12,w12_f1_c14
60480,4,7,1,6,1,14,535,716,N_V_KCl,NI,0.8463619169311452,12,w12_f1_c14
60671,4,7,1,7,1,14,547,716,N_V_KCl,NI,0.7809382418708763,12,w12_f1_c14
60860,4,7,1,8,1,14,1351,730,N_V_KCl,NI,0.7601905624257411,12,w12_f1_c14
61041,4,7,1,9,1,14,537,712,N_V_KCl,NI,0.8345678217924176,12,w12_f1_c14
58165,4,7,1,10,1,14,533,709,N_V_KCl,NI,0.78889442997888,12,w12_f1_c14
58342,4,7,1,11,1,14,535,707,N_V_KCl,NI,0.794639799785353,12,w12_f1_c14
58520,4,7,1,12,1,14,529,712,N_V_KCl,NI,0.82419398206985,12,w12_f1_c14
58697,4,7,1,13,1,14,1361,746,N_V_KCl,NI,0.8930602827181575,12,w12_f1_c14
58867,4,7,1,14,1,14,2028,697,N_V_KCl,NI,0.8781315138130181,12,w12_f1_c14
59043,4,7,1,15,1,14,2026,697,N_V_KCl,NI,0.886657642605824,12,w12_f1_c14
59222,4,7,1,16,1,14,2019,701,N_V_KCl,NI,0.8822222171152269,12,w12_f1_c14
59403,4,7,1,17,1,14,2023,705,N_V_KCl,NI,0.8885742979732635,12,w12_f1_c14
59579,4,7,1,18,1,14,2026,703,N_V_KCl,NI,0.8880457239510678,12,w12_f1_c14
57639,4,7,1,0,1,15,2043,431,N_V_KCl,NI,1.0122943487321374,12,w12_f1_c15
57954,4,7,1,1,1,15,1350,733,N_V_KCl,NI,1.5823701206252252,12,w12_f1_c15
59752,4,7,1,2,1,15,1620,770,N_V_KCl,NI,1.0866752845540748,12,w12_f1_c15
59938,4,7,1,3,1,15,928,934,N_V_KCl,NI,0.9133247154459253,12,w12_f1_c15
60109,4,7,1,4,1,15,1616,770,N_V_KCl,NI,0.8655937144858624,12,w12_f1_c15
60298,4,7,1,5,1,15,1615,779,N_V_KCl,NI,0.8516186257241419,12,w12_f1_c15
60481,4,7,1,6,1,15,1345,729,N_V_KCl,NI,0.8175250536098114,12,w12_f1_c15
60672,4,7,1,7,1,15,2037,712,N_V_KCl,NI,0.7758114547346724,12,w12_f1_c15
60861,4,7,1,8,1,15,2036,708,N_V_KCl,NI,0.7748690307900485,12,w12_f1_c15
61042,4,7,1,9,1,15,2035,704,N_V_KCl,NI,0.7868030409551241,12,w12_f1_c15
58166,4,7,1,10,1,15,2039,701,N_V_KCl,NI,0.9092425582526351,12,w12_f1_c15
58343,4,7,1,11,1,15,1362,733,N_V_KCl,NI,0.9485824583153795,12,w12_f1_c15
58521,4,7,1,12,1,15,1358,739,N_V_KCl,NI,0.9559505000642562,12,w12_f1_c15
58698,4,7,1,13,1,15,1606,778,N_V_KCl,NI,0.9816378521805523,12,w12_f1_c15
58868,4,7,1,14,1,15,526,703,N_V_KCl,NI,0.8278917170006729,12,w12_f1_c15
59044,4,7,1,15,1,15,521,710,N_V_KCl,NI,0.8579787274252928,12,w12_f1_c15
59223,4,7,1,16,1,15,514,709,N_V_KCl,NI,0.822811699160134,12,w12_f1_c15
59404,4,7,1,17,1,15,520,711,N_V_KCl,NI,0.842264942081245,12,w12_f1_c15
59580,4,7,1,18,1,15,521,711,N_V_KCl,NI,0.8388026680173063,12,w12_f1_c15
57640,4,7,1,0,1,16,150,434,N_V_KCl,NI,0.982386726228462,12,w12_f1_c16
57955,4,7,1,1,1,16,1622,770,N_V_KCl,NI,1.2487015855873544,12,w12_f1_c16
59753,4,7,1,2,1,16,473,832,N_V_KCl,NI,1.0298365323253644,12,w12_f1_c16
59939,4,7,1,3,1,16,187,1167,N_V_KCl,NI,0.9701634676746355,12,w12_f1_c16
60110,4,7,1,4,1,16,749,787,N_V_KCl,NI,0.8284914829905257,12,w12_f1_c16
60299,4,7,1,5,1,16,743,784,N_V_KCl,NI,0.7986647685435178,12,w12_f1_c16
60482,4,7,1,6,1,16,2031,710,N_V_KCl,NI,0.7833096067939719,12,w12_f1_c16
60673,4,7,1,7,1,16,1346,732,N_V_KCl,NI,0.8163271317068381,12,w12_f1_c16
60862,4,7,1,8,1,16,1623,767,N_V_KCl,NI,0.8169014775906926,12,w12_f1_c16
