,row,col,plane,t,field,n,x,y,bacteria,ser_edge_tmrm,sdmean_tmrm,annexin647,hoechst,n_legio_per_cell,legio_area,infected,well_id,cell_lbl
0,3,3,1,0,10,1,1625,386,NI,0.347321,0.562502,119.645,,0,0.0,0,1,w1_f10_c1
123,3,3,1,1,10,1,1533,341,NI,0.400693,0.322075,127.505,295.903,0,0.0,0,1,w1_f10_c1
2163,3,3,1,2,10,1,1540,313,NI,0.393226,0.383845,125.325,408.598,0,0.0,0,1,w1_f10_c1
2390,3,3,1,3,10,1,1536,316,NI,0.386857,0.443271,125.552,409.937,0,0.0,0,1,w1_f10_c1
2625,3,3,1,4,10,1,1531,321,NI,0.397445,0.431156,126.319,436.361,0,0.0,0,1,w1_f10_c1
2864,3,3,1,5,10,1,1576,304,NI,0.395115,0.375762,123.396,490.301,0,0.0,0,1,w1_f10_c1
3103,3,3,1,6,10,1,1605,284,NI,0.411206,0.32651,127.028,421.973,0,0.0,0,1,w1_f10_c1
3337,3,3,1,7,10,1,1606,286,NI,0.404634,0.402963,129.386,423.562,0,0.0,0,1,w1_f10_c1
3575,3,3,1,8,10,1,1646,280,NI,0.408062,0.447856,127.308,389.902,0,0.0,0,1,w1_f10_c1
3805,3,3,1,9,10,1,1678,281,NI,0.40184,0.365114,125.365,421.034,0,0.0,0,1,w1_f10_c1
339,3,3,1,10,10,1,1659,202,NI,0.421696,0.267075,122.931,465.18,0,0.0,0,1,w1_f10_c1
574,3,3,1,11,10,1,1735,154,NI,0.412011,0.349556,122.671,439.322,0,0.0,0,1,w1_f10_c1
802,3,3,1,12,10,1,1742,145,NI,0.419519,0.321012,130.421,354.159,0,0.0,0,1,w1_f10_c1
1029,3,3,1,13,10,1,1652,166,NI,0.425287,0.290939,128.774,432.126,0,0.0,0,1,w1_f10_c1
1259,3,3,1,14,10,1,1657,174,NI,0.433045,0.23357,131.016,447.256,0,0.0,0,1,w1_f10_c1
1488,3,3,1,15,10,1,1739,139,NI,0.426815,0.311044,133.166,408.886,0,0.0,0,1,w1_f10_c1
1716,3,3,1,16,10,1,1632,181,NI,0.410538,0.288362,135.271,326.55,0,0.0,0,1,w1_f10_c1
1940,3,3,1,17,10,1,1696,146,NI,0.437391,0.22963,131.045,436.519,0,0.0,0,1,w1_f10_c1
2391,3,3,1,3,10,10,167,2090,NI,0.286246,0.586497,109.32,238.143,0,0.0,0,1,w1_f10_c10
2626,3,3,1,4,10,10,156,2094,NI,0.276901,0.619798,108.766,253.136,0,0.0,0,1,w1_f10_c10
2865,3,3,1,5,10,10,158,2089,NI,0.304688,0.573273,108.62,282.359,0,0.0,0,1,w1_f10_c10
3104,3,3,1,6,10,10,163,2090,NI,0.267897,0.635028,108.975,304.44,0,0.0,0,1,w1_f10_c10
3338,3,3,1,7,10,10,163,2085,NI,0.28276,0.579253,108.711,317.705,0,0.0,0,1,w1_f10_c10
3576,3,3,1,8,10,10,149,2095,NI,0.284938,0.603651,108.862,326.419,0,0.0,0,1,w1_f10_c10
3806,3,3,1,9,10,10,166,2087,NI,0.282934,0.604681,108.87,344.348,0,0.0,0,1,w1_f10_c10
340,3,3,1,10,10,10,189,1991,NI,0.298115,0.588828,110.464,426.24,0,0.0,0,1,w1_f10_c10
575,3,3,1,11,10,10,225,1951,NI,0.30246,0.639753,113.028,481.064,0,0.0,0,1,w1_f10_c10
803,3,3,1,12,10,10,220,1955,NI,0.28758,0.634481,111.552,518.131,0,0.0,0,1,w1_f10_c10
1030,3,3,1,13,10,10,216,1960,NI,0.272452,0.680805,110.726,502.229,0,0.0,0,1,w1_f10_c10
1260,3,3,1,14,10,10,221,1955,NI,0.302589,0.600241,111.192,501.009,0,0.0,0,1,w1_f10_c10
1489,3,3,1,15,10,10,212,1944,NI,0.26893,0.662547,111.335,526.432,0,0.0,0,1,w1_f10_c10
1717,3,3,1,16,10,10,218,1951,NI,0.28605,0.568938,111.668,535.54,0,0.0,0,1,w1_f10_c10
1941,3,3,1,17,10,10,205,1947,NI,0.302807,0.550639,121.325,504.672,0,0.0,0,1,w1_f10_c10
