,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacteria_area_-_sum_per_cell_,infected,ni,intensity_cell_far_red_mean,intensity_cell_red_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl
39373,6,21,1,0,1,1,674,132,_573_3_770_250_,-37.71,89.64,NI,cellros_red_annexin_v_far_red,none,675,117,0.0,0,1,4333.18,124.02,0.514503,0.0590495,17,w17_f1_c1
39460,6,21,1,1,1,1,676,96,_573_1_760_179_,-38.73,91.66,NI,cellros_red_annexin_v_far_red,none,664,95,0.0,0,1,6654.63,128.506,0.398586,0.062573,17,w17_f1_c1
41323,6,21,1,2,1,1,632,110,_576_33_743_158_,-39.79,90.7,NI,cellros_red_annexin_v_far_red,none,652,106,0.0,0,1,6351.86,128.692,0.439776,0.0714822,17,w17_f1_c1
41514,6,21,1,3,1,1,633,109,_578_10_747_153_,-39.46,91.4,NI,cellros_red_annexin_v_far_red,none,656,98,0.0,0,1,6753.07,130.009,0.43805,0.0738996,17,w17_f1_c1
41715,6,21,1,4,1,1,632,92,_573_1_752_141_,-39.56,93.26,NI,cellros_red_annexin_v_far_red,none,655,78,0.0,0,1,6153.54,129.102,0.450901,0.0734062,17,w17_f1_c1
41923,6,21,1,5,1,1,634,87,_586_1_756_131_,-39.0,93.69,NI,cellros_red_annexin_v_far_red,none,661,74,0.0,0,1,6287.49,131.239,0.497,0.078085,17,w17_f1_c1
42134,6,21,1,6,1,1,637,84,_584_1_753_129_,-39.28,94.14,NI,cellros_red_annexin_v_far_red,none,658,69,0.0,0,1,6193.58,132.09,0.46187,0.0800513,17,w17_f1_c1
42346,6,21,1,7,1,1,640,80,_586_1_757_125_,-38.8,94.39,NI,cellros_red_annexin_v_far_red,none,663,66,0.0,0,1,6035.27,132.245,0.451118,0.0777313,17,w17_f1_c1
42555,6,21,1,8,1,1,642,74,_580_1_759_133_,-38.78,94.72,NI,cellros_red_annexin_v_far_red,none,663,63,0.0,0,1,5860.09,132.409,0.427221,0.078221,17,w17_f1_c1
42767,6,21,1,9,1,1,629,80,_565_1_745_142_,-40.31,94.23,NI,cellros_red_annexin_v_far_red,none,647,68,0.0,0,1,5904.27,133.822,0.417633,0.0805909,17,w17_f1_c1
39620,6,21,1,10,1,1,629,66,_565_1_738_129_,-40.58,95.11,NI,cellros_red_annexin_v_far_red,none,644,58,0.0,0,1,5809.08,135.172,0.440469,0.0857016,17,w17_f1_c1
39833,6,21,1,11,1,1,627,66,_563_1_744_133_,-40.35,95.1,NI,cellros_red_annexin_v_far_red,none,646,59,0.0,0,1,5641.08,135.07,0.415295,0.0846217,17,w17_f1_c1
40047,6,21,1,12,1,1,625,74,_564_1_742_138_,-40.48,94.75,NI,cellros_red_annexin_v_far_red,none,645,62,0.0,0,1,5808.65,136.77,0.400352,0.0855803,17,w17_f1_c1
40261,6,21,1,13,1,1,635,65,_559_1_737_137_,-40.68,95.37,NI,cellros_red_annexin_v_far_red,none,643,56,0.0,0,1,5686.84,137.979,0.39885,0.08818,17,w17_f1_c1
