,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacteria_area_-_sum_per_cell_,infected,ni,intensity_cell_far_red_mean,intensity_cell_red_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl
21716,6,5,1,0,1,1,882,101,_743_1_1017_298_,-19.36,88.67,WT,cellros_red_annexin_v_far_red,none,872,128,15.5494,1,0,122.134,150.254,0.121353,0.226874,13,w13_f1_c1
21850,6,5,1,1,1,1,810,82,_675_1_976_345_,-26.18,89.78,WT,cellros_red_annexin_v_far_red,none,798,116,16.1221,1,0,122.154,141.669,0.12561,0.224566,13,w13_f1_c1
24414,6,5,1,2,1,1,783,79,_637_1_938_334_,-29.28,90.02,WT,cellros_red_annexin_v_far_red,none,765,113,14.1177,1,0,125.261,141.897,0.223112,0.218105,13,w13_f1_c1
24674,6,5,1,3,1,1,781,77,_632_1_911_241_,-29.89,91.76,WT,cellros_red_annexin_v_far_red,none,759,94,8.49493,1,0,124.171,146.975,0.192983,0.244291,13,w13_f1_c1
24942,6,5,1,4,1,1,754,81,_634_1_897_209_,-30.88,92.37,WT,cellros_red_annexin_v_far_red,none,748,88,9.11968,1,0,124.062,144.1,0.167706,0.26994,13,w13_f1_c1
25222,6,5,1,5,1,1,782,67,_648_1_880_169_,-30.28,94.34,WT,cellros_red_annexin_v_far_red,none,754,67,10.3605,1,0,124.045,139.816,0.110446,0.241566,13,w13_f1_c1
25506,6,5,1,6,1,1,783,59,_664_1_884_173_,-29.35,94.61,WT,cellros_red_annexin_v_far_red,none,764,64,6.074,1,0,123.469,137.683,0.0859071,0.208699,13,w13_f1_c1
25789,6,5,1,7,1,1,786,58,_642_1_864_169_,-31.14,94.48,WT,cellros_red_annexin_v_far_red,none,745,65,6.23019,1,0,130.063,141.865,0.209449,0.235834,13,w13_f1_c1
26070,6,5,1,8,1,1,779,63,_649_1_870_175_,-30.87,94.27,WT,cellros_red_annexin_v_far_red,none,748,68,5.62279,1,0,134.412,141.817,0.299104,0.254879,13,w13_f1_c1
26353,6,5,1,9,1,1,746,73,_632_1_867_156_,-31.95,94.4,WT,cellros_red_annexin_v_far_red,none,737,66,9.06762,1,0,147.321,143.929,0.601628,0.236549,13,w13_f1_c1
22084,6,5,1,10,1,1,763,74,_653_1_868_148_,-29.68,94.34,WT,cellros_red_annexin_v_far_red,none,761,67,10.8898,1,0,152.637,146.822,0.767608,0.239606,13,w13_f1_c1
22377,6,5,1,11,1,1,748,66,_648_1_862_146_,-30.99,94.73,WT,cellros_red_annexin_v_far_red,none,747,63,11.1154,1,0,153.881,145.853,0.843411,0.21826,13,w13_f1_c1
22668,6,5,1,12,1,1,756,69,_624_1_881_159_,-31.36,94.54,WT,cellros_red_annexin_v_far_red,none,743,65,10.4299,1,0,157.355,145.741,1.00128,0.249616,13,w13_f1_c1
22957,6,5,1,13,1,1,756,75,_644_1_867_150_,-31.12,94.44,WT,cellros_red_annexin_v_far_red,none,745,66,15.6449,1,0,159.097,151.721,0.963846,0.235869,13,w13_f1_c1
23249,6,5,1,14,1,1,779,71,_658_1_853_141_,-30.01,94.71,WT,cellros_red_annexin_v_far_red,none,757,63,17.2241,1,0,158.672,152.84,0.93942,0.224762,13,w13_f1_c1
23544,6,5,1,15,1,1,759,71,_628_1_853_142_,-31.57,94.41,WT,cellros_red_annexin_v_far_red,none,741,66,12.6426,1,0,164.473,151.797,0.901636,0.236487,13,w13_f1_c1
23841,6,5,1,16,1,1,764,66,_648_1_837_131_,-31.41,95.09,WT,cellros_red_annexin_v_far_red,none,742,59,10.4386,1,0,157.261,154.879,0.917403,0.231351,13,w13_f1_c1
24137,6,5,1,17,1,1,778,63,_670_1_843_127_,-29.32,95.42,WT,cellros_red_annexin_v_far_red,none,765,55,6.4905,1,0,143.353,157.82,0.461291,0.20823,13,w13_f1_c1
21719,6,5,1,0,1,12,1088,955,_971_830_1266_1110_,1.56,11.11,WT,cellros_red_annexin_v_far_red,none,1096,960,5.47528,1,0,130.724,131.136,0.0550528,0.126033,13,w13_f1_c12
21852,6,5,1,1,1,12,1024,905,_887_804_1175_1042_,-5.46,14.15,WT,cellros_red_annexin_v_far_red,none,1021,928,5.76162,1,0,128.202,137.763,0.0527036,0.180798,13,w13_f1_c12
24416,6,5,1,2,1,12,973,930,_869_813_1094_1080_,-9.73,12.98,WT,cellros_red_annexin_v_far_red,none,975,940,5.05878,1,0,127.035,140.611,0.0436241,0.152632,13,w13_f1_c12
24676,6,5,1,3,1,12,1000,923,_894_807_1115_1040_,-7.71,14.46,WT,cellros_red_annexin_v_far_red,none,997,924,3.65308,1,0,129.166,142.525,0.0652851,0.166164,13,w13_f1_c12
24944,6,5,1,4,1,12,1041,947,_928_836_1171_1101_,-2.7,10.97,WT,cellros_red_annexin_v_far_red,none,1051,962,4.49476,1,0,149.303,137.928,0.710606,0.139776,13,w13_f1_c12
25224,6,5,1,5,1,12,1016,912,_909_787_1139_1043_,-5.23,14.78,WT,cellros_red_annexin_v_far_red,none,1023,921,5.50131,1,0,554.46,127.738,2.88814,0.0889878,13,w13_f1_c12
25508,6,5,1,6,1,12,1047,911,_935_805_1147_1029_,-2.95,15.74,WT,cellros_red_annexin_v_far_red,none,1048,911,6.43844,1,0,1850.33,132.29,1.6875,0.0796643,13,w13_f1_c12
25790,6,5,1,7,1,12,1035,895,_923_802_1139_1023_,-3.77,16.33,WT,cellros_red_annexin_v_far_red,none,1039,904,6.9851,1,0,2993.83,136.338,1.16144,0.0866202,13,w13_f1_c12
26071,6,5,1,8,1,12,1038,912,_920_787_1139_1019_,-4.36,16.22,WT,cellros_red_annexin_v_far_red,none,1033,905,6.6814,1,0,3824.39,138.686,0.839223,0.0999763,13,w13_f1_c12
26354,6,5,1,9,1,12,1004,888,_897_781_1117_1010_,-6.95,17.16,WT,cellros_red_annexin_v_far_red,none,1005,895,6.30828,1,0,4363.21,140.336,0.736097,0.104692,13,w13_f1_c12
22085,6,5,1,10,1,12,1001,889,_893_774_1128_1016_,-6.83,17.01,WT,cellros_red_annexin_v_far_red,none,1006,897,8.42551,1,0,4369.98,140.556,0.77912,0.137269,13,w13_f1_c12
