,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
275087,9,5,1,0,1,10,WT,9,nac,3.12377,125.964,0.498648,0.200898,75,w75_f1_c10
275237,9,5,1,1,1,10,WT,9,nac,2.80272,122.15,0.287577,0.192134,75,w75_f1_c10
277733,9,5,1,2,1,10,WT,9,nac,4.87656,124.056,0.419008,0.195722,75,w75_f1_c10
277998,9,5,1,3,1,10,WT,9,nac,3.99149,118.328,0.222059,0.152981,75,w75_f1_c10
278270,9,5,1,4,1,10,WT,9,nac,5.6575,122.156,0.272358,0.157427,75,w75_f1_c10
278542,9,5,1,5,1,10,WT,9,nac,5.64014,120.158,0.138303,0.187764,75,w75_f1_c10
278815,9,5,1,6,1,10,WT,9,nac,6.04797,117.83,0.061835,0.201576,75,w75_f1_c10
279083,9,5,1,7,1,10,WT,9,nac,4.41667,118.531,0.0735063,0.237356,75,w75_f1_c10
279351,9,5,1,8,1,10,WT,9,nac,5.08481,120.431,0.119774,0.243728,75,w75_f1_c10
279624,9,5,1,9,1,10,WT,9,nac,5.89178,119.958,0.11083,0.247191,75,w75_f1_c10
275476,9,5,1,10,1,10,WT,9,nac,5.38851,131.783,0.772021,0.260587,75,w75_f1_c10
275759,9,5,1,11,1,10,WT,9,nac,6.69008,146.659,1.3082,0.23662,75,w75_f1_c10
276047,9,5,1,12,1,10,WT,9,nac,5.64882,140.051,0.738171,0.246106,75,w75_f1_c10
276329,9,5,1,13,1,10,WT,9,nac,7.05452,135.878,0.491461,0.26859,75,w75_f1_c10
276611,9,5,1,14,1,10,WT,9,nac,7.25409,131.841,0.354364,0.26902,75,w75_f1_c10
276892,9,5,1,15,1,10,WT,9,nac,7.88752,130.246,0.27944,0.250516,75,w75_f1_c10
277175,9,5,1,16,1,10,WT,9,nac,7.66192,136.547,0.544724,0.27678,75,w75_f1_c10
277462,9,5,1,17,1,10,WT,9,nac,7.29748,539.869,2.61625,1.25923,75,w75_f1_c10
275088,9,5,1,0,1,11,WT,9,nac,3.31467,125.005,0.0930595,0.237731,75,w75_f1_c11
275238,9,5,1,1,1,11,WT,9,nac,2.91552,125.27,0.152654,0.174179,75,w75_f1_c11
277734,9,5,1,2,1,11,WT,9,nac,2.93288,125.002,0.13991,0.191845,75,w75_f1_c11
277999,9,5,1,3,1,11,WT,9,nac,3.99149,125.114,0.165217,0.178751,75,w75_f1_c11
278271,9,5,1,4,1,11,WT,9,nac,1.55321,125.388,0.129364,0.13852,75,w75_f1_c11
278543,9,5,1,5,1,11,WT,9,nac,0.0,136.997,0.989073,0.12105,75,w75_f1_c11
278816,9,5,1,6,1,11,WT,9,nac,0.0,134.33,0.634768,0.154289,75,w75_f1_c11
279084,9,5,1,7,1,11,WT,9,nac,0.329732,127.733,0.226471,0.138334,75,w75_f1_c11
279352,9,5,1,8,1,11,WT,9,nac,2.04781,127.026,0.220363,0.157111,75,w75_f1_c11
279625,9,5,1,9,1,11,WT,9,nac,3.01097,129.011,0.242746,0.138459,75,w75_f1_c11
275477,9,5,1,10,1,11,WT,9,nac,4.98068,125.962,0.159378,0.149092,75,w75_f1_c11
275760,9,5,1,11,1,11,WT,9,nac,3.93075,127.07,0.193241,0.130019,75,w75_f1_c11
276048,9,5,1,12,1,11,WT,9,nac,2.27341,125.829,0.135613,0.130001,75,w75_f1_c11
276330,9,5,1,13,1,11,WT,9,nac,0.0,125.364,0.115176,0.11127,75,w75_f1_c11
276612,9,5,1,14,1,11,WT,9,nac,2.09987,126.086,0.127417,0.146196,75,w75_f1_c11
276893,9,5,1,15,1,11,WT,9,nac,7.83546,126.78,0.184014,0.209508,75,w75_f1_c11
277176,9,5,1,16,1,11,WT,9,nac,9.22381,126.221,0.154919,0.226914,75,w75_f1_c11
