,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacteria_area_-_sum_per_cell_,infected,ni,intensity_cell_far_red_mean,intensity_cell_red_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl
30354,6,13,1,0,1,10,1281,285,_1092_126_1419_576_,17.44,69.69,dotA,cellros_red_annexin_v_far_red,none,1267,331,0.0,0,1,123.175,141.35,0.0628114,0.211933,15,w15_f1_c10
30477,6,13,1,1,1,10,1222,250,_1029_1_1362_685_,11.28,70.44,dotA,cellros_red_annexin_v_far_red,none,1201,323,0.0,0,1,124.471,129.61,0.121532,0.116833,15,w15_f1_c10
32850,6,13,1,2,1,10,1220,189,_1053_1_1324_647_,10.72,75.06,dotA,cellros_red_annexin_v_far_red,none,1195,274,2.03913,1,0,124.977,128.772,0.156703,0.0957633,15,w15_f1_c10
33085,6,13,1,3,1,10,1216,208,_1033_1_1357_604_,11.08,77.49,dotA,cellros_red_annexin_v_far_red,none,1198,248,2.26473,1,0,124.739,128.703,0.118844,0.0916643,15,w15_f1_c10
33332,6,13,1,4,1,10,1203,169,_1054_4_1323_598_,10.28,77.56,dotA,cellros_red_annexin_v_far_red,none,1190,247,2.35151,1,0,123.335,128.789,0.0694282,0.0938689,15,w15_f1_c10
33584,6,13,1,5,1,10,1225,153,_1075_1_1341_569_,11.88,81.08,dotA,cellros_red_annexin_v_far_red,none,1207,209,1.71807,1,0,122.875,131.495,0.0542598,0.0948649,15,w15_f1_c10
33843,6,13,1,6,1,10,1230,127,_1101_1_1339_468_,12.27,82.19,dotA,cellros_red_annexin_v_far_red,none,1211,197,2.43828,1,0,123.23,134.503,0.0607331,0.111619,15,w15_f1_c10
34102,6,13,1,7,1,10,1219,168,_1117_1_1338_397_,12.87,83.86,dotA,cellros_red_annexin_v_far_red,none,1218,179,2.63785,1,0,123.01,136.711,0.0542588,0.102156,15,w15_f1_c10
34364,6,13,1,8,1,10,1221,181,_1078_1_1339_413_,12.57,83.12,dotA,cellros_red_annexin_v_far_red,none,1214,187,3.51424,1,0,122.689,136.4,0.0508608,0.0975004,15,w15_f1_c10
34627,6,13,1,9,1,10,1202,200,_1098_1_1321_412_,11.31,83.88,dotA,cellros_red_annexin_v_far_red,none,1201,179,5.22364,1,0,123.061,137.415,0.0596482,0.111833,15,w15_f1_c10
30690,6,13,1,10,1,10,1216,143,_1098_1_1313_420_,11.33,83.19,dotA,cellros_red_annexin_v_far_red,none,1201,186,3.57498,1,0,123.593,139.325,0.0658118,0.126262,15,w15_f1_c10
30959,6,13,1,11,1,10,1215,126,_1044_1_1323_550_,9.84,80.73,dotA,cellros_red_annexin_v_far_red,none,1185,213,2.69859,1,0,123.434,139.406,0.0531274,0.128697,15,w15_f1_c10
31227,6,13,1,12,1,10,1223,132,_1077_6_1324_454_,11.24,82.14,dotA,cellros_red_annexin_v_far_red,none,1200,198,2.27341,1,0,123.796,140.709,0.0609905,0.133217,15,w15_f1_c10
31499,6,13,1,13,1,10,1218,143,_1064_23_1322_412_,10.99,81.75,dotA,cellros_red_annexin_v_far_red,none,1198,202,3.85265,1,0,124.359,140.802,0.0661968,0.130474,15,w15_f1_c10
31768,6,13,1,14,1,10,1192,175,_1047_5_1314_523_,8.91,79.61,dotA,cellros_red_annexin_v_far_red,none,1175,225,1.90897,1,0,124.062,139.771,0.0709467,0.146307,15,w15_f1_c10
32039,6,13,1,15,1,10,1205,128,_1041_9_1327_518_,9.5,81.48,dotA,cellros_red_annexin_v_far_red,none,1182,205,2.85478,1,0,124.074,142.395,0.0812826,0.1318,15,w15_f1_c10
32310,6,13,1,16,1,10,1208,169,_1051_1_1321_488_,10.58,82.36,dotA,cellros_red_annexin_v_far_red,none,1193,195,2.94155,1,0,124.025,142.41,0.0754013,0.135541,15,w15_f1_c10
