,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
197733,7,13,1,0,1,1,dotA,8,menadione,1.18009,127.873,0.435991,0.261479,55,w55_f1_c1
197844,7,13,1,1,1,1,dotA,8,menadione,4.31254,134.641,0.657906,0.205563,55,w55_f1_c1
199743,7,13,1,2,1,1,dotA,8,menadione,4.06958,137.85,0.903432,0.171219,55,w55_f1_c1
199946,7,13,1,3,1,1,dotA,8,menadione,3.92207,134.142,0.622277,0.156365,55,w55_f1_c1
200154,7,13,1,4,1,1,dotA,8,menadione,0.0,125.434,0.109342,0.139113,55,w55_f1_c1
200363,7,13,1,5,1,1,dotA,8,menadione,0.0,126.247,0.125718,0.148873,55,w55_f1_c1
200577,7,13,1,6,1,1,dotA,8,menadione,0.0260314,131.937,0.267152,0.143414,55,w55_f1_c1
200793,7,13,1,7,1,1,dotA,8,menadione,2.95023,143.018,0.498091,0.136972,55,w55_f1_c1
201008,7,13,1,8,1,1,dotA,8,menadione,1.61395,157.299,0.725957,0.140816,55,w55_f1_c1
201224,7,13,1,9,1,1,dotA,8,menadione,1.54453,177.455,0.665381,0.153787,55,w55_f1_c1
198018,7,13,1,10,1,1,dotA,8,menadione,1.33628,198.906,0.550386,0.161675,55,w55_f1_c1
198234,7,13,1,11,1,1,dotA,8,menadione,1.92633,210.2,0.575013,0.156538,55,w55_f1_c1
198453,7,13,1,12,1,1,dotA,8,menadione,1.78749,225.433,0.575483,0.152344,55,w55_f1_c1
198673,7,13,1,13,1,1,dotA,8,menadione,2.61182,245.164,0.594849,0.16506,55,w55_f1_c1
198890,7,13,1,14,1,1,dotA,8,menadione,1.36231,278.13,0.643683,0.179144,55,w55_f1_c1
199109,7,13,1,15,1,1,dotA,8,menadione,1.69204,286.177,0.68441,0.18931,55,w55_f1_c1
199328,7,13,1,16,1,1,dotA,8,menadione,2.94155,289.575,0.753445,0.117768,55,w55_f1_c1
199544,7,13,1,17,1,1,dotA,8,menadione,3.54028,376.638,0.703273,0.143738,55,w55_f1_c1
197734,7,13,1,0,1,10,dotA,8,menadione,5.7703,141.026,0.722488,0.109008,55,w55_f1_c10
197845,7,13,1,1,1,10,dotA,8,menadione,3.06303,152.106,1.26608,0.0925164,55,w55_f1_c10
199744,7,13,1,2,1,10,dotA,8,menadione,2.18664,165.221,1.61444,0.0948548,55,w55_f1_c10
199947,7,13,1,3,1,10,dotA,8,menadione,4.9373,168.247,1.51783,0.0921887,55,w55_f1_c10
200155,7,13,1,4,1,10,dotA,8,menadione,3.71382,170.474,1.73529,0.0933715,55,w55_f1_c10
200364,7,13,1,5,1,10,dotA,8,menadione,4.11297,171.563,1.66974,0.100206,55,w55_f1_c10
200578,7,13,1,6,1,10,dotA,8,menadione,4.139,174.47,1.68547,0.115667,55,w55_f1_c10
200794,7,13,1,7,1,10,dotA,8,menadione,4.46873,190.445,2.20604,0.110979,55,w55_f1_c10
201009,7,13,1,8,1,10,dotA,8,menadione,4.42534,193.4,2.15155,0.11158,55,w55_f1_c10
201225,7,13,1,9,1,10,dotA,8,menadione,5.31041,186.69,1.88406,0.127856,55,w55_f1_c10
198019,7,13,1,10,1,10,dotA,8,menadione,2.82007,189.607,1.70701,0.145534,55,w55_f1_c10
198235,7,13,1,11,1,10,dotA,8,menadione,5.5447,195.596,1.95293,0.139451,55,w55_f1_c10
198454,7,13,1,12,1,10,dotA,8,menadione,3.84398,188.561,1.88793,0.156543,55,w55_f1_c10
198674,7,13,1,13,1,10,dotA,8,menadione,3.42747,182.847,1.76194,0.156962,55,w55_f1_c10
198891,7,13,1,14,1,10,dotA,8,menadione,4.07826,176.676,1.57346,0.173288,55,w55_f1_c10
199110,7,13,1,15,1,10,dotA,8,menadione,3.19319,175.024,1.48254,0.177081,55,w55_f1_c10
199329,7,13,1,16,1,10,dotA,8,menadione,4.92862,188.394,1.80856,0.168733,55,w55_f1_c10
199545,7,13,1,17,1,10,dotA,8,menadione,4.99804,192.168,1.82714,0.182835,55,w55_f1_c10
197735,7,13,1,0,1,11,dotA,8,menadione,5.87443,140.203,0.577797,0.0912982,55,w55_f1_c11
197846,7,13,1,1,1,11,dotA,8,menadione,7.05452,136.518,0.443102,0.0949911,55,w55_f1_c11
199745,7,13,1,2,1,11,dotA,8,menadione,6.7595,138.561,0.535292,0.157177,55,w55_f1_c11
199948,7,13,1,3,1,11,dotA,8,menadione,7.33219,137.065,0.317636,0.146964,55,w55_f1_c11
200156,7,13,1,4,1,11,dotA,8,menadione,6.1868,141.827,0.409971,0.126968,55,w55_f1_c11
200365,7,13,1,5,1,11,dotA,8,menadione,4.80714,146.666,0.465753,0.139984,55,w55_f1_c11
200579,7,13,1,6,1,11,dotA,8,menadione,2.64653,147.806,0.345322,0.136464,55,w55_f1_c11
200795,7,13,1,7,1,11,dotA,8,menadione,5.21496,152.029,0.498409,0.143667,55,w55_f1_c11
