,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
393053,11,13,1,0,1,1,dotA,10,menanac,0.0,130.522,0.323415,0.139285,103,w103_f1_c1
393140,11,13,1,1,1,1,dotA,10,menanac,0.0,143.785,0.563997,0.104761,103,w103_f1_c1
394821,11,13,1,2,1,1,dotA,10,menanac,0.0,167.719,0.520572,0.10737,103,w103_f1_c1
395001,11,13,1,3,1,1,dotA,10,menanac,0.0,225.084,0.657304,0.093353,103,w103_f1_c1
395181,11,13,1,4,1,1,dotA,10,menanac,0.0,143.81,0.595368,0.110521,103,w103_f1_c1
395362,11,13,1,5,1,1,dotA,10,menanac,0.0,138.937,0.536255,0.115479,103,w103_f1_c1
395549,11,13,1,6,1,1,dotA,10,menanac,0.0,139.941,0.541495,0.122912,103,w103_f1_c1
395736,11,13,1,7,1,1,dotA,10,menanac,0.0,145.966,0.661085,0.110729,103,w103_f1_c1
395925,11,13,1,8,1,1,dotA,10,menanac,0.0,157.39,0.898701,0.0782863,103,w103_f1_c1
396114,11,13,1,9,1,1,dotA,10,menanac,0.0,143.93,0.594735,0.123698,103,w103_f1_c1
393289,11,13,1,10,1,1,dotA,10,menanac,0.0,145.371,0.561351,0.13703,103,w103_f1_c1
393479,11,13,1,11,1,1,dotA,10,menanac,0.0,155.433,0.484529,0.163001,103,w103_f1_c1
393669,11,13,1,12,1,1,dotA,10,menanac,0.0,148.621,0.5523,0.158743,103,w103_f1_c1
393862,11,13,1,13,1,1,dotA,10,menanac,0.0,165.402,0.635575,0.134748,103,w103_f1_c1
394063,11,13,1,14,1,1,dotA,10,menanac,0.0,319.666,1.63479,0.16539,103,w103_f1_c1
394261,11,13,1,15,1,1,dotA,10,menanac,0.0,259.26,1.54131,0.157927,103,w103_f1_c1
394452,11,13,1,16,1,1,dotA,10,menanac,0.0,242.975,1.28811,0.137784,103,w103_f1_c1
393141,11,13,1,1,1,10,dotA,10,menanac,3.09774,119.039,0.0787309,0.0980375,103,w103_f1_c10
394822,11,13,1,2,1,10,dotA,10,menanac,0.0,118.985,0.0570978,0.0860319,103,w103_f1_c10
395002,11,13,1,3,1,10,dotA,10,menanac,0.0,119.655,0.0887585,0.0934244,103,w103_f1_c10
395182,11,13,1,4,1,10,dotA,10,menanac,0.0,120.747,0.0970361,0.0922996,103,w103_f1_c10
395363,11,13,1,5,1,10,dotA,10,menanac,0.0,121.163,0.0967206,0.111189,103,w103_f1_c10
395550,11,13,1,6,1,10,dotA,10,menanac,0.0,121.568,0.0931152,0.109384,103,w103_f1_c10
395737,11,13,1,7,1,10,dotA,10,menanac,0.0,123.156,0.164123,0.127493,103,w103_f1_c10
395926,11,13,1,8,1,10,dotA,10,menanac,0.0,125.233,0.253101,0.129697,103,w103_f1_c10
396115,11,13,1,9,1,10,dotA,10,menanac,0.0,123.687,0.1556,0.137884,103,w103_f1_c10
393290,11,13,1,10,1,10,dotA,10,menanac,0.0,123.995,0.129744,0.144875,103,w103_f1_c10
393480,11,13,1,11,1,10,dotA,10,menanac,0.0,122.624,0.0829841,0.144896,103,w103_f1_c10
393142,11,13,1,1,1,11,dotA,10,menanac,0.0,117.362,0.0709274,0.148036,103,w103_f1_c11
394823,11,13,1,2,1,11,dotA,10,menanac,2.34283,115.844,0.0662458,0.184052,103,w103_f1_c11
395003,11,13,1,3,1,11,dotA,10,menanac,1.20612,115.431,0.0480471,0.127544,103,w103_f1_c11
395183,11,13,1,4,1,11,dotA,10,menanac,1.37967,115.402,0.047462,0.166312,103,w103_f1_c11
395364,11,13,1,5,1,11,dotA,10,menanac,1.53585,115.279,0.0467963,0.151255,103,w103_f1_c11
395551,11,13,1,6,1,11,dotA,10,menanac,0.0,115.544,0.0452877,0.170214,103,w103_f1_c11
395738,11,13,1,7,1,11,dotA,10,menanac,3.4535,117.004,0.0562673,0.154055,103,w103_f1_c11
395927,11,13,1,8,1,11,dotA,10,menanac,1.63998,117.116,0.0594603,0.0898431,103,w103_f1_c11
