,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
292122,9,13,1,0,1,1,dotA,9,nac,4.2518,156.821,0.930672,0.146261,79,w79_f1_c1
292245,9,13,1,1,1,1,dotA,9,nac,0.0,147.194,0.478075,0.0738389,79,w79_f1_c1
294507,9,13,1,2,1,1,dotA,9,nac,2.55976,224.787,1.51945,0.125875,79,w79_f1_c1
294731,9,13,1,3,1,1,dotA,9,nac,2.34283,159.075,0.732947,0.0974917,79,w79_f1_c1
294965,9,13,1,4,1,1,dotA,9,nac,0.0,152.475,0.451655,0.0846164,79,w79_f1_c1
295201,9,13,1,5,1,1,dotA,9,nac,0.0,153.233,0.456659,0.0776059,79,w79_f1_c1
295442,9,13,1,6,1,1,dotA,9,nac,1.43173,154.679,0.376479,0.0865544,79,w79_f1_c1
295688,9,13,1,7,1,1,dotA,9,nac,0.0,152.162,0.575936,0.0921121,79,w79_f1_c1
295935,9,13,1,8,1,1,dotA,9,nac,0.0,159.655,0.489255,0.0909806,79,w79_f1_c1
296184,9,13,1,9,1,1,dotA,9,nac,0.0,157.851,0.433003,0.106346,79,w79_f1_c1
292449,9,13,1,10,1,1,dotA,9,nac,0.0,162.987,0.431866,0.108019,79,w79_f1_c1
292704,9,13,1,11,1,1,dotA,9,nac,0.0,175.889,0.615479,0.13342,79,w79_f1_c1
292963,9,13,1,12,1,1,dotA,9,nac,0.0,152.197,0.362108,0.12011,79,w79_f1_c1
293222,9,13,1,13,1,1,dotA,9,nac,0.0,176.164,0.55762,0.139481,79,w79_f1_c1
293482,9,13,1,14,1,1,dotA,9,nac,0.0,175.408,0.547156,0.157294,79,w79_f1_c1
293740,9,13,1,15,1,1,dotA,9,nac,0.0,181.593,1.10873,0.159956,79,w79_f1_c1
294000,9,13,1,16,1,1,dotA,9,nac,0.0,178.157,0.598614,0.136957,79,w79_f1_c1
294263,9,13,1,17,1,1,dotA,9,nac,1.50982,176.292,0.46034,0.142722,79,w79_f1_c1
292246,9,13,1,1,1,10,dotA,9,nac,0.0,136.683,0.594895,0.107593,79,w79_f1_c10
294508,9,13,1,2,1,10,dotA,9,nac,3.27128,142.715,0.792921,0.0986045,79,w79_f1_c10
294732,9,13,1,3,1,10,dotA,9,nac,2.7333,146.467,0.894608,0.100471,79,w79_f1_c10
294966,9,13,1,4,1,10,dotA,9,nac,3.21922,151.153,0.931947,0.110116,79,w79_f1_c10
295202,9,13,1,5,1,10,dotA,9,nac,0.0260314,153.511,0.930189,0.108911,79,w79_f1_c10
295443,9,13,1,6,1,10,dotA,9,nac,0.0,151.303,0.992262,0.119328,79,w79_f1_c10
295689,9,13,1,7,1,10,dotA,9,nac,0.0,151.107,0.94148,0.118655,79,w79_f1_c10
295936,9,13,1,8,1,10,dotA,9,nac,0.0,154.55,0.839659,0.106058,79,w79_f1_c10
296185,9,13,1,9,1,10,dotA,9,nac,2.18664,150.805,0.682908,0.122965,79,w79_f1_c10
292450,9,13,1,10,1,10,dotA,9,nac,2.44695,158.156,0.776367,0.124195,79,w79_f1_c10
292705,9,13,1,11,1,10,dotA,9,nac,3.04568,155.35,0.694038,0.138545,79,w79_f1_c10
292964,9,13,1,12,1,10,dotA,9,nac,3.00229,159.966,0.83639,0.139166,79,w79_f1_c10
293223,9,13,1,13,1,10,dotA,9,nac,2.94155,164.267,0.874159,0.134208,79,w79_f1_c10
293483,9,13,1,14,1,10,dotA,9,nac,2.94155,167.878,0.989166,0.133605,79,w79_f1_c10
293741,9,13,1,15,1,10,dotA,9,nac,2.49034,171.19,0.981348,0.139812,79,w79_f1_c10
294001,9,13,1,16,1,10,dotA,9,nac,2.21267,177.077,1.03888,0.141133,79,w79_f1_c10
294264,9,13,1,17,1,10,dotA,9,nac,3.2279,176.16,1.05307,0.145786,79,w79_f1_c10
292247,9,13,1,1,1,11,dotA,9,nac,5.52734,254.019,1.12983,0.16698,79,w79_f1_c11
294509,9,13,1,2,1,11,dotA,9,nac,1.76146,212.457,0.929371,0.133128,79,w79_f1_c11
294733,9,13,1,3,1,11,dotA,9,nac,2.66388,257.096,0.704344,0.123567,79,w79_f1_c11
294967,9,13,1,4,1,11,dotA,9,nac,2.71595,203.844,0.668982,0.106749,79,w79_f1_c11
295203,9,13,1,5,1,11,dotA,9,nac,4.22577,169.503,0.427544,0.121952,79,w79_f1_c11
295444,9,13,1,6,1,11,dotA,9,nac,6.51654,176.175,0.500477,0.123987,79,w79_f1_c11
295690,9,13,1,7,1,11,dotA,9,nac,2.76801,174.806,0.383714,0.130132,79,w79_f1_c11
295937,9,13,1,8,1,11,dotA,9,nac,3.47086,169.721,0.359,0.120801,79,w79_f1_c11
296186,9,13,1,9,1,11,dotA,9,nac,4.9373,216.011,0.962551,0.14059,79,w79_f1_c11
292451,9,13,1,10,1,11,dotA,9,nac,2.74198,195.245,0.699248,0.128883,79,w79_f1_c11
292706,9,13,1,11,1,11,dotA,9,nac,1.52718,228.305,0.939912,0.146573,79,w79_f1_c11
292965,9,13,1,12,1,11,dotA,9,nac,2.19532,257.563,0.962883,0.136099,79,w79_f1_c11
292248,9,13,1,1,1,12,dotA,9,nac,8.23461,129.193,0.354979,0.214728,79,w79_f1_c12
294510,9,13,1,2,1,12,dotA,9,nac,6.88098,133.919,0.478605,0.136925,79,w79_f1_c12
294734,9,13,1,3,1,12,dotA,9,nac,8.278,129.113,0.381486,0.118833,79,w79_f1_c12
294968,9,13,1,4,1,12,dotA,9,nac,6.32564,134.924,0.389899,0.117756,79,w79_f1_c12
295204,9,13,1,5,1,12,dotA,9,nac,7.05452,135.365,0.446225,0.122568,79,w79_f1_c12
295445,9,13,1,6,1,12,dotA,9,nac,4.00016,138.913,0.428751,0.143988,79,w79_f1_c12
295691,9,13,1,7,1,12,dotA,9,nac,4.73772,132.872,0.373513,0.144479,79,w79_f1_c12
295938,9,13,1,8,1,12,dotA,9,nac,3.77456,134.861,0.44049,0.132391,79,w79_f1_c12
296187,9,13,1,9,1,12,dotA,9,nac,8.1999,135.789,0.364406,0.146775,79,w79_f1_c12
292452,9,13,1,10,1,12,dotA,9,nac,9.96136,139.173,0.395734,0.145831,79,w79_f1_c12
292707,9,13,1,11,1,12,dotA,9,nac,8.53831,138.202,0.363334,0.164903,79,w79_f1_c12
292966,9,13,1,12,1,12,dotA,9,nac,8.30403,132.752,0.343258,0.166873,79,w79_f1_c12
292250,9,13,1,1,1,14,dotA,9,nac,1.54453,138.396,0.934677,0.154241,79,w79_f1_c14
294512,9,13,1,2,1,14,dotA,9,nac,2.17796,147.693,1.04874,0.139494,79,w79_f1_c14
294735,9,13,1,3,1,14,dotA,9,nac,3.05436,140.841,0.796998,0.112891,79,w79_f1_c14
294969,9,13,1,4,1,14,dotA,9,nac,2.93288,143.93,0.838414,0.113571,79,w79_f1_c14
