t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl
0.0,Lpp WT,0.431446,0.25603200000000004,126.836,217.24,8.0,10.0076,1.0,w1_f1_c1
1.0,Lpp WT,0.484533,0.121939,125.335,346.889,0.0,0.0,0.0,w1_f1_c1
2.0,Lpp WT,0.488785,0.115264,125.288,432.361,0.0,0.0,0.0,w1_f1_c1
3.0,Lpp WT,0.47821499999999995,0.14033199999999998,125.71700000000001,346.814,0.0,0.0,0.0,w1_f1_c1
4.0,Lpp WT,0.474289,0.178344,125.51799999999999,426.399,1.0,2.29667,1.0,w1_f1_c1
5.0,Lpp WT,0.48147299999999993,0.135201,125.583,278.538,2.0,1.53694,1.0,w1_f1_c1
6.0,Lpp WT,0.470587,0.174567,126.06,482.551,3.0,0.27071100000000003,1.0,w1_f1_c1
7.0,Lpp WT,0.474153,0.159039,125.744,419.905,2.0,1.1527,1.0,w1_f1_c1
8.0,Lpp WT,0.493505,0.106421,142.832,395.935,1.0,0.4017,1.0,w1_f1_c1
9.0,Lpp WT,0.513772,0.078543,448.848,743.01,1.0,0.0698608,1.0,w1_f1_c1
10.0,Lpp WT,0.5029140000000001,0.095876,492.449,1269.19,2.0,0.41043199999999996,1.0,w1_f1_c1
11.0,Lpp WT,0.509096,0.108669,554.924,2314.85,1.0,2.06963,1.0,w1_f1_c1
12.0,Lpp WT,0.512016,0.0937987,559.747,1641.29,2.0,0.6287470000000001,1.0,w1_f1_c1
13.0,Lpp WT,0.512354,0.10304200000000001,533.994,2141.04,2.0,0.960586,1.0,w1_f1_c1
14.0,Lpp WT,0.513197,0.093613,539.492,2205.17,5.0,1.7901799999999999,1.0,w1_f1_c1
15.0,Lpp WT,0.506709,0.0987172,547.369,1989.62,3.0,1.1527,1.0,w1_f1_c1
16.0,Lpp WT,0.5116149999999999,0.10834500000000001,530.566,2510.85,12.0,2.29667,1.0,w1_f1_c1
17.0,Lpp WT,0.5147390000000001,0.089587,525.1990000000001,2650.24,8.0,2.0521599999999998,1.0,w1_f1_c1
0.0,Lpp WT,0.320009,0.5616800000000001,122.675,227.22099999999998,5.0,18.3996,1.0,w1_f1_c2
1.0,Lpp WT,0.30449499999999996,0.5462899999999999,122.45100000000001,349.092,4.0,16.5483,1.0,w1_f1_c2
2.0,Lpp WT,0.321206,0.49661400000000006,127.93700000000001,454.55,4.0,16.0593,1.0,w1_f1_c2
3.0,Lpp WT,0.332835,0.46042,137.424,488.559,3.0,15.579,1.0,w1_f1_c2
4.0,Lpp WT,0.352722,0.398687,141.969,497.51599999999996,5.0,9.326419999999999,1.0,w1_f1_c2
5.0,Lpp WT,0.386894,0.28672800000000004,143.001,576.807,6.0,12.5138,1.0,w1_f1_c2
6.0,Lpp WT,0.390098,0.289996,150.16299999999998,564.747,4.0,13.9634,1.0,w1_f1_c2
7.0,Lpp WT,0.408035,0.261496,147.43,598.3580000000001,1.0,2.42766,1.0,w1_f1_c2
8.0,Lpp WT,0.42122299999999996,0.24520999999999998,149.881,645.341,5.0,6.75903,1.0,w1_f1_c2
9.0,Lpp WT,0.46469099999999997,0.172675,176.472,874.6210000000001,6.0,19.561,1.0,w1_f1_c2
10.0,Lpp WT,0.515378,0.0588232,694.86,5076.49,13.0,9.14303,1.0,w1_f1_c2
11.0,Lpp WT,0.5005890000000001,0.103173,1085.94,5707.55,16.0,13.0116,1.0,w1_f1_c2
12.0,Lpp WT,0.47793599999999997,0.202967,941.923,5291.03,6.0,6.6193100000000005,1.0,w1_f1_c2
13.0,Lpp WT,0.494949,0.121023,1110.66,5699.48,7.0,7.71962,1.0,w1_f1_c2
14.0,Lpp WT,0.48656800000000006,0.13325599999999999,1187.96,5730.94,5.0,11.5358,1.0,w1_f1_c2
15.0,Lpp WT,0.49936499999999995,0.09159919999999999,1137.28,5398.36,2.0,4.67194,1.0,w1_f1_c2
16.0,Lpp WT,0.488573,0.12096900000000001,1282.8,5781.3,4.0,5.9993,1.0,w1_f1_c2
17.0,Lpp WT,0.483671,0.128606,1307.39,5802.07,4.0,5.85957,1.0,w1_f1_c2
0.0,Lpp WT,0.332432,0.6170180000000001,127.679,227.27599999999998,2.0,3.8860099999999997,1.0,w1_f1_c3
1.0,Lpp WT,0.45672700000000005,0.178377,124.85799999999999,327.48,1.0,2.86429,1.0,w1_f1_c3
2.0,Lpp WT,0.472869,0.149997,124.80799999999999,433.409,6.0,13.0989,1.0,w1_f1_c3
3.0,Lpp WT,0.463625,0.169537,125.13,505.305,6.0,13.4919,1.0,w1_f1_c3
4.0,Lpp WT,0.44046899999999994,0.256898,124.844,553.635,6.0,21.8752,1.0,w1_f1_c3
5.0,Lpp WT,0.45538,0.17315999999999998,124.604,538.806,6.0,19.4737,1.0,w1_f1_c3
6.0,Lpp WT,0.444474,0.20319700000000002,125.215,588.181,7.0,23.6741,1.0,w1_f1_c3
7.0,Lpp WT,0.44743999999999995,0.170807,124.90299999999999,703.3810000000001,12.0,26.6781,1.0,w1_f1_c3
8.0,Lpp WT,0.44648699999999997,0.182409,131.97,2156.01,9.0,29.3677,1.0,w1_f1_c3
9.0,Lpp WT,0.502975,0.103778,219.321,3378.85,6.0,33.6554,1.0,w1_f1_c3
12.0,Lpp WT,0.507899,0.09677050000000001,536.227,4052.5,5.0,23.1065,1.0,w1_f1_c3
13.0,Lpp WT,0.503847,0.10663900000000001,534.76,4749.45,8.0,27.1147,1.0,w1_f1_c3
14.0,Lpp WT,0.505783,0.104675,541.7869999999999,4987.1,12.0,27.499000000000002,1.0,w1_f1_c3
15.0,Lpp WT,0.510992,0.0859138,534.738,4741.8,15.0,25.3245,1.0,w1_f1_c3
16.0,Lpp WT,0.50766,0.09830950000000001,544.347,5312.99,6.0,27.4466,1.0,w1_f1_c3
17.0,Lpp WT,0.502977,0.10656800000000001,551.467,5411.13,5.0,23.0628,1.0,w1_f1_c3
0.0,Lpp WT,0.380463,0.534189,125.863,259.013,3.0,5.1784300000000005,1.0,w1_f1_c4
1.0,Lpp WT,0.439474,0.387344,124.898,396.537,1.0,1.8425799999999999,1.0,w1_f1_c4
2.0,Lpp WT,0.427626,0.40225900000000003,126.149,524.389,1.0,1.33609,1.0,w1_f1_c4
3.0,Lpp WT,0.42481800000000003,0.37650700000000004,127.588,654.482,2.0,2.87303,1.0,w1_f1_c4
4.0,Lpp WT,0.427997,0.350277,129.756,856.0880000000001,1.0,1.44961,1.0,w1_f1_c4
5.0,Lpp WT,0.440032,0.261792,128.287,1021.53,3.0,2.1045599999999998,1.0,w1_f1_c4
6.0,Lpp WT,0.44707700000000006,0.217608,132.679,1224.53,1.0,1.633,1.0,w1_f1_c4
7.0,Lpp WT,0.47763,0.162131,128.612,797.449,1.0,1.0741100000000001,1.0,w1_f1_c4
8.0,Lpp WT,0.479264,0.145084,129.631,1028.55,3.0,2.27048,1.0,w1_f1_c4
9.0,Lpp WT,0.462197,0.186552,131.151,1089.32,2.0,1.44961,1.0,w1_f1_c4
10.0,Lpp WT,0.454463,0.193875,130.644,1457.97,2.0,2.0870900000000003,1.0,w1_f1_c4
11.0,Lpp WT,0.457142,0.229917,132.328,1518.64,4.0,6.16522,1.0,w1_f1_c4
12.0,Lpp WT,0.44163199999999997,0.241615,133.741,1525.12,2.0,5.47534,1.0,w1_f1_c4
13.0,Lpp WT,0.46279,0.223631,170.468,2400.66,2.0,10.6188,1.0,w1_f1_c4
14.0,Lpp WT,0.469948,0.17114300000000002,275.778,4089.78,4.0,12.1645,1.0,w1_f1_c4
15.0,Lpp WT,0.48521000000000003,0.137204,255.572,4689.98,4.0,11.8239,1.0,w1_f1_c4
16.0,Lpp WT,0.48796300000000004,0.159838,1063.38,5071.77,5.0,8.39203,1.0,w1_f1_c4
