,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
47099,6,8,1,-4,1,1,589,136,"[282,1,707,422]",-53.0,883.01,Antimycin A,Lpp WT,372,34,14.7307,1,0,137.505,53.8422,0.391565,30,w30_f1_c1
47044,6,8,1,-3,1,1,409,95,"[262,1,712,418]",-55.27,882.95,Antimycin A,Lpp WT,359,49,14.1796,1,0,139.22,58.1729,0.417848,30,w30_f1_c1
46990,6,8,1,-2,1,1,480,137,"[228,1,725,523]",-55.19,879.61,Antimycin A,Lpp WT,357,65,17.5736,1,0,132.681,46.4187,0.349853,30,w30_f1_c1
46934,6,8,1,-1,1,1,452,133,"[265,1,734,512]",-54.5,879.51,Antimycin A,Lpp WT,367,70,18.7807,1,0,134.463,46.0848,0.342733,30,w30_f1_c1
47150,6,8,1,0,1,1,465,166,"[289,18,772,607]",-53.77,870.74,Antimycin A,Lpp WT,390,130,21.5186,1,0,129.878,35.3226,0.271968,30,w30_f1_c1
47212,6,8,1,1,1,1,412,144,"[280,1,616,482]",-61.49,881.82,Antimycin A,Lpp WT,376,110,21.3087,1,0,134.486,33.2971,0.247588,30,w30_f1_c1
47403,6,8,1,2,1,1,406,135,"[266,1,637,503]",-62.57,881.16,Antimycin A,Lpp WT,361,105,19.5855,1,0,131.9,31.3554,0.237721,30,w30_f1_c1
47465,6,8,1,3,1,1,393,138,"[256,1,618,419]",-63.13,882.37,Antimycin A,Lpp WT,349,106,21.16,1,0,131.218,28.8018,0.219496,30,w30_f1_c1
47527,6,8,1,4,1,1,398,135,"[256,1,599,497]",-62.92,880.52,Antimycin A,Lpp WT,347,104,21.956,1,0,131.352,30.6,0.232962,30,w30_f1_c1
47591,6,8,1,5,1,1,409,121,"[264,1,554,317]",-63.16,884.44,Antimycin A,Lpp WT,347,94,22.4371,1,0,137.734,33.4842,0.243107,30,w30_f1_c1
47652,6,8,1,6,1,1,389,120,"[268,1,547,264]",-63.17,885.12,Antimycin A,Lpp WT,349,91,18.6495,1,0,143.878,42.6894,0.296706,30,w30_f1_c1
47714,6,8,1,7,1,1,394,149,"[261,1,555,356]",-63.2,882.89,Antimycin A,Lpp WT,342,102,20.0841,1,0,138.442,36.5802,0.264227,30,w30_f1_c1
47777,6,8,1,8,1,1,392,151,"[242,1,587,448]",-62.95,881.47,Antimycin A,Lpp WT,347,102,19.4105,1,0,134.535,31.9446,0.237444,30,w30_f1_c1
47840,6,8,1,9,1,1,399,148,"[265,1,570,351]",-62.94,883.15,Antimycin A,Lpp WT,347,96,19.6817,1,0,135.989,29.1343,0.21424,30,w30_f1_c1
47276,6,8,1,10,1,1,399,137,"[259,1,573,351]",-62.98,883.04,Antimycin A,Lpp WT,346,97,19.7079,1,0,136.98,31.135,0.227296,30,w30_f1_c1
47340,6,8,1,11,1,1,393,136,"[241,1,563,468]",-63.54,880.87,Antimycin A,Lpp WT,340,98,19.5067,1,0,133.18,28.5053,0.214037,30,w30_f1_c1
47100,6,8,1,-4,1,2,996,285,"[818,149,1136,465]",-8.04,868.0,Antimycin A,Lpp WT,936,291,1.43458,1,0,120.159,5.38936,0.0448519,30,w30_f1_c2
47045,6,8,1,-3,1,2,985,296,"[816,162,1180,550]",-7.08,866.1,Antimycin A,Lpp WT,932,300,1.3471,1,0,120.169,5.24749,0.0436674,30,w30_f1_c2
46991,6,8,1,-2,1,2,981,311,"[817,174,1214,611]",-5.6,863.56,Antimycin A,Lpp WT,933,311,1.27712,1,0,120.619,5.01875,0.0416083,30,w30_f1_c2
46935,6,8,1,-1,1,2,995,317,"[814,183,1239,583]",-5.33,862.66,Antimycin A,Lpp WT,932,320,1.46957,1,0,120.926,5.06328,0.0418708,30,w30_f1_c2
47152,6,8,1,0,1,2,1008,389,"[839,250,1168,538]",-6.07,859.26,Antimycin A,Lpp WT,957,389,1.1809,1,0,122.019,5.2782,0.0432571,30,w30_f1_c2
47215,6,8,1,1,1,2,990,370,"[832,231,1164,556]",-7.43,860.96,Antimycin A,Lpp WT,935,369,1.3646,1,0,121.778,5.16179,0.042387,30,w30_f1_c2
47405,6,8,1,2,1,2,980,364,"[805,227,1154,537]",-9.02,861.49,Antimycin A,Lpp WT,922,366,1.25088,1,0,121.998,5.25893,0.0431068,30,w30_f1_c2
47467,6,8,1,3,1,2,963,351,"[807,242,1091,495]",-10.39,862.81,Antimycin A,Lpp WT,911,366,1.14591,1,0,122.383,5.33546,0.0435966,30,w30_f1_c2
47530,6,8,1,4,1,2,966,360,"[807,231,1158,506]",-9.82,861.51,Antimycin A,Lpp WT,909,364,1.09343,1,0,122.462,5.34733,0.0436653,30,w30_f1_c2
47595,6,8,1,5,1,2,968,355,"[791,221,1096,584]",-10.96,862.02,Antimycin A,Lpp WT,906,362,1.07593,1,0,122.751,6.02476,0.0490811,30,w30_f1_c2
47656,6,8,1,6,1,2,960,361,"[795,230,1106,571]",-10.72,861.56,Antimycin A,Lpp WT,905,361,1.05844,1,0,122.149,5.26987,0.0431429,30,w30_f1_c2
47719,6,8,1,7,1,2,955,354,"[805,236,1083,482]",-11.18,863.0,Antimycin A,Lpp WT,906,363,0.533593,1,0,123.166,5.32321,0.0432197,30,w30_f1_c2
47782,6,8,1,8,1,2,950,348,"[804,234,1083,490]",-11.12,863.31,Antimycin A,Lpp WT,904,359,1.05844,1,0,124.088,5.37388,0.0433069,30,w30_f1_c2
47845,6,8,1,9,1,2,967,353,"[802,222,1108,517]",-10.81,862.09,Antimycin A,Lpp WT,905,360,1.07593,1,0,123.936,5.28763,0.0426641,30,w30_f1_c2
47282,6,8,1,10,1,2,954,346,"[803,236,1084,470]",-11.15,863.39,Antimycin A,Lpp WT,904,359,0.472361,1,0,124.557,5.40517,0.0433953,30,w30_f1_c2
47346,6,8,1,11,1,2,961,352,"[787,219,1102,590]",-10.85,861.45,Antimycin A,Lpp WT,903,358,1.46082,1,0,124.063,11.4289,0.0921217,30,w30_f1_c2
47102,6,8,1,-4,1,4,1214,1406,"[1130,1295,1297,1506]",12.37,765.4,Antimycin A,Lpp WT,1232,1426,32.0156,1,0,256.067,216.469,0.84536,30,w30_f1_c4
47047,6,8,1,-3,1,4,1207,1419,"[1118,1293,1299,1509]",12.15,764.9,Antimycin A,Lpp WT,1227,1436,26.1198,1,0,276.028,229.458,0.831286,30,w30_f1_c4
46993,6,8,1,-2,1,4,1211,1422,"[1121,1312,1296,1513]",12.29,763.86,Antimycin A,Lpp WT,1233,1439,25.6649,1,0,296.324,235.727,0.795504,30,w30_f1_c4
46937,6,8,1,-1,1,4,1223,1422,"[1129,1310,1310,1508]",13.17,764.17,Antimycin A,Lpp WT,1246,1428,25.2538,1,0,313.776,268.957,0.857163,30,w30_f1_c4
47154,6,8,1,0,1,4,1243,1492,"[1157,1366,1330,1581]",15.22,757.87,Antimycin A,Lpp WT,1271,1490,23.0932,1,0,310.509,277.736,0.894455,30,w30_f1_c4
47217,6,8,1,1,1,4,1229,1454,"[1134,1354,1321,1570]",13.52,759.37,Antimycin A,Lpp WT,1256,1475,21.9998,1,0,288.271,252.906,0.877319,30,w30_f1_c4
47407,6,8,1,2,1,4,1213,1455,"[1096,1294,1296,1559]",10.86,761.41,Antimycin A,Lpp WT,1235,1472,21.5799,1,0,282.559,247.688,0.876589,30,w30_f1_c4
47469,6,8,1,3,1,4,1199,1463,"[1083,1261,1285,1561]",9.47,761.81,Antimycin A,Lpp WT,1224,1478,31.1933,1,0,266.843,205.966,0.771865,30,w30_f1_c4
47532,6,8,1,4,1,4,1195,1456,"[1111,1337,1280,1560]",11.02,759.72,Antimycin A,Lpp WT,1217,1467,15.5529,1,0,305.193,242.242,0.793735,30,w30_f1_c4
47596,6,8,1,5,1,4,1187,1465,"[1100,1349,1271,1571]",10.35,759.36,Antimycin A,Lpp WT,1212,1475,21.3787,1,0,291.939,230.313,0.788909,30,w30_f1_c4
47657,6,8,1,6,1,4,1191,1451,"[1107,1354,1284,1561]",10.67,759.4,Antimycin A,Lpp WT,1216,1474,19.9441,1,0,301.482,255.782,0.848416,30,w30_f1_c4
47720,6,8,1,7,1,4,1193,1455,"[1107,1362,1280,1555]",10.88,759.32,Antimycin A,Lpp WT,1220,1480,24.8864,1,0,296.246,242.766,0.819472,30,w30_f1_c4
47783,6,8,1,8,1,4,1196,1466,"[1103,1347,1284,1557]",10.88,759.95,Antimycin A,Lpp WT,1221,1471,18.4046,1,0,277.78,225.495,0.811778,30,w30_f1_c4
47846,6,8,1,9,1,4,1186,1456,"[1093,1351,1331,1554]",11.0,759.95,Antimycin A,Lpp WT,1213,1468,16.3052,1,0,252.728,207.235,0.819994,30,w30_f1_c4
47283,6,8,1,10,1,4,1179,1443,"[1087,1352,1274,1548]",9.75,760.32,Antimycin A,Lpp WT,1207,1465,14.6869,1,0,282.691,225.817,0.798813,30,w30_f1_c4
47347,6,8,1,11,1,4,1178,1441,"[1087,1344,1282,1552]",9.84,760.63,Antimycin A,Lpp WT,1209,1462,14.5295,1,0,267.902,221.561,0.827022,30,w30_f1_c4
47104,6,8,1,-4,1,6,1948,1774,"[1715,1507,2158,1979]",80.01,730.76,Antimycin A,Lpp WT,1917,1788,0.927226,1,0,397.694,381.1,0.958274,30,w30_f1_c6
47049,6,8,1,-3,1,6,1935,1788,"[1711,1484,2133,1992]",79.55,730.4,Antimycin A,Lpp WT,1915,1803,0.927226,1,0,355.354,346.717,0.975696,30,w30_f1_c6
46995,6,8,1,-2,1,6,1932,1808,"[1706,1501,2147,2006]",79.82,728.71,Antimycin A,Lpp WT,1915,1816,1.05844,1,0,354.06,328.318,0.927293,30,w30_f1_c6
46939,6,8,1,-1,1,6,1925,1812,"[1736,1502,2128,2014]",79.94,728.21,Antimycin A,Lpp WT,1914,1825,1.13716,1,0,334.375,290.852,0.869838,30,w30_f1_c6
47156,6,8,1,0,1,6,1951,1887,"[1691,1605,2143,2089]",81.38,721.26,Antimycin A,Lpp WT,1934,1896,0.988458,1,0,268.101,206.782,0.771284,30,w30_f1_c6
47219,6,8,1,1,1,6,1950,1859,"[1678,1577,2119,2054]",77.95,724.91,Antimycin A,Lpp WT,1912,1876,1.00595,1,0,223.162,149.549,0.670138,30,w30_f1_c6
47409,6,8,1,2,1,6,1906,1857,"[1626,1562,2100,2042]",74.93,726.8,Antimycin A,Lpp WT,1896,1873,1.04094,1,0,194.357,115.763,0.595618,30,w30_f1_c6
47471,6,8,1,3,1,6,1878,1823,"[1526,1424,2089,2049]",68.79,732.55,Antimycin A,Lpp WT,1887,1875,1.04094,1,0,164.053,84.067,0.512437,30,w30_f1_c6
47533,6,8,1,4,1,6,1879,1840,"[1446,1399,2083,2051]",66.15,734.11,Antimycin A,Lpp WT,1882,1875,1.08468,1,0,153.134,69.4619,0.453603,30,w30_f1_c6
47597,6,8,1,5,1,6,1884,1823,"[1474,1414,2079,2039]",67.4,733.47,Antimycin A,Lpp WT,1879,1874,0.997206,1,0,151.416,61.1108,0.403597,30,w30_f1_c6
