,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
23867,4,8,1,-4,1,1,287,193,"[166,1,412,347]",-73.11,879.7,Antimycin A,NI,255,172,0.0,0,1,144.013,73.3483,0.509316,14,w14_f1_c1
23749,4,8,1,-3,1,1,232,148,"[118,1,347,310]",-80.12,880.3,Antimycin A,NI,222,143,0.0,0,1,139.574,85.4401,0.61215,14,w14_f1_c1
23626,4,8,1,-2,1,1,205,132,"[106,1,333,322]",-80.85,881.03,Antimycin A,NI,196,134,0.0,0,1,142.487,106.286,0.745936,14,w14_f1_c1
23501,4,8,1,-1,1,1,221,121,"[122,1,320,323]",-80.4,882.02,Antimycin A,NI,211,116,0.0,0,1,150.366,114.089,0.758742,14,w14_f1_c1
23977,4,8,1,0,1,1,241,209,"[132,1,344,413]",-78.78,876.29,Antimycin A,NI,233,192,0.0,0,1,147.53,112.615,0.763338,14,w14_f1_c1
24093,4,8,1,1,1,1,205,178,"[104,1,309,390]",-81.53,877.41,Antimycin A,NI,209,173,0.0,0,1,143.115,93.2305,0.651436,14,w14_f1_c1
24467,4,8,1,2,1,1,194,203,"[93,1,298,365]",-82.81,879.01,Antimycin A,NI,190,169,0.0,0,1,146.049,104.151,0.713128,14,w14_f1_c1
24586,4,8,1,3,1,1,185,178,"[90,1,286,382]",-83.72,877.62,Antimycin A,NI,185,168,0.0,0,1,143.502,93.2756,0.649995,14,w14_f1_c1
24704,4,8,1,4,1,1,194,176,"[92,11,293,364]",-83.15,878.87,Antimycin A,NI,183,161,0.0,0,1,148.292,107.944,0.727912,14,w14_f1_c1
24824,4,8,1,5,1,1,181,169,"[87,1,274,383]",-84.13,878.89,Antimycin A,NI,180,161,0.0,0,1,144.461,94.4583,0.653867,14,w14_f1_c1
24945,4,8,1,6,1,1,177,162,"[38,1,294,373]",-84.02,878.76,Antimycin A,NI,177,155,0.0,0,1,144.258,92.4298,0.640726,14,w14_f1_c1
25068,4,8,1,7,1,1,177,177,"[76,1,272,376]",-84.57,878.96,Antimycin A,NI,171,155,0.0,0,1,150.179,100.289,0.667797,14,w14_f1_c1
25190,4,8,1,8,1,1,175,158,"[78,1,274,361]",-84.39,880.05,Antimycin A,NI,170,146,0.0,0,1,150.639,100.569,0.667615,14,w14_f1_c1
25315,4,8,1,9,1,1,166,136,"[72,1,271,383]",-84.39,879.88,Antimycin A,NI,165,130,0.0,0,1,147.16,96.7442,0.657408,14,w14_f1_c1
24212,4,8,1,10,1,1,157,129,"[63,1,266,367]",-85.1,881.16,Antimycin A,NI,154,109,0.0,0,1,146.747,101.315,0.690404,14,w14_f1_c1
24342,4,8,1,11,1,1,148,88,"[59,1,253,376]",-85.47,881.57,Antimycin A,NI,148,94,0.0,0,1,144.565,115.436,0.798511,14,w14_f1_c1
23868,4,8,1,-4,1,10,1665,1035,"[1337,792,1965,1294]",55.69,799.58,Antimycin A,NI,1698,1056,0.0,0,1,313.402,251.931,0.803861,14,w14_f1_c10
23750,4,8,1,-3,1,10,1678,1055,"[1419,839,1950,1385]",57.29,796.72,Antimycin A,NI,1693,1069,0.0,0,1,313.831,252.1,0.803298,14,w14_f1_c10
23627,4,8,1,-2,1,10,1671,1070,"[1342,806,1952,1445]",53.97,797.49,Antimycin A,NI,1692,1083,0.0,0,1,298.167,246.677,0.827311,14,w14_f1_c10
23502,4,8,1,-1,1,10,1676,1084,"[1337,820,1948,1435]",53.72,796.72,Antimycin A,NI,1692,1094,0.0,0,1,285.881,219.281,0.767038,14,w14_f1_c10
23978,4,8,1,0,1,10,1680,1154,"[1387,917,1957,1465]",55.46,789.16,Antimycin A,NI,1710,1173,0.0,0,1,270.292,189.773,0.702104,14,w14_f1_c10
24094,4,8,1,1,1,10,1680,1159,"[1314,881,1953,1465]",52.57,791.13,Antimycin A,NI,1696,1165,0.0,0,1,243.22,172.748,0.710257,14,w14_f1_c10
24468,4,8,1,2,1,10,1659,1143,"[1293,873,1937,1469]",51.22,791.83,Antimycin A,NI,1691,1162,0.0,0,1,233.635,150.589,0.644551,14,w14_f1_c10
