,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
41604,6,5,1,-4,1,10,882,1270,"[717,1119,1011,1397]",-18.96,778.39,DCCD,Lpp WT,852,1254,23.2856,1,0,254.729,189.786,0.745048,27,w27_f1_c10
41519,6,5,1,-3,1,10,866,1276,"[724,1127,996,1392]",-19.54,777.2,DCCD,Lpp WT,838,1265,20.0666,1,0,241.361,161.572,0.66942,27,w27_f1_c10
41432,6,5,1,-2,1,10,860,1283,"[737,1140,991,1407]",-20.38,776.8,DCCD,Lpp WT,834,1274,16.104,1,0,238.495,171.468,0.718958,27,w27_f1_c10
41348,6,5,1,-1,1,10,861,1294,"[745,1155,986,1421]",-19.81,775.39,DCCD,Lpp WT,837,1287,21.991,1,0,221.77,138.882,0.626243,27,w27_f1_c10
41685,6,5,1,0,1,10,753,1314,"[576,1002,1071,1530]",-24.49,775.32,DCCD,Lpp WT,768,1298,28.1492,1,0,176.883,93.7625,0.530082,27,w27_f1_c10
41776,6,5,1,1,1,10,879,1346,"[769,1244,1004,1481]",-18.42,770.23,DCCD,Lpp WT,857,1335,16.1477,1,0,212.898,122.302,0.574466,27,w27_f1_c10
42060,6,5,1,2,1,10,862,1344,"[754,1222,1011,1481]",-20.02,771.07,DCCD,Lpp WT,834,1331,20.3377,1,0,184.685,86.6587,0.469226,27,w27_f1_c10
42154,6,5,1,3,1,10,852,1342,"[734,1142,984,1456]",-21.18,772.24,DCCD,Lpp WT,824,1330,21.9473,1,0,172.306,69.2838,0.402097,27,w27_f1_c10
42248,6,5,1,4,1,10,849,1345,"[729,1202,1005,1479]",-21.06,771.0,DCCD,Lpp WT,822,1329,21.1425,1,0,164.024,55.1771,0.336397,27,w27_f1_c10
42341,6,5,1,5,1,10,845,1338,"[725,1163,1024,1472]",-20.82,771.7,DCCD,Lpp WT,818,1329,21.8161,1,0,161.583,50.9557,0.315354,27,w27_f1_c10
42438,6,5,1,6,1,10,841,1342,"[720,1156,1003,1520]",-21.03,770.96,DCCD,Lpp WT,819,1331,16.2527,1,0,157.113,48.2124,0.306864,27,w27_f1_c10
42537,6,5,1,7,1,10,844,1331,"[699,1205,986,1461]",-20.89,771.05,DCCD,Lpp WT,817,1328,17.9497,1,0,157.882,45.3562,0.287279,27,w27_f1_c10
42638,6,5,1,8,1,10,844,1345,"[698,1188,1022,1514]",-21.08,770.63,DCCD,Lpp WT,820,1331,15.2118,1,0,154.364,43.5764,0.282296,27,w27_f1_c10
42740,6,5,1,9,1,10,857,1335,"[715,1207,1002,1512]",-20.9,770.72,DCCD,Lpp WT,825,1329,17.9322,1,0,158.726,41.4219,0.260965,27,w27_f1_c10
41868,6,5,1,10,1,10,816,1341,"[566,1154,966,1456]",-29.3,774.18,DCCD,Lpp WT,816,1325,14.4945,1,0,147.079,39.2005,0.266527,27,w27_f1_c10
41966,6,5,1,11,1,10,824,1334,"[584,1162,983,1495]",-27.16,773.04,DCCD,Lpp WT,812,1326,20.3552,1,0,149.447,37.7374,0.252513,27,w27_f1_c10
41606,6,5,1,-4,1,12,1190,1020,"[946,923,1363,1371]",13.12,790.86,DCCD,Lpp WT,1266,1294,0.0,0,1,195.252,159.785,0.81835,27,w27_f1_c12
41521,6,5,1,-3,1,12,1165,1035,"[913,914,1371,1368]",11.19,791.62,DCCD,Lpp WT,1248,1269,0.0,0,1,188.13,157.451,0.836928,27,w27_f1_c12
41434,6,5,1,-2,1,12,1159,1093,"[911,962,1346,1359]",10.27,789.42,DCCD,Lpp WT,1243,1275,0.297412,1,0,209.624,209.608,0.999924,27,w27_f1_c12
41350,6,5,1,-1,1,12,1155,1081,"[912,932,1374,1390]",10.65,790.0,DCCD,Lpp WT,1242,1283,0.0,0,1,178.571,146.209,0.818771,27,w27_f1_c12
41687,6,5,1,0,1,12,1219,1163,"[954,1002,1430,1462]",15.36,783.0,DCCD,Lpp WT,1295,1360,0.0,0,1,178.371,147.047,0.824385,27,w27_f1_c12
41778,6,5,1,1,1,12,1189,1122,"[956,1023,1334,1433]",12.21,784.03,DCCD,Lpp WT,1267,1346,0.0,0,1,214.624,233.599,1.08841,27,w27_f1_c12
42062,6,5,1,2,1,12,1172,1124,"[966,1025,1316,1457]",10.21,783.63,DCCD,Lpp WT,1249,1344,0.0,0,1,219.728,226.017,1.02862,27,w27_f1_c12
42156,6,5,1,3,1,12,1164,1126,"[966,1035,1307,1422]",9.24,783.93,DCCD,Lpp WT,1240,1342,0.0,0,1,209.229,224.479,1.07289,27,w27_f1_c12
42250,6,5,1,4,1,12,1146,1131,"[921,1012,1334,1415]",8.75,784.38,DCCD,Lpp WT,1239,1340,0.0,0,1,197.835,195.741,0.989417,27,w27_f1_c12
42343,6,5,1,5,1,12,1153,1127,"[964,1020,1312,1412]",8.31,784.24,DCCD,Lpp WT,1233,1336,0.0,0,1,217.995,220.472,1.01136,27,w27_f1_c12
42439,6,5,1,6,1,12,1153,1123,"[964,1027,1302,1402]",7.9,784.75,DCCD,Lpp WT,1230,1330,0.0,0,1,232.782,251.648,1.08104,27,w27_f1_c12
42538,6,5,1,7,1,12,1144,1114,"[940,1012,1312,1397]",7.57,785.94,DCCD,Lpp WT,1222,1314,0.0,0,1,217.821,234.078,1.07464,27,w27_f1_c12
42639,6,5,1,8,1,12,1149,1105,"[939,990,1315,1390]",8.35,787.23,DCCD,Lpp WT,1219,1309,0.0,0,1,210.289,231.73,1.10196,27,w27_f1_c12
42741,6,5,1,9,1,12,1169,1095,"[948,980,1283,1371]",8.11,788.56,DCCD,Lpp WT,1216,1303,0.0,0,1,198.038,193.518,0.977179,27,w27_f1_c12
41869,6,5,1,10,1,12,1153,1089,"[951,977,1282,1375]",7.52,788.91,DCCD,Lpp WT,1218,1301,0.0,0,1,198.58,198.452,0.999354,27,w27_f1_c12
41967,6,5,1,11,1,12,1146,1096,"[933,974,1289,1369]",6.99,789.39,DCCD,Lpp WT,1218,1304,0.0,0,1,178.361,149.597,0.838732,27,w27_f1_c12
41610,6,5,1,-4,1,16,1753,1922,"[1407,1770,1901,2130]",53.73,718.41,DCCD,Lpp WT,1772,1902,7.54902,1,0,314.659,301.006,0.95661,27,w27_f1_c16
41524,6,5,1,-3,1,16,1749,1944,"[1392,1785,1885,2075]",52.83,717.55,DCCD,Lpp WT,1770,1915,6.46434,1,0,310.873,291.754,0.938498,27,w27_f1_c16
41437,6,5,1,-2,1,16,1742,1949,"[1552,1788,1866,2078]",59.07,716.21,DCCD,Lpp WT,1767,1921,5.27469,1,0,308.617,277.948,0.900624,27,w27_f1_c16
41353,6,5,1,-1,1,16,1760,1965,"[1542,1812,1883,2154]",59.78,713.9,DCCD,Lpp WT,1768,1937,6.07946,1,0,288.423,236.059,0.818446,27,w27_f1_c16
41689,6,5,1,0,1,16,1798,2023,"[1587,1902,1929,2157]",63.79,707.58,DCCD,Lpp WT,1816,2006,6.35063,1,0,283.834,228.023,0.803369,27,w27_f1_c16
41780,6,5,1,1,1,16,1766,2028,"[1643,1852,1922,2158]",64.56,709.39,DCCD,Lpp WT,1779,1980,5.01227,1,0,305.017,244.944,0.803051,27,w27_f1_c16
