,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
18316,4,5,1,-4,1,1,1757,222,"[1595,25,1916,428]",62.69,875.98,DCCD,NI,1760,126,0.0,0,1,210.648,115.69,0.549207,11,w11_f1_c1
18196,4,5,1,-3,1,1,1747,226,"[1609,28,1885,426]",62.18,876.97,DCCD,NI,1747,139,0.0,0,1,286.613,224.086,0.781844,11,w11_f1_c1
18076,4,5,1,-2,1,1,1738,239,"[1574,1,1888,433]",60.67,878.26,DCCD,NI,1731,145,0.0,0,1,299.433,256.562,0.856828,11,w11_f1_c1
17958,4,5,1,-1,1,1,1727,219,"[1608,57,1891,418]",62.35,874.97,DCCD,NI,1737,159,0.0,0,1,281.859,209.993,0.745026,11,w11_f1_c1
18430,4,5,1,0,1,1,1765,275,"[1616,138,1887,469]",63.77,870.04,DCCD,NI,1776,232,0.0,0,1,285.56,217.326,0.761052,11,w11_f1_c1
18555,4,5,1,1,1,1,1745,226,"[1617,123,1859,442]",61.26,872.38,DCCD,NI,1750,210,0.0,0,1,317.685,269.955,0.849755,11,w11_f1_c1
18951,4,5,1,2,1,1,1721,228,"[1593,115,1865,471]",60.59,871.74,DCCD,NI,1734,203,0.0,0,1,303.561,253.154,0.833947,11,w11_f1_c1
19082,4,5,1,3,1,1,1712,221,"[1561,118,1822,410]",58.2,873.54,DCCD,NI,1720,199,0.0,0,1,284.751,205.745,0.722546,11,w11_f1_c1
19215,4,5,1,4,1,1,1708,214,"[1574,113,1814,390]",57.96,874.14,DCCD,NI,1714,196,0.0,0,1,315.513,229.603,0.727715,11,w11_f1_c1
19349,4,5,1,5,1,1,1706,216,"[1570,117,1825,438]",58.07,873.29,DCCD,NI,1711,197,0.0,0,1,306.409,232.308,0.758162,11,w11_f1_c1
19483,4,5,1,6,1,1,1707,214,"[1572,115,1828,367]",57.85,874.28,DCCD,NI,1710,202,0.0,0,1,299.027,216.368,0.723573,11,w11_f1_c1
19613,4,5,1,7,1,1,1702,219,"[1599,117,1813,382]",58.25,874.37,DCCD,NI,1707,201,0.0,0,1,394.379,368.881,0.935347,11,w11_f1_c1
19747,4,5,1,8,1,1,1706,209,"[1602,107,1806,390]",57.99,875.11,DCCD,NI,1705,197,0.0,0,1,351.81,303.912,0.863853,11,w11_f1_c1
