,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
49747,6,10,1,-4,1,1,753,163,"[617,1,926,253]",-30.15,884.9,FCCP,Lpp WT,692,45,7.54902,1,0,211.271,189.614,0.897491,32,w32_f1_c1
49665,6,10,1,-3,1,1,809,158,"[615,1,918,266]",-30.3,883.9,FCCP,Lpp WT,686,54,7.43531,1,0,220.783,197.227,0.893305,32,w32_f1_c1
49583,6,10,1,-2,1,1,771,171,"[604,1,917,274]",-31.05,883.23,FCCP,Lpp WT,674,55,5.37966,1,0,203.701,174.238,0.855362,32,w32_f1_c1
49502,6,10,1,-1,1,1,755,185,"[606,1,902,284]",-31.75,882.59,FCCP,Lpp WT,679,63,5.97449,1,0,213.051,187.233,0.878817,32,w32_f1_c1
49824,6,10,1,0,1,1,744,227,"[620,62,1038,464]",-25.05,873.54,FCCP,Lpp WT,701,137,1.21589,1,0,148.134,50.9567,0.343989,32,w32_f1_c1
49909,6,10,1,1,1,1,722,210,"[606,41,989,410]",-28.07,875.98,FCCP,Lpp WT,684,119,3.28028,1,0,143.051,44.1404,0.308564,32,w32_f1_c1
50158,6,10,1,2,1,1,698,189,"[595,34,929,363]",-29.86,877.08,FCCP,Lpp WT,673,115,3.46398,1,0,139.023,35.2821,0.253787,32,w32_f1_c1
50240,6,10,1,3,1,1,803,207,"[588,44,923,343]",-31.0,877.43,FCCP,Lpp WT,664,115,2.70295,1,0,139.583,36.1571,0.259037,32,w32_f1_c1
50321,6,10,1,4,1,1,798,213,"[585,39,919,399]",-30.5,877.23,FCCP,Lpp WT,662,112,3.00911,1,0,137.464,30.5883,0.222519,32,w32_f1_c1
50404,6,10,1,5,1,1,794,208,"[586,42,996,419]",-28.84,876.07,FCCP,Lpp WT,662,113,5.58085,1,0,137.432,31.7762,0.231214,32,w32_f1_c1
50488,6,10,1,6,1,1,804,211,"[582,39,991,329]",-31.33,878.01,FCCP,Lpp WT,661,112,8.80865,1,0,139.763,34.2207,0.244848,32,w32_f1_c1
50574,6,10,1,7,1,1,810,204,"[581,26,994,414]",-29.34,876.77,FCCP,Lpp WT,662,109,7.93391,1,0,137.896,31.322,0.227143,32,w32_f1_c1
50661,6,10,1,8,1,1,795,202,"[581,33,1010,410]",-28.49,876.88,FCCP,Lpp WT,660,107,8.71243,1,0,139.127,31.0304,0.223037,32,w32_f1_c1
50747,6,10,1,9,1,1,798,202,"[571,32,919,390]",-30.34,878.19,FCCP,Lpp WT,659,105,6.07946,1,0,138.344,25.1523,0.181809,32,w32_f1_c1
49993,6,10,1,10,1,1,803,203,"[575,37,920,394]",-30.36,877.77,FCCP,Lpp WT,660,111,6.70927,1,0,139.681,29.1836,0.20893,32,w32_f1_c1
50077,6,10,1,11,1,1,809,204,"[578,37,924,394]",-30.2,877.97,FCCP,Lpp WT,663,112,7.08541,1,0,140.417,27.2558,0.194107,32,w32_f1_c1
49749,6,10,1,-4,1,11,1001,1134,"[870,1002,1203,1310]",-5.99,789.36,FCCP,Lpp WT,985,1098,1.58328,1,0,231.846,144.932,0.625121,32,w32_f1_c11
49667,6,10,1,-3,1,11,994,1142,"[825,1003,1210,1324]",-7.29,788.32,FCCP,Lpp WT,982,1109,1.44332,1,0,233.21,145.61,0.624373,32,w32_f1_c11
49585,6,10,1,-2,1,11,995,1148,"[856,1001,1190,1335]",-7.34,787.41,FCCP,Lpp WT,974,1115,1.94193,1,0,226.276,135.879,0.600499,32,w32_f1_c11
