,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
27454,4,10,1,-4,1,1,1669,211,"[1311,25,1936,297]",49.42,879.04,FCCP,NI,1684,204,0.0,0,1,317.405,314.637,0.991281,16,w16_f1_c1
27391,4,10,1,-3,1,1,1647,207,"[1286,22,1863,283]",46.79,879.09,FCCP,NI,1656,208,0.0,0,1,482.124,590.562,1.22492,16,w16_f1_c1
27327,4,10,1,-2,1,1,1625,209,"[1245,24,1825,281]",42.36,880.05,FCCP,NI,1632,209,0.0,0,1,471.44,550.405,1.1675,16,w16_f1_c1
27263,4,10,1,-1,1,1,1594,213,"[1234,37,1782,287]",39.78,879.44,FCCP,NI,1608,215,0.0,0,1,469.401,502.06,1.06958,16,w16_f1_c1
27514,4,10,1,0,1,1,1582,286,"[1226,106,1956,393]",43.01,871.97,FCCP,NI,1611,277,0.0,0,1,212.802,90.0283,0.423061,16,w16_f1_c1
27579,4,10,1,1,1,1,1593,262,"[1215,88,1853,356]",41.06,873.8,FCCP,NI,1594,256,0.0,0,1,189.797,81.008,0.426813,16,w16_f1_c1
27781,4,10,1,2,1,1,1552,260,"[1202,81,1921,368]",41.21,873.95,FCCP,NI,1587,253,0.0,0,1,171.876,57.9396,0.337101,16,w16_f1_c1
27846,4,10,1,3,1,1,1546,266,"[1206,83,1833,363]",40.45,873.78,FCCP,NI,1576,253,0.0,0,1,175.388,60.9296,0.347399,16,w16_f1_c1
27912,4,10,1,4,1,1,1535,254,"[1209,78,1828,360]",40.64,874.48,FCCP,NI,1575,247,0.0,0,1,179.753,64.0711,0.35644,16,w16_f1_c1
27978,4,10,1,5,1,1,1555,265,"[1193,75,1943,375]",41.34,874.09,FCCP,NI,1578,250,0.0,0,1,162.36,44.3948,0.273434,16,w16_f1_c1
28043,4,10,1,6,1,1,1524,258,"[1194,74,1855,372]",39.7,874.45,FCCP,NI,1580,256,0.0,0,1,162.145,41.6644,0.256958,16,w16_f1_c1
28109,4,10,1,7,1,1,1527,255,"[1198,72,1941,386]",41.35,874.12,FCCP,NI,1588,258,0.0,0,1,163.608,43.3866,0.265186,16,w16_f1_c1
28177,4,10,1,8,1,1,1600,262,"[1200,58,1929,366]",40.75,875.11,FCCP,NI,1589,246,0.0,0,1,158.797,37.3586,0.23526,16,w16_f1_c1
28246,4,10,1,9,1,1,1579,268,"[1196,67,1936,373]",41.23,874.26,FCCP,NI,1594,252,0.0,0,1,161.549,44.7754,0.277163,16,w16_f1_c1
27644,4,10,1,10,1,1,1559,260,"[1204,71,1956,374]",41.82,874.16,FCCP,NI,1598,251,0.0,0,1,157.831,43.1639,0.273481,16,w16_f1_c1
27713,4,10,1,11,1,1,1596,269,"[1204,68,1951,465]",42.02,873.6,FCCP,NI,1602,252,0.0,0,1,154.687,37.8964,0.244988,16,w16_f1_c1
27455,4,10,1,-4,1,10,1663,1543,"[1490,1360,1841,1771]",54.64,751.44,FCCP,NI,1651,1550,0.0,0,1,563.752,595.828,1.0569,16,w16_f1_c10
27392,4,10,1,-3,1,10,1657,1559,"[1495,1382,1839,1780]",53.91,749.67,FCCP,NI,1646,1568,0.0,0,1,726.148,794.267,1.09381,16,w16_f1_c10
27328,4,10,1,-2,1,10,1654,1561,"[1476,1375,1883,1807]",54.64,749.78,FCCP,NI,1643,1574,0.0,0,1,703.27,752.317,1.06974,16,w16_f1_c10
27264,4,10,1,-1,1,10,1674,1551,"[1511,1370,1898,1785]",57.94,751.74,FCCP,NI,1673,1560,0.0,0,1,709.667,774.085,1.09077,16,w16_f1_c10
27515,4,10,1,0,1,10,1845,1481,"[1478,1360,1956,1892]",61.43,748.1,FCCP,NI,1703,1613,0.0,0,1,202.757,90.5067,0.446379,16,w16_f1_c10
27580,4,10,1,1,1,10,1667,1599,"[1445,1355,1916,1854]",56.78,749.84,FCCP,NI,1676,1608,0.0,0,1,159.209,55.2701,0.347155,16,w16_f1_c10
27782,4,10,1,2,1,10,1660,1602,"[1329,1353,1907,1853]",53.71,748.78,FCCP,NI,1663,1615,0.0,0,1,158.441,50.7565,0.32035,16,w16_f1_c10
27847,4,10,1,3,1,10,1645,1600,"[1448,1358,1892,1847]",56.05,748.94,FCCP,NI,1646,1620,0.0,0,1,168.395,55.9565,0.332294,16,w16_f1_c10
27913,4,10,1,4,1,10,1645,1595,"[1446,1344,1891,1840]",55.8,749.54,FCCP,NI,1642,1615,0.0,0,1,173.917,64.5282,0.37103,16,w16_f1_c10
27979,4,10,1,5,1,10,1647,1593,"[1448,1336,1894,1850]",55.56,749.37,FCCP,NI,1641,1620,0.0,0,1,171.342,58.5852,0.34192,16,w16_f1_c10
28044,4,10,1,6,1,10,1634,1604,"[1448,1330,1891,1852]",55.96,749.8,FCCP,NI,1638,1622,0.0,0,1,174.758,59.1966,0.338735,16,w16_f1_c10
28110,4,10,1,7,1,10,1646,1597,"[1313,1339,1890,1845]",52.8,749.3,FCCP,NI,1638,1621,0.0,0,1,167.507,60.155,0.359119,16,w16_f1_c10
28178,4,10,1,8,1,10,1633,1596,"[1436,1321,1882,1846]",55.39,750.66,FCCP,NI,1635,1609,0.0,0,1,176.924,58.9115,0.332976,16,w16_f1_c10
28247,4,10,1,9,1,10,1635,1598,"[1447,1326,1883,1840]",55.48,750.34,FCCP,NI,1633,1615,0.0,0,1,170.758,58.4376,0.342224,16,w16_f1_c10
27645,4,10,1,10,1,10,1634,1598,"[1447,1325,1882,1831]",54.53,749.76,FCCP,NI,1629,1616,0.0,0,1,165.096,53.7361,0.325483,16,w16_f1_c10
27714,4,10,1,11,1,10,1633,1599,"[1458,1329,1881,1830]",55.55,750.46,FCCP,NI,1633,1618,0.0,0,1,165.5,51.1973,0.309349,16,w16_f1_c10
27456,4,10,1,-4,1,11,562,1743,"[180,1606,766,1962]",-50.35,730.95,FCCP,NI,581,1802,0.0,0,1,412.686,449.113,1.08827,16,w16_f1_c11
27393,4,10,1,-3,1,11,563,1767,"[234,1615,766,1948]",-49.48,729.37,FCCP,NI,575,1820,0.0,0,1,421.67,496.587,1.17767,16,w16_f1_c11
27329,4,10,1,-2,1,11,549,1798,"[234,1618,710,1971]",-51.15,728.93,FCCP,NI,565,1826,0.0,0,1,439.913,512.663,1.16537,16,w16_f1_c11
27265,4,10,1,-1,1,11,558,1820,"[291,1674,740,1975]",-49.97,726.98,FCCP,NI,572,1841,0.0,0,1,469.841,538.56,1.14626,16,w16_f1_c11
27516,4,10,1,0,1,11,591,1858,"[367,1678,968,2053]",-40.96,724.33,FCCP,NI,579,1923,0.0,0,1,200.375,92.5743,0.462006,16,w16_f1_c11
27581,4,10,1,1,1,11,570,1842,"[362,1595,1062,2025]",-35.03,726.66,FCCP,NI,553,1915,0.0,0,1,151.155,57.7344,0.381954,16,w16_f1_c11
27783,4,10,1,2,1,11,579,1838,"[354,1600,1046,2030]",-36.55,726.05,FCCP,NI,544,1915,0.0,0,1,153.702,51.1537,0.33281,16,w16_f1_c11
27848,4,10,1,3,1,11,833,1759,"[345,1598,1072,2020]",-34.88,726.87,FCCP,NI,530,1915,0.0,0,1,145.237,41.5205,0.285881,16,w16_f1_c11
27914,4,10,1,4,1,11,808,1771,"[345,1588,1089,2023]",-33.97,727.28,FCCP,NI,527,1909,0.0,0,1,140.578,37.5034,0.266781,16,w16_f1_c11
27980,4,10,1,5,1,11,573,1832,"[338,1584,1082,2027]",-33.9,726.7,FCCP,NI,529,1911,0.0,0,1,142.888,33.4094,0.233816,16,w16_f1_c11
28045,4,10,1,6,1,11,792,1758,"[342,1584,1080,2027]",-34.16,726.55,FCCP,NI,526,1914,0.0,0,1,140.746,30.4291,0.216199,16,w16_f1_c11
28111,4,10,1,7,1,11,827,1773,"[340,1581,1097,2094]",-31.8,725.29,FCCP,NI,526,1912,0.0,0,1,137.119,28.5409,0.208147,16,w16_f1_c11
28179,4,10,1,8,1,11,604,1816,"[332,1568,1084,2024]",-34.61,726.66,FCCP,NI,522,1901,0.0,0,1,142.351,31.0622,0.218209,16,w16_f1_c11
28248,4,10,1,9,1,11,806,1764,"[369,1572,1093,2117]",-31.64,725.74,FCCP,NI,521,1906,0.0,0,1,136.251,31.1228,0.228423,16,w16_f1_c11
27646,4,10,1,10,1,11,817,1777,"[348,1571,1098,2115]",-31.71,725.99,FCCP,NI,520,1907,0.0,0,1,133.711,29.7451,0.222457,16,w16_f1_c11
27715,4,10,1,11,1,11,816,1772,"[343,1572,1093,2139]",-31.91,725.42,FCCP,NI,524,1909,0.0,0,1,137.033,30.5342,0.222824,16,w16_f1_c11
27458,4,10,1,-4,1,3,1174,397,"[1038,283,1309,544]",8.87,858.46,FCCP,NI,1181,384,0.0,0,1,243.813,239.461,0.982151,16,w16_f1_c3
27396,4,10,1,-3,1,3,1199,394,"[1027,266,1331,563]",10.6,859.07,FCCP,NI,1213,372,0.0,0,1,215.506,196.821,0.913294,16,w16_f1_c3
27332,4,10,1,-2,1,3,1154,458,"[951,288,1337,592]",8.53,855.64,FCCP,NI,1187,389,0.0,0,1,181.621,145.599,0.801667,16,w16_f1_c3
27268,4,10,1,-1,1,3,1183,422,"[1007,317,1353,544]",9.78,856.14,FCCP,NI,1171,410,0.0,0,1,215.256,172.731,0.802446,16,w16_f1_c3
27519,4,10,1,0,1,3,1169,542,"[925,339,1362,731]",7.11,846.37,FCCP,NI,1175,497,0.0,0,1,139.74,38.1085,0.272709,16,w16_f1_c3
27584,4,10,1,1,1,3,1164,525,"[930,372,1336,730]",6.44,846.47,FCCP,NI,1151,479,0.0,0,1,136.284,32.0449,0.235134,16,w16_f1_c3
27785,4,10,1,2,1,3,1164,495,"[927,314,1329,723]",5.65,848.45,FCCP,NI,1141,476,0.0,0,1,136.024,27.3864,0.201335,16,w16_f1_c3
27850,4,10,1,3,1,3,1159,470,"[930,328,1327,679]",5.84,849.57,FCCP,NI,1128,475,0.0,0,1,142.14,36.5517,0.257153,16,w16_f1_c3
27916,4,10,1,4,1,3,1138,518,"[922,335,1325,655]",5.61,849.53,FCCP,NI,1123,469,0.0,0,1,148.431,46.4434,0.312896,16,w16_f1_c3
27982,4,10,1,5,1,3,1119,497,"[886,335,1326,667]",4.61,849.36,FCCP,NI,1121,471,0.0,0,1,146.382,37.3067,0.254858,16,w16_f1_c3
28047,4,10,1,6,1,3,1162,478,"[889,327,1324,648]",4.67,849.74,FCCP,NI,1117,474,0.0,0,1,148.017,38.3711,0.259234,16,w16_f1_c3
28113,4,10,1,7,1,3,1132,503,"[883,325,1319,660]",5.03,849.34,FCCP,NI,1117,474,0.0,0,1,151.625,44.7531,0.295157,16,w16_f1_c3
