,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
39126,6,3,1,-4,1,10,1264,1705,"[1080,1525,1422,1830]",17.24,737.65,NT,Lpp WT,1241,1719,9.13231,1,0,178.743,123.952,0.693465,25,w25_f1_c10
39067,6,3,1,-3,1,10,1225,1726,"[1108,1606,1394,1826]",16.72,734.63,NT,Lpp WT,1220,1730,12.5788,1,0,209.653,153.869,0.733925,25,w25_f1_c10
39005,6,3,1,-2,1,10,1230,1736,"[1113,1629,1389,1840]",16.59,733.67,NT,Lpp WT,1225,1745,12.4126,1,0,206.691,148.233,0.717173,25,w25_f1_c10
38942,6,3,1,-1,1,10,1240,1733,"[1085,1573,1381,1848]",15.24,734.38,NT,Lpp WT,1213,1754,12.7013,1,0,187.622,122.327,0.651988,25,w25_f1_c10
39181,6,3,1,0,1,10,1300,1811,"[1142,1660,1451,1912]",21.7,727.45,NT,Lpp WT,1296,1821,12.0889,1,0,186.402,114.807,0.615912,25,w25_f1_c10
39236,6,3,1,1,1,10,1218,1765,"[1059,1609,1369,1891]",13.57,731.48,NT,Lpp WT,1214,1796,14.407,1,0,185.478,131.648,0.709779,25,w25_f1_c10
39403,6,3,1,2,1,10,1235,1790,"[1078,1612,1361,1897]",14.57,730.26,NT,Lpp WT,1212,1803,14.1096,1,0,180.635,114.625,0.634568,25,w25_f1_c10
39463,6,3,1,3,1,10,1230,1785,"[1073,1628,1347,1885]",13.3,730.03,NT,Lpp WT,1194,1798,7.86393,1,0,180.254,101.164,0.561232,25,w25_f1_c10
39523,6,3,1,4,1,10,1190,1776,"[1073,1608,1344,1890]",11.83,730.63,NT,Lpp WT,1190,1800,15.7628,1,0,192.737,135.904,0.705126,25,w25_f1_c10
39580,6,3,1,5,1,10,1207,1774,"[1053,1608,1330,1891]",11.29,731.54,NT,Lpp WT,1177,1801,15.5879,1,0,171.331,95.936,0.559946,25,w25_f1_c10
39637,6,3,1,6,1,10,1204,1782,"[1059,1659,1328,1891]",11.57,729.42,NT,Lpp WT,1181,1797,16.2002,1,0,194.782,127.802,0.656128,25,w25_f1_c10
39694,6,3,1,7,1,10,1192,1775,"[1071,1594,1327,1890]",11.4,730.68,NT,Lpp WT,1180,1792,16.0778,1,0,183.904,113.772,0.61865,25,w25_f1_c10
39752,6,3,1,8,1,10,1191,1777,"[1054,1594,1320,1887]",10.61,730.87,NT,Lpp WT,1170,1788,16.5589,1,0,194.068,126.168,0.650124,25,w25_f1_c10
39811,6,3,1,9,1,10,1170,1762,"[1011,1591,1313,1875]",8.87,732.33,NT,Lpp WT,1164,1778,14.5994,1,0,190.709,123.76,0.64895,25,w25_f1_c10
39294,6,3,1,10,1,10,1182,1750,"[1017,1584,1296,1866]",9.22,733.3,NT,Lpp WT,1160,1765,13.6547,1,0,193.907,130.82,0.674652,25,w25_f1_c10
39349,6,3,1,11,1,10,1186,1765,"[1051,1638,1288,1867]",9.37,731.47,NT,Lpp WT,1157,1777,12.1152,1,0,214.491,152.709,0.71196,25,w25_f1_c10
39129,6,3,1,-4,1,13,1613,959,"[1514,869,1705,1055]",50.03,806.41,NT,Lpp WT,1621,960,0.0,0,1,190.917,124.824,0.653814,25,w25_f1_c13
39070,6,3,1,-3,1,13,1582,980,"[1449,886,1685,1076]",46.73,804.59,NT,Lpp WT,1603,979,0.0,0,1,176.829,109.705,0.620401,25,w25_f1_c13
39008,6,3,1,-2,1,13,1584,996,"[1458,900,1680,1101]",46.66,803.04,NT,Lpp WT,1600,991,0.0,0,1,172.89,94.3703,0.545839,25,w25_f1_c13
38945,6,3,1,-1,1,13,1579,1005,"[1454,908,1678,1116]",46.5,802.6,NT,Lpp WT,1598,996,0.0,0,1,169.083,87.1855,0.515636,25,w25_f1_c13
39182,6,3,1,0,1,13,1694,1083,"[1544,991,1787,1182]",56.83,794.89,NT,Lpp WT,1705,1081,0.0,0,1,165.179,82.4059,0.498888,25,w25_f1_c13
39237,6,3,1,1,1,13,1624,1070,"[1356,975,1715,1199]",46.43,794.69,NT,Lpp WT,1633,1069,0.0,0,1,152.835,85.8502,0.561719,25,w25_f1_c13
39404,6,3,1,2,1,13,1602,1066,"[1267,968,1694,1203]",43.13,795.05,NT,Lpp WT,1609,1064,0.0,0,1,151.041,75.3035,0.498562,25,w25_f1_c13
39464,6,3,1,3,1,13,1585,1058,"[1461,961,1681,1160]",46.96,797.35,NT,Lpp WT,1597,1061,0.0,0,1,164.512,77.8923,0.473475,25,w25_f1_c13
39524,6,3,1,4,1,13,1580,1061,"[1366,964,1671,1186]",44.39,796.46,NT,Lpp WT,1591,1063,0.0,0,1,159.926,91.756,0.573739,25,w25_f1_c13
39581,6,3,1,5,1,13,1564,1056,"[1253,950,1673,1262]",38.49,794.22,NT,Lpp WT,1589,1060,0.0,0,1,146.282,66.8601,0.457062,25,w25_f1_c13
39638,6,3,1,6,1,13,1568,1061,"[1365,963,1668,1153]",44.47,796.84,NT,Lpp WT,1586,1067,0.0,0,1,160.126,77.818,0.485979,25,w25_f1_c13
39695,6,3,1,7,1,13,1560,1048,"[1336,950,1660,1186]",42.44,797.3,NT,Lpp WT,1580,1054,0.0,0,1,154.303,73.7858,0.478187,25,w25_f1_c13
39753,6,3,1,8,1,13,1551,1046,"[1263,940,1659,1152]",42.85,798.02,NT,Lpp WT,1578,1050,0.0,0,1,157.375,76.181,0.484072,25,w25_f1_c13
39812,6,3,1,9,1,13,1562,1054,"[1426,923,1656,1175]",43.96,797.73,NT,Lpp WT,1578,1064,0.0962216,1,0,168.077,92.0827,0.54786,25,w25_f1_c13
39295,6,3,1,10,1,13,1552,1047,"[1208,941,1656,1233]",36.86,795.14,NT,Lpp WT,1573,1058,0.796015,1,0,154.953,88.2508,0.569531,25,w25_f1_c13
39350,6,3,1,11,1,13,1562,1054,"[1476,964,1657,1142]",45.45,797.73,NT,Lpp WT,1574,1061,0.0,0,1,201.298,126.736,0.629597,25,w25_f1_c13
39131,6,3,1,-4,1,3,409,93,"[299,1,570,213]",-60.38,888.09,NT,Lpp WT,398,72,5.22221,1,0,200.549,125.145,0.624015,25,w25_f1_c3
39073,6,3,1,-3,1,3,394,91,"[230,1,529,215]",-63.64,888.26,NT,Lpp WT,375,84,5.64208,1,0,239.23,174.229,0.728291,25,w25_f1_c3
39012,6,3,1,-2,1,3,410,113,"[234,1,552,240]",-62.94,885.97,NT,Lpp WT,374,100,7.04167,1,0,208.469,133.563,0.640685,25,w25_f1_c3
38949,6,3,1,-1,1,3,405,110,"[221,1,557,242]",-63.42,886.04,NT,Lpp WT,371,105,7.57526,1,0,208.89,130.783,0.626087,25,w25_f1_c3
39187,6,3,1,0,1,3,511,178,"[324,2,657,332]",-52.81,880.22,NT,Lpp WT,479,188,8.10886,1,0,205.462,121.795,0.592785,25,w25_f1_c3
39243,6,3,1,1,1,3,455,147,"[251,1,590,299]",-59.16,882.58,NT,Lpp WT,411,172,4.66237,1,0,230.158,181.696,0.789438,25,w25_f1_c3
39411,6,3,1,2,1,3,422,151,"[256,1,565,272]",-62.19,883.26,NT,Lpp WT,383,171,6.54307,1,0,232.419,154.664,0.665453,25,w25_f1_c3
39471,6,3,1,3,1,3,406,145,"[276,1,567,285]",-62.17,883.07,NT,Lpp WT,363,164,7.26036,1,0,207.665,129.661,0.624377,25,w25_f1_c3
39532,6,3,1,4,1,3,387,136,"[263,1,524,277]",-64.54,883.48,NT,Lpp WT,353,162,4.51367,1,0,230.369,166.855,0.724296,25,w25_f1_c3
39589,6,3,1,5,1,3,378,131,"[224,1,519,264]",-65.61,883.1,NT,Lpp WT,346,159,6.94545,1,0,229.691,143.495,0.624729,25,w25_f1_c3
39646,6,3,1,6,1,3,393,142,"[226,1,531,289]",-64.88,882.93,NT,Lpp WT,347,161,5.05601,1,0,229.183,166.234,0.725332,25,w25_f1_c3
39703,6,3,1,7,1,3,383,118,"[223,1,548,280]",-64.69,883.4,NT,Lpp WT,343,152,6.06196,1,0,215.235,153.762,0.714388,25,w25_f1_c3
39760,6,3,1,8,1,3,390,134,"[232,1,537,279]",-64.85,883.31,NT,Lpp WT,342,152,5.03851,1,0,218.05,161.555,0.740911,25,w25_f1_c3
39819,6,3,1,9,1,3,378,127,"[216,1,530,280]",-65.19,883.81,NT,Lpp WT,341,150,5.14348,1,0,228.081,169.937,0.745072,25,w25_f1_c3
39301,6,3,1,10,1,3,382,131,"[227,1,528,277]",-65.37,883.97,NT,Lpp WT,340,147,5.6071,1,0,229.159,164.583,0.718203,25,w25_f1_c3
39356,6,3,1,11,1,3,372,126,"[221,1,491,260]",-66.65,884.6,NT,Lpp WT,337,147,5.44964,1,0,241.621,162.545,0.672728,25,w25_f1_c3
39132,6,3,1,-4,1,4,718,137,"[581,1,953,415]",-29.38,877.57,NT,Lpp WT,742,147,0.0,0,1,304.611,283.59,0.930989,25,w25_f1_c4
39074,6,3,1,-3,1,4,687,150,"[561,30,953,421]",-31.18,875.91,NT,Lpp WT,717,164,0.0,0,1,343.029,355.985,1.03777,25,w25_f1_c4
39013,6,3,1,-2,1,4,703,174,"[554,50,935,432]",-31.61,874.71,NT,Lpp WT,715,182,0.0,0,1,306.015,281.639,0.920344,25,w25_f1_c4
38950,6,3,1,-1,1,4,704,183,"[546,39,957,450]",-31.75,873.9,NT,Lpp WT,715,191,0.0,0,1,293.178,261.856,0.893163,25,w25_f1_c4
39188,6,3,1,0,1,4,776,258,"[660,116,927,598]",-25.47,864.77,NT,Lpp WT,814,272,0.297412,1,0,305.281,264.007,0.8648,25,w25_f1_c4
39244,6,3,1,1,1,4,742,257,"[593,120,851,409]",-32.87,872.4,NT,Lpp WT,746,256,2.72919,1,0,488.18,457.881,0.937935,25,w25_f1_c4
39412,6,3,1,2,1,4,703,237,"[579,118,833,591]",-35.09,866.4,NT,Lpp WT,724,259,0.682299,1,0,343.183,329.691,0.960687,25,w25_f1_c4
39472,6,3,1,3,1,4,678,234,"[555,117,806,382]",-36.82,872.65,NT,Lpp WT,705,257,0.50735,1,0,392.451,302.255,0.770172,25,w25_f1_c4
