,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
28476,5,3,1,-4,1,1,548,55,"[436,1,674,112]",-49.55,892.2,NT,NI,537,46,0.0,0,1,337.349,276.998,0.821101,17,w17_f1_c1
28422,5,3,1,-3,1,1,540,74,"[418,1,679,168]",-49.76,890.25,NT,NI,511,57,0.0,0,1,259.916,217.013,0.834935,17,w17_f1_c1
28368,5,3,1,-2,1,1,545,90,"[418,1,930,283]",-42.85,885.76,NT,NI,510,66,0.0,0,1,177.927,144.871,0.814219,17,w17_f1_c1
28315,5,3,1,-1,1,1,562,109,"[419,1,965,303]",-42.24,884.69,NT,NI,513,73,0.0,0,1,177.576,152.081,0.856426,17,w17_f1_c1
28528,5,3,1,0,1,1,650,125,"[530,12,776,239]",-40.16,884.85,NT,NI,619,140,0.0,0,1,271.322,225.261,0.830235,17,w17_f1_c1
28579,5,3,1,1,1,1,572,114,"[459,9,714,219]",-46.17,886.07,NT,NI,550,127,0.0,0,1,328.049,306.862,0.935416,17,w17_f1_c1
28745,5,3,1,2,1,1,546,106,"[438,1,697,214]",-48.38,886.51,NT,NI,530,117,0.0,0,1,270.475,221.432,0.818676,17,w17_f1_c1
28800,5,3,1,3,1,1,546,112,"[415,1,672,229]",-49.93,886.38,NT,NI,514,116,0.0,0,1,291.482,250.192,0.858347,17,w17_f1_c1
28854,5,3,1,4,1,1,531,103,"[420,1,666,206]",-50.7,887.14,NT,NI,508,114,0.0,0,1,313.846,276.607,0.881348,17,w17_f1_c1
28907,5,3,1,5,1,1,511,99,"[408,1,803,287]",-48.35,884.93,NT,NI,498,108,0.0,0,1,237.777,216.483,0.910445,17,w17_f1_c1
28963,5,3,1,6,1,1,510,97,"[404,1,680,203]",-51.03,887.49,NT,NI,498,104,0.0,0,1,290.097,235.43,0.811555,17,w17_f1_c1
29020,5,3,1,7,1,1,510,101,"[406,1,687,206]",-50.91,887.34,NT,NI,498,105,0.0,0,1,286.431,230.415,0.804435,17,w17_f1_c1
29080,5,3,1,8,1,1,502,104,"[393,1,922,308]",-44.1,883.26,NT,NI,488,100,0.0,0,1,182.333,134.039,0.735132,17,w17_f1_c1
