,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
48207,6,9,1,-4,1,1,559,97,"[354,1,720,197]",-48.85,888.27,NaCN,Lpp WT,583,85,13.7072,1,0,124.91,35.0591,0.280674,31,w31_f1_c1
48105,6,9,1,-3,1,1,556,131,"[338,1,713,269]",-49.51,885.27,NaCN,Lpp WT,583,89,11.9227,1,0,128.403,48.1896,0.3753,31,w31_f1_c1
48004,6,9,1,-2,1,1,535,114,"[385,1,699,254]",-50.07,886.11,NaCN,Lpp WT,581,93,14.2583,1,0,128.695,43.5464,0.338368,31,w31_f1_c1
47903,6,9,1,-1,1,1,513,121,"[300,1,730,247]",-50.06,885.79,NaCN,Lpp WT,583,101,16.8825,1,0,131.612,54.4611,0.413801,31,w31_f1_c1
48306,6,9,1,0,1,1,549,161,"[351,5,743,311]",-47.73,881.04,NaCN,Lpp WT,598,154,16.83,1,0,128.179,35.0132,0.273158,31,w31_f1_c1
48400,6,9,1,1,1,1,559,145,"[363,1,715,284]",-48.36,883.43,NaCN,Lpp WT,583,139,11.4329,1,0,121.318,20.3755,0.167952,31,w31_f1_c1
48694,6,9,1,2,1,1,547,138,"[383,1,700,288]",-50.08,883.48,NaCN,Lpp WT,566,137,12.9987,1,0,123.116,23.2386,0.188753,31,w31_f1_c1
48795,6,9,1,3,1,1,513,130,"[338,1,688,284]",-50.52,883.74,NaCN,Lpp WT,557,133,14.4857,1,0,123.276,23.4885,0.190535,31,w31_f1_c1
48897,6,9,1,4,1,1,516,132,"[344,3,719,272]",-50.15,883.93,NaCN,Lpp WT,555,131,14.302,1,0,121.043,20.3535,0.168151,31,w31_f1_c1
49000,6,9,1,5,1,1,506,133,"[361,1,697,277]",-51.52,883.79,NaCN,Lpp WT,554,129,15.9728,1,0,125.072,24.1756,0.193294,31,w31_f1_c1
49102,6,9,1,6,1,1,548,133,"[378,3,711,273]",-51.11,883.15,NaCN,Lpp WT,552,127,14.1096,1,0,123.779,22.7555,0.18384,31,w31_f1_c1
49203,6,9,1,7,1,1,534,136,"[348,2,686,285]",-51.84,882.54,NaCN,Lpp WT,555,128,16.6638,1,0,126.984,23.8356,0.187706,31,w31_f1_c1
49304,6,9,1,8,1,1,517,126,"[319,1,704,272]",-51.69,883.81,NaCN,Lpp WT,552,125,14.8356,1,0,123.445,22.3441,0.181004,31,w31_f1_c1
49402,6,9,1,9,1,1,515,126,"[379,1,684,270]",-51.21,884.37,NaCN,Lpp WT,548,121,14.2408,1,0,124.939,24.1349,0.193173,31,w31_f1_c1
48500,6,9,1,10,1,1,525,129,"[329,1,684,289]",-52.53,883.31,NaCN,Lpp WT,551,126,13.9434,1,0,124.544,24.2178,0.194452,31,w31_f1_c1
48599,6,9,1,11,1,1,515,127,"[321,1,684,292]",-52.96,883.53,NaCN,Lpp WT,549,124,14.512,1,0,126.761,24.6267,0.194276,31,w31_f1_c1
48208,6,9,1,-4,1,10,991,848,"[849,757,1095,945]",-9.18,816.76,NaCN,Lpp WT,994,818,4.81983,1,0,188.684,180.657,0.957457,31,w31_f1_c10
48106,6,9,1,-3,1,10,985,838,"[872,710,1118,929]",-9.11,819.01,NaCN,Lpp WT,991,822,5.94824,1,0,239.861,256.076,1.0676,31,w31_f1_c10
48005,6,9,1,-2,1,10,995,847,"[869,739,1122,932]",-9.04,818.0,NaCN,Lpp WT,987,837,4.09379,1,0,225.468,219.044,0.971509,31,w31_f1_c10
