,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
25778,4,9,1,-4,1,1,489,460,"[325,1,671,548]",-55.23,871.11,NaCN,NI,461,39,0.0,0,1,264.065,218.728,0.828311,15,w15_f1_c1
25665,4,9,1,-3,1,1,468,111,"[304,1,695,553]",-54.96,870.04,NaCN,NI,471,54,0.0,0,1,315.59,256.908,0.814059,15,w15_f1_c1
25551,4,9,1,-2,1,1,463,92,"[320,1,691,587]",-55.11,870.38,NaCN,NI,464,73,0.0,0,1,316.12,249.967,0.790732,15,w15_f1_c1
25440,4,9,1,-1,1,1,474,92,"[323,1,761,555]",-54.37,874.93,NaCN,NI,477,87,0.0,0,1,310.456,243.223,0.783436,15,w15_f1_c1
25886,4,9,1,0,1,1,486,151,"[391,1,881,655]",-45.4,861.93,NaCN,NI,490,166,0.0,0,1,339.241,257.29,0.758429,15,w15_f1_c1
25991,4,9,1,1,1,1,476,167,"[375,56,800,629]",-49.84,863.0,NaCN,NI,477,162,0.0,0,1,357.275,290.181,0.812206,15,w15_f1_c1
26332,4,9,1,2,1,1,462,156,"[368,1,890,616]",-48.03,865.31,NaCN,NI,460,159,0.0,0,1,337.408,256.644,0.760635,15,w15_f1_c1
26445,4,9,1,3,1,1,449,151,"[276,1,781,619]",-52.27,863.75,NaCN,NI,453,165,0.0,0,1,319.016,236.67,0.741874,15,w15_f1_c1
26559,4,9,1,4,1,1,461,173,"[357,1,557,444]",-57.65,877.67,NaCN,NI,460,166,0.0,0,1,262.506,177.223,0.675117,15,w15_f1_c1
26674,4,9,1,5,1,1,462,175,"[269,1,890,614]",-48.47,864.77,NaCN,NI,461,165,0.0,0,1,313.343,223.416,0.713007,15,w15_f1_c1
26790,4,9,1,6,1,1,456,153,"[310,16,807,642]",-51.47,864.17,NaCN,NI,456,158,0.0,0,1,313.569,234.211,0.746922,15,w15_f1_c1
26908,4,9,1,7,1,1,457,155,"[318,21,817,613]",-49.57,864.68,NaCN,NI,455,157,0.0,0,1,303.842,216.234,0.711664,15,w15_f1_c1
27027,4,9,1,8,1,1,455,147,"[342,1,785,630]",-50.8,864.51,NaCN,NI,454,154,0.0,0,1,287.923,190.549,0.661803,15,w15_f1_c1
27146,4,9,1,9,1,1,456,153,"[327,1,764,579]",-51.9,866.75,NaCN,NI,454,152,0.0,0,1,308.899,232.311,0.752061,15,w15_f1_c1
26099,4,9,1,10,1,1,454,146,"[338,1,754,628]",-51.81,866.38,NaCN,NI,454,151,0.0,0,1,304.133,213.799,0.702978,15,w15_f1_c1
26216,4,9,1,11,1,1,458,150,"[356,1,614,439]",-57.06,878.62,NaCN,NI,458,144,0.0,0,1,235.22,138.103,0.587121,15,w15_f1_c1
25779,4,9,1,-4,1,10,1377,1440,"[1236,1200,1612,1653]",29.07,762.27,NaCN,NI,1413,1417,0.0,0,1,213.361,137.346,0.643727,15,w15_f1_c10
25666,4,9,1,-3,1,10,1389,1450,"[1221,1209,1594,1685]",28.19,759.8,NaCN,NI,1418,1442,0.0,0,1,204.913,137.448,0.670763,15,w15_f1_c10
25552,4,9,1,-2,1,10,1379,1458,"[1168,1187,1563,1682]",26.77,759.02,NaCN,NI,1407,1444,0.0,0,1,212.507,140.355,0.660472,15,w15_f1_c10
25441,4,9,1,-1,1,10,1341,1489,"[1168,1285,1606,1701]",26.03,756.95,NaCN,NI,1393,1470,0.0,0,1,203.02,129.393,0.637339,15,w15_f1_c10
25887,4,9,1,0,1,10,1345,1564,"[1172,1367,1611,1752]",26.64,750.94,NaCN,NI,1391,1540,0.0,0,1,191.833,104.22,0.543283,15,w15_f1_c10
25992,4,9,1,1,1,10,1332,1541,"[1176,1355,1595,1733]",25.87,752.68,NaCN,NI,1375,1526,0.0,0,1,177.765,88.222,0.496284,15,w15_f1_c10
26333,4,9,1,2,1,10,1331,1532,"[1166,1329,1582,1722]",25.42,753.74,NaCN,NI,1365,1521,0.0,0,1,173.752,78.349,0.450926,15,w15_f1_c10
26446,4,9,1,3,1,10,1312,1545,"[1160,1287,1568,1679]",25.26,754.78,NaCN,NI,1364,1524,0.0,0,1,175.398,76.9291,0.438598,15,w15_f1_c10
26560,4,9,1,4,1,10,1329,1521,"[1141,1319,1523,1688]",24.73,755.6,NaCN,NI,1362,1520,0.0,0,1,183.023,91.1942,0.498267,15,w15_f1_c10
26675,4,9,1,5,1,10,1330,1525,"[1159,1304,1511,1702]",24.2,755.31,NaCN,NI,1362,1519,0.0,0,1,189.618,91.7716,0.483981,15,w15_f1_c10
26791,4,9,1,6,1,10,1333,1520,"[1142,1297,1507,1729]",24.16,755.02,NaCN,NI,1356,1522,0.0,0,1,181.731,86.7545,0.477379,15,w15_f1_c10
26909,4,9,1,7,1,10,1333,1520,"[1163,1270,1511,1681]",24.55,755.79,NaCN,NI,1362,1523,0.0,0,1,185.583,87.5066,0.471524,15,w15_f1_c10
27028,4,9,1,8,1,10,1337,1522,"[1158,1243,1522,1719]",24.19,755.4,NaCN,NI,1362,1525,0.0,0,1,181.994,83.248,0.457421,15,w15_f1_c10
27147,4,9,1,9,1,10,1334,1531,"[1171,1267,1542,1659]",24.94,755.82,NaCN,NI,1365,1525,0.0,0,1,184.223,88.8912,0.48252,15,w15_f1_c10
26100,4,9,1,10,1,10,1337,1542,"[1165,1273,1541,1675]",25.05,755.46,NaCN,NI,1367,1530,0.0,0,1,182.076,85.7491,0.470952,15,w15_f1_c10
26217,4,9,1,11,1,10,1338,1548,"[1164,1261,1569,1658]",25.11,755.94,NaCN,NI,1372,1532,0.0,0,1,183.415,86.3038,0.470537,15,w15_f1_c10
25781,4,9,1,-4,1,12,2042,1700,"[1905,1221,2158,1832]",87.22,748.8,NaCN,NI,2089,1688,0.0,0,1,134.309,58.7563,0.437472,15,w15_f1_c12
25668,4,9,1,-3,1,12,2055,1716,"[1907,1238,2158,1840]",87.62,747.11,NaCN,NI,2092,1703,0.0,0,1,135.556,61.3811,0.452811,15,w15_f1_c12
25554,4,9,1,-2,1,12,2010,1725,"[1885,1236,2158,1895]",86.21,744.15,NaCN,NI,2072,1727,0.0,0,1,137.259,59.5581,0.433911,15,w15_f1_c12
25442,4,9,1,-1,1,12,2018,1764,"[1865,1279,2158,1919]",85.11,739.47,NaCN,NI,2055,1742,0.0,0,1,146.991,68.0941,0.463254,15,w15_f1_c12
25888,4,9,1,0,1,12,2023,1827,"[1880,1333,2158,1969]",85.52,735.87,NaCN,NI,2078,1809,0.0,0,1,141.564,61.1996,0.432312,15,w15_f1_c12
25993,4,9,1,1,1,12,2010,1819,"[1872,1345,2158,1951]",85.66,735.54,NaCN,NI,2076,1795,0.0,0,1,141.512,65.519,0.462992,15,w15_f1_c12
26334,4,9,1,2,1,12,2004,1814,"[1865,1341,2158,1942]",84.88,736.26,NaCN,NI,2071,1789,0.0,0,1,140.537,57.6451,0.410177,15,w15_f1_c12
26447,4,9,1,3,1,12,2056,1815,"[1851,1388,2158,1941]",84.67,732.72,NaCN,NI,2064,1797,0.0,0,1,142.522,54.4728,0.382207,15,w15_f1_c12
26561,4,9,1,4,1,12,1968,1752,"[1862,1302,2158,1941]",84.69,739.36,NaCN,NI,2066,1786,0.0,0,1,136.703,56.4273,0.412772,15,w15_f1_c12
26676,4,9,1,5,1,12,1984,1778,"[1857,1356,2158,1930]",84.44,736.52,NaCN,NI,2063,1782,0.0,0,1,140.809,55.4405,0.39373,15,w15_f1_c12
26792,4,9,1,6,1,12,1969,1794,"[1853,1369,2158,1930]",84.47,735.3,NaCN,NI,2063,1785,0.0,0,1,142.566,63.4234,0.444872,15,w15_f1_c12
26910,4,9,1,7,1,12,1979,1791,"[1852,1354,2158,1932]",84.63,736.25,NaCN,NI,2069,1784,0.0,0,1,141.077,59.574,0.422281,15,w15_f1_c12
27029,4,9,1,8,1,12,2001,1786,"[1857,1356,2158,1945]",84.57,736.04,NaCN,NI,2065,1784,0.0,0,1,142.156,56.683,0.398738,15,w15_f1_c12
27148,4,9,1,9,1,12,1973,1793,"[1848,1425,2158,1915]",84.79,732.43,NaCN,NI,2062,1780,0.0,0,1,149.991,70.9752,0.473198,15,w15_f1_c12
26101,4,9,1,10,1,12,1994,1783,"[1863,1345,2158,1924]",84.42,737.12,NaCN,NI,2063,1784,0.0,0,1,139.428,57.5758,0.412944,15,w15_f1_c12
26218,4,9,1,11,1,12,1982,1767,"[1862,1325,2158,1916]",84.64,738.95,NaCN,NI,2063,1779,0.0,0,1,138.391,54.2706,0.392155,15,w15_f1_c12
25782,4,9,1,-4,1,13,1625,1708,"[1397,1432,1844,1924]",52.74,736.2,NaCN,NI,1699,1752,0.0,0,1,149.978,69.8119,0.46548,15,w15_f1_c13
25669,4,9,1,-3,1,13,1626,1723,"[1377,1395,1847,1925]",52.86,737.21,NaCN,NI,1684,1759,0.0,0,1,143.41,68.9689,0.48092,15,w15_f1_c13
25555,4,9,1,-2,1,13,1618,1731,"[1376,1508,1836,1930]",50.99,734.34,NaCN,NI,1685,1767,0.0,0,1,148.332,72.0953,0.486039,15,w15_f1_c13
25443,4,9,1,-1,1,13,1612,1758,"[1381,1509,1851,1961]",50.8,731.95,NaCN,NI,1683,1780,0.0,0,1,147.055,67.711,0.460446,15,w15_f1_c13
25889,4,9,1,0,1,13,1685,1842,"[1560,1737,1816,1939]",56.77,724.13,NaCN,NI,1685,1844,0.0,0,1,176.924,76.713,0.433593,15,w15_f1_c13
25994,4,9,1,1,1,13,1663,1827,"[1548,1712,1794,1923]",54.85,725.72,NaCN,NI,1667,1828,0.0,0,1,178.176,84.8101,0.47599,15,w15_f1_c13
26335,4,9,1,2,1,13,1642,1818,"[1447,1660,1787,1915]",51.05,728.04,NaCN,NI,1651,1819,0.0,0,1,163.648,70.8412,0.432888,15,w15_f1_c13
26448,4,9,1,3,1,13,1658,1823,"[1367,1661,1783,1936]",48.75,728.2,NaCN,NI,1646,1823,0.0,0,1,155.618,62.5042,0.401652,15,w15_f1_c13
26562,4,9,1,4,1,13,1663,1821,"[1400,1649,1779,1923]",49.42,728.83,NaCN,NI,1648,1820,0.0,0,1,159.646,69.8375,0.437451,15,w15_f1_c13
26677,4,9,1,5,1,13,1661,1821,"[1352,1616,1790,1927]",47.41,728.43,NaCN,NI,1646,1817,0.0,0,1,153.379,61.3496,0.399986,15,w15_f1_c13
26793,4,9,1,6,1,13,1621,1807,"[1384,1629,1785,1919]",48.7,728.93,NaCN,NI,1649,1817,0.0,0,1,156.899,67.5502,0.430534,15,w15_f1_c13
26911,4,9,1,7,1,13,1556,1777,"[1351,1567,1799,1990]",46.59,728.23,NaCN,NI,1654,1815,0.0,0,1,142.99,51.0514,0.357029,15,w15_f1_c13
27030,4,9,1,8,1,13,1583,1752,"[1357,1574,1792,1946]",48.78,730.67,NaCN,NI,1655,1812,0.0,0,1,148.092,55.3883,0.374014,15,w15_f1_c13
27149,4,9,1,9,1,13,1578,1755,"[1352,1584,1789,1989]",46.35,727.52,NaCN,NI,1652,1813,0.0,0,1,145.339,55.3126,0.380577,15,w15_f1_c13
26102,4,9,1,10,1,13,1596,1751,"[1352,1586,1796,1981]",46.7,727.42,NaCN,NI,1654,1813,0.0,0,1,145.322,53.7612,0.369945,15,w15_f1_c13
26219,4,9,1,11,1,13,1594,1777,"[1354,1531,1795,1981]",47.49,728.23,NaCN,NI,1656,1808,0.0,0,1,143.418,51.9225,0.362037,15,w15_f1_c13
25783,4,9,1,-4,1,14,1139,1983,"[985,1681,1361,2158]",6.65,713.76,NaCN,NI,1152,1961,0.0,0,1,194.561,122.547,0.629862,15,w15_f1_c14
25670,4,9,1,-3,1,14,1133,2004,"[966,1693,1355,2158]",6.55,712.47,NaCN,NI,1151,1979,0.0,0,1,198.009,125.223,0.632413,15,w15_f1_c14
25556,4,9,1,-2,1,14,1133,1999,"[982,1678,1316,2158]",5.75,712.1,NaCN,NI,1148,1989,0.0,0,1,201.195,128.757,0.639962,15,w15_f1_c14
25444,4,9,1,-1,1,14,1126,2040,"[980,1706,1261,2158]",5.48,708.97,NaCN,NI,1147,2004,0.0,0,1,205.742,130.989,0.636665,15,w15_f1_c14
25890,4,9,1,0,1,14,1176,1955,"[946,1773,1394,2158]",8.11,714.19,NaCN,NI,1161,2071,0.0,0,1,144.745,59.2215,0.409143,15,w15_f1_c14
25995,4,9,1,1,1,14,1177,1932,"[974,1755,1393,2158]",7.77,715.29,NaCN,NI,1156,2041,0.0,0,1,146.447,63.9677,0.436796,15,w15_f1_c14
26336,4,9,1,2,1,14,1182,1907,"[982,1769,1381,2158]",7.12,713.88,NaCN,NI,1143,2043,0.0,0,1,143.929,56.127,0.389964,15,w15_f1_c14
26449,4,9,1,3,1,14,1146,1942,"[975,1778,1360,2158]",6.09,713.29,NaCN,NI,1130,2052,0.0,0,1,141.544,47.6704,0.336788,15,w15_f1_c14
26563,4,9,1,4,1,14,1154,1952,"[938,1778,1383,2158]",6.61,713.22,NaCN,NI,1125,2051,0.0,0,1,137.853,47.951,0.347842,15,w15_f1_c14
26678,4,9,1,5,1,14,1136,1950,"[901,1771,1386,2158]",5.71,713.81,NaCN,NI,1125,2041,0.0,0,1,140.473,48.4472,0.344885,15,w15_f1_c14
