,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
40116,6,4,1,-4,1,10,1466,1133,"[1302,818,1699,1295]",36.24,795.82,Oligomycin,Lpp WT,1506,1172,6.69178,1,0,347.265,414.492,1.19359,26,w26_f1_c10
40035,6,4,1,-3,1,10,1481,1173,"[1297,964,1651,1326]",37.71,788.1,Oligomycin,Lpp WT,1498,1187,1.07593,1,0,409.831,430.922,1.05146,26,w26_f1_c10
39951,6,4,1,-2,1,10,1478,1180,"[1299,999,1665,1334]",38.18,786.87,Oligomycin,Lpp WT,1501,1201,1.17215,1,0,419.696,427.313,1.01815,26,w26_f1_c10
39869,6,4,1,-1,1,10,1473,1181,"[1309,946,1665,1340]",37.65,788.17,Oligomycin,Lpp WT,1504,1208,6.84048,1,0,385.03,402.201,1.0446,26,w26_f1_c10
40190,6,4,1,0,1,10,1566,1247,"[1400,1065,1758,1454]",45.76,779.21,Oligomycin,Lpp WT,1584,1301,6.12319,1,0,402.146,411.57,1.02343,26,w26_f1_c10
40284,6,4,1,1,1,10,1526,1264,"[1357,1048,1691,1464]",40.97,779.54,Oligomycin,Lpp WT,1554,1287,8.18758,1,0,362.734,333.948,0.920642,26,w26_f1_c10
40572,6,4,1,2,1,10,1506,1247,"[1341,1059,1684,1464]",39.15,779.11,Oligomycin,Lpp WT,1536,1287,6.29814,1,0,311.963,284.235,0.911115,26,w26_f1_c10
40666,6,4,1,3,1,10,1498,1249,"[1309,1056,1687,1403]",38.45,781.51,Oligomycin,Lpp WT,1522,1276,6.19317,1,0,315.335,270.871,0.858995,26,w26_f1_c10
40760,6,4,1,4,1,10,1461,1213,"[1296,1034,1653,1410]",37.08,782.16,Oligomycin,Lpp WT,1527,1257,6.07946,1,0,280.985,225.046,0.800917,26,w26_f1_c10
40856,6,4,1,5,1,10,1480,1206,"[1303,1033,1647,1399]",38.02,782.47,Oligomycin,Lpp WT,1534,1265,6.32438,1,0,276.683,216.029,0.780781,26,w26_f1_c10
40954,6,4,1,6,1,10,1471,1223,"[1281,1044,1667,1409]",35.8,780.74,Oligomycin,Lpp WT,1532,1269,6.30689,1,0,253.157,196.275,0.77531,26,w26_f1_c10
