,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
16521,4,4,1,-4,1,13,1237,816,"[1075,544,1382,944]",15.08,822.7,Oligomycin,NI,1203,852,0.0,0,1,198.875,99.8691,0.502171,10,w10_f1_c13
16419,4,4,1,-3,1,13,1222,820,"[1062,563,1366,969]",13.1,821.55,Oligomycin,NI,1193,848,0.0,0,1,197.901,103.584,0.523413,10,w10_f1_c13
16315,4,4,1,-2,1,13,1177,856,"[1024,579,1350,982]",11.63,820.05,Oligomycin,NI,1185,865,0.0,0,1,190.424,91.8112,0.482142,10,w10_f1_c13
16210,4,4,1,-1,1,13,1232,838,"[1030,560,1361,987]",12.26,819.23,Oligomycin,NI,1188,877,0.0,0,1,201.672,96.6257,0.479124,10,w10_f1_c13
16615,4,4,1,0,1,13,1306,929,"[1122,698,1431,1055]",19.89,810.97,Oligomycin,NI,1274,956,0.0,0,1,229.043,149.559,0.652974,10,w10_f1_c13
16727,4,4,1,1,1,13,1250,918,"[1080,641,1380,1047]",15.62,812.25,Oligomycin,NI,1223,946,0.0,0,1,239.463,164.325,0.686222,10,w10_f1_c13
17063,4,4,1,2,1,13,1214,908,"[1061,638,1349,1033]",12.81,813.16,Oligomycin,NI,1198,933,0.0,0,1,245.195,170.813,0.696642,10,w10_f1_c13
17173,4,4,1,3,1,13,1198,896,"[1043,675,1338,1018]",11.87,814.03,Oligomycin,NI,1189,920,0.0,0,1,241.298,148.492,0.615389,10,w10_f1_c13
17284,4,4,1,4,1,13,1188,892,"[1041,697,1349,1011]",10.9,814.38,Oligomycin,NI,1174,911,0.0,0,1,248.706,174.593,0.702004,10,w10_f1_c13
17397,4,4,1,5,1,13,1192,889,"[1033,711,1336,1008]",10.28,813.74,Oligomycin,NI,1177,914,0.0,0,1,256.666,169.045,0.658618,10,w10_f1_c13
17510,4,4,1,6,1,13,1190,886,"[1019,711,1321,1011]",9.85,813.94,Oligomycin,NI,1174,913,0.0,0,1,257.989,169.066,0.655322,10,w10_f1_c13
17622,4,4,1,7,1,13,1182,886,"[1025,684,1312,1007]",9.71,814.39,Oligomycin,NI,1171,914,0.0,0,1,261.183,172.642,0.660999,10,w10_f1_c13
17733,4,4,1,8,1,13,1184,887,"[1037,621,1325,1012]",10.5,814.85,Oligomycin,NI,1175,916,0.0,0,1,250.445,156.821,0.626168,10,w10_f1_c13
17845,4,4,1,9,1,13,1175,889,"[1011,691,1325,1027]",9.68,814.13,Oligomycin,NI,1168,917,0.0,0,1,257.776,177.723,0.689448,10,w10_f1_c13
16840,4,4,1,10,1,13,1179,888,"[1008,597,1317,1011]",9.89,814.66,Oligomycin,NI,1166,919,0.0,0,1,256.277,177.846,0.693961,10,w10_f1_c13
16952,4,4,1,11,1,13,1171,886,"[1006,710,1341,1013]",9.3,814.27,Oligomycin,NI,1162,915,0.0,0,1,259.122,179.578,0.693025,10,w10_f1_c13
16522,4,4,1,-4,1,14,447,958,"[369,818,585,1038]",-58.46,808.51,Oligomycin,NI,447,951,0.0,0,1,205.369,106.466,0.518412,10,w10_f1_c14
16420,4,4,1,-3,1,14,432,956,"[349,813,510,1047]",-60.37,808.11,Oligomycin,NI,433,956,0.0,0,1,211.687,116.082,0.548363,10,w10_f1_c14
16316,4,4,1,-2,1,14,438,953,"[352,813,563,1038]",-59.67,808.49,Oligomycin,NI,437,952,0.0,0,1,207.92,110.505,0.531478,10,w10_f1_c14
16211,4,4,1,-1,1,14,477,941,"[327,796,620,1102]",-56.9,808.21,Oligomycin,NI,435,960,0.0,0,1,173.452,98.0354,0.565202,10,w10_f1_c14
16616,4,4,1,0,1,14,498,1040,"[406,890,578,1138]",-54.01,800.47,Oligomycin,NI,500,1040,0.0,0,1,215.52,117.159,0.543614,10,w10_f1_c14
16728,4,4,1,1,1,14,493,1023,"[405,871,602,1149]",-54.72,802.13,Oligomycin,NI,471,1028,0.0,0,1,196.477,132.433,0.674036,10,w10_f1_c14
17064,4,4,1,2,1,14,454,1020,"[387,881,556,1103]",-58.44,802.07,Oligomycin,NI,451,1024,0.0,0,1,248.053,152.811,0.61604,10,w10_f1_c14
17174,4,4,1,3,1,14,441,1031,"[373,871,538,1095]",-59.52,803.15,Oligomycin,NI,440,1016,0.0,0,1,243.797,142.181,0.583192,10,w10_f1_c14
17285,4,4,1,4,1,14,445,1007,"[348,867,645,1109]",-58.01,803.28,Oligomycin,NI,419,1020,0.0,0,1,234.6,166.248,0.708644,10,w10_f1_c14
17398,4,4,1,5,1,14,449,998,"[291,867,545,1138]",-60.91,802.24,Oligomycin,NI,413,1027,0.0,0,1,230.155,156.588,0.680359,10,w10_f1_c14
17511,4,4,1,6,1,14,443,990,"[320,850,531,1123]",-61.09,804.18,Oligomycin,NI,408,1026,0.0,0,1,228.969,152.86,0.667601,10,w10_f1_c14
17623,4,4,1,7,1,14,405,1030,"[330,855,557,1122]",-60.83,804.3,Oligomycin,NI,404,1019,0.0,0,1,221.949,159.758,0.719793,10,w10_f1_c14
17734,4,4,1,8,1,14,442,957,"[312,856,515,1115]",-62.12,804.12,Oligomycin,NI,404,1014,0.0,0,1,233.659,162.777,0.696642,10,w10_f1_c14
