,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
43212,6,6,1,-4,1,11,1525,891,"[1435,782,1615,979]",41.43,813.48,Rotenone,Lpp WT,1504,895,0.787268,1,0,330.817,344.873,1.04249,28,w28_f1_c11
43090,6,6,1,-3,1,11,1525,889,"[1426,782,1619,987]",41.82,813.13,Rotenone,Lpp WT,1507,898,4.18127,1,0,349.138,372.954,1.06821,28,w28_f1_c11
42965,6,6,1,-2,1,11,1485,853,"[1317,722,1643,1017]",37.21,815.67,Rotenone,Lpp WT,1516,903,3.13158,1,0,220.736,261.936,1.18665,28,w28_f1_c11
42844,6,6,1,-1,1,11,1474,856,"[1334,714,1639,1022]",37.7,815.14,Rotenone,Lpp WT,1512,910,4.38246,1,0,264.156,358.601,1.35754,28,w28_f1_c11
43322,6,6,1,0,1,11,1495,910,"[1370,779,1688,1107]",42.36,808.13,Rotenone,Lpp WT,1553,992,3.23654,1,0,220.019,227.874,1.03571,28,w28_f1_c11
43447,6,6,1,1,1,11,1486,905,"[1350,778,1660,1099]",39.85,810.12,Rotenone,Lpp WT,1529,978,3.45523,1,0,221.378,236.963,1.0704,28,w28_f1_c11
43854,6,6,1,2,1,11,1471,893,"[1328,754,1636,1056]",38.31,811.8,Rotenone,Lpp WT,1506,972,1.06719,1,0,205.346,200.108,0.974494,28,w28_f1_c11
43988,6,6,1,3,1,11,1484,921,"[1337,752,1621,1062]",37.63,811.52,Rotenone,Lpp WT,1493,973,2.07314,1,0,220.057,226.271,1.02824,28,w28_f1_c11
44126,6,6,1,4,1,11,1468,897,"[1333,751,1616,1057]",37.22,811.7,Rotenone,Lpp WT,1486,971,1.31211,1,0,220.817,227.888,1.03202,28,w28_f1_c11
44264,6,6,1,5,1,11,1453,891,"[1321,727,1610,1058]",36.68,812.21,Rotenone,Lpp WT,1484,970,1.64451,1,0,208.314,208.535,1.00106,28,w28_f1_c11
44397,6,6,1,6,1,11,1440,891,"[1309,750,1603,1058]",35.32,812.28,Rotenone,Lpp WT,1484,973,4.46993,1,0,219.052,236.049,1.07759,28,w28_f1_c11
44536,6,6,1,7,1,11,1444,902,"[1299,764,1604,1056]",34.95,812.04,Rotenone,Lpp WT,1482,974,2.24809,1,0,212.704,225.928,1.06217,28,w28_f1_c11
44676,6,6,1,8,1,11,1445,902,"[1297,759,1604,1051]",34.79,811.89,Rotenone,Lpp WT,1483,972,5.24845,1,0,220.937,240.385,1.08803,28,w28_f1_c11
44814,6,6,1,9,1,11,1452,909,"[1293,765,1604,1048]",34.65,811.73,Rotenone,Lpp WT,1481,970,4.50492,1,0,223.772,242.34,1.08298,28,w28_f1_c11
43578,6,6,1,10,1,11,1438,901,"[1289,764,1603,1056]",34.16,811.72,Rotenone,Lpp WT,1479,969,4.72361,1,0,216.992,229.232,1.05641,28,w28_f1_c11
43718,6,6,1,11,1,11,1431,898,"[1285,761,1601,1054]",33.92,811.68,Rotenone,Lpp WT,1477,968,4.95979,1,0,224.388,240.137,1.07019,28,w28_f1_c11
43215,6,6,1,-4,1,14,1511,1160,"[1394,1034,1624,1295]",39.86,787.21,Rotenone,Lpp WT,1489,1180,2.37055,1,0,314.89,236.538,0.751179,28,w28_f1_c14
43093,6,6,1,-3,1,14,1493,1175,"[1350,1051,1599,1308]",37.92,785.95,Rotenone,Lpp WT,1465,1193,2.02065,1,0,313.908,250.703,0.798651,28,w28_f1_c14
42967,6,6,1,-2,1,14,1485,1180,"[1339,1019,1599,1322]",37.59,785.25,Rotenone,Lpp WT,1461,1205,1.22464,1,0,320.577,255.211,0.796099,28,w28_f1_c14
