,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
20329,4,6,1,-4,1,1,1401,92,"[1231,1,1564,209]",28.87,888.31,Rotenone,NI,1414,43,0.0,0,1,278.718,197.688,0.709276,12,w12_f1_c1
20223,4,6,1,-3,1,1,1399,101,"[1210,1,1514,244]",27.53,887.7,Rotenone,NI,1409,47,0.0,0,1,245.314,153.512,0.625777,12,w12_f1_c1
20119,4,6,1,-2,1,1,1388,111,"[1192,1,1524,260]",26.49,886.18,Rotenone,NI,1410,54,0.0,0,1,249.518,171.765,0.688386,12,w12_f1_c1
20015,4,6,1,-1,1,1,1384,109,"[1200,1,1529,279]",27.67,886.13,Rotenone,NI,1413,56,0.0,0,1,266.15,187.516,0.704551,12,w12_f1_c1
20431,4,6,1,0,1,1,1409,145,"[1258,1,1585,357]",31.96,882.62,Rotenone,NI,1445,126,0.0,0,1,275.365,181.554,0.659321,12,w12_f1_c1
20535,4,6,1,1,1,1,1384,120,"[1252,1,1541,273]",29.64,885.36,Rotenone,NI,1416,92,0.0,0,1,271.668,185.142,0.6815,12,w12_f1_c1
20795,4,6,1,2,1,1,1365,108,"[1253,1,1514,255]",27.6,886.32,Rotenone,NI,1380,77,0.0,0,1,263.452,162.158,0.615511,12,w12_f1_c1
20890,4,6,1,3,1,1,1354,101,"[1245,1,1463,233]",26.24,886.69,Rotenone,NI,1367,75,0.0,0,1,227.345,118.298,0.520347,12,w12_f1_c1
20982,4,6,1,4,1,1,1349,99,"[1253,1,1481,222]",26.28,887.35,Rotenone,NI,1352,64,0.0,0,1,236.193,129.461,0.548117,12,w12_f1_c1
21063,4,6,1,5,1,1,1361,112,"[1249,1,1469,215]",26.07,887.2,Rotenone,NI,1351,90,0.0,0,1,212.264,98.7756,0.465343,12,w12_f1_c1
21134,4,6,1,6,1,1,1389,115,"[1255,1,1519,213]",27.63,886.88,Rotenone,NI,1398,109,0.0,0,1,191.714,68.8855,0.359313,12,w12_f1_c1
21204,4,6,1,7,1,1,1363,99,"[1197,1,1516,287]",25.71,885.18,Rotenone,NI,1379,105,0.0,0,1,194.083,101.714,0.524074,12,w12_f1_c1
