,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
45315,6,7,1,-4,1,1,1835,63,"[1693,1,1970,154]",70.84,891.12,TTFA,Lpp WT,1807,54,2.51926,1,0,225.19,180.227,0.800333,29,w29_f1_c1
45195,6,7,1,-3,1,1,1840,68,"[1676,1,1966,161]",69.85,890.74,TTFA,Lpp WT,1809,59,2.64172,1,0,260.873,215.481,0.826001,29,w29_f1_c1
45071,6,7,1,-2,1,1,1842,75,"[1696,1,1959,154]",70.76,890.2,TTFA,Lpp WT,1812,67,1.74948,1,0,301.146,233.393,0.775015,29,w29_f1_c1
44948,6,7,1,-1,1,1,1855,86,"[1687,1,1991,208]",71.34,889.08,TTFA,Lpp WT,1812,76,2.56299,1,0,267.654,202.002,0.754715,29,w29_f1_c1
45425,6,7,1,0,1,1,1871,122,"[1728,2,2020,284]",74.05,884.34,TTFA,Lpp WT,1843,141,2.09063,1,0,234.953,157.391,0.669884,29,w29_f1_c1
45544,6,7,1,1,1,1,1848,116,"[1694,1,1991,253]",72.22,885.75,TTFA,Lpp WT,1824,127,1.47831,1,0,240.102,176.315,0.734336,29,w29_f1_c1
45908,6,7,1,2,1,1,1821,110,"[1681,1,1985,227]",70.36,886.23,TTFA,Lpp WT,1804,117,2.35306,1,0,211.11,123.82,0.586518,29,w29_f1_c1
46036,6,7,1,3,1,1,1810,111,"[1677,1,1966,236]",69.07,886.49,TTFA,Lpp WT,1789,110,2.09063,1,0,238.328,269.898,1.13246,29,w29_f1_c1
46168,6,7,1,4,1,1,1805,111,"[1675,1,1965,232]",68.75,886.57,TTFA,Lpp WT,1783,110,2.46677,1,0,217.397,125.958,0.579392,29,w29_f1_c1
46297,6,7,1,5,1,1,1785,106,"[1671,1,1958,242]",68.61,886.73,TTFA,Lpp WT,1780,102,2.01191,1,0,230.96,147.543,0.638825,29,w29_f1_c1
46425,6,7,1,6,1,1,1813,116,"[1670,1,1954,281]",68.56,885.66,TTFA,Lpp WT,1781,104,1.70575,1,0,335.925,899.007,2.67621,29,w29_f1_c1
46553,6,7,1,7,1,1,1832,107,"[1674,1,1951,220]",68.14,886.75,TTFA,Lpp WT,1777,101,1.57454,1,0,257.537,176.956,0.687107,29,w29_f1_c1
46680,6,7,1,8,1,1,1793,97,"[1689,1,1940,194]",68.46,887.75,TTFA,Lpp WT,1778,98,1.3646,1,0,311.904,206.303,0.66143,29,w29_f1_c1
46807,6,7,1,9,1,1,1810,106,"[1648,1,1946,235]",67.32,886.1,TTFA,Lpp WT,1776,101,1.44332,1,0,325.026,572.423,1.76116,29,w29_f1_c1
45667,6,7,1,10,1,1,1810,107,"[1672,1,1949,241]",68.19,887.01,TTFA,Lpp WT,1775,101,1.55704,1,0,273.915,179.64,0.655826,29,w29_f1_c1
45792,6,7,1,11,1,1,1805,102,"[1658,1,1957,209]",67.88,887.3,TTFA,Lpp WT,1774,102,1.97692,1,0,260.866,154.326,0.591592,29,w29_f1_c1
