,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,tracked_track_point_x,tracked_track_point_y,tracked_bacteria_area_[um²]-_sum_per_cell_,tracked_if,tracked_ni,tracked_intensity_tracked_cell_region_dsred_mean,tracked_intensity_tracked_cell_region_dsred_stddev,tracked_red_sdmean,well_id,cell_lbl
21822,4,7,1,-4,1,1,367,70,"[259,1,438,156]",-67.21,890.04,TTFA,NI,369,56,0.0,0,1,251.668,189.841,0.754332,13,w13_f1_c1
21698,4,7,1,-3,1,1,471,82,"[298,1,599,195]",-58.63,888.64,TTFA,NI,461,44,0.0,0,1,213.081,207.425,0.973455,13,w13_f1_c1
21571,4,7,1,-2,1,1,439,106,"[312,1,587,231]",-58.68,887.25,TTFA,NI,461,44,0.0,0,1,145.401,75.3997,0.518565,13,w13_f1_c1
21443,4,7,1,-1,1,1,483,118,"[342,1,601,198]",-57.11,886.34,TTFA,NI,488,101,0.0,0,1,237.676,230.96,0.971744,13,w13_f1_c1
21937,4,7,1,0,1,1,487,189,"[385,1,650,303]",-53.55,883.5,TTFA,NI,502,196,0.0,0,1,179.779,75.4809,0.419855,13,w13_f1_c1
22063,4,7,1,1,1,1,499,191,"[354,119,571,273]",-56.88,878.79,TTFA,NI,502,196,0.0,0,1,172.755,77.2052,0.446905,13,w13_f1_c1
22455,4,7,1,2,1,1,428,163,"[314,1,602,247]",-58.45,885.09,TTFA,NI,429,178,0.0,0,1,191.196,84.9205,0.444153,13,w13_f1_c1
22582,4,7,1,3,1,1,437,173,"[335,1,577,239]",-59.4,885.07,TTFA,NI,429,178,0.0,0,1,208.341,102.823,0.493533,13,w13_f1_c1
22711,4,7,1,4,1,1,424,155,"[346,1,568,259]",-59.64,885.25,TTFA,NI,425,176,0.0,0,1,197.942,92.5938,0.467782,13,w13_f1_c1
22839,4,7,1,5,1,1,434,168,"[264,1,575,257]",-61.05,886.43,TTFA,NI,433,167,0.0,0,1,211.803,113.245,0.534671,13,w13_f1_c1
22967,4,7,1,6,1,1,438,172,"[277,1,613,359]",-59.5,884.57,TTFA,NI,431,166,0.0,0,1,175.493,91.0589,0.518876,13,w13_f1_c1
23099,4,7,1,7,1,1,430,148,"[274,1,596,246]",-60.98,886.99,TTFA,NI,436,162,0.0,0,1,202.407,114.878,0.567559,13,w13_f1_c1
23232,4,7,1,8,1,1,430,154,"[268,1,610,259]",-60.65,886.38,TTFA,NI,428,159,0.0,0,1,174.887,81.6038,0.466609,13,w13_f1_c1
23367,4,7,1,9,1,1,418,126,"[248,1,618,236]",-61.07,887.42,TTFA,NI,419,139,0.0,0,1,187.951,111.027,0.590722,13,w13_f1_c1
