,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
972,1975,0,Lpp WT,0.440028,0.243206,124.506,250.781,7.0,10.0862,1.0,w1_f10_c4,,0
973,1976,1,Lpp WT,0.453034,0.2273489999999999,124.05,435.001,6.0,8.7588,1.0,w1_f10_c4,,0
974,1977,2,Lpp WT,0.479976,0.129409,123.204,249.71400000000003,4.0,0.5239560000000001,1.0,w1_f10_c4,,0
975,1978,3,Lpp WT,0.508922,0.103767,183.594,268.108,0.0,0.0,0.0,w1_f10_c4,,0
976,1979,4,Lpp WT,0.512632,0.0987995,304.825,766.745,2.0,5.44041,1.0,w1_f10_c4,,0
977,1980,5,Lpp WT,0.5262899999999999,0.0633780999999999,341.659,871.8330000000001,1.0,2.13075,1.0,w1_f10_c4,,0
978,1981,6,Lpp WT,0.522253,0.072662,538.778,774.6339999999999,0.0,0.0,0.0,w1_f10_c4,,0
979,1982,7,Lpp WT,0.521984,0.075525,598.622,841.0319999999999,0.0,0.0,0.0,w1_f10_c4,,0
980,1983,8,Lpp WT,0.522921,0.0673848,585.601,961.868,0.0,0.0,0.0,w1_f10_c4,,0
981,1984,9,Lpp WT,0.525641,0.0635908,583.927,894.64,0.0,0.0,0.0,w1_f10_c4,,0
982,1985,10,Lpp WT,0.523209,0.065042,560.305,723.39,1.0,2.50626,1.0,w1_f10_c4,,0
983,1986,11,Lpp WT,0.5266649999999999,0.0567996,507.01,592.146,0.0,0.0,0.0,w1_f10_c4,,0
984,1987,12,Lpp WT,0.522706,0.0638741,559.48,871.692,2.0,0.288176,1.0,w1_f10_c4,,0
985,1988,13,Lpp WT,0.520903,0.0649793999999999,583.056,872.944,1.0,0.261978,1.0,w1_f10_c4,,0
986,1989,14,Lpp WT,0.523257,0.0585129,474.391,764.413,0.0,0.0,0.0,w1_f10_c4,,0
987,1990,15,Lpp WT,0.52546,0.0546121999999999,543.081,782.436,0.0,0.0,0.0,w1_f10_c4,,0
988,1991,16,Lpp WT,0.512111,0.0888972,548.056,782.0169999999999,1.0,0.0349304,1.0,w1_f10_c4,,0
989,1992,17,Lpp WT,0.523358,0.0680881,575.9069999999999,861.563,1.0,0.174652,1.0,w1_f10_c4,,0
990,1993,0,Lpp WT,0.348465,0.509359,141.075,237.929,1.0,2.91669,1.0,w1_f10_c5,,0
991,1994,1,Lpp WT,0.373509,0.466402,189.594,407.761,2.0,3.64149,1.0,w1_f10_c5,,0
992,1995,2,Lpp WT,0.351031,0.4250609999999999,190.985,579.857,2.0,2.4102,1.0,w1_f10_c5,,0
993,1996,3,Lpp WT,0.361344,0.406853,188.621,747.187,4.0,5.8246400000000005,1.0,w1_f10_c5,,0
994,1997,4,Lpp WT,0.382643,0.338949,185.739,883.2,4.0,6.09535,1.0,w1_f10_c5,,0
995,1998,5,Lpp WT,0.392352,0.319605,193.31,1014.81,4.0,5.5801300000000005,1.0,w1_f10_c5,,0
996,1999,6,Lpp WT,0.399534,0.306419,197.472,1072.71,4.0,4.84659,1.0,w1_f10_c5,,0
