Database Name	1400L19201
Database Link	http://10.25.11.3/ODA/OdaService.asmx
Evaluation Signature	2928ff34-54a8-455d-ab66-f07f402d310a
Plate Name	EP209
Measurement	Measurement 4
Evaluation	Evaluation2
Population	Population - Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Time post-release	AB1-1	AB1-2	AB2-1	AB2-2	Nuclei - Intensity Nucleus dsRed Mean	Nuclei - Intensity Nucleus dsRed StdDev	Nuclei - Intensity Nucleus EGFP Mean	Nuclei - Intensity Nucleus EGFP StdDev	Nuclei - Intensity Cytoplasm Region dsRed Mean	Nuclei - Intensity Cytoplasm Region dsRed StdDev	Nuclei - Intensity Cytoplasm Region EGFP Mean	Nuclei - Intensity Cytoplasm Region EGFP StdDev	
3	3	1	0	6	1	1597	56	[1555,16,1646,148]	719.6	1435.16	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.946	37.8203	535.554	323.366	115.619	5.28956	224.323	65.1749	
3	3	1	0	6	2	144	114	[93,63,196,166]	513.16	1428.71	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.451	5.93469	675.758	72.58	115.497	29.4246	469.879	224.047	
3	3	1	0	6	3	1551	240	[1513,204,1608,285]	714.19	1409.97	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.692	18.0516	756.315	522.762	137.829	50.4671	499.777	489.271	
3	3	1	0	6	4	478	368	[427,319,535,418]	560.81	1392.55	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.811	6.44238	768.791	110.716	116.308	6.61106	510.369	226.052	
3	3	1	0	6	5	2033	406	[1968,360,2088,456]	781.13	1386.88	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	182.51	358.23	574.379	231.982	199.443	375.072	377.768	774.683	
3	3	1	0	6	6	1412	461	[1364,413,1466,510]	693.37	1379.24	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	150.071	93.8747	1478.39	376.503	127.687	16.4206	824.385	368.633	
3	3	1	0	6	7	932	502	[875,393,989,575]	624.48	1375.96	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	128.049	7.35061	757.776	117.664	143.798	132.033	566.889	622.813	
3	3	1	0	6	8	1608	590	[1562,542,1655,639]	720.77	1360.75	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.247	6.22583	690.977	88.7803	119.621	5.7135	366.307	171.238	
3	3	1	0	6	9	1506	639	[1459,592,1556,689]	706.59	1353.84	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.091	6.34051	1188.4	314.757	122.934	12.8441	688.355	439.38	
3	3	1	0	6	10	1526	742	[1469,688,1581,796]	708.93	1339.13	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.5	5.77106	774.946	115.097	146.977	193.912	456.174	364.465	
3	3	1	0	6	11	986	764	[934,711,1046,820]	632.46	1336.25	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.316	6.87739	566.6	83.2692	124.813	7.30793	493.278	212.753	
3	3	1	0	6	12	1435	787	[1392,742,1478,846]	696.16	1332.21	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.933	16.9558	685.572	144.907	122.553	13.5241	426.478	197.346	
3	3	1	0	6	13	2078	809	[2032,762,2131,857]	787.78	1329.66	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.568	32.9597	1101.61	348.851	132.459	86.1726	541.296	586.665	
3	3	1	0	6	14	1833	878	[1783,824,1883,930]	752.72	1320.55	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.982	6.86763	1028.5	212.551	117.495	5.71911	615.234	292.05	
3	3	1	0	6	15	1046	877	[1001,831,1092,927]	641.24	1320.03	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.661	5.757	534.778	67.8979	124.079	7.17238	451.776	161.535	
3	3	1	0	6	16	1413	893	[1354,840,1467,950]	692.66	1317.34	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.407	7.10618	708.742	131.727	122.046	13.4198	375.275	175.734	
3	3	1	0	6	17	1970	905	[1904,826,2035,986]	771.8	1316.15	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.248	10.5759	551.885	123.693	118.787	20.6381	493.166	275.501	
3	3	1	0	6	18	1614	904	[1569,857,1658,951]	721.53	1316.59	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	127.566	17.3511	718.5	114.238	125.31	18.2095	429.521	169.198	
3	3	1	0	6	19	1514	928	[1450,883,1572,976]	706.49	1312.96	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.706	5.8026	552.99	74.0267	121.755	19.6991	365.548	175.276	
3	3	1	0	6	20	932	962	[881,911,984,1014]	624.98	1308.19	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	127.452	11.3648	797.003	101.952	122.4	12.1746	485.716	246.04	
3	3	1	0	6	21	1862	968	[1801,913,1922,1020]	756.75	1307.77	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.526	14.8275	615.382	155.235	114.499	4.79994	299.192	106.365	
3	3	1	0	6	22	1918	1043	[1871,995,1967,1091]	764.74	1296.84	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.848	17.4151	1285.48	228.49	123.182	26.2107	595.809	338.767	
3	3	1	0	6	23	42	1316	[1,1273,83,1371]	498.12	1257.28	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.359	7.61956	984.269	190	114.051	11.2666	1007.81	551.799	
3	3	1	0	6	24	220	1473	[167,1420,279,1532]	524.15	1235.79	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.802	7.17939	934.407	119.132	135.375	87.565	631.034	402.025	
3	3	1	0	6	25	451	1621	[398,1569,504,1678]	556.71	1214.39	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.296	7.79754	1031.43	127.053	118.805	10.745	678.903	403.492	
3	3	1	0	6	26	57	1629	[1,1573,115,1689]	500.3	1213.53	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.485	6.20285	847.619	118.271	112.594	8.07359	830.633	368.284	
3	3	1	0	6	27	136	1683	[84,1633,195,1734]	512.64	1205.92	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.877	5.91237	1190.52	197.584	113.034	7.54457	914.441	490.704	
3	3	1	0	6	28	46	1845	[1,1800,92,1901]	499	1182.3	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.031	6.15859	815.999	104.407	146.353	130.183	760.165	465.192	
3	3	1	0	6	29	657	2096	[521,2038,720,2158]	583.2	1145.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.207	6.39354	1085.47	147.364	122.984	35.8496	958.811	500.172	
3	3	1	0	8	1	82	68	[1,1,134,129]	179.49	1113.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.403	6.66967	684.582	95.1721	110.134	11.2524	478.67	208.124	
3	3	1	0	8	2	2076	289	[1968,242,2126,335]	460.61	1080.95	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	116.26	7.30677	992.454	233.957	125.909	110.256	564.469	339.55	
3	3	1	0	8	3	1231	473	[1161,391,1291,585]	343.11	1052.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	136.849	10.9858	837.855	186.231	133.266	102.239	458.892	234.334	
3	3	1	0	8	4	2124	490	[2089,425,2158,547]	471.77	1052.49	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.263	35.5726	1011.4	331.95	175.886	278.81	524.106	363.08	
3	3	1	0	8	5	895	535	[850,487,944,582]	297.03	1046	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.867	6.75354	1008.93	142.811	135.294	78.9215	550.169	293.205	
