row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,compound,bacteria,pretreatment,object_no_in_nuclei,intensity_cytoplasm_region_tmrm_mean,intensity_cytoplasm_region_tmrm_stddev,sd/mean_tmrm,intensity_annexinv-647_mean,number_of_spots,number_of_legio-_per_cell_,legio_area_[um²]-_sum_per_cell_,object_no_in_real_nuclei,number_of_real_nuclei-_per_infected_cell_,intensity_cytoplasm_region_tmrm_mean-_mean_per_infected_cell_,intensity_cytoplasm_region_tmrm_stddev-_mean_per_infected_cell_,sd/mean_tmrm-_mean_per_infected_cell_,intensity_annexinv-647_mean-_mean_per_infected_cell_,legio_area_[um²]-_sum_per_cell_-_mean_per_infected_cell,well_id,cell_lbl
3,3,1,1,1,1,2033,169,_1958_1_2138_372_,88.95,682.93,NT,NI,NONE,3,336.739334334,345.149288096,1.02497467003,185.452084897,4,4,0.0782986283126,3,1,336.739334334,345.149288096,1.02497467003,185.452084897,0.0782986283126,1,w1_f1_c1
3,3,1,4,1,1,2033,96,_1971_1_2115_299_,89.78,685.15,NT,NI,NONE,4,192.674840244,110.345139891,0.572701343628,317.413137167,1,1,0.0173996951806,4,1,192.674840244,110.345139891,0.572701343628,317.413137167,0.0173996951806,1,w1_f1_c1
4,3,1,0,1,1,455,225,_224_60_637_407_,-59.13,677.46,NT,WT,NONE,2,283.595,180.862,0.637746,112.317,1,1,1.43547,2,1,283.595,180.862,0.637746,112.317,1.43547,7,w7_f1_c1
4,3,1,0,1,2,754,205,_530_1_1027_491_,-27.97,676.85,NT,WT,NONE,4,307.338,225.197,0.732733,117.648,1,1,2.13146,4,1,307.338,225.197,0.732733,117.648,2.13146,7,w7_f1_c2
4,3,1,0,1,3,1486,362,_1398_275_1646_452_,40.1,662.91,NT,WT,NONE,5,311.638,236.149,0.757769,121.433,2,2,9.66553,5,1,311.638,236.149,0.757769,121.433,9.66553,7,w7_f1_c3
4,3,1,0,1,4,666,614,_350_502_770_735_,-47.12,639.1,NT,WT,NONE,11,191.565,75.0107,0.391567,116.988,3,3,5.5157,11,1,191.565,75.0107,0.391567,116.988,5.5157,7,w7_f1_c4
4,3,1,0,1,5,65,915,_1_837_167_1042_,-94.61,609.6,NT,WT,NONE,17,249.522,124.011,0.496995,106.817,1,1,2.68825,17,1,249.522,124.011,0.496995,106.817,2.68825,7,w7_f1_c5
4,3,1,0,1,6,885,1466,_793_1366_1136_1552_,-16.85,560.94,NT,WT,NONE,23,171.484,70.1352,0.40899,121.224,1,1,7.75156,23,1,171.484,70.1352,0.40899,121.224,7.75156,7,w7_f1_c6
4,3,1,0,1,7,1204,1860,_1071_1521_1444_1994_,18.25,531.88,NT,WT,NONE,28,222.076,195.509,0.880372,132.214,9,9,8.77815,28,1,222.076,195.509,0.880372,132.214,8.77815,7,w7_f1_c7
4,3,1,0,2,1,1801,78,_1598_1_1916_244_,-331.14,1087.04,NT,WT,NONE,5,172.103,45.8459,0.266386,114.903,4,4,0.156597,3,1,172.103,45.8459,0.266386,114.903,0.156597,7,w7_f2_c1
4,3,1,0,2,2,859,295,_762_175_991_402_,-416.56,1067.78,NT,WT,NONE,13,160.864,45.8508,0.285028,120.591,1,1,2.64475,11,1,160.864,45.8508,0.285028,120.591,2.64475,7,w7_f2_c2
4,3,1,0,2,3,1870,531,_1729_333_1950_644_,-326.99,1048.41,NT,WT,NONE,18,205.66,101.567,0.493859,116.656,1,1,1.90527,16,1,205.66,101.567,0.493859,116.656,1.90527,7,w7_f2_c3
4,3,1,0,2,4,938,1628,_829_1412_1082_1906_,-409.18,945.91,NT,WT,NONE,41,187.074,81.6836,0.436637,121.943,2,2,6.69018,36,1,187.074,81.6836,0.436637,121.943,6.69018,7,w7_f2_c4
4,3,1,0,2,5,1764,1975,_1636_1563_1869_2158_,-333.86,915.91,NT,WT,NONE,48,298.729,193.509,0.647774,116.918,3,3,0.59159,43,1,298.729,193.509,0.647774,116.918,0.59159,7,w7_f2_c5
4,3,1,0,3,1,2032,445,_1814_312_2158_858_,-110.64,1040.8,NT,WT,NONE,13,226.579,118.914,0.524824,114.165,2,2,2.31416,12,1,226.579,118.914,0.524824,114.165,2.31416,7,w7_f3_c1
4,3,1,0,3,2,1226,607,_1114_526_1335_704_,-184.11,1037.65,NT,WT,NONE,16,252.495,174.401,0.690711,123.118,1,1,1.14838,15,1,252.495,174.401,0.690711,123.118,1.14838,7,w7_f3_c2
4,3,1,0,3,3,518,807,_403_711_644_913_,-251.3,1019.71,NT,WT,NONE,19,271.924,156.164,0.574292,116.381,2,2,6.38569,18,1,271.924,156.164,0.574292,116.381,6.38569,7,w7_f3_c3
4,3,1,0,3,4,1464,942,_1299_778_1604_1079_,-163.77,1008.53,NT,WT,NONE,21,219.4,124.817,0.568903,121.719,2,2,3.34944,19,1,219.4,124.817,0.568903,121.719,3.34944,7,w7_f3_c4
4,3,1,0,3,5,2043,1155,_1783_844_2158_1308_,-111.18,990.34,NT,WT,NONE,23,212.832,112.981,0.530847,115.642,1,1,3.43644,21,1,212.832,112.981,0.530847,115.642,3.43644,7,w7_f3_c5
4,3,1,0,3,6,1834,1401,_1620_1152_2058_1607_,-128.97,964.19,NT,WT,NONE,28,276.511,173.266,0.626617,117.703,1,1,2.21846,26,1,276.511,173.266,0.626617,117.703,2.21846,7,w7_f3_c6
4,3,1,0,3,7,2032,1872,_1809_1717_2148_2009_,-114.16,922.95,NT,WT,NONE,34,314.308,255.874,0.814086,113.836,1,1,1.25278,32,1,314.308,255.874,0.814086,113.836,1.25278,7,w7_f3_c7
4,3,1,0,4,1,103,1030,_1_811_353_1139_,-86.94,1003.29,NT,WT,NONE,16,221.824,108.125,0.487439,108.217,1,1,2.53166,15,1,221.824,108.125,0.487439,108.217,2.53166,7,w7_f4_c1
4,3,1,0,4,2,834,1067,_741_983_934_1157_,-22.38,994.98,NT,WT,NONE,18,162.423,44.9861,0.276969,121.21,2,2,3.93233,17,1,162.423,44.9861,0.276969,121.21,3.93233,7,w7_f4_c2
4,3,1,0,4,3,312,1118,_179_1008_401_1215_,-72.26,990.4,NT,WT,NONE,19,184.397,71.2375,0.386327,112.222,1,1,2.27936,18,1,184.397,71.2375,0.386327,112.222,2.27936,7,w7_f4_c3
4,3,1,0,4,4,261,1265,_158_1188_340_1351_,-76.7,976.72,NT,WT,NONE,22,163.599,51.0813,0.312235,110.742,2,2,0.974383,21,1,163.599,51.0813,0.312235,110.742,0.974383,7,w7_f4_c4
4,3,1,0,4,5,1442,1475,_1335_1314_1573_1614_,34.78,959.07,NT,WT,NONE,25,210.736,103.172,0.489581,122.89,2,2,3.41904,24,1,210.736,103.172,0.489581,122.89,3.41904,7,w7_f4_c5
4,3,1,0,4,6,1788,1369,_1700_1185_1898_1622_,68,964.38,NT,WT,NONE,27,236.831,139.659,0.589698,119.841,1,1,1.36588,26,1,236.831,139.659,0.589698,119.841,1.36588,7,w7_f4_c6
