Unnamed: 0.1,Unnamed: 0,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacteria_area,if,ni,intensity_cell_alexa_647_mean,intensity_cell_dsred_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl,growth,significant_growth
26064,413764,12,3,1,0,1,10,594,773,_506_678_685_968_,-45.82,24.53,WT,5,none,588,816,3.74853,1,0,141.502,156.274,0.183518,0.255849,109,w109_f1_c10,0,0
26065,414001,12,3,1,1,1,10,557,823,_453_666_671_958_,-49.15,24.93,WT,5,none,552,812,1.85691,1,0,131.124,159.544,0.144402,0.298649,109,w109_f1_c10,0,0
26066,417221,12,3,1,2,1,10,513,829,_423_641_638_942_,-52.21,26.47,WT,5,none,519,795,1.58792,1,0,123.829,140.872,0.109445,0.223613,109,w109_f1_c10,0,0
26067,417559,12,3,1,3,1,10,503,779,_395_639_612_955_,-53.58,26.43,WT,5,none,504,796,1.99574,1,0,122.507,139.188,0.0944509,0.19133,109,w109_f1_c10,0,0
26068,417914,12,3,1,4,1,10,494,754,_400_651_600_927_,-54.29,26.75,WT,5,none,497,792,1.85691,1,0,121.18,136.588,0.0813014,0.167684,109,w109_f1_c10,0,0
26069,418274,12,3,1,5,1,10,493,820,_392_642_607_940_,-54.69,26.45,WT,5,none,492,796,1.56189,1,0,120.282,134.857,0.0732602,0.14775,109,w109_f1_c10,0,0
26070,418635,12,3,1,6,1,10,509,794,_407_628_605_910_,-53.57,28.84,WT,5,none,504,770,1.6313,1,0,121.593,137.4,0.0767447,0.151294,109,w109_f1_c10,0,0
26071,418992,12,3,1,7,1,10,492,800,_390_616_600_898_,-54.76,29.69,WT,5,none,492,761,4.06958,1,0,121.955,135.73,0.076593,0.144125,109,w109_f1_c10,0,0
26072,419355,12,3,1,8,1,10,490,800,_383_617_591_912_,-55.51,29.11,WT,5,none,484,767,3.88736,1,0,122.266,137.987,0.084099,0.16972,109,w109_f1_c10,0,0
26073,419719,12,3,1,9,1,10,484,801,_370_626_590_916_,-55.99,28.43,WT,5,none,478,774,3.37541,1,0,121.933,133.406,0.0855566,0.141395,109,w109_f1_c10,0,0
26074,414308,12,3,1,10,1,10,495,791,_393_614_600_907_,-54.78,29.4,WT,5,none,491,764,4.15635,1,0,122.132,132.954,0.0820286,0.148737,109,w109_f1_c10,0,0
26075,414677,12,3,1,11,1,10,475,775,_371_613_575_918_,-56.38,28.46,WT,5,none,474,774,3.60969,1,0,122.688,134.087,0.0947561,0.156689,109,w109_f1_c10,0,0
26076,415046,12,3,1,12,1,10,473,778,_372_622_571_901_,-56.96,29.37,WT,5,none,468,764,4.17371,1,0,124.535,136.469,0.0907091,0.16887,109,w109_f1_c10,0,0
26077,415411,12,3,1,13,1,10,467,787,_373_626_560_917_,-57.13,28.71,WT,5,none,466,771,3.87001,1,0,126.158,138.047,0.0962307,0.166425,109,w109_f1_c10,0,0
26078,415773,12,3,1,14,1,10,489,779,_379_619_587_907_,-55.65,29.33,WT,5,none,482,765,3.12377,1,0,125.995,136.078,0.103033,0.164079,109,w109_f1_c10,0,0
26079,416137,12,3,1,15,1,10,469,803,_374_614_570_900_,-56.68,29.32,WT,5,none,471,765,3.92207,1,0,130.72,136.31,0.113278,0.156361,109,w109_f1_c10,0,0
26080,416500,12,3,1,16,1,10,466,748,_366_626_561_902_,-57.33,29.38,WT,5,none,464,764,4.14768,1,0,133.248,137.252,0.116613,0.157486,109,w109_f1_c10,0,0
