Unnamed: 0.1,Unnamed: 0,row,col,plane,t,field,n,x,y,bbox,pos_x_um,pos_y_um,bacteria,assay,treatment,track_point_x,track_point_y,bacteria_area,if,ni,intensity_cell_alexa_647_mean,intensity_cell_dsred_mean,far_red_sdmean,red_sdmean,well_id,cell_lbl,growth,duplication
26168,413772,12,3,1,0,1,18,1801,1564,_1589_1461_1950_1723_,65.63,-47.54,WT,5,none,1784,1590,5.81369,1,0,168.021,167.751,0.315861,0.328377,109,w109_f1_c18,1,0
26169,414007,12,3,1,1,1,18,1767,1541,_1585_1408_1902_1686_,62.2,-44.57,WT,5,none,1747,1558,7.66192,1,0,147.9,165.44,0.231476,0.314814,109,w109_f1_c18,1,0
26170,417227,12,3,1,2,1,18,1730,1525,_1557_1365_1844_1677_,59.0,-43.36,WT,5,none,1713,1545,9.38867,1,0,143.206,166.865,0.206253,0.330955,109,w109_f1_c18,1,0
26171,417565,12,3,1,3,1,18,1708,1528,_1526_1374_1833_1708_,56.62,-44.09,WT,5,none,1687,1553,8.278,1,0,139.926,168.17,0.182891,0.347251,109,w109_f1_c18,1,0
26172,417920,12,3,1,4,1,18,1667,1570,_1512_1438_1778_1773_,52.54,-47.95,WT,5,none,1644,1594,8.52963,1,0,143.115,189.068,0.200809,0.419127,109,w109_f1_c18,1,0
26173,418280,12,3,1,5,1,18,1640,1615,_1467_1478_1756_1774_,50.98,-51.22,WT,5,none,1627,1629,8.59905,1,0,143.803,190.12,0.182965,0.391987,109,w109_f1_c18,1,0
26174,418641,12,3,1,6,1,18,1656,1573,_1512_1424_1779_1716_,52.99,-46.62,WT,5,none,1648,1580,9.59692,1,0,143.822,182.42,0.177845,0.378502,109,w109_f1_c18,1,0
26175,418998,12,3,1,7,1,18,1640,1576,_1525_1404_1764_1710_,52.52,-45.34,WT,5,none,1643,1566,10.1436,1,0,142.202,175.756,0.169212,0.370632,109,w109_f1_c18,1,0
26176,419361,12,3,1,8,1,18,1644,1552,_1513_1337_1759_1707_,52.52,-42.63,WT,5,none,1643,1537,10.8551,1,0,142.216,178.777,0.161534,0.356206,109,w109_f1_c18,1,0
26177,419725,12,3,1,9,1,18,1648,1510,_1531_1338_1754_1678_,52.48,-41.32,WT,5,none,1643,1523,8.44286,1,0,141.729,170.013,0.163969,0.340597,109,w109_f1_c18,1,0
26178,414314,12,3,1,10,1,18,1640,1511,_1527_1316_1759_1645_,52.77,-38.79,WT,5,none,1646,1496,12.0092,1,0,142.759,167.515,0.175068,0.335717,109,w109_f1_c18,1,0
26179,414683,12,3,1,11,1,18,1636,1527,_1527_1400_1745_1645_,51.85,-41.19,WT,5,none,1636,1522,12.4257,1,0,146.511,172.137,0.16916,0.308488,109,w109_f1_c18,1,0
26180,415052,12,3,1,12,1,18,1612,1543,_1490_1386_1725_1671_,49.69,-41.75,WT,5,none,1613,1528,20.0702,1,0,147.442,168.629,0.17628,0.306534,109,w109_f1_c18,1,1
26181,415417,12,3,1,13,1,18,1610,1554,_1497_1384_1722_1678_,49.32,-43.57,WT,5,none,1609,1547,21.4325,1,0,148.944,166.09,0.175214,0.289859,109,w109_f1_c18,1,1
26182,415778,12,3,1,14,1,18,1632,1527,_1499_1408_1735_1672_,50.67,-43.71,WT,5,none,1623,1549,19.055,1,0,146.37,159.788,0.17961,0.263346,109,w109_f1_c18,1,0
26183,416142,12,3,1,15,1,18,1624,1534,_1512_1365_1730_1665_,50.11,-41.77,WT,5,none,1617,1528,23.5237,1,0,154.261,160.315,0.191667,0.262572,109,w109_f1_c18,1,1
26184,416505,12,3,1,16,1,18,1610,1529,_1502_1370_1715_1671_,49.15,-41.86,WT,5,none,1607,1529,26.7863,1,0,161.413,164.709,0.205836,0.261574,109,w109_f1_c18,1,1
26185,416874,12,3,1,17,1,18,1605,1545,_1499_1384_1713_1688_,48.87,-41.99,WT,5,none,1604,1530,25.3806,1,0,168.752,167.911,0.216338,0.265701,109,w109_f1_c18,1,0
26236,413779,12,3,1,0,1,24,908,1378,_792_1286_1043_1472_,-15.33,-27.6,WT,5,none,915,1376,1.50982,1,0,149.235,188.98,0.246118,0.423376,109,w109_f1_c24,1,0
26237,414014,12,3,1,1,1,24,896,1365,_740_1267_1038_1461_,-18.19,-26.31,WT,5,none,884,1362,2.10855,1,0,141.759,174.905,0.243764,0.439154,109,w109_f1_c24,1,0
26238,417234,12,3,1,2,1,24,836,1341,_724_1239_982_1442_,-21.58,-24.54,WT,5,none,848,1343,6.4905,1,0,140.533,180.215,0.239914,0.466926,109,w109_f1_c24,1,1
26239,417571,12,3,1,3,1,24,813,1352,_712_1266_963_1444_,-22.62,-25.3,WT,5,none,837,1351,7.64456,1,0,143.344,190.821,0.17389,0.354793,109,w109_f1_c24,1,1
26240,417926,12,3,1,4,1,24,846,1339,_720_1227_1057_1437_,-17.85,-23.44,WT,5,none,888,1331,8.6945,1,0,135.621,179.32,0.144628,0.33736,109,w109_f1_c24,1,0
26241,418286,12,3,1,5,1,24,861,1346,_692_1248_1045_1434_,-18.39,-24.64,WT,5,none,882,1344,9.16307,1,0,134.435,176.72,0.153105,0.360391,109,w109_f1_c24,1,0
26242,418647,12,3,1,6,1,24,919,1316,_724_1221_1028_1419_,-18.4,-22.35,WT,5,none,882,1319,11.7402,1,0,135.283,176.016,0.129488,0.298621,109,w109_f1_c24,1,0
26243,419004,12,3,1,7,1,24,843,1319,_708_1227_1012_1410_,-19.59,-22.25,WT,5,none,869,1318,13.3454,1,0,136.552,171.626,0.119482,0.269538,109,w109_f1_c24,1,0
26244,419367,12,3,1,8,1,24,897,1325,_693_1220_1015_1427_,-20.14,-22.39,WT,5,none,863,1320,14.3694,1,0,134.438,165.457,0.12683,0.290993,109,w109_f1_c24,1,0
