Unnamed: 0,row,col,plane,t,field,n,x,y,bacteria,ser_edge_tmrm,sdmean_tmrm,annexin647,hoechst,n_legio_per_cell,bacteria_area,infected,well_id,cell_lbl,growth,duplication
52896,4,7,1,1,10,2,1630,362,Lpp_WT,0.417408,0.30108,124.208,341.716,5,10.287,1,10,w10_f10_c2,1,0
54665,4,7,1,2,10,2,1664,369,Lpp_WT,0.433579,0.24731,123.612,418.305,5,10.2259,1,10,w10_f10_c2,1,0
54846,4,7,1,3,10,2,1689,334,Lpp_WT,0.42528,0.270964,122.984,481.462,5,9.85911,1,10,w10_f10_c2,1,0
55032,4,7,1,4,10,2,1682,287,Lpp_WT,0.4166,0.278131,123.549,495.909,4,10.4791,1,10,w10_f10_c2,1,0
55222,4,7,1,5,10,2,1672,277,Lpp_WT,0.419314,0.281414,123.125,539.858,4,8.57541,1,10,w10_f10_c2,1,0
55412,4,7,1,6,10,2,1683,290,Lpp_WT,0.420109,0.296042,123.901,510.653,4,6.75903,1,10,w10_f10_c2,1,0
55608,4,7,1,7,10,2,1693,291,Lpp_WT,0.405158,0.303653,124.313,482.369,5,8.52302,1,10,w10_f10_c2,1,0
55804,4,7,1,8,10,2,1677,316,Lpp_WT,0.409244,0.308907,124.462,502.59,4,7.78075,1,10,w10_f10_c2,1,0
56000,4,7,1,9,10,2,1680,308,Lpp_WT,0.420258,0.269544,124.11,534.497,4,9.51853,1,10,w10_f10_c2,1,0
53068,4,7,1,10,10,2,1707,212,Lpp_WT,0.405535,0.274987,123.924,422.403,6,12.1121,1,10,w10_f10_c2,1,0
53261,4,7,1,11,10,2,1694,195,Lpp_WT,0.425161,0.246474,123.588,464.234,6,18.1725,1,10,w10_f10_c2,1,0
53455,4,7,1,12,10,2,1708,226,Lpp_WT,0.413352,0.285866,124.55,350.971,8,21.5521,1,10,w10_f10_c2,1,1
53649,4,7,1,13,10,2,1692,208,Lpp_WT,0.420952,0.259355,124.309,418.793,15,22.6698,1,10,w10_f10_c2,1,1
53847,4,7,1,14,10,2,1697,224,Lpp_WT,0.409487,0.265257,125.337,292.932,7,30.1711,1,10,w10_f10_c2,1,1
54047,4,7,1,15,10,2,1679,199,Lpp_WT,0.427934,0.235235,124.469,458.195,15,33.6816,1,10,w10_f10_c2,1,1
54248,4,7,1,16,10,2,1674,196,Lpp_WT,0.41638,0.260415,125.248,355.801,8,39.8556,1,10,w10_f10_c2,1,1
54456,4,7,1,17,10,2,1687,199,Lpp_WT,0.411687,0.256497,125.525,374.691,8,35.8823,1,10,w10_f10_c2,1,1
52777,4,7,1,0,13,2,740,527,Lpp_WT,0.371211,0.313447,121.748,365.409,5,5.49281,1,10,w10_f13_c2,1,0
